Cause of Death,Ten-Year Age Groups,Race,Gender,Deaths,Population,"Crude Rate Per 100,000"
Nipple and areola - Malignant neoplasms,65-74 years,White,Female,2,"8,999,237"
Nipple and areola - Malignant neoplasms,75-84 years,White,Female,3,"6,767,147"
Upper-outer quadrant of breast - Malignant neoplasms,65-74 years,Black or African American,Female,1,"1,097,838"
"Breast, unspecified - Malignant neoplasms",15-24 years,Asian or Pacific Islander,Female,1,"1,130,557"
"Breast, unspecified - Malignant neoplasms",15-24 years,Black or African American,Female,6,"3,427,608"
"Breast, unspecified - Malignant neoplasms",15-24 years,White,Female,8,"16,102,513"
"Breast, unspecified - Malignant neoplasms",25-34 years,American Indian or Alaska Native,Female,3,"278,887"
"Breast, unspecified - Malignant neoplasms",25-34 years,Asian or Pacific Islander,Female,16,"1,438,180"
"Breast, unspecified - Malignant neoplasms",25-34 years,Black or African American,Female,107,"2,950,907",3.6
"Breast, unspecified - Malignant neoplasms",25-34 years,White,Female,218,"15,120,619",1.4
"Breast, unspecified - Malignant neoplasms",35-44 years,American Indian or Alaska Native,Female,9,"270,787"
"Breast, unspecified - Malignant neoplasms",35-44 years,Asian or Pacific Islander,Female,76,"1,330,691",5.7
"Breast, unspecified - Malignant neoplasms",35-44 years,Black or African American,Female,546,"3,041,008",18.0
"Breast, unspecified - Malignant neoplasms",35-44 years,Black or African American,Male,2,"2,699,828"
"Breast, unspecified - Malignant neoplasms",35-44 years,White,Female,"1,543","16,859,516",9.2
"Breast, unspecified - Malignant neoplasms",35-44 years,White,Male,8,"17,118,197"
"Breast, unspecified - Malignant neoplasms",45-54 years,American Indian or Alaska Native,Female,40,"246,933",16.2
"Breast, unspecified - Malignant neoplasms",45-54 years,Asian or Pacific Islander,Female,166,"1,112,071",14.9
"Breast, unspecified - Malignant neoplasms",45-54 years,Black or African American,Female,"1,265","2,900,246",43.6
"Breast, unspecified - Malignant neoplasms",45-54 years,Black or African American,Male,8,"2,551,449"
"Breast, unspecified - Malignant neoplasms",45-54 years,White,Female,"4,483","18,078,712",24.8
"Breast, unspecified - Malignant neoplasms",45-54 years,White,Male,28,"17,843,374",0.2
"Breast, unspecified - Malignant neoplasms",55-64 years,American Indian or Alaska Native,Female,50,"150,993",33.1
"Breast, unspecified - Malignant neoplasms",55-64 years,Asian or Pacific Islander,Female,214,"774,523",27.6
"Breast, unspecified - Malignant neoplasms",55-64 years,Black or African American,Female,"1,414","1,915,241",73.8
"Breast, unspecified - Malignant neoplasms",55-64 years,Black or African American,Male,14,"1,584,677"
"Breast, unspecified - Malignant neoplasms",55-64 years,White,Female,"7,008","14,307,914",49.0
"Breast, unspecified - Malignant neoplasms",55-64 years,White,Male,56,"13,606,506",0.4
"Breast, unspecified - Malignant neoplasms",65-74 years,American Indian or Alaska Native,Female,28,"74,169",37.8
"Breast, unspecified - Malignant neoplasms",65-74 years,Asian or Pacific Islander,Female,148,"424,558",34.9
"Breast, unspecified - Malignant neoplasms",65-74 years,Black or African American,Female,"1,029","1,097,838",93.7
"Breast, unspecified - Malignant neoplasms",65-74 years,Black or African American,Male,13,"807,080"
"Breast, unspecified - Malignant neoplasms",65-74 years,White,Female,"6,880","8,999,237",76.5
"Breast, unspecified - Malignant neoplasms",65-74 years,White,Male,78,"7,880,363",1.0
"Breast, unspecified - Malignant neoplasms",75-84 years,American Indian or Alaska Native,Female,20,"36,424",54.9
"Breast, unspecified - Malignant neoplasms",75-84 years,American Indian or Alaska Native,Male,1,"25,623"
"Breast, unspecified - Malignant neoplasms",75-84 years,Asian or Pacific Islander,Female,120,"236,850",50.7
"Breast, unspecified - Malignant neoplasms",75-84 years,Asian or Pacific Islander,Male,1,"162,990"
"Breast, unspecified - Malignant neoplasms",75-84 years,Black or African American,Female,887,"654,070",135.6
"Breast, unspecified - Malignant neoplasms",75-84 years,Black or African American,Male,11,"375,407"
"Breast, unspecified - Malignant neoplasms",75-84 years,White,Female,"7,941","6,767,147",117.3
"Breast, unspecified - Malignant neoplasms",75-84 years,White,Male,91,"4,828,928",1.9
"Breast, unspecified - Malignant neoplasms",85+ years,American Indian or Alaska Native,Female,18,"12,059"
"Breast, unspecified - Malignant neoplasms",85+ years,American Indian or Alaska Native,Male,1,"5,916"
"Breast, unspecified - Malignant neoplasms",85+ years,Asian or Pacific Islander,Female,46,"75,404",61.0
"Breast, unspecified - Malignant neoplasms",85+ years,Black or African American,Female,543,"254,734",213.2
"Breast, unspecified - Malignant neoplasms",85+ years,Black or African American,Male,5,"96,068"
"Breast, unspecified - Malignant neoplasms",85+ years,White,Female,"5,759","3,104,112",185.5
"Breast, unspecified - Malignant neoplasms",85+ years,White,Male,54,"1,446,668",3.7
"Breast, unspecified - Malignant neoplasms",Not Stated,Black or African American,Female,1,Not Applicable,Not Applicable
