C17001E_001E,C17001E_001EA,C17001E_001M,C17001E_001MA,C17001E_002E,C17001E_002EA,C17001E_002M,C17001E_002MA,C17001E_003E,C17001E_003EA,C17001E_003M,C17001E_003MA,C17001E_004E,C17001E_004EA,C17001E_004M,C17001E_004MA,C17001E_005E,C17001E_005EA,C17001E_005M,C17001E_005MA,C17001E_006E,C17001E_006EA,C17001E_006M,C17001E_006MA,C17001E_007E,C17001E_007EA,C17001E_007M,C17001E_007MA,C17001E_008E,C17001E_008EA,C17001E_008M,C17001E_008MA,C17001E_009E,C17001E_009EA,C17001E_009M,C17001E_009MA,C17001E_010E,C17001E_010EA,C17001E_010M,C17001E_010MA,C17001E_011E,C17001E_011EA,C17001E_011M,C17001E_011MA,C17001E_012E,C17001E_012EA,C17001E_012M,C17001E_012MA,C17001E_013E,C17001E_013EA,C17001E_013M,C17001E_013MA,C17001E_014E,C17001E_014EA,C17001E_014M,C17001E_014MA,C17001E_015E,C17001E_015EA,C17001E_015M,C17001E_015MA,C17001E_016E,C17001E_016EA,C17001E_016M,C17001E_016MA,C17001E_017E,C17001E_017EA,C17001E_017M,C17001E_017MA,C17001E_018E,C17001E_018EA,C17001E_018M,C17001E_018MA,C17001E_019E,C17001E_019EA,C17001E_019M,C17001E_019MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
8486,null,1180,null,1871,null,1187,null,1153,null,743,null,521,null,393,null,632,null,450,null,0,null,302,null,718,null,532,null,403,null,362,null,315,null,223,null,0,null,302,null,6615,null,1340,null,3456,null,932,null,750,null,387,null,2496,null,712,null,210,null,237,null,3159,null,712,null,1094,null,529,null,1981,null,352,null,84,null,92,null,0400000US04,Arizona,04
1872,null,504,null,705,null,485,null,300,null,211,null,148,null,125,null,152,null,153,null,0,null,269,null,405,null,335,null,221,null,186,null,151,null,140,null,33,null,54,null,1167,null,683,null,577,null,358,null,355,null,271,null,222,null,161,null,0,null,269,null,590,null,421,null,180,null,253,null,396,null,238,null,14,null,26,null,0400000US05,Arkansas,05
129403,null,5752,null,16490,null,3868,null,7971,null,2390,null,2784,null,1161,null,4424,null,1474,null,763,null,649,null,8519,null,2157,null,2116,null,978,null,5441,null,1432,null,962,null,658,null,112913,null,6437,null,55582,null,3729,null,14030,null,2729,null,38178,null,2367,null,3374,null,833,null,57331,null,4070,null,12727,null,2208,null,39429,null,2542,null,5175,null,1353,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
7001,null,1555,null,1396,null,681,null,875,null,505,null,535,null,228,null,53,null,88,null,287,null,431,null,521,null,239,null,304,null,159,null,217,null,110,null,0,null,305,null,5605,null,1675,null,3143,null,1028,null,877,null,472,null,2223,null,788,null,43,null,88,null,2462,null,889,null,555,null,307,null,1753,null,619,null,154,null,194,null,0400000US12,Florida,12
