B25032F_001E,B25032F_001EA,B25032F_001M,B25032F_001MA,B25032F_002E,B25032F_002EA,B25032F_002M,B25032F_002MA,B25032F_003E,B25032F_003EA,B25032F_003M,B25032F_003MA,B25032F_004E,B25032F_004EA,B25032F_004M,B25032F_004MA,B25032F_005E,B25032F_005EA,B25032F_005M,B25032F_005MA,B25032F_006E,B25032F_006EA,B25032F_006M,B25032F_006MA,B25032F_007E,B25032F_007EA,B25032F_007M,B25032F_007MA,B25032F_008E,B25032F_008EA,B25032F_008M,B25032F_008MA,B25032F_009E,B25032F_009EA,B25032F_009M,B25032F_009MA,B25032F_010E,B25032F_010EA,B25032F_010M,B25032F_010MA,B25032F_011E,B25032F_011EA,B25032F_011M,B25032F_011MA,GEO_ID,NAME,state
8236,null,1353,null,3366,null,1143,null,363,null,277,null,595,null,496,null,297,null,339,null,881,null,502,null,555,null,488,null,269,null,446,null,102,null,122,null,1808,null,719,null,0,null,271,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
115905,null,5957,null,78401,null,4958,null,2775,null,837,null,2422,null,970,null,4929,null,1116,null,3635,null,1172,null,4126,null,1162,null,3655,null,1280,null,2454,null,739,null,13338,null,2078,null,170,null,229,null,0400000US04,Arizona,04
15019,null,1683,null,8799,null,1438,null,805,null,498,null,1003,null,810,null,505,null,430,null,558,null,365,null,382,null,350,null,433,null,322,null,0,null,269,null,2534,null,817,null,0,null,269,null,0400000US05,Arkansas,05
1259697,null,17268,null,658793,null,12640,null,79187,null,4363,null,38564,null,3534,null,98214,null,5455,null,97715,null,5762,null,88261,null,5241,null,84532,null,4059,null,72449,null,5432,null,40899,null,3018,null,1083,null,594,null,0400000US06,California,06
68402,null,3909,null,36072,null,2890,null,2880,null,813,null,1276,null,567,null,4546,null,1154,null,3690,null,1135,null,7567,null,1538,null,4833,null,1241,null,2770,null,967,null,4635,null,1024,null,133,null,227,null,0400000US08,Colorado,08
48532,null,2563,null,10599,null,1503,null,1863,null,688,null,9349,null,1573,null,11896,null,1542,null,5523,null,1251,null,2643,null,879,null,2915,null,926,null,3603,null,1073,null,0,null,275,null,141,null,220,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
6649,null,1645,null,569,null,469,null,1565,null,714,null,268,null,349,null,1040,null,689,null,55,null,98,null,547,null,475,null,786,null,523,null,1819,null,891,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
135210,null,6872,null,69531,null,5262,null,10150,null,1768,null,4324,null,1243,null,5707,null,1486,null,7524,null,1465,null,11481,null,1952,null,8875,null,1638,null,5928,null,1237,null,11655,null,2622,null,35,null,59,null,0400000US12,Florida,12
78675,null,4945,null,36762,null,3178,null,3715,null,1320,null,2148,null,834,null,3697,null,1324,null,7363,null,1745,null,9653,null,1512,null,3761,null,1500,null,680,null,385,null,10896,null,2163,null,0,null,298,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
