B14007F_001E,B14007F_001EA,B14007F_001M,B14007F_001MA,B14007F_002E,B14007F_002EA,B14007F_002M,B14007F_002MA,B14007F_003E,B14007F_003EA,B14007F_003M,B14007F_003MA,B14007F_004E,B14007F_004EA,B14007F_004M,B14007F_004MA,B14007F_005E,B14007F_005EA,B14007F_005M,B14007F_005MA,B14007F_006E,B14007F_006EA,B14007F_006M,B14007F_006MA,B14007F_007E,B14007F_007EA,B14007F_007M,B14007F_007MA,B14007F_008E,B14007F_008EA,B14007F_008M,B14007F_008MA,B14007F_009E,B14007F_009EA,B14007F_009M,B14007F_009MA,B14007F_010E,B14007F_010EA,B14007F_010M,B14007F_010MA,B14007F_011E,B14007F_011EA,B14007F_011M,B14007F_011MA,B14007F_012E,B14007F_012EA,B14007F_012M,B14007F_012MA,B14007F_013E,B14007F_013EA,B14007F_013M,B14007F_013MA,B14007F_014E,B14007F_014EA,B14007F_014M,B14007F_014MA,B14007F_015E,B14007F_015EA,B14007F_015M,B14007F_015MA,B14007F_016E,B14007F_016EA,B14007F_016M,B14007F_016MA,B14007F_017E,B14007F_017EA,B14007F_017M,B14007F_017MA,B14007F_018E,B14007F_018EA,B14007F_018M,B14007F_018MA,B14007F_019E,B14007F_019EA,B14007F_019M,B14007F_019MA,GEO_ID,NAME,state
29333,null,4231,null,8742,null,1577,null,313,null,245,null,1050,null,588,null,553,null,382,null,695,null,396,null,1009,null,574,null,1051,null,514,null,487,null,233,null,59,null,68,null,536,null,413,null,368,null,226,null,334,null,260,null,440,null,302,null,192,null,228,null,767,null,375,null,863,null,449,null,25,null,53,null,20591,null,3222,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
409468,null,21190,null,132528,null,9689,null,4731,null,1129,null,8516,null,1701,null,7099,null,1295,null,8945,null,1668,null,9186,null,1700,null,8399,null,1417,null,6372,null,1411,null,7251,null,1370,null,8150,null,1459,null,7722,null,1741,null,7976,null,1333,null,8278,null,1404,null,4978,null,1103,null,11428,null,2500,null,21080,null,2990,null,2417,null,610,null,276940,null,14515,null,0400000US04,Arizona,04
57025,null,5272,null,18766,null,2737,null,1187,null,517,null,1293,null,576,null,1345,null,649,null,1282,null,523,null,1594,null,657,null,780,null,540,null,1470,null,629,null,1603,null,733,null,958,null,531,null,1254,null,583,null,569,null,315,null,1614,null,602,null,1342,null,763,null,904,null,480,null,1513,null,605,null,58,null,99,null,38259,null,3606,null,0400000US05,Arkansas,05
4909658,null,61209,null,1653663,null,29264,null,88218,null,5753,null,96716,null,5574,null,86255,null,5118,null,95443,null,5650,null,88863,null,5338,null,89710,null,5177,null,92396,null,5865,null,94869,null,5837,null,97173,null,5507,null,100219,null,5344,null,98753,null,5378,null,94859,null,5536,null,93830,null,5570,null,119131,null,7071,null,286114,null,10698,null,31114,null,3433,null,3255995,null,39920,null,0400000US06,California,06
218298,null,13081,null,67362,null,6808,null,4557,null,1303,null,5062,null,1396,null,4605,null,1254,null,4551,null,1488,null,4262,null,1170,null,2805,null,718,null,4309,null,989,null,3617,null,1080,null,4120,null,1243,null,4037,null,1227,null,4434,null,1117,null,4214,null,1042,null,3261,null,1046,null,4268,null,1276,null,8361,null,1540,null,899,null,480,null,150936,null,8648,null,0400000US08,Colorado,08
150316,null,9215,null,47043,null,4677,null,3963,null,1165,null,2008,null,816,null,2304,null,713,null,2512,null,860,null,2562,null,955,null,2252,null,863,null,3048,null,844,null,2164,null,746,null,2202,null,989,null,2606,null,940,null,4530,null,981,null,3030,null,977,null,2003,null,795,null,3442,null,1055,null,7219,null,1792,null,1198,null,622,null,103273,null,6114,null,0400000US09,Connecticut,09
13800,null,2851,null,3646,null,1056,null,499,null,414,null,672,null,460,null,214,null,162,null,350,null,196,null,308,null,394,null,180,null,144,null,87,null,107,null,182,null,179,null,21,null,36,null,189,null,189,null,182,null,147,null,205,null,192,null,318,null,277,null,78,null,134,null,161,null,174,null,0,null,263,null,10154,null,2227,null,0400000US10,Delaware,10
18031,null,3566,null,6093,null,1792,null,293,null,335,null,432,null,364,null,43,null,77,null,87,null,101,null,1035,null,672,null,194,null,208,null,0,null,296,null,688,null,470,null,527,null,409,null,37,null,69,null,376,null,369,null,360,null,347,null,666,null,509,null,388,null,435,null,271,null,260,null,696,null,625,null,11938,null,2345,null,0400000US11,District of Columbia,11
455106,null,22722,null,137860,null,9869,null,9765,null,2113,null,8010,null,1828,null,9231,null,2113,null,6473,null,1449,null,8100,null,1945,null,7179,null,1814,null,6798,null,1540,null,7088,null,1693,null,8020,null,1980,null,8404,null,1625,null,6738,null,1304,null,6845,null,1380,null,7147,null,1399,null,8424,null,1999,null,26420,null,3162,null,3218,null,840,null,317246,null,15722,null,0400000US12,Florida,12
