C20005D_001E,C20005D_001EA,C20005D_001M,C20005D_001MA,C20005D_002E,C20005D_002EA,C20005D_002M,C20005D_002MA,C20005D_003E,C20005D_003EA,C20005D_003M,C20005D_003MA,C20005D_004E,C20005D_004EA,C20005D_004M,C20005D_004MA,C20005D_005E,C20005D_005EA,C20005D_005M,C20005D_005MA,C20005D_006E,C20005D_006EA,C20005D_006M,C20005D_006MA,C20005D_007E,C20005D_007EA,C20005D_007M,C20005D_007MA,C20005D_008E,C20005D_008EA,C20005D_008M,C20005D_008MA,C20005D_009E,C20005D_009EA,C20005D_009M,C20005D_009MA,C20005D_010E,C20005D_010EA,C20005D_010M,C20005D_010MA,C20005D_011E,C20005D_011EA,C20005D_011M,C20005D_011MA,C20005D_012E,C20005D_012EA,C20005D_012M,C20005D_012MA,C20005D_013E,C20005D_013EA,C20005D_013M,C20005D_013MA,C20005D_014E,C20005D_014EA,C20005D_014M,C20005D_014MA,C20005D_015E,C20005D_015EA,C20005D_015M,C20005D_015MA,C20005D_016E,C20005D_016EA,C20005D_016M,C20005D_016MA,C20005D_017E,C20005D_017EA,C20005D_017M,C20005D_017MA,C20005D_018E,C20005D_018EA,C20005D_018M,C20005D_018MA,C20005D_019E,C20005D_019EA,C20005D_019M,C20005D_019MA,C20005D_020E,C20005D_020EA,C20005D_020M,C20005D_020MA,C20005D_021E,C20005D_021EA,C20005D_021M,C20005D_021MA,C20005D_022E,C20005D_022EA,C20005D_022M,C20005D_022MA,C20005D_023E,C20005D_023EA,C20005D_023M,C20005D_023MA,C20005D_024E,C20005D_024EA,C20005D_024M,C20005D_024MA,C20005D_025E,C20005D_025EA,C20005D_025M,C20005D_025MA,C20005D_026E,C20005D_026EA,C20005D_026M,C20005D_026MA,C20005D_027E,C20005D_027EA,C20005D_027M,C20005D_027MA,C20005D_028E,C20005D_028EA,C20005D_028M,C20005D_028MA,C20005D_029E,C20005D_029EA,C20005D_029M,C20005D_029MA,C20005D_030E,C20005D_030EA,C20005D_030M,C20005D_030MA,C20005D_031E,C20005D_031EA,C20005D_031M,C20005D_031MA,C20005D_032E,C20005D_032EA,C20005D_032M,C20005D_032MA,C20005D_033E,C20005D_033EA,C20005D_033M,C20005D_033MA,C20005D_034E,C20005D_034EA,C20005D_034M,C20005D_034MA,C20005D_035E,C20005D_035EA,C20005D_035M,C20005D_035MA,C20005D_036E,C20005D_036EA,C20005D_036M,C20005D_036MA,C20005D_037E,C20005D_037EA,C20005D_037M,C20005D_037MA,C20005D_038E,C20005D_038EA,C20005D_038M,C20005D_038MA,C20005D_039E,C20005D_039EA,C20005D_039M,C20005D_039MA,GEO_ID,NAME,state
34204,null,2092,null,15651,null,1192,null,9762,null,1042,null,0,null,271,null,9762,null,1042,null,48,null,86,null,967,null,611,null,1236,null,578,null,3540,null,888,null,1604,null,498,null,2367,null,740,null,5889,null,1299,null,2357,null,789,null,3532,null,1077,null,2009,null,894,null,524,null,266,null,251,null,237,null,310,null,292,null,282,null,315,null,156,null,169,null,18553,null,1485,null,6197,null,1209,null,0,null,271,null,6197,null,1209,null,577,null,411,null,1006,null,546,null,1931,null,888,null,1516,null,569,null,950,null,492,null,217,null,198,null,12356,null,1614,null,6683,null,1351,null,5673,null,1133,null,3186,null,970,null,1187,null,503,null,540,null,350,null,620,null,348,null,58,null,96,null,82,null,132,null,0400000US01,Alabama,01
26188,null,1445,null,12350,null,1256,null,5245,null,755,null,0,null,240,null,5245,null,755,null,141,null,126,null,676,null,459,null,1392,null,528,null,1976,null,657,null,712,null,440,null,348,null,234,null,7105,null,1270,null,2148,null,661,null,4957,null,1124,null,1317,null,384,null,1314,null,636,null,1157,null,492,null,649,null,387,null,476,null,410,null,44,null,60,null,13838,null,769,null,6516,null,824,null,0,null,240,null,6516,null,824,null,67,null,119,null,644,null,310,null,2572,null,800,null,2186,null,573,null,982,null,458,null,65,null,73,null,7322,null,778,null,2432,null,515,null,4890,null,744,null,2013,null,528,null,1331,null,437,null,762,null,366,null,488,null,226,null,296,null,380,null,0,null,240,null,0400000US02,Alaska,02
122673,null,2804,null,56930,null,1733,null,35332,null,2081,null,0,null,302,null,35332,null,2081,null,464,null,398,null,4479,null,1359,null,4020,null,1241,null,8706,null,1864,null,7266,null,1382,null,10397,null,1556,null,21598,null,1845,null,9907,null,1596,null,11691,null,1612,null,4657,null,1082,null,2538,null,847,null,1809,null,579,null,1563,null,707,null,548,null,342,null,576,null,394,null,65743,null,2243,null,25144,null,2267,null,0,null,302,null,25144,null,2267,null,360,null,288,null,3834,null,1037,null,5129,null,1346,null,7538,null,1398,null,4621,null,1058,null,3662,null,932,null,40599,null,2383,null,23192,null,2284,null,17407,null,1845,null,8430,null,1667,null,5677,null,1263,null,1148,null,548,null,1185,null,492,null,505,null,270,null,462,null,305,null,0400000US04,Arizona,04
22273,null,1424,null,10689,null,827,null,5271,null,921,null,0,null,269,null,5271,null,921,null,73,null,90,null,627,null,404,null,336,null,288,null,1602,null,742,null,1010,null,573,null,1623,null,563,null,5418,null,1071,null,2639,null,762,null,2779,null,758,null,1327,null,683,null,636,null,290,null,568,null,348,null,92,null,101,null,0,null,269,null,156,null,123,null,11584,null,1118,null,3575,null,697,null,0,null,269,null,3575,null,697,null,0,null,269,null,662,null,394,null,803,null,412,null,1289,null,557,null,726,null,432,null,95,null,146,null,8009,null,989,null,4269,null,971,null,3740,null,1028,null,1861,null,771,null,1148,null,542,null,293,null,208,null,241,null,264,null,34,null,49,null,163,null,154,null,0400000US05,Arkansas,05
3731503,null,9424,null,1767854,null,6721,null,935676,null,11017,null,0,null,294,null,935676,null,11017,null,14674,null,2823,null,68132,null,5044,null,109794,null,5954,null,229295,null,8069,null,201353,null,7096,null,312428,null,8633,null,832178,null,10178,null,474304,null,7866,null,357874,null,9199,null,138792,null,6850,null,81181,null,5065,null,41538,null,3683,null,40843,null,3291,null,27635,null,2840,null,27885,null,2807,null,1963649,null,5097,null,720702,null,10747,null,40,null,70,null,720662,null,10736,null,13704,null,1816,null,72192,null,4267,null,106111,null,6502,null,198448,null,7966,null,161627,null,6096,null,168580,null,5280,null,1242947,null,10246,null,766399,null,10674,null,476548,null,10082,null,202173,null,7629,null,110299,null,5790,null,54916,null,3822,null,57953,null,4008,null,28534,null,2347,null,22673,null,2362,null,0400000US06,California,06
101087,null,2331,null,45391,null,1638,null,27190,null,1810,null,0,null,275,null,27190,null,1810,null,746,null,625,null,2255,null,752,null,5450,null,1440,null,5137,null,1038,null,5560,null,938,null,8042,null,1261,null,18201,null,1934,null,7988,null,1635,null,10213,null,1660,null,3446,null,875,null,2411,null,1081,null,1344,null,497,null,1356,null,526,null,1310,null,694,null,346,null,228,null,55696,null,1603,null,21571,null,1761,null,55,null,90,null,21516,null,1764,null,104,null,105,null,2379,null,663,null,5440,null,1066,null,6062,null,1299,null,4327,null,900,null,3204,null,890,null,34125,null,2167,null,18820,null,1806,null,15305,null,1701,null,6840,null,1323,null,3665,null,872,null,1691,null,656,null,1568,null,513,null,1258,null,617,null,283,null,268,null,0400000US08,Colorado,08
94190,null,1664,null,47381,null,960,null,27670,null,1819,null,0,null,275,null,27670,null,1819,null,360,null,287,null,1050,null,519,null,3004,null,990,null,6646,null,1446,null,6198,null,1065,null,10412,null,1274,null,19711,null,1925,null,7796,null,1327,null,11915,null,1608,null,4453,null,885,null,1769,null,615,null,1370,null,618,null,2226,null,842,null,1130,null,575,null,967,null,440,null,46809,null,1093,null,18599,null,1286,null,0,null,275,null,18599,null,1286,null,189,null,210,null,933,null,468,null,2771,null,749,null,5890,null,1129,null,4160,null,1280,null,4656,null,898,null,28210,null,1755,null,14923,null,1639,null,13287,null,1561,null,6964,null,1364,null,2776,null,798,null,1356,null,441,null,852,null,453,null,761,null,352,null,578,null,322,null,0400000US09,Connecticut,09
19517,null,683,null,9381,null,400,null,6022,null,751,null,0,null,263,null,6022,null,751,null,0,null,263,null,351,null,380,null,663,null,329,null,996,null,527,null,1238,null,524,null,2774,null,671,null,3359,null,722,null,1318,null,460,null,2041,null,683,null,698,null,437,null,395,null,307,null,388,null,362,null,8,null,13,null,186,null,163,null,366,null,244,null,10136,null,495,null,3926,null,658,null,0,null,263,null,3926,null,658,null,144,null,178,null,164,null,127,null,1401,null,504,null,908,null,411,null,591,null,387,null,718,null,401,null,6210,null,783,null,4108,null,753,null,2102,null,657,null,959,null,453,null,254,null,173,null,248,null,198,null,16,null,32,null,347,null,292,null,278,null,196,null,0400000US10,Delaware,10
17377,null,644,null,7627,null,528,null,5165,null,751,null,0,null,296,null,5165,null,751,null,0,null,296,null,301,null,327,null,620,null,612,null,1089,null,593,null,1253,null,587,null,1902,null,609,null,2462,null,685,null,1431,null,619,null,1031,null,423,null,622,null,341,null,0,null,296,null,128,null,155,null,162,null,178,null,57,null,100,null,62,null,105,null,9750,null,401,null,4281,null,713,null,0,null,296,null,4281,null,713,null,72,null,125,null,216,null,249,null,346,null,262,null,1287,null,519,null,1035,null,467,null,1325,null,484,null,5469,null,844,null,2458,null,818,null,3011,null,694,null,1061,null,396,null,691,null,370,null,264,null,265,null,161,null,138,null,406,null,254,null,428,null,253,null,0400000US11,District of Columbia,11
335879,null,4035,null,152492,null,3134,null,90116,null,3970,null,96,null,161,null,90020,null,3975,null,2124,null,931,null,13068,null,2588,null,16900,null,2275,null,23559,null,2481,null,14719,null,1881,null,19650,null,2576,null,62376,null,3384,null,29456,null,2556,null,32920,null,2974,null,13298,null,2027,null,8380,null,1584,null,3806,null,997,null,3732,null,959,null,2183,null,859,null,1521,null,688,null,183387,null,2756,null,72560,null,3797,null,70,null,119,null,72490,null,3801,null,1903,null,678,null,11959,null,1842,null,17734,null,2072,null,18138,null,2036,null,12989,null,1868,null,9767,null,1593,null,110827,null,3970,null,67367,null,3739,null,43460,null,2560,null,19024,null,2220,null,12256,null,1756,null,4462,null,1172,null,4211,null,1041,null,2408,null,1004,null,1099,null,472,null,0400000US12,Florida,12
