B05003C_001E,B05003C_001EA,B05003C_001M,B05003C_001MA,B05003C_002E,B05003C_002EA,B05003C_002M,B05003C_002MA,B05003C_003E,B05003C_003EA,B05003C_003M,B05003C_003MA,B05003C_004E,B05003C_004EA,B05003C_004M,B05003C_004MA,B05003C_005E,B05003C_005EA,B05003C_005M,B05003C_005MA,B05003C_006E,B05003C_006EA,B05003C_006M,B05003C_006MA,B05003C_007E,B05003C_007EA,B05003C_007M,B05003C_007MA,B05003C_008E,B05003C_008EA,B05003C_008M,B05003C_008MA,B05003C_009E,B05003C_009EA,B05003C_009M,B05003C_009MA,B05003C_010E,B05003C_010EA,B05003C_010M,B05003C_010MA,B05003C_011E,B05003C_011EA,B05003C_011M,B05003C_011MA,B05003C_012E,B05003C_012EA,B05003C_012M,B05003C_012MA,B05003C_013E,B05003C_013EA,B05003C_013M,B05003C_013MA,B05003C_014E,B05003C_014EA,B05003C_014M,B05003C_014MA,B05003C_015E,B05003C_015EA,B05003C_015M,B05003C_015MA,B05003C_016E,B05003C_016EA,B05003C_016M,B05003C_016MA,B05003C_017E,B05003C_017EA,B05003C_017M,B05003C_017MA,B05003C_018E,B05003C_018EA,B05003C_018M,B05003C_018MA,B05003C_019E,B05003C_019EA,B05003C_019M,B05003C_019MA,B05003C_020E,B05003C_020EA,B05003C_020M,B05003C_020MA,B05003C_021E,B05003C_021EA,B05003C_021M,B05003C_021MA,B05003C_022E,B05003C_022EA,B05003C_022M,B05003C_022MA,B05003C_023E,B05003C_023EA,B05003C_023M,B05003C_023MA,GEO_ID,NAME,state
23966,null,2966,null,11530,null,1960,null,3078,null,840,null,2985,null,839,null,93,null,133,null,0,null,271,null,93,null,133,null,8452,null,1605,null,7698,null,1438,null,754,null,566,null,0,null,271,null,754,null,566,null,12436,null,1680,null,2922,null,706,null,2910,null,712,null,12,null,23,null,0,null,271,null,12,null,23,null,9514,null,1336,null,9172,null,1306,null,342,null,236,null,153,null,131,null,189,null,160,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
286749,null,6948,null,140124,null,4012,null,47576,null,2578,null,47465,null,2573,null,111,null,131,null,52,null,86,null,59,null,98,null,92548,null,2307,null,91086,null,2327,null,1462,null,496,null,444,null,262,null,1018,null,455,null,146625,null,4032,null,44694,null,2224,null,44642,null,2216,null,52,null,86,null,0,null,302,null,52,null,86,null,101931,null,2634,null,99819,null,2557,null,2112,null,721,null,1010,null,488,null,1102,null,541,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
314380,null,14041,null,158567,null,9293,null,37716,null,3699,null,36700,null,3681,null,1016,null,622,null,46,null,75,null,970,null,616,null,120851,null,7263,null,93308,null,4786,null,27543,null,4347,null,8544,null,1546,null,18999,null,4169,null,155813,null,8137,null,38683,null,3862,null,37810,null,3744,null,873,null,515,null,232,null,195,null,641,null,476,null,117130,null,5499,null,97639,null,4412,null,19491,null,2845,null,8050,null,1884,null,11441,null,2015,null,0400000US06,California,06
47835,null,4454,null,23422,null,2755,null,6776,null,1611,null,6776,null,1611,null,0,null,275,null,0,null,275,null,0,null,275,null,16646,null,1828,null,15761,null,1763,null,885,null,583,null,62,null,83,null,823,null,574,null,24413,null,3094,null,5217,null,1370,null,5217,null,1370,null,0,null,275,null,0,null,275,null,0,null,275,null,19196,null,2455,null,18050,null,2375,null,1146,null,496,null,240,null,256,null,906,null,423,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
47526,null,4877,null,23891,null,3306,null,4971,null,1623,null,4886,null,1601,null,85,null,102,null,0,null,305,null,85,null,102,null,18920,null,2497,null,16695,null,2295,null,2225,null,995,null,726,null,351,null,1499,null,938,null,23635,null,2774,null,5211,null,1176,null,5176,null,1179,null,35,null,52,null,35,null,52,null,0,null,305,null,18424,null,2259,null,16576,null,2181,null,1848,null,766,null,928,null,509,null,920,null,468,null,0400000US12,Florida,12
