B05003B_001E,B05003B_001EA,B05003B_001M,B05003B_001MA,B05003B_002E,B05003B_002EA,B05003B_002M,B05003B_002MA,B05003B_003E,B05003B_003EA,B05003B_003M,B05003B_003MA,B05003B_004E,B05003B_004EA,B05003B_004M,B05003B_004MA,B05003B_005E,B05003B_005EA,B05003B_005M,B05003B_005MA,B05003B_006E,B05003B_006EA,B05003B_006M,B05003B_006MA,B05003B_007E,B05003B_007EA,B05003B_007M,B05003B_007MA,B05003B_008E,B05003B_008EA,B05003B_008M,B05003B_008MA,B05003B_009E,B05003B_009EA,B05003B_009M,B05003B_009MA,B05003B_010E,B05003B_010EA,B05003B_010M,B05003B_010MA,B05003B_011E,B05003B_011EA,B05003B_011M,B05003B_011MA,B05003B_012E,B05003B_012EA,B05003B_012M,B05003B_012MA,B05003B_013E,B05003B_013EA,B05003B_013M,B05003B_013MA,B05003B_014E,B05003B_014EA,B05003B_014M,B05003B_014MA,B05003B_015E,B05003B_015EA,B05003B_015M,B05003B_015MA,B05003B_016E,B05003B_016EA,B05003B_016M,B05003B_016MA,B05003B_017E,B05003B_017EA,B05003B_017M,B05003B_017MA,B05003B_018E,B05003B_018EA,B05003B_018M,B05003B_018MA,B05003B_019E,B05003B_019EA,B05003B_019M,B05003B_019MA,B05003B_020E,B05003B_020EA,B05003B_020M,B05003B_020MA,B05003B_021E,B05003B_021EA,B05003B_021M,B05003B_021MA,B05003B_022E,B05003B_022EA,B05003B_022M,B05003B_022MA,B05003B_023E,B05003B_023EA,B05003B_023M,B05003B_023MA,GEO_ID,NAME,state
1220643,null,5459,null,566475,null,4344,null,170637,null,2929,null,170424,null,2924,null,213,null,272,null,0,null,271,null,213,null,272,null,395838,null,2713,null,391372,null,2895,null,4466,null,1088,null,1708,null,661,null,2758,null,1031,null,654168,null,4451,null,169299,null,3417,null,169193,null,3389,null,106,null,136,null,0,null,271,null,106,null,136,null,484869,null,2342,null,481355,null,2597,null,3514,null,990,null,1091,null,504,null,2423,null,860,null,0400000US01,Alabama,01
24883,null,3362,null,13591,null,1847,null,3609,null,1109,null,3106,null,1024,null,503,null,781,null,503,null,781,null,0,null,240,null,9982,null,1492,null,8705,null,1397,null,1277,null,658,null,458,null,265,null,819,null,553,null,11292,null,2048,null,3227,null,1194,null,3023,null,1064,null,204,null,344,null,204,null,344,null,0,null,240,null,8065,null,1205,null,7191,null,1170,null,874,null,518,null,661,null,461,null,213,null,219,null,0400000US02,Alaska,02
235758,null,5217,null,125234,null,3096,null,39632,null,2267,null,36536,null,2716,null,3096,null,1388,null,435,null,521,null,2661,null,1285,null,85602,null,1882,null,75998,null,2644,null,9604,null,1856,null,2339,null,853,null,7265,null,1884,null,110524,null,3284,null,33939,null,2421,null,31725,null,2494,null,2214,null,1091,null,330,null,331,null,1884,null,1045,null,76585,null,1893,null,68727,null,2487,null,7858,null,1855,null,2710,null,1087,null,5148,null,1658,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
2260601,null,14054,null,1115979,null,9567,null,302573,null,6611,null,295790,null,6781,null,6783,null,1959,null,1670,null,935,null,5113,null,1766,null,813406,null,5647,null,745034,null,6251,null,68372,null,6046,null,34857,null,3389,null,33515,null,4616,null,1144622,null,7863,null,285105,null,4580,null,280038,null,4516,null,5067,null,1366,null,1076,null,848,null,3991,null,1181,null,859517,null,5405,null,793111,null,7102,null,66406,null,5099,null,35367,null,3602,null,31039,null,3467,null,0400000US06,California,06
187556,null,4562,null,99045,null,2986,null,26386,null,2056,null,24386,null,2043,null,2000,null,1126,null,454,null,414,null,1546,null,955,null,72659,null,2271,null,63417,null,2322,null,9242,null,1939,null,3872,null,1189,null,5370,null,1389,null,88511,null,3024,null,26827,null,1868,null,24961,null,2032,null,1866,null,903,null,755,null,629,null,1111,null,573,null,61684,null,2032,null,53422,null,2134,null,8262,null,1669,null,3021,null,836,null,5241,null,1359,null,0400000US08,Colorado,08
331149,null,5145,null,158159,null,3061,null,46972,null,2071,null,45402,null,2146,null,1570,null,571,null,132,null,119,null,1438,null,568,null,111187,null,2386,null,84069,null,3545,null,27118,null,2718,null,11283,null,1727,null,15835,null,2226,null,172990,null,3200,null,45095,null,2009,null,43136,null,2146,null,1959,null,693,null,168,null,162,null,1791,null,688,null,127895,null,2169,null,95488,null,2855,null,32407,null,2805,null,19063,null,2292,null,13344,null,2029,null,0400000US09,Connecticut,09
179664,null,2808,null,84000,null,1987,null,25057,null,1673,null,24113,null,1726,null,944,null,711,null,174,null,287,null,770,null,675,null,58943,null,859,null,54400,null,1493,null,4543,null,1501,null,1669,null,873,null,2874,null,1114,null,95664,null,1302,null,25283,null,853,null,24901,null,1014,null,382,null,499,null,0,null,263,null,382,null,499,null,70381,null,965,null,64072,null,1611,null,6309,null,1547,null,2376,null,844,null,3933,null,1307,null,0400000US10,Delaware,10
316278,null,3298,null,142350,null,1811,null,36804,null,1185,null,36494,null,1248,null,310,null,308,null,127,null,149,null,183,null,267,null,105546,null,1310,null,96648,null,1987,null,8898,null,1647,null,3593,null,998,null,5305,null,1325,null,173928,null,1804,null,35941,null,871,null,35733,null,950,null,208,null,256,null,0,null,296,null,208,null,256,null,137987,null,1324,null,128624,null,2621,null,9363,null,2089,null,4455,null,1327,null,4908,null,1448,null,0400000US11,District of Columbia,11
2815369,null,12463,null,1353959,null,7811,null,412681,null,6147,null,394254,null,6612,null,18427,null,2687,null,3890,null,1088,null,14537,null,2416,null,941278,null,5750,null,701992,null,9595,null,239286,null,8227,null,111916,null,6145,null,127370,null,6966,null,1461410,null,8406,null,397505,null,5490,null,377482,null,5933,null,20023,null,2454,null,2487,null,901,null,17536,null,2365,null,1063905,null,5737,null,793442,null,8157,null,270463,null,8202,null,145591,null,6105,null,124872,null,6852,null,0400000US12,Florida,12
2904035,null,10163,null,1372807,null,6239,null,429668,null,4165,null,423934,null,4430,null,5734,null,1624,null,2118,null,849,null,3616,null,1349,null,943139,null,4096,null,872471,null,6006,null,70668,null,5762,null,38073,null,3513,null,32595,null,4577,null,1531228,null,6875,null,410972,null,4751,null,405465,null,5150,null,5507,null,1795,null,1306,null,633,null,4201,null,1690,null,1120256,null,4298,null,1051820,null,7066,null,68436,null,5345,null,39561,null,4356,null,28875,null,3313,null,0400000US13,Georgia,13
30666,null,3778,null,17684,null,2931,null,3964,null,2138,null,3898,null,2094,null,66,null,112,null,0,null,275,null,66,null,112,null,13720,null,1286,null,12230,null,1189,null,1490,null,1175,null,296,null,285,null,1194,null,1119,null,12982,null,2059,null,3727,null,1813,null,3690,null,1796,null,37,null,68,null,0,null,275,null,37,null,68,null,9255,null,711,null,8280,null,903,null,975,null,635,null,393,null,529,null,582,null,474,null,0400000US15,Hawaii,15
7958,null,1361,null,5063,null,925,null,2240,null,657,null,1896,null,715,null,344,null,293,null,64,null,80,null,280,null,289,null,2823,null,656,null,2282,null,725,null,541,null,407,null,200,null,198,null,341,null,303,null,2895,null,674,null,1254,null,447,null,541,null,309,null,713,null,406,null,130,null,171,null,583,null,408,null,1641,null,381,null,1036,null,469,null,605,null,269,null,212,null,215,null,393,null,245,null,0400000US16,Idaho,16
1880617,null,12552,null,875214,null,5504,null,270374,null,3416,null,267960,null,3570,null,2414,null,1151,null,234,null,217,null,2180,null,1125,null,604840,null,4184,null,574865,null,6316,null,29975,null,4625,null,13067,null,2416,null,16908,null,3698,null,1005403,null,9747,null,266369,null,4457,null,263937,null,4386,null,2432,null,887,null,371,null,272,null,2061,null,898,null,739034,null,8120,null,716061,null,8328,null,22973,null,2850,null,11139,null,1835,null,11834,null,2038,null,0400000US17,Illinois,17
547483,null,4725,null,261252,null,3343,null,81119,null,2547,null,80713,null,2531,null,406,null,327,null,0,null,265,null,406,null,327,null,180133,null,2335,null,174246,null,2745,null,5887,null,1330,null,2549,null,928,null,3338,null,974,null,286231,null,3415,null,79929,null,2564,null,79250,null,2590,null,679,null,416,null,223,null,188,null,456,null,342,null,206302,null,2196,null,201409,null,2511,null,4893,null,1282,null,1865,null,802,null,3028,null,1054,null,0400000US18,Indiana,18
76221,null,3205,null,40201,null,2566,null,13067,null,1846,null,11903,null,1822,null,1164,null,984,null,195,null,247,null,969,null,978,null,27134,null,1492,null,23923,null,1497,null,3211,null,1050,null,711,null,542,null,2500,null,956,null,36020,null,2520,null,12487,null,1784,null,11467,null,1662,null,1020,null,724,null,495,null,667,null,525,null,642,null,23533,null,1298,null,21963,null,1381,null,1570,null,553,null,944,null,434,null,626,null,479,null,0400000US19,Iowa,19
157596,null,4508,null,79512,null,2870,null,23785,null,2110,null,23673,null,2110,null,112,null,159,null,82,null,149,null,30,null,49,null,55727,null,1960,null,51944,null,2093,null,3783,null,1019,null,1620,null,655,null,2163,null,944,null,78084,null,2737,null,22560,null,1753,null,22343,null,1727,null,217,null,147,null,74,null,97,null,143,null,119,null,55524,null,1722,null,52932,null,1733,null,2592,null,839,null,801,null,383,null,1791,null,786,null,0400000US20,Kansas,20
316828,null,5036,null,153710,null,3486,null,42915,null,1842,null,42779,null,1861,null,136,null,143,null,83,null,110,null,53,null,88,null,110795,null,2851,null,107266,null,2893,null,3529,null,1519,null,1385,null,950,null,2144,null,848,null,163118,null,3620,null,44099,null,2157,null,43642,null,2182,null,457,null,402,null,92,null,108,null,365,null,390,null,119019,null,2695,null,116840,null,2702,null,2179,null,923,null,603,null,327,null,1576,null,786,null,0400000US21,Kentucky,21
1405062,null,5377,null,665336,null,3841,null,219895,null,3147,null,219781,null,3165,null,114,null,133,null,42,null,76,null,72,null,113,null,445441,null,2340,null,440408,null,2518,null,5033,null,1374,null,2050,null,762,null,2983,null,1145,null,739726,null,4344,null,202556,null,3393,null,202484,null,3405,null,72,null,110,null,0,null,277,null,72,null,110,null,537170,null,2425,null,533537,null,2566,null,3633,null,1068,null,1957,null,760,null,1676,null,752,null,0400000US22,Louisiana,22
12332,null,1681,null,7581,null,1206,null,3277,null,898,null,2814,null,809,null,463,null,352,null,55,null,66,null,408,null,356,null,4304,null,709,null,2815,null,798,null,1489,null,476,null,293,null,287,null,1196,null,532,null,4751,null,860,null,1986,null,513,null,1638,null,566,null,348,null,260,null,96,null,133,null,252,null,221,null,2765,null,697,null,1697,null,714,null,1068,null,425,null,417,null,305,null,651,null,415,null,0400000US23,Maine,23
1625411,null,7029,null,758629,null,4290,null,217412,null,2896,null,211545,null,2867,null,5867,null,1270,null,1436,null,640,null,4431,null,1194,null,541217,null,2817,null,469438,null,5275,null,71779,null,4619,null,32476,null,3427,null,39303,null,3824,null,866782,null,4396,null,204791,null,2878,null,200083,null,3243,null,4708,null,1201,null,824,null,470,null,3884,null,1047,null,661991,null,2810,null,584650,null,6181,null,77341,null,5492,null,36668,null,3373,null,40673,null,4131,null,0400000US24,Maryland,24
406998,null,8730,null,199525,null,4748,null,59316,null,2426,null,53526,null,2817,null,5790,null,1773,null,2550,null,1357,null,3240,null,1221,null,140209,null,3346,null,82541,null,3779,null,57668,null,3508,null,26722,null,2408,null,30946,null,2670,null,207473,null,5124,null,55574,null,2942,null,51821,null,2989,null,3753,null,1140,null,1112,null,604,null,2641,null,913,null,151899,null,3058,null,87553,null,3566,null,64346,null,3252,null,36059,null,2785,null,28287,null,2624,null,0400000US25,Massachusetts,25
1388878,null,7624,null,656633,null,5481,null,203606,null,3605,null,201830,null,3811,null,1776,null,804,null,410,null,331,null,1366,null,700,null,453027,null,3954,null,442525,null,4271,null,10502,null,2597,null,3594,null,1071,null,6908,null,2299,null,732245,null,4152,null,193364,null,3224,null,191587,null,3146,null,1777,null,680,null,364,null,274,null,1413,null,588,null,538881,null,2958,null,529251,null,3440,null,9630,null,1822,null,3683,null,931,null,5947,null,1524,null,0400000US26,Michigan,26
230599,null,3872,null,121587,null,2689,null,40096,null,1982,null,35610,null,2148,null,4486,null,1122,null,1083,null,652,null,3403,null,1030,null,81491,null,1963,null,55252,null,3181,null,26239,null,2764,null,10731,null,1761,null,15508,null,2196,null,109012,null,2658,null,36730,null,1799,null,30599,null,2035,null,6131,null,1461,null,1652,null,951,null,4479,null,1245,null,72282,null,1746,null,47874,null,2914,null,24408,null,2537,null,9280,null,1505,null,15128,null,2296,null,0400000US27,Minnesota,27
1101494,null,5722,null,521609,null,4874,null,175975,null,3326,null,175661,null,3332,null,314,null,376,null,29,null,58,null,285,null,385,null,345634,null,3300,null,344499,null,3310,null,1135,null,534,null,310,null,237,null,825,null,472,null,579885,null,4100,null,164686,null,2985,null,164496,null,3040,null,190,null,247,null,0,null,287,null,190,null,247,null,415199,null,2446,null,413973,null,2656,null,1226,null,1016,null,116,null,148,null,1110,null,976,null,0400000US28,Mississippi,28
