C17010B_001E,C17010B_001EA,C17010B_001M,C17010B_001MA,C17010B_002E,C17010B_002EA,C17010B_002M,C17010B_002MA,C17010B_003E,C17010B_003EA,C17010B_003M,C17010B_003MA,C17010B_004E,C17010B_004EA,C17010B_004M,C17010B_004MA,C17010B_005E,C17010B_005EA,C17010B_005M,C17010B_005MA,C17010B_006E,C17010B_006EA,C17010B_006M,C17010B_006MA,C17010B_007E,C17010B_007EA,C17010B_007M,C17010B_007MA,C17010B_008E,C17010B_008EA,C17010B_008M,C17010B_008MA,C17010B_009E,C17010B_009EA,C17010B_009M,C17010B_009MA,C17010B_010E,C17010B_010EA,C17010B_010M,C17010B_010MA,C17010B_011E,C17010B_011EA,C17010B_011M,C17010B_011MA,C17010B_012E,C17010B_012EA,C17010B_012M,C17010B_012MA,C17010B_013E,C17010B_013EA,C17010B_013M,C17010B_013MA,C17010B_014E,C17010B_014EA,C17010B_014M,C17010B_014MA,C17010B_015E,C17010B_015EA,C17010B_015M,C17010B_015MA,C17010B_016E,C17010B_016EA,C17010B_016M,C17010B_016MA,C17010B_017E,C17010B_017EA,C17010B_017M,C17010B_017MA,GEO_ID,NAME,state
286421,null,5940,null,71238,null,4323,null,9779,null,1596,null,5624,null,1282,null,61459,null,4144,null,5755,null,1645,null,3834,null,1353,null,55704,null,4052,null,48090,null,3719,null,215183,null,5188,null,122577,null,5620,null,60722,null,4352,null,92606,null,4215,null,14913,null,1721,null,6101,null,1217,null,77693,null,4087,null,48346,null,3326,null,0400000US01,Alabama,01
5326,null,1067,null,361,null,331,null,0,null,240,null,0,null,240,null,361,null,331,null,313,null,347,null,313,null,347,null,48,null,81,null,48,null,81,null,4965,null,1086,null,2778,null,808,null,1735,null,672,null,2187,null,760,null,822,null,518,null,753,null,540,null,1365,null,574,null,734,null,364,null,0400000US02,Alaska,02
48310,null,2581,null,7154,null,1497,null,1608,null,591,null,1071,null,518,null,5546,null,1356,null,1389,null,741,null,1283,null,725,null,4157,null,1099,null,3666,null,1009,null,41156,null,2526,null,21964,null,1794,null,12055,null,1673,null,19192,null,2039,null,6501,null,1328,null,3671,null,1147,null,12691,null,1561,null,8441,null,1562,null,0400000US04,Arizona,04
105997,null,3661,null,32398,null,3429,null,4423,null,1145,null,2552,null,888,null,27975,null,3206,null,2199,null,843,null,1810,null,793,null,25776,null,3119,null,22910,null,2847,null,73599,null,3799,null,37067,null,3189,null,16658,null,2409,null,36532,null,2783,null,8140,null,1867,null,3950,null,1448,null,28392,null,2399,null,20209,null,2042,null,0400000US05,Arkansas,05
477153,null,7617,null,80542,null,4644,null,11524,null,1850,null,7934,null,1706,null,69018,null,4509,null,13388,null,1924,null,11026,null,1852,null,55630,null,4303,null,48462,null,4101,null,396611,null,8020,null,201076,null,7520,null,101362,null,5959,null,195535,null,7149,null,45789,null,4348,null,25914,null,3401,null,149746,null,5334,null,98265,null,4965,null,0400000US06,California,06
41495,null,2675,null,7331,null,1683,null,2137,null,734,null,1316,null,637,null,5194,null,1437,null,758,null,482,null,585,null,427,null,4436,null,1270,null,4147,null,1209,null,34164,null,2606,null,20702,null,1956,null,10541,null,1430,null,13462,null,2087,null,4373,null,1252,null,2667,null,950,null,9089,null,1462,null,5953,null,1160,null,0400000US08,Colorado,08
76350,null,3104,null,14205,null,2055,null,1378,null,596,null,555,null,367,null,12827,null,1886,null,1714,null,758,null,1227,null,680,null,11113,null,1879,null,10077,null,1663,null,62145,null,2758,null,31562,null,2303,null,17275,null,1923,null,30583,null,2609,null,6317,null,1552,null,3148,null,1185,null,24266,null,2303,null,15930,null,1961,null,0400000US09,Connecticut,09
42783,null,2166,null,5966,null,1374,null,958,null,562,null,657,null,504,null,5008,null,1280,null,658,null,623,null,617,null,617,null,4350,null,1147,null,3724,null,1033,null,36817,null,2162,null,18311,null,1626,null,10012,null,1420,null,18506,null,2080,null,3343,null,1122,null,1971,null,857,null,15163,null,1823,null,10192,null,1622,null,0400000US10,Delaware,10
63406,null,2941,null,12694,null,1834,null,1245,null,650,null,363,null,360,null,11449,null,1796,null,949,null,513,null,864,null,505,null,10500,null,1764,null,8956,null,1650,null,50712,null,2880,null,17945,null,2141,null,7211,null,1369,null,32767,null,2517,null,5341,null,1022,null,2458,null,841,null,27426,null,2380,null,16200,null,2156,null,0400000US11,District of Columbia,11
622586,null,10241,null,115434,null,6454,null,21701,null,2845,null,13794,null,2152,null,93733,null,6001,null,12244,null,2096,null,9259,null,1782,null,81489,null,5553,null,71348,null,5198,null,507152,null,10542,null,273937,null,7805,null,143884,null,7397,null,233215,null,9385,null,50509,null,4260,null,27141,null,2977,null,182706,null,7724,null,126505,null,6353,null,0400000US12,Florida,12
652994,null,10487,null,126985,null,5192,null,17908,null,2502,null,12082,null,2101,null,109077,null,5406,null,10530,null,1959,null,6863,null,1723,null,98547,null,4999,null,85867,null,5038,null,526009,null,10064,null,289206,null,7290,null,154372,null,6189,null,236803,null,7669,null,43068,null,4139,null,23270,null,2803,null,193735,null,7409,null,133045,null,6524,null,0400000US13,Georgia,13
