B14007D_001E,B14007D_001EA,B14007D_001M,B14007D_001MA,B14007D_002E,B14007D_002EA,B14007D_002M,B14007D_002MA,B14007D_003E,B14007D_003EA,B14007D_003M,B14007D_003MA,B14007D_004E,B14007D_004EA,B14007D_004M,B14007D_004MA,B14007D_005E,B14007D_005EA,B14007D_005M,B14007D_005MA,B14007D_006E,B14007D_006EA,B14007D_006M,B14007D_006MA,B14007D_007E,B14007D_007EA,B14007D_007M,B14007D_007MA,B14007D_008E,B14007D_008EA,B14007D_008M,B14007D_008MA,B14007D_009E,B14007D_009EA,B14007D_009M,B14007D_009MA,B14007D_010E,B14007D_010EA,B14007D_010M,B14007D_010MA,B14007D_011E,B14007D_011EA,B14007D_011M,B14007D_011MA,B14007D_012E,B14007D_012EA,B14007D_012M,B14007D_012MA,B14007D_013E,B14007D_013EA,B14007D_013M,B14007D_013MA,B14007D_014E,B14007D_014EA,B14007D_014M,B14007D_014MA,B14007D_015E,B14007D_015EA,B14007D_015M,B14007D_015MA,B14007D_016E,B14007D_016EA,B14007D_016M,B14007D_016MA,B14007D_017E,B14007D_017EA,B14007D_017M,B14007D_017MA,B14007D_018E,B14007D_018EA,B14007D_018M,B14007D_018MA,B14007D_019E,B14007D_019EA,B14007D_019M,B14007D_019MA,GEO_ID,NAME,state
43559,null,2391,null,15775,null,2135,null,931,null,418,null,1087,null,560,null,861,null,392,null,625,null,405,null,585,null,472,null,906,null,479,null,474,null,276,null,465,null,442,null,416,null,249,null,1190,null,514,null,429,null,269,null,355,null,328,null,564,null,383,null,685,null,367,null,3311,null,974,null,2891,null,1132,null,27784,null,2361,null,0400000US01,Alabama,01
31358,null,1781,null,8143,null,1034,null,46,null,87,null,227,null,186,null,639,null,337,null,235,null,158,null,836,null,441,null,259,null,207,null,395,null,237,null,206,null,220,null,422,null,221,null,263,null,157,null,458,null,246,null,441,null,213,null,610,null,351,null,996,null,409,null,1754,null,537,null,356,null,312,null,23215,null,1600,null,0400000US02,Alaska,02
146818,null,4123,null,40666,null,2971,null,1587,null,512,null,1798,null,625,null,2101,null,807,null,1457,null,525,null,2469,null,807,null,1879,null,746,null,1004,null,527,null,1972,null,811,null,1286,null,633,null,2931,null,1123,null,2110,null,750,null,1261,null,555,null,1651,null,617,null,1927,null,605,null,11113,null,1885,null,4120,null,1073,null,106152,null,3325,null,0400000US04,Arizona,04
28345,null,2084,null,9769,null,1891,null,1001,null,605,null,105,null,135,null,359,null,314,null,243,null,230,null,456,null,348,null,351,null,240,null,333,null,281,null,544,null,281,null,375,null,411,null,540,null,302,null,929,null,476,null,345,null,178,null,419,null,265,null,963,null,547,null,2287,null,1039,null,519,null,362,null,18576,null,1463,null,0400000US05,Arkansas,05
4393495,null,12471,null,1258297,null,13263,null,65622,null,4045,null,51223,null,3374,null,48695,null,3104,null,49557,null,2861,null,48311,null,3072,null,50771,null,3165,null,53115,null,3217,null,48299,null,3373,null,49493,null,3100,null,52634,null,3758,null,53766,null,2981,null,53261,null,2944,null,54158,null,3336,null,67100,null,3987,null,403785,null,9708,null,108507,null,6577,null,3135198,null,12360,null,0400000US06,California,06
122015,null,3365,null,35122,null,2831,null,1882,null,612,null,1493,null,545,null,1483,null,566,null,1982,null,688,null,2100,null,697,null,1292,null,487,null,1735,null,669,null,1296,null,604,null,1399,null,659,null,1307,null,500,null,1452,null,573,null,1505,null,522,null,1380,null,526,null,1446,null,628,null,9700,null,1564,null,3670,null,1101,null,86893,null,2678,null,0400000US08,Colorado,08
115759,null,2502,null,37383,null,2128,null,2668,null,660,null,1469,null,443,null,2167,null,742,null,1539,null,477,null,1125,null,406,null,1761,null,440,null,1477,null,502,null,2057,null,581,null,1786,null,575,null,1521,null,432,null,1536,null,448,null,1000,null,376,null,1972,null,447,null,1352,null,410,null,8849,null,1134,null,5104,null,1337,null,78376,null,1914,null,0400000US09,Connecticut,09
23913,null,847,null,7256,null,1017,null,593,null,245,null,864,null,376,null,493,null,365,null,597,null,333,null,219,null,216,null,94,null,126,null,135,null,155,null,506,null,310,null,159,null,251,null,117,null,141,null,284,null,248,null,216,null,178,null,366,null,221,null,494,null,326,null,933,null,540,null,1186,null,713,null,16657,null,1039,null,0400000US10,Delaware,10
19367,null,670,null,5614,null,1028,null,235,null,229,null,286,null,288,null,0,null,296,null,241,null,196,null,68,null,117,null,205,null,167,null,0,null,296,null,257,null,204,null,0,null,296,null,280,null,246,null,150,null,147,null,54,null,107,null,117,null,142,null,0,null,296,null,1936,null,644,null,1785,null,821,null,13753,null,1036,null,0400000US11,District of Columbia,11
403397,null,4922,null,110603,null,4468,null,7043,null,1376,null,4481,null,937,null,5449,null,1151,null,5128,null,1036,null,5813,null,1199,null,5343,null,921,null,5126,null,1112,null,4076,null,1078,null,5494,null,1260,null,5436,null,1419,null,5401,null,1002,null,3931,null,845,null,5236,null,1176,null,4881,null,1290,null,26652,null,2839,null,11113,null,1891,null,292794,null,5038,null,0400000US12,Florida,12
266009,null,4776,null,81273,null,3366,null,4933,null,1170,null,4702,null,1132,null,3444,null,912,null,5164,null,1164,null,2789,null,859,null,5385,null,1058,null,3497,null,1016,null,3974,null,929,null,3152,null,908,null,3261,null,815,null,3721,null,1086,null,4193,null,1069,null,3177,null,746,null,3068,null,767,null,18536,null,2038,null,8277,null,1737,null,184736,null,4359,null,0400000US13,Georgia,13
484822,null,8754,null,90058,null,4819,null,4408,null,1058,null,2725,null,805,null,3955,null,965,null,2580,null,818,null,4646,null,999,null,3182,null,1020,null,2929,null,677,null,3924,null,894,null,3751,null,807,null,3827,null,976,null,4833,null,1096,null,5471,null,1246,null,3423,null,814,null,7942,null,1405,null,27741,null,3146,null,4721,null,1120,null,394764,null,6734,null,0400000US15,Hawaii,15
18050,null,1879,null,6357,null,1321,null,473,null,290,null,250,null,196,null,167,null,132,null,291,null,256,null,194,null,145,null,341,null,271,null,90,null,112,null,530,null,297,null,392,null,263,null,206,null,199,null,452,null,463,null,248,null,232,null,247,null,305,null,279,null,260,null,1765,null,830,null,432,null,261,null,11693,null,1156,null,0400000US16,Idaho,16
