B19001B_001E,B19001B_001EA,B19001B_001M,B19001B_001MA,B19001B_002E,B19001B_002EA,B19001B_002M,B19001B_002MA,B19001B_003E,B19001B_003EA,B19001B_003M,B19001B_003MA,B19001B_004E,B19001B_004EA,B19001B_004M,B19001B_004MA,B19001B_005E,B19001B_005EA,B19001B_005M,B19001B_005MA,B19001B_006E,B19001B_006EA,B19001B_006M,B19001B_006MA,B19001B_007E,B19001B_007EA,B19001B_007M,B19001B_007MA,B19001B_008E,B19001B_008EA,B19001B_008M,B19001B_008MA,B19001B_009E,B19001B_009EA,B19001B_009M,B19001B_009MA,B19001B_010E,B19001B_010EA,B19001B_010M,B19001B_010MA,B19001B_011E,B19001B_011EA,B19001B_011M,B19001B_011MA,B19001B_012E,B19001B_012EA,B19001B_012M,B19001B_012MA,B19001B_013E,B19001B_013EA,B19001B_013M,B19001B_013MA,B19001B_014E,B19001B_014EA,B19001B_014M,B19001B_014MA,B19001B_015E,B19001B_015EA,B19001B_015M,B19001B_015MA,B19001B_016E,B19001B_016EA,B19001B_016M,B19001B_016MA,B19001B_017E,B19001B_017EA,B19001B_017M,B19001B_017MA,GEO_ID,NAME,state
451795,null,6440,null,77934,null,4268,null,46947,null,3169,null,41746,null,3454,null,39217,null,3170,null,33059,null,3753,null,29344,null,2508,null,25024,null,2378,null,21092,null,2718,null,17944,null,2189,null,27889,null,2759,null,33347,null,2731,null,30891,null,2700,null,15163,null,2034,null,5746,null,1011,null,3936,null,1005,null,2516,null,800,null,0400000US01,Alabama,01
7643,null,1183,null,406,null,377,null,209,null,271,null,378,null,239,null,214,null,253,null,409,null,379,null,248,null,288,null,559,null,397,null,931,null,509,null,93,null,101,null,903,null,528,null,1155,null,585,null,773,null,513,null,311,null,257,null,481,null,305,null,573,null,447,null,0,null,240,null,0400000US02,Alaska,02
75831,null,2981,null,8106,null,1579,null,3913,null,1122,null,4793,null,1170,null,4779,null,1067,null,3567,null,879,null,4581,null,1102,null,4905,null,1241,null,5326,null,1164,null,3711,null,1071,null,7059,null,1592,null,6845,null,1478,null,8093,null,1502,null,5320,null,1241,null,1444,null,643,null,1784,null,763,null,1605,null,674,null,0400000US04,Arizona,04
168867,null,4410,null,34512,null,3063,null,18934,null,2475,null,16248,null,2339,null,17073,null,2151,null,11228,null,1880,null,11499,null,1892,null,10051,null,1993,null,7112,null,1272,null,5984,null,1141,null,11188,null,2095,null,8874,null,1476,null,9917,null,1744,null,3718,null,1190,null,1221,null,539,null,493,null,277,null,815,null,486,null,0400000US05,Arkansas,05
794033,null,10381,null,83306,null,5385,null,70456,null,4048,null,45862,null,3620,null,45722,null,3640,null,42264,null,3471,null,43547,null,3539,null,37369,null,3290,null,39301,null,3764,null,32955,null,3464,null,60368,null,4261,null,71974,null,4435,null,82309,null,4485,null,57553,null,3477,null,29849,null,2426,null,29734,null,2820,null,21464,null,2335,null,0400000US06,California,06
71916,null,2765,null,9716,null,1661,null,6335,null,1430,null,4320,null,1196,null,4844,null,1136,null,5070,null,1427,null,4952,null,1498,null,3515,null,927,null,3489,null,1040,null,2021,null,717,null,4882,null,1078,null,7003,null,1410,null,6861,null,1143,null,3965,null,804,null,2240,null,798,null,1094,null,495,null,1609,null,882,null,0400000US08,Colorado,08
115174,null,3588,null,15740,null,1990,null,5404,null,1077,null,5419,null,1174,null,6232,null,1195,null,6846,null,1376,null,6862,null,1733,null,5689,null,1343,null,4256,null,1112,null,5818,null,1280,null,10640,null,1750,null,11998,null,1692,null,12310,null,1888,null,8234,null,1573,null,3645,null,819,null,3179,null,856,null,2902,null,909,null,0400000US09,Connecticut,09
63689,null,2595,null,6226,null,1357,null,4050,null,1255,null,3908,null,1032,null,4447,null,1366,null,3745,null,1006,null,4015,null,1280,null,4209,null,1400,null,2972,null,893,null,2924,null,807,null,5422,null,1052,null,6375,null,1329,null,7995,null,1346,null,3964,null,1027,null,1768,null,612,null,958,null,428,null,711,null,478,null,0400000US10,Delaware,10
126831,null,2803,null,20673,null,2257,null,7893,null,1351,null,8216,null,1458,null,5533,null,1364,null,6009,null,1156,null,8751,null,1681,null,7169,null,1326,null,9387,null,1407,null,4621,null,1355,null,9409,null,1722,null,10574,null,1608,null,12614,null,1609,null,6618,null,1249,null,3471,null,960,null,3124,null,769,null,2769,null,701,null,0400000US11,District of Columbia,11
935761,null,11089,null,114392,null,6853,null,69138,null,3838,null,66710,null,5302,null,74523,null,5105,null,71723,null,4661,null,67286,null,5610,null,62747,null,3881,null,50041,null,4526,null,43003,null,3135,null,74345,null,4841,null,82008,null,5453,null,85826,null,4790,null,38647,null,3281,null,15767,null,2329,null,12909,null,1668,null,6696,null,1273,null,0400000US12,Florida,12
