B05003G_001E,B05003G_001EA,B05003G_001M,B05003G_001MA,B05003G_002E,B05003G_002EA,B05003G_002M,B05003G_002MA,B05003G_003E,B05003G_003EA,B05003G_003M,B05003G_003MA,B05003G_004E,B05003G_004EA,B05003G_004M,B05003G_004MA,B05003G_005E,B05003G_005EA,B05003G_005M,B05003G_005MA,B05003G_006E,B05003G_006EA,B05003G_006M,B05003G_006MA,B05003G_007E,B05003G_007EA,B05003G_007M,B05003G_007MA,B05003G_008E,B05003G_008EA,B05003G_008M,B05003G_008MA,B05003G_009E,B05003G_009EA,B05003G_009M,B05003G_009MA,B05003G_010E,B05003G_010EA,B05003G_010M,B05003G_010MA,B05003G_011E,B05003G_011EA,B05003G_011M,B05003G_011MA,B05003G_012E,B05003G_012EA,B05003G_012M,B05003G_012MA,B05003G_013E,B05003G_013EA,B05003G_013M,B05003G_013MA,B05003G_014E,B05003G_014EA,B05003G_014M,B05003G_014MA,B05003G_015E,B05003G_015EA,B05003G_015M,B05003G_015MA,B05003G_016E,B05003G_016EA,B05003G_016M,B05003G_016MA,B05003G_017E,B05003G_017EA,B05003G_017M,B05003G_017MA,B05003G_018E,B05003G_018EA,B05003G_018M,B05003G_018MA,B05003G_019E,B05003G_019EA,B05003G_019M,B05003G_019MA,B05003G_020E,B05003G_020EA,B05003G_020M,B05003G_020MA,B05003G_021E,B05003G_021EA,B05003G_021M,B05003G_021MA,B05003G_022E,B05003G_022EA,B05003G_022M,B05003G_022MA,B05003G_023E,B05003G_023EA,B05003G_023M,B05003G_023MA,GEO_ID,NAME,state
60615,null,5519,null,31300,null,3471,null,14594,null,2226,null,14575,null,2221,null,19,null,32,null,0,null,271,null,19,null,32,null,16706,null,2406,null,16023,null,2468,null,683,null,394,null,422,null,310,null,261,null,208,null,29315,null,3450,null,12704,null,2400,null,12638,null,2390,null,66,null,122,null,0,null,271,null,66,null,122,null,16611,null,2125,null,15491,null,2040,null,1120,null,508,null,308,null,238,null,812,null,508,null,0400000US01,Alabama,01
55613,null,4357,null,28058,null,2603,null,13257,null,1721,null,13161,null,1692,null,96,null,152,null,96,null,152,null,0,null,240,null,14801,null,1819,null,13952,null,1681,null,849,null,470,null,593,null,443,null,256,null,168,null,27555,null,2899,null,14091,null,1811,null,14091,null,1811,null,0,null,240,null,0,null,240,null,0,null,240,null,13464,null,1769,null,12717,null,1666,null,747,null,560,null,264,null,259,null,483,null,491,null,0400000US02,Alaska,02
167353,null,9487,null,83373,null,5439,null,45661,null,3789,null,45212,null,3807,null,449,null,327,null,0,null,302,null,449,null,327,null,37712,null,3210,null,34093,null,3061,null,3619,null,994,null,1837,null,678,null,1782,null,685,null,83980,null,6167,null,44162,null,4367,null,43744,null,4366,null,418,null,256,null,78,null,130,null,340,null,270,null,39818,null,3402,null,35514,null,3177,null,4304,null,1084,null,2838,null,846,null,1466,null,626,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
1310498,null,26071,null,654358,null,15449,null,316863,null,9966,null,313741,null,9761,null,3122,null,1079,null,560,null,368,null,2562,null,1018,null,337495,null,10052,null,282485,null,9075,null,55010,null,4465,null,30284,null,3428,null,24726,null,2769,null,656140,null,16000,null,299245,null,10235,null,295205,null,10179,null,4040,null,1116,null,948,null,406,null,3092,null,999,null,356895,null,9362,null,300144,null,8747,null,56751,null,3606,null,32474,null,2234,null,24277,null,2868,null,0400000US06,California,06
152134,null,8663,null,75827,null,5065,null,35891,null,4040,null,35651,null,4027,null,240,null,244,null,0,null,275,null,240,null,244,null,39936,null,3105,null,36775,null,2957,null,3161,null,818,null,1508,null,552,null,1653,null,721,null,76307,null,5365,null,36512,null,3407,null,36056,null,3286,null,456,null,520,null,91,null,104,null,365,null,512,null,39795,null,3364,null,36596,null,3306,null,3199,null,839,null,1702,null,668,null,1497,null,501,null,0400000US08,Colorado,08
74113,null,6532,null,36705,null,3791,null,18193,null,2499,null,18033,null,2492,null,160,null,196,null,0,null,275,null,160,null,196,null,18512,null,2509,null,15118,null,2222,null,3394,null,1242,null,1012,null,481,null,2382,null,1284,null,37408,null,3832,null,17872,null,2664,null,17768,null,2662,null,104,null,127,null,0,null,275,null,104,null,127,null,19536,null,2259,null,16613,null,2030,null,2923,null,734,null,1775,null,652,null,1148,null,397,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
11819,null,3447,null,5692,null,2171,null,1590,null,1244,null,1535,null,1235,null,55,null,95,null,55,null,95,null,0,null,296,null,4102,null,1355,null,3278,null,1213,null,824,null,570,null,321,null,220,null,503,null,543,null,6127,null,1608,null,1419,null,724,null,1292,null,718,null,127,null,149,null,127,null,149,null,0,null,296,null,4708,null,1234,null,3888,null,1030,null,820,null,532,null,699,null,517,null,121,null,145,null,0400000US11,District of Columbia,11
341012,null,14559,null,169332,null,8662,null,80453,null,6296,null,78981,null,6305,null,1472,null,631,null,57,null,93,null,1415,null,626,null,88879,null,5665,null,63632,null,4917,null,25247,null,3187,null,12422,null,2035,null,12825,null,2589,null,171680,null,9063,null,79465,null,6121,null,76882,null,6034,null,2583,null,898,null,621,null,335,null,1962,null,900,null,92215,null,5430,null,65731,null,4695,null,26484,null,2746,null,16504,null,1970,null,9980,null,1627,null,0400000US12,Florida,12
