B06004E_001E,B06004E_001EA,B06004E_001M,B06004E_001MA,B06004E_002E,B06004E_002EA,B06004E_002M,B06004E_002MA,B06004E_003E,B06004E_003EA,B06004E_003M,B06004E_003MA,B06004E_004E,B06004E_004EA,B06004E_004M,B06004E_004MA,B06004E_005E,B06004E_005EA,B06004E_005M,B06004E_005MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
3764,null,596,null,723,null,518,null,1329,null,739,null,1302,null,731,null,410,null,323,null,0400000US02,Alaska,02
9340,null,1212,null,2098,null,1004,null,4291,null,1112,null,1289,null,551,null,1662,null,691,null,0400000US04,Arizona,04
1916,null,511,null,288,null,182,null,551,null,457,null,275,null,297,null,802,null,272,null,0400000US05,Arkansas,05
132180,null,5944,null,51446,null,4777,null,22616,null,3377,null,20798,null,4008,null,37320,null,4525,null,0400000US06,California,06
5464,null,1333,null,1436,null,781,null,2642,null,816,null,499,null,396,null,887,null,513,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
7560,null,1547,null,1486,null,546,null,1931,null,654,null,2078,null,924,null,2065,null,832,null,0400000US12,Florida,12
3249,null,1361,null,326,null,245,null,1009,null,510,null,786,null,472,null,1128,null,914,null,0400000US13,Georgia,13
116190,null,4249,null,80823,null,4826,null,6323,null,2311,null,7507,null,1872,null,21537,null,4730,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
2481,null,986,null,551,null,310,null,657,null,457,null,631,null,474,null,642,null,658,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
1954,null,612,null,376,null,391,null,824,null,456,null,415,null,335,null,339,null,146,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
1597,null,795,null,363,null,328,null,566,null,444,null,274,null,281,null,394,null,330,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
2813,null,1068,null,457,null,426,null,1445,null,755,null,668,null,426,null,243,null,222,null,0400000US26,Michigan,26
