B17010B_001E,B17010B_001EA,B17010B_001M,B17010B_001MA,B17010B_002E,B17010B_002EA,B17010B_002M,B17010B_002MA,B17010B_003E,B17010B_003EA,B17010B_003M,B17010B_003MA,B17010B_004E,B17010B_004EA,B17010B_004M,B17010B_004MA,B17010B_005E,B17010B_005EA,B17010B_005M,B17010B_005MA,B17010B_006E,B17010B_006EA,B17010B_006M,B17010B_006MA,B17010B_007E,B17010B_007EA,B17010B_007M,B17010B_007MA,B17010B_008E,B17010B_008EA,B17010B_008M,B17010B_008MA,B17010B_009E,B17010B_009EA,B17010B_009M,B17010B_009MA,B17010B_010E,B17010B_010EA,B17010B_010M,B17010B_010MA,B17010B_011E,B17010B_011EA,B17010B_011M,B17010B_011MA,B17010B_012E,B17010B_012EA,B17010B_012M,B17010B_012MA,B17010B_013E,B17010B_013EA,B17010B_013M,B17010B_013MA,B17010B_014E,B17010B_014EA,B17010B_014M,B17010B_014MA,B17010B_015E,B17010B_015EA,B17010B_015M,B17010B_015MA,B17010B_016E,B17010B_016EA,B17010B_016M,B17010B_016MA,B17010B_017E,B17010B_017EA,B17010B_017M,B17010B_017MA,B17010B_018E,B17010B_018EA,B17010B_018M,B17010B_018MA,B17010B_019E,B17010B_019EA,B17010B_019M,B17010B_019MA,B17010B_020E,B17010B_020EA,B17010B_020M,B17010B_020MA,B17010B_021E,B17010B_021EA,B17010B_021M,B17010B_021MA,B17010B_022E,B17010B_022EA,B17010B_022M,B17010B_022MA,B17010B_023E,B17010B_023EA,B17010B_023M,B17010B_023MA,B17010B_024E,B17010B_024EA,B17010B_024M,B17010B_024MA,B17010B_025E,B17010B_025EA,B17010B_025M,B17010B_025MA,B17010B_026E,B17010B_026EA,B17010B_026M,B17010B_026MA,B17010B_027E,B17010B_027EA,B17010B_027M,B17010B_027MA,B17010B_028E,B17010B_028EA,B17010B_028M,B17010B_028MA,B17010B_029E,B17010B_029EA,B17010B_029M,B17010B_029MA,B17010B_030E,B17010B_030EA,B17010B_030M,B17010B_030MA,B17010B_031E,B17010B_031EA,B17010B_031M,B17010B_031MA,B17010B_032E,B17010B_032EA,B17010B_032M,B17010B_032MA,B17010B_033E,B17010B_033EA,B17010B_033M,B17010B_033MA,B17010B_034E,B17010B_034EA,B17010B_034M,B17010B_034MA,B17010B_035E,B17010B_035EA,B17010B_035M,B17010B_035MA,B17010B_036E,B17010B_036EA,B17010B_036M,B17010B_036MA,B17010B_037E,B17010B_037EA,B17010B_037M,B17010B_037MA,B17010B_038E,B17010B_038EA,B17010B_038M,B17010B_038MA,B17010B_039E,B17010B_039EA,B17010B_039M,B17010B_039MA,B17010B_040E,B17010B_040EA,B17010B_040M,B17010B_040MA,B17010B_041E,B17010B_041EA,B17010B_041M,B17010B_041MA,GEO_ID,NAME,state
286421,null,5940,null,71238,null,4323,null,9779,null,1596,null,5624,null,1282,null,1309,null,754,null,1408,null,654,null,2907,null,764,null,4155,null,996,null,61459,null,4144,null,5755,null,1645,null,3834,null,1353,null,1421,null,873,null,613,null,482,null,1800,null,721,null,1921,null,807,null,55704,null,4052,null,48090,null,3719,null,11076,null,1641,null,14094,null,1972,null,22920,null,2750,null,7614,null,1495,null,215183,null,5188,null,122577,null,5620,null,60722,null,4352,null,9418,null,1962,null,10677,null,1707,null,40627,null,3241,null,61855,null,3673,null,92606,null,4215,null,14913,null,1721,null,6101,null,1217,null,1090,null,515,null,748,null,452,null,4263,null,1090,null,8812,null,1359,null,77693,null,4087,null,48346,null,3326,null,6493,null,1196,null,7585,null,1666,null,34268,null,2676,null,29347,null,2354,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
48310,null,2581,null,7154,null,1497,null,1608,null,591,null,1071,null,518,null,108,null,180,null,233,null,254,null,730,null,414,null,537,null,302,null,5546,null,1356,null,1389,null,741,null,1283,null,725,null,735,null,551,null,263,null,255,null,285,null,330,null,106,null,126,null,4157,null,1099,null,3666,null,1009,null,484,null,298,null,1476,null,657,null,1706,null,692,null,491,null,356,null,41156,null,2526,null,21964,null,1794,null,12055,null,1673,null,2139,null,792,null,2642,null,816,null,7274,null,1216,null,9909,null,1222,null,19192,null,2039,null,6501,null,1328,null,3671,null,1147,null,618,null,464,null,707,null,549,null,2346,null,899,null,2830,null,887,null,12691,null,1561,null,8441,null,1562,null,847,null,566,null,1842,null,814,null,5752,null,1298,null,4250,null,1266,null,0400000US04,Arizona,04
105997,null,3661,null,32398,null,3429,null,4423,null,1145,null,2552,null,888,null,472,null,345,null,904,null,550,null,1176,null,542,null,1871,null,724,null,27975,null,3206,null,2199,null,843,null,1810,null,793,null,606,null,516,null,185,null,212,null,1019,null,681,null,389,null,321,null,25776,null,3119,null,22910,null,2847,null,4282,null,1257,null,6421,null,1402,null,12207,null,2236,null,2866,null,1041,null,73599,null,3799,null,37067,null,3189,null,16658,null,2409,null,1893,null,632,null,2704,null,1028,null,12061,null,1993,null,20409,null,2014,null,36532,null,2783,null,8140,null,1867,null,3950,null,1448,null,525,null,619,null,608,null,520,null,2817,null,1105,null,4190,null,1225,null,28392,null,2399,null,20209,null,2042,null,3362,null,1049,null,3621,null,1156,null,13226,null,1813,null,8183,null,1272,null,0400000US05,Arkansas,05
477153,null,7617,null,80542,null,4644,null,11524,null,1850,null,7934,null,1706,null,995,null,786,null,3819,null,1184,null,3120,null,1066,null,3590,null,906,null,69018,null,4509,null,13388,null,1924,null,11026,null,1852,null,2432,null,864,null,2790,null,1172,null,5804,null,1469,null,2362,null,792,null,55630,null,4303,null,48462,null,4101,null,8611,null,1956,null,12709,null,2088,null,27142,null,2983,null,7168,null,1313,null,396611,null,8020,null,201076,null,7520,null,101362,null,5959,null,16047,null,2504,null,20283,null,2816,null,65032,null,4142,null,99714,null,4449,null,195535,null,7149,null,45789,null,4348,null,25914,null,3401,null,6027,null,1398,null,4031,null,1385,null,15856,null,2617,null,19875,null,2587,null,149746,null,5334,null,98265,null,4965,null,12079,null,1913,null,15728,null,2542,null,70458,null,4777,null,51481,null,3619,null,0400000US06,California,06
41495,null,2675,null,7331,null,1683,null,2137,null,734,null,1316,null,637,null,368,null,419,null,629,null,459,null,319,null,319,null,821,null,565,null,5194,null,1437,null,758,null,482,null,585,null,427,null,186,null,308,null,74,null,134,null,325,null,243,null,173,null,219,null,4436,null,1270,null,4147,null,1209,null,1075,null,629,null,1093,null,497,null,1979,null,832,null,289,null,263,null,34164,null,2606,null,20702,null,1956,null,10541,null,1430,null,1852,null,810,null,2522,null,748,null,6167,null,1089,null,10161,null,1314,null,13462,null,2087,null,4373,null,1252,null,2667,null,950,null,182,null,238,null,286,null,248,null,2199,null,863,null,1706,null,766,null,9089,null,1462,null,5953,null,1160,null,1208,null,631,null,727,null,485,null,4018,null,810,null,3136,null,992,null,0400000US08,Colorado,08
76350,null,3104,null,14205,null,2055,null,1378,null,596,null,555,null,367,null,0,null,275,null,155,null,189,null,400,null,317,null,823,null,398,null,12827,null,1886,null,1714,null,758,null,1227,null,680,null,486,null,444,null,255,null,397,null,486,null,319,null,487,null,337,null,11113,null,1879,null,10077,null,1663,null,1655,null,744,null,3191,null,1146,null,5231,null,1198,null,1036,null,609,null,62145,null,2758,null,31562,null,2303,null,17275,null,1923,null,3341,null,934,null,3808,null,1097,null,10126,null,1269,null,14287,null,1640,null,30583,null,2609,null,6317,null,1552,null,3148,null,1185,null,975,null,490,null,528,null,525,null,1645,null,712,null,3169,null,1036,null,24266,null,2303,null,15930,null,1961,null,1894,null,698,null,4035,null,1168,null,10001,null,1640,null,8336,null,1535,null,0400000US09,Connecticut,09
42783,null,2166,null,5966,null,1374,null,958,null,562,null,657,null,504,null,348,null,395,null,156,null,253,null,153,null,191,null,301,null,237,null,5008,null,1280,null,658,null,623,null,617,null,617,null,0,null,263,null,38,null,68,null,579,null,607,null,41,null,71,null,4350,null,1147,null,3724,null,1033,null,927,null,576,null,943,null,487,null,1854,null,721,null,626,null,508,null,36817,null,2162,null,18311,null,1626,null,10012,null,1420,null,1614,null,752,null,2089,null,794,null,6309,null,1157,null,8299,null,1209,null,18506,null,2080,null,3343,null,1122,null,1971,null,857,null,997,null,692,null,181,null,225,null,793,null,464,null,1372,null,683,null,15163,null,1823,null,10192,null,1622,null,1605,null,783,null,1142,null,613,null,7445,null,1384,null,4971,null,1111,null,0400000US10,Delaware,10
63406,null,2941,null,12694,null,1834,null,1245,null,650,null,363,null,360,null,0,null,296,null,132,null,154,null,231,null,270,null,882,null,579,null,11449,null,1796,null,949,null,513,null,864,null,505,null,283,null,267,null,0,null,296,null,581,null,442,null,85,null,101,null,10500,null,1764,null,8956,null,1650,null,1627,null,678,null,2785,null,977,null,4544,null,1367,null,1544,null,617,null,50712,null,2880,null,17945,null,2141,null,7211,null,1369,null,1472,null,548,null,1079,null,456,null,4660,null,1170,null,10734,null,1487,null,32767,null,2517,null,5341,null,1022,null,2458,null,841,null,524,null,439,null,53,null,86,null,1881,null,701,null,2883,null,819,null,27426,null,2380,null,16200,null,2156,null,2142,null,770,null,2209,null,923,null,11849,null,1945,null,11226,null,1306,null,0400000US11,District of Columbia,11
622586,null,10241,null,115434,null,6454,null,21701,null,2845,null,13794,null,2152,null,1862,null,782,null,4106,null,1140,null,7826,null,1639,null,7907,null,1623,null,93733,null,6001,null,12244,null,2096,null,9259,null,1782,null,2601,null,994,null,2330,null,840,null,4328,null,1536,null,2985,null,1026,null,81489,null,5553,null,71348,null,5198,null,12819,null,2424,null,24699,null,3707,null,33830,null,3160,null,10141,null,1770,null,507152,null,10542,null,273937,null,7805,null,143884,null,7397,null,24871,null,3188,null,30590,null,3414,null,88423,null,4918,null,130053,null,6016,null,233215,null,9385,null,50509,null,4260,null,27141,null,2977,null,5622,null,1530,null,4092,null,1012,null,17427,null,2502,null,23368,null,2927,null,182706,null,7724,null,126505,null,6353,null,20691,null,2793,null,21158,null,3164,null,84656,null,5324,null,56201,null,4047,null,0400000US12,Florida,12
