B17010G_001E,B17010G_001EA,B17010G_001M,B17010G_001MA,B17010G_002E,B17010G_002EA,B17010G_002M,B17010G_002MA,B17010G_003E,B17010G_003EA,B17010G_003M,B17010G_003MA,B17010G_004E,B17010G_004EA,B17010G_004M,B17010G_004MA,B17010G_005E,B17010G_005EA,B17010G_005M,B17010G_005MA,B17010G_006E,B17010G_006EA,B17010G_006M,B17010G_006MA,B17010G_007E,B17010G_007EA,B17010G_007M,B17010G_007MA,B17010G_008E,B17010G_008EA,B17010G_008M,B17010G_008MA,B17010G_009E,B17010G_009EA,B17010G_009M,B17010G_009MA,B17010G_010E,B17010G_010EA,B17010G_010M,B17010G_010MA,B17010G_011E,B17010G_011EA,B17010G_011M,B17010G_011MA,B17010G_012E,B17010G_012EA,B17010G_012M,B17010G_012MA,B17010G_013E,B17010G_013EA,B17010G_013M,B17010G_013MA,B17010G_014E,B17010G_014EA,B17010G_014M,B17010G_014MA,B17010G_015E,B17010G_015EA,B17010G_015M,B17010G_015MA,B17010G_016E,B17010G_016EA,B17010G_016M,B17010G_016MA,B17010G_017E,B17010G_017EA,B17010G_017M,B17010G_017MA,B17010G_018E,B17010G_018EA,B17010G_018M,B17010G_018MA,B17010G_019E,B17010G_019EA,B17010G_019M,B17010G_019MA,B17010G_020E,B17010G_020EA,B17010G_020M,B17010G_020MA,B17010G_021E,B17010G_021EA,B17010G_021M,B17010G_021MA,B17010G_022E,B17010G_022EA,B17010G_022M,B17010G_022MA,B17010G_023E,B17010G_023EA,B17010G_023M,B17010G_023MA,B17010G_024E,B17010G_024EA,B17010G_024M,B17010G_024MA,B17010G_025E,B17010G_025EA,B17010G_025M,B17010G_025MA,B17010G_026E,B17010G_026EA,B17010G_026M,B17010G_026MA,B17010G_027E,B17010G_027EA,B17010G_027M,B17010G_027MA,B17010G_028E,B17010G_028EA,B17010G_028M,B17010G_028MA,B17010G_029E,B17010G_029EA,B17010G_029M,B17010G_029MA,B17010G_030E,B17010G_030EA,B17010G_030M,B17010G_030MA,B17010G_031E,B17010G_031EA,B17010G_031M,B17010G_031MA,B17010G_032E,B17010G_032EA,B17010G_032M,B17010G_032MA,B17010G_033E,B17010G_033EA,B17010G_033M,B17010G_033MA,B17010G_034E,B17010G_034EA,B17010G_034M,B17010G_034MA,B17010G_035E,B17010G_035EA,B17010G_035M,B17010G_035MA,B17010G_036E,B17010G_036EA,B17010G_036M,B17010G_036MA,B17010G_037E,B17010G_037EA,B17010G_037M,B17010G_037MA,B17010G_038E,B17010G_038EA,B17010G_038M,B17010G_038MA,B17010G_039E,B17010G_039EA,B17010G_039M,B17010G_039MA,B17010G_040E,B17010G_040EA,B17010G_040M,B17010G_040MA,B17010G_041E,B17010G_041EA,B17010G_041M,B17010G_041MA,GEO_ID,NAME,state
13076,null,1912,null,2555,null,943,null,1028,null,547,null,603,null,426,null,0,null,271,null,179,null,172,null,424,null,410,null,425,null,335,null,1527,null,706,null,236,null,251,null,218,null,246,null,0,null,271,null,31,null,61,null,187,null,244,null,18,null,33,null,1291,null,675,null,1065,null,633,null,214,null,260,null,49,null,60,null,802,null,587,null,226,null,190,null,10521,null,1712,null,8609,null,1584,null,4206,null,1158,null,1086,null,569,null,610,null,426,null,2510,null,815,null,4403,null,1088,null,1912,null,587,null,440,null,268,null,54,null,101,null,0,null,271,null,0,null,271,null,54,null,101,null,386,null,245,null,1472,null,539,null,722,null,394,null,73,null,138,null,181,null,156,null,468,null,370,null,750,null,425,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
20868,null,2095,null,2853,null,778,null,639,null,371,null,481,null,344,null,66,null,89,null,206,null,259,null,209,null,202,null,158,null,150,null,2214,null,677,null,260,null,217,null,93,null,152,null,93,null,152,null,0,null,302,null,0,null,302,null,167,null,147,null,1954,null,663,null,1821,null,618,null,597,null,355,null,289,null,229,null,935,null,455,null,133,null,215,null,18015,null,1945,null,12370,null,1902,null,6836,null,1191,null,1811,null,735,null,1437,null,526,null,3588,null,890,null,5534,null,1239,null,5645,null,1266,null,1863,null,807,null,1186,null,591,null,99,null,149,null,231,null,246,null,856,null,513,null,677,null,432,null,3782,null,1080,null,2742,null,841,null,309,null,220,null,496,null,262,null,1937,null,734,null,1040,null,478,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
178870,null,5805,null,19370,null,2400,null,5129,null,1182,null,3774,null,1072,null,528,null,336,null,1251,null,645,null,1995,null,673,null,1355,null,567,null,14241,null,2109,null,1822,null,601,null,1045,null,501,null,262,null,299,null,242,null,213,null,541,null,397,null,777,null,403,null,12419,null,2062,null,11078,null,1990,null,2413,null,964,null,2608,null,928,null,6057,null,1491,null,1341,null,589,null,159500,null,5517,null,112540,null,4529,null,64257,null,3666,null,14116,null,1626,null,13701,null,2142,null,36440,null,2699,null,48283,null,3014,null,46960,null,3469,null,12965,null,1992,null,6424,null,1267,null,811,null,338,null,1000,null,552,null,4613,null,1053,null,6541,null,1365,null,33995,null,2851,null,21834,null,2452,null,3504,null,856,null,3457,null,1055,null,14873,null,2016,null,12161,null,1521,null,0400000US06,California,06
23231,null,2500,null,2947,null,922,null,1023,null,541,null,968,null,539,null,577,null,415,null,70,null,117,null,321,null,303,null,55,null,91,null,1924,null,703,null,201,null,165,null,201,null,165,null,0,null,275,null,37,null,62,null,164,null,157,null,0,null,275,null,1723,null,666,null,1671,null,649,null,209,null,257,null,368,null,253,null,1094,null,485,null,52,null,92,null,20284,null,2335,null,15229,null,2090,null,9204,null,1639,null,1682,null,589,null,2217,null,826,null,5305,null,1119,null,6025,null,1099,null,5055,null,1101,null,1594,null,637,null,1074,null,549,null,183,null,167,null,209,null,286,null,682,null,441,null,520,null,299,null,3461,null,947,null,2714,null,832,null,570,null,369,null,152,null,151,null,1992,null,744,null,747,null,370,null,0400000US08,Colorado,08
12105,null,1864,null,1492,null,552,null,405,null,376,null,263,null,228,null,156,null,191,null,57,null,92,null,50,null,89,null,142,null,223,null,1087,null,428,null,102,null,140,null,28,null,57,null,0,null,275,null,28,null,57,null,0,null,275,null,74,null,123,null,985,null,430,null,834,null,392,null,245,null,211,null,237,null,221,null,352,null,276,null,151,null,139,null,10613,null,1772,null,6088,null,1265,null,3375,null,967,null,784,null,527,null,693,null,594,null,1898,null,530,null,2713,null,863,null,4525,null,1143,null,854,null,549,null,439,null,330,null,193,null,222,null,0,null,275,null,246,null,250,null,415,null,393,null,3671,null,993,null,3043,null,923,null,223,null,176,null,200,null,254,null,2620,null,877,null,628,null,418,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
53415,null,3605,null,6799,null,1418,null,2038,null,717,null,1506,null,634,null,295,null,260,null,482,null,390,null,729,null,454,null,532,null,370,null,4761,null,1053,null,637,null,341,null,382,null,258,null,168,null,217,null,0,null,305,null,214,null,210,null,255,null,230,null,4124,null,990,null,3936,null,985,null,534,null,365,null,1011,null,542,null,2391,null,770,null,188,null,143,null,46616,null,3197,null,32155,null,2892,null,15522,null,2112,null,2987,null,800,null,2085,null,786,null,10450,null,1761,null,16633,null,1962,null,14461,null,1717,null,3829,null,950,null,1936,null,878,null,293,null,260,null,66,null,100,null,1577,null,817,null,1893,null,710,null,10632,null,1554,null,6399,null,1196,null,1042,null,607,null,1013,null,469,null,4344,null,1182,null,4233,null,1149,null,0400000US12,Florida,12
