C12002E_001E,C12002E_001EA,C12002E_001M,C12002E_001MA,C12002E_002E,C12002E_002EA,C12002E_002M,C12002E_002MA,C12002E_003E,C12002E_003EA,C12002E_003M,C12002E_003MA,C12002E_004E,C12002E_004EA,C12002E_004M,C12002E_004MA,C12002E_005E,C12002E_005EA,C12002E_005M,C12002E_005MA,C12002E_006E,C12002E_006EA,C12002E_006M,C12002E_006MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
2938,null,673,null,1716,null,548,null,839,null,513,null,52,null,61,null,102,null,93,null,229,null,205,null,0400000US02,Alaska,02
6964,null,1043,null,2378,null,708,null,3690,null,920,null,67,null,115,null,190,null,157,null,639,null,419,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
107714,null,4234,null,40336,null,3573,null,52591,null,3996,null,2661,null,1000,null,6543,null,1807,null,5583,null,1494,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
5542,null,1260,null,2228,null,611,null,2340,null,910,null,129,null,171,null,0,null,305,null,845,null,703,null,0400000US12,Florida,12
2285,null,1062,null,1271,null,770,null,823,null,407,null,0,null,298,null,0,null,298,null,191,null,189,null,0400000US13,Georgia,13
91076,null,3219,null,39158,null,2495,null,37687,null,3072,null,1992,null,760,null,5195,null,1035,null,7044,null,1360,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
1497,null,448,null,473,null,289,null,493,null,280,null,140,null,229,null,218,null,259,null,173,null,170,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
2238,null,820,null,804,null,392,null,713,null,437,null,177,null,125,null,44,null,73,null,500,null,382,null,0400000US26,Michigan,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
3301,null,1253,null,1164,null,566,null,1432,null,805,null,369,null,345,null,75,null,126,null,261,null,329,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
9023,null,1140,null,3446,null,1033,null,4504,null,954,null,172,null,151,null,67,null,95,null,834,null,439,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US35,New Mexico,35
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US36,New York,36
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US39,Ohio,39
