C19001B_001E,C19001B_001EA,C19001B_001M,C19001B_001MA,C19001B_002E,C19001B_002EA,C19001B_002M,C19001B_002MA,C19001B_003E,C19001B_003EA,C19001B_003M,C19001B_003MA,C19001B_004E,C19001B_004EA,C19001B_004M,C19001B_004MA,C19001B_005E,C19001B_005EA,C19001B_005M,C19001B_005MA,C19001B_006E,C19001B_006EA,C19001B_006M,C19001B_006MA,C19001B_007E,C19001B_007EA,C19001B_007M,C19001B_007MA,C19001B_008E,C19001B_008EA,C19001B_008M,C19001B_008MA,C19001B_009E,C19001B_009EA,C19001B_009M,C19001B_009MA,C19001B_010E,C19001B_010EA,C19001B_010M,C19001B_010MA,C19001B_011E,C19001B_011EA,C19001B_011M,C19001B_011MA,GEO_ID,NAME,state
451795,null,6440,null,77934,null,4268,null,46947,null,3169,null,80963,null,4835,null,62403,null,4241,null,64060,null,4077,null,61236,null,3917,null,30891,null,2700,null,20909,null,2440,null,3936,null,1005,null,2516,null,800,null,0400000US01,Alabama,01
7643,null,1183,null,406,null,377,null,209,null,271,null,592,null,327,null,657,null,459,null,1583,null,611,null,2058,null,735,null,773,null,513,null,792,null,372,null,573,null,447,null,0,null,240,null,0400000US02,Alaska,02
75831,null,2981,null,8106,null,1579,null,3913,null,1122,null,9572,null,1638,null,8148,null,1367,null,13942,null,2121,null,13904,null,2178,null,8093,null,1502,null,6764,null,1278,null,1784,null,763,null,1605,null,674,null,0400000US04,Arizona,04
168867,null,4410,null,34512,null,3063,null,18934,null,2475,null,33321,null,2618,null,22727,null,2398,null,23147,null,2633,null,20062,null,2378,null,9917,null,1744,null,4939,null,1225,null,493,null,277,null,815,null,486,null,0400000US05,Arkansas,05
794033,null,10381,null,83306,null,5385,null,70456,null,4048,null,91584,null,4871,null,85811,null,4290,null,109625,null,6258,null,132342,null,6573,null,82309,null,4485,null,87402,null,4381,null,29734,null,2820,null,21464,null,2335,null,0400000US06,California,06
71916,null,2765,null,9716,null,1661,null,6335,null,1430,null,9164,null,1692,null,10022,null,2034,null,9025,null,1544,null,11885,null,1685,null,6861,null,1143,null,6205,null,1089,null,1094,null,495,null,1609,null,882,null,0400000US08,Colorado,08
115174,null,3588,null,15740,null,1990,null,5404,null,1077,null,11651,null,1568,null,13708,null,2073,null,15763,null,2186,null,22638,null,2217,null,12310,null,1888,null,11879,null,1737,null,3179,null,856,null,2902,null,909,null,0400000US09,Connecticut,09
63689,null,2595,null,6226,null,1357,null,4050,null,1255,null,8355,null,1633,null,7760,null,1615,null,10105,null,1911,null,11797,null,1570,null,7995,null,1346,null,5732,null,1067,null,958,null,428,null,711,null,478,null,0400000US10,Delaware,10
126831,null,2803,null,20673,null,2257,null,7893,null,1351,null,13749,null,2087,null,14760,null,1911,null,21177,null,2199,null,19983,null,2367,null,12614,null,1609,null,10089,null,1668,null,3124,null,769,null,2769,null,701,null,0400000US11,District of Columbia,11
935761,null,11089,null,114392,null,6853,null,69138,null,3838,null,141233,null,6988,null,139009,null,7554,null,155791,null,5894,null,156353,null,6957,null,85826,null,4790,null,54414,null,4175,null,12909,null,1668,null,6696,null,1273,null,0400000US12,Florida,12
1008308,null,9658,null,128983,null,6370,null,77937,null,5136,null,134006,null,6336,null,124585,null,6470,null,163689,null,7050,null,185508,null,7363,null,94566,null,5420,null,72628,null,4703,null,18044,null,2445,null,8362,null,1643,null,0400000US13,Georgia,13
10446,null,1542,null,743,null,705,null,33,null,59,null,394,null,319,null,841,null,861,null,1253,null,665,null,2349,null,944,null,2700,null,1213,null,1898,null,865,null,73,null,114,null,162,null,179,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
662586,null,7726,null,110666,null,4854,null,53515,null,3895,null,90554,null,5469,null,78569,null,4698,null,92039,null,4827,null,103979,null,5423,null,59719,null,4025,null,53503,null,3956,null,12575,null,1855,null,7467,null,1445,null,0400000US17,Illinois,17
209094,null,4726,null,32403,null,2585,null,21536,null,3060,null,33237,null,2763,null,29407,null,2640,null,31331,null,2880,null,30270,null,3176,null,15201,null,2055,null,11118,null,1496,null,2614,null,918,null,1977,null,705,null,0400000US18,Indiana,18
27400,null,1702,null,4997,null,1358,null,2591,null,1045,null,6375,null,1374,null,3107,null,1033,null,4533,null,1082,null,2727,null,881,null,1611,null,583,null,1066,null,488,null,258,null,232,null,135,null,154,null,0400000US19,Iowa,19
59923,null,2408,null,9971,null,1517,null,6011,null,1294,null,9716,null,1611,null,6970,null,1341,null,8312,null,1503,null,10217,null,1789,null,4673,null,907,null,2661,null,812,null,894,null,483,null,498,null,365,null,0400000US20,Kansas,20
125807,null,3720,null,23519,null,2271,null,13630,null,2117,null,20283,null,2404,null,16142,null,2282,null,17713,null,1975,null,16399,null,1761,null,10203,null,1635,null,5979,null,1082,null,1268,null,554,null,671,null,324,null,0400000US21,Kentucky,21
471176,null,7149,null,82348,null,4277,null,48864,null,3791,null,81308,null,4318,null,68553,null,5160,null,71855,null,4104,null,60945,null,3555,null,28272,null,2343,null,22506,null,2238,null,4535,null,1126,null,1990,null,647,null,0400000US22,Louisiana,22
3382,null,821,null,474,null,420,null,183,null,165,null,475,null,340,null,932,null,521,null,420,null,365,null,478,null,337,null,267,null,310,null,39,null,54,null,114,null,147,null,0,null,228,null,0400000US23,Maine,23
589611,null,6086,null,49205,null,3531,null,24171,null,2716,null,49838,null,3815,null,53139,null,3724,null,86339,null,4948,null,117557,null,5599,null,82152,null,4842,null,83021,null,4785,null,29777,null,2469,null,14412,null,1985,null,0400000US24,Maryland,24
133608,null,4577,null,15729,null,2106,null,9184,null,1726,null,15526,null,1967,null,15456,null,2189,null,19540,null,2265,null,23351,null,2505,null,15098,null,1967,null,13952,null,1641,null,3456,null,1022,null,2316,null,766,null,0400000US25,Massachusetts,25
489170,null,6952,null,83009,null,4459,null,44690,null,3561,null,73559,null,3829,null,68496,null,3972,null,70816,null,4387,null,70883,null,4619,null,38339,null,2688,null,30572,null,2809,null,5260,null,1154,null,3546,null,940,null,0400000US26,Michigan,26
78723,null,2963,null,15093,null,1925,null,6036,null,1455,null,11639,null,1703,null,13773,null,2308,null,9440,null,1756,null,9981,null,1634,null,5327,null,940,null,4824,null,1280,null,1256,null,507,null,1354,null,766,null,0400000US27,Minnesota,27
381104,null,5378,null,74718,null,4134,null,46169,null,3787,null,69206,null,3918,null,54229,null,3943,null,51620,null,4252,null,47593,null,3488,null,20658,null,2482,null,11743,null,1950,null,3026,null,1076,null,2142,null,804,null,0400000US28,Mississippi,28
245646,null,6142,null,34951,null,2576,null,21023,null,2287,null,40583,null,3350,null,36673,null,3383,null,39513,null,3120,null,37759,null,3301,null,18006,null,1855,null,12859,null,1779,null,2670,null,829,null,1609,null,609,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
25951,null,1891,null,4139,null,1084,null,2658,null,990,null,4410,null,1059,null,4688,null,1046,null,3983,null,903,null,3027,null,932,null,1626,null,634,null,553,null,320,null,638,null,460,null,229,null,236,null,0400000US31,Nebraska,31
70501,null,2680,null,7500,null,1580,null,4065,null,948,null,8652,null,1569,null,9392,null,1848,null,11540,null,1855,null,14405,null,1906,null,8186,null,1619,null,5306,null,1177,null,852,null,497,null,603,null,470,null,0400000US32,Nevada,32
4477,null,916,null,492,null,428,null,126,null,182,null,872,null,509,null,313,null,281,null,1225,null,612,null,520,null,404,null,342,null,244,null,467,null,238,null,120,null,140,null,0,null,253,null,0400000US33,New Hampshire,33
418799,null,6061,null,47427,null,3449,null,24165,null,2357,null,42042,null,3387,null,38986,null,3417,null,61613,null,4329,null,80484,null,5472,null,50101,null,3087,null,48916,null,3510,null,16197,null,2101,null,8868,null,1468,null,0400000US34,New Jersey,34
15221,null,1550,null,2781,null,1004,null,1684,null,871,null,1899,null,931,null,1910,null,630,null,1976,null,669,null,2517,null,942,null,1506,null,800,null,510,null,284,null,209,null,188,null,229,null,243,null,0400000US35,New Mexico,35
1036033,null,12005,null,149263,null,6981,null,70369,null,4418,null,121144,null,5035,null,118580,null,6514,null,143330,null,5663,null,179347,null,6297,null,107823,null,5380,null,97364,null,5126,null,30857,null,2834,null,17956,null,1871,null,0400000US36,New York,36
747630,null,8682,null,110393,null,6050,null,63607,null,4606,null,119294,null,6860,null,104116,null,5866,null,121595,null,6298,null,121808,null,6080,null,57600,null,4212,null,36234,null,3404,null,9033,null,1762,null,3950,null,976,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
525614,null,6416,null,104226,null,5911,null,51221,null,3776,null,79185,null,4724,null,71046,null,3965,null,76786,null,4440,null,72100,null,4483,null,36663,null,2877,null,25294,null,2392,null,6128,null,1152,null,2965,null,832,null,0400000US39,Ohio,39
101645,null,3560,null,17382,null,2553,null,10525,null,2061,null,16313,null,2415,null,14320,null,2291,null,15601,null,1826,null,15360,null,1976,null,6395,null,1259,null,4614,null,1153,null,578,null,301,null,557,null,430,null,0400000US40,Oklahoma,40
20999,null,1895,null,4249,null,1058,null,2053,null,835,null,2873,null,971,null,1899,null,707,null,2365,null,863,null,2668,null,954,null,1992,null,723,null,1927,null,697,null,776,null,492,null,197,null,253,null,0400000US41,Oregon,41
