C19037I_001E,C19037I_001EA,C19037I_001M,C19037I_001MA,C19037I_002E,C19037I_002EA,C19037I_002M,C19037I_002MA,C19037I_003E,C19037I_003EA,C19037I_003M,C19037I_003MA,C19037I_004E,C19037I_004EA,C19037I_004M,C19037I_004MA,C19037I_005E,C19037I_005EA,C19037I_005M,C19037I_005MA,C19037I_006E,C19037I_006EA,C19037I_006M,C19037I_006MA,C19037I_007E,C19037I_007EA,C19037I_007M,C19037I_007MA,C19037I_008E,C19037I_008EA,C19037I_008M,C19037I_008MA,C19037I_009E,C19037I_009EA,C19037I_009M,C19037I_009MA,C19037I_010E,C19037I_010EA,C19037I_010M,C19037I_010MA,C19037I_011E,C19037I_011EA,C19037I_011M,C19037I_011MA,C19037I_012E,C19037I_012EA,C19037I_012M,C19037I_012MA,C19037I_013E,C19037I_013EA,C19037I_013M,C19037I_013MA,C19037I_014E,C19037I_014EA,C19037I_014M,C19037I_014MA,C19037I_015E,C19037I_015EA,C19037I_015M,C19037I_015MA,C19037I_016E,C19037I_016EA,C19037I_016M,C19037I_016MA,C19037I_017E,C19037I_017EA,C19037I_017M,C19037I_017MA,C19037I_018E,C19037I_018EA,C19037I_018M,C19037I_018MA,C19037I_019E,C19037I_019EA,C19037I_019M,C19037I_019MA,C19037I_020E,C19037I_020EA,C19037I_020M,C19037I_020MA,C19037I_021E,C19037I_021EA,C19037I_021M,C19037I_021MA,C19037I_022E,C19037I_022EA,C19037I_022M,C19037I_022MA,C19037I_023E,C19037I_023EA,C19037I_023M,C19037I_023MA,C19037I_024E,C19037I_024EA,C19037I_024M,C19037I_024MA,C19037I_025E,C19037I_025EA,C19037I_025M,C19037I_025MA,C19037I_026E,C19037I_026EA,C19037I_026M,C19037I_026MA,C19037I_027E,C19037I_027EA,C19037I_027M,C19037I_027MA,C19037I_028E,C19037I_028EA,C19037I_028M,C19037I_028MA,C19037I_029E,C19037I_029EA,C19037I_029M,C19037I_029MA,C19037I_030E,C19037I_030EA,C19037I_030M,C19037I_030MA,C19037I_031E,C19037I_031EA,C19037I_031M,C19037I_031MA,C19037I_032E,C19037I_032EA,C19037I_032M,C19037I_032MA,C19037I_033E,C19037I_033EA,C19037I_033M,C19037I_033MA,C19037I_034E,C19037I_034EA,C19037I_034M,C19037I_034MA,C19037I_035E,C19037I_035EA,C19037I_035M,C19037I_035MA,C19037I_036E,C19037I_036EA,C19037I_036M,C19037I_036MA,C19037I_037E,C19037I_037EA,C19037I_037M,C19037I_037MA,C19037I_038E,C19037I_038EA,C19037I_038M,C19037I_038MA,C19037I_039E,C19037I_039EA,C19037I_039M,C19037I_039MA,C19037I_040E,C19037I_040EA,C19037I_040M,C19037I_040MA,C19037I_041E,C19037I_041EA,C19037I_041M,C19037I_041MA,C19037I_042E,C19037I_042EA,C19037I_042M,C19037I_042MA,C19037I_043E,C19037I_043EA,C19037I_043M,C19037I_043MA,C19037I_044E,C19037I_044EA,C19037I_044M,C19037I_044MA,C19037I_045E,C19037I_045EA,C19037I_045M,C19037I_045MA,GEO_ID,NAME,state
33075,null,1934,null,3991,null,1075,null,672,null,354,null,25,null,53,null,421,null,308,null,590,null,401,null,1339,null,754,null,381,null,218,null,358,null,335,null,190,null,178,null,15,null,28,null,0,null,271,null,18669,null,1676,null,1082,null,539,null,1463,null,750,null,4492,null,1254,null,3076,null,1157,null,2862,null,878,null,2298,null,623,null,1566,null,606,null,1409,null,768,null,350,null,273,null,71,null,127,null,7759,null,1394,null,1051,null,662,null,632,null,421,null,1431,null,584,null,771,null,515,null,1099,null,594,null,955,null,357,null,991,null,430,null,603,null,296,null,226,null,254,null,0,null,271,null,2656,null,793,null,129,null,160,null,46,null,65,null,588,null,348,null,239,null,202,null,849,null,588,null,723,null,502,null,40,null,71,null,0,null,271,null,0,null,271,null,42,null,70,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
487626,null,7502,null,32122,null,3052,null,4239,null,1332,null,4145,null,1058,null,7050,null,1497,null,6168,null,1249,null,3895,null,1003,null,4775,null,1093,null,1212,null,485,null,590,null,333,null,48,null,81,null,0,null,302,null,260207,null,6050,null,19984,null,2211,null,13459,null,1926,null,33960,null,3488,null,40602,null,3687,null,46874,null,3547,null,50205,null,3785,null,30079,null,3138,null,18842,null,2426,null,4775,null,1198,null,1427,null,587,null,149282,null,4245,null,10269,null,1744,null,9177,null,1895,null,17778,null,2036,null,18076,null,2060,null,26478,null,2593,null,28532,null,2543,null,16867,null,2078,null,15164,null,2140,null,4143,null,1049,null,2798,null,724,null,46015,null,2344,null,6972,null,1365,null,5929,null,1168,null,8851,null,1393,null,5799,null,999,null,6941,null,1219,null,6213,null,1116,null,2505,null,587,null,1596,null,515,null,793,null,464,null,416,null,248,null,0400000US04,Arizona,04
39466,null,2384,null,4079,null,875,null,498,null,293,null,663,null,444,null,1177,null,493,null,816,null,421,null,417,null,365,null,301,null,224,null,207,null,204,null,0,null,269,null,0,null,269,null,0,null,269,null,25965,null,2302,null,2448,null,875,null,1716,null,906,null,6777,null,1545,null,3021,null,889,null,6497,null,1244,null,2972,null,749,null,1455,null,714,null,840,null,521,null,195,null,169,null,44,null,83,null,7651,null,1068,null,821,null,604,null,357,null,276,null,1182,null,544,null,981,null,391,null,1962,null,670,null,1138,null,427,null,748,null,391,null,361,null,317,null,101,null,139,null,0,null,269,null,1771,null,720,null,319,null,300,null,0,null,269,null,447,null,369,null,416,null,478,null,177,null,146,null,211,null,206,null,135,null,152,null,0,null,269,null,0,null,269,null,66,null,82,null,0400000US05,Arkansas,05
3260557,null,14714,null,164150,null,5621,null,14709,null,1930,null,13563,null,2024,null,30982,null,2960,null,29918,null,2918,null,27946,null,2675,null,27816,null,2571,null,11293,null,1577,null,6841,null,1412,null,963,null,609,null,119,null,196,null,1682681,null,15304,null,77230,null,4237,null,72241,null,4840,null,217772,null,8482,null,219224,null,8503,null,292878,null,8524,null,358345,null,9028,null,200571,null,7267,null,168809,null,6121,null,47466,null,4380,null,28145,null,2729,null,1080204,null,10229,null,53787,null,3676,null,52111,null,3850,null,111551,null,5486,null,112041,null,5805,null,161405,null,7210,null,218992,null,7342,null,144540,null,6527,null,145530,null,5323,null,49457,null,2863,null,30790,null,2994,null,333522,null,6593,null,35842,null,2873,null,48191,null,2689,null,62454,null,3732,null,41483,null,3654,null,47408,null,3166,null,46676,null,3586,null,22419,null,2031,null,18403,null,2187,null,6429,null,1313,null,4217,null,905,null,0400000US06,California,06
283980,null,4760,null,22050,null,2099,null,3726,null,1043,null,2149,null,802,null,5191,null,1122,null,3560,null,1176,null,3798,null,1140,null,2593,null,833,null,856,null,512,null,177,null,259,null,0,null,275,null,0,null,275,null,150330,null,4574,null,9604,null,2081,null,12692,null,1862,null,21959,null,3119,null,22033,null,2651,null,25223,null,2449,null,28933,null,2878,null,14708,null,2106,null,11582,null,2153,null,2515,null,948,null,1081,null,540,null,84450,null,3198,null,7330,null,1384,null,6292,null,1380,null,9727,null,1381,null,9405,null,1662,null,13895,null,1737,null,16316,null,2049,null,10345,null,1618,null,7813,null,1395,null,2205,null,716,null,1122,null,469,null,27150,null,1651,null,4268,null,853,null,4444,null,972,null,4961,null,963,null,3706,null,717,null,3913,null,890,null,3187,null,724,null,1281,null,470,null,794,null,418,null,295,null,217,null,301,null,271,null,0400000US08,Colorado,08
127048,null,3706,null,9748,null,1664,null,1719,null,780,null,1395,null,609,null,1973,null,682,null,1506,null,769,null,1446,null,598,null,809,null,429,null,586,null,348,null,134,null,129,null,0,null,275,null,180,null,294,null,67021,null,2991,null,6051,null,1454,null,4384,null,1225,null,7442,null,1540,null,9159,null,1779,null,9886,null,1790,null,13730,null,2031,null,7966,null,1925,null,5465,null,1185,null,1231,null,593,null,1707,null,801,null,38560,null,1871,null,6167,null,1287,null,2225,null,793,null,4681,null,1186,null,2414,null,724,null,5376,null,1236,null,5897,null,965,null,4875,null,1185,null,3684,null,998,null,1237,null,652,null,2004,null,709,null,11719,null,1261,null,4339,null,1033,null,1985,null,700,null,1600,null,642,null,672,null,399,null,1245,null,503,null,741,null,338,null,356,null,274,null,339,null,258,null,312,null,230,null,130,null,148,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
18671,null,1407,null,1817,null,538,null,393,null,330,null,122,null,198,null,152,null,188,null,220,null,258,null,291,null,245,null,513,null,371,null,0,null,296,null,126,null,203,null,0,null,296,null,0,null,296,null,11126,null,1207,null,746,null,546,null,367,null,323,null,1116,null,649,null,1378,null,733,null,2090,null,937,null,2031,null,860,null,1094,null,697,null,1143,null,606,null,538,null,426,null,623,null,497,null,4311,null,1009,null,262,null,251,null,701,null,650,null,806,null,539,null,145,null,157,null,599,null,385,null,928,null,502,null,306,null,276,null,221,null,219,null,0,null,296,null,343,null,273,null,1417,null,453,null,530,null,364,null,0,null,296,null,79,null,140,null,31,null,46,null,210,null,206,null,120,null,129,null,232,null,282,null,32,null,59,null,80,null,102,null,103,null,116,null,0400000US11,District of Columbia,11
1207966,null,11670,null,53929,null,3285,null,6366,null,1464,null,5318,null,1171,null,9966,null,1869,null,8113,null,1373,null,9908,null,2025,null,9814,null,1616,null,3204,null,869,null,1030,null,528,null,170,null,208,null,40,null,64,null,540175,null,8184,null,25244,null,2530,null,26428,null,2972,null,71857,null,4944,null,72778,null,4639,null,95889,null,4560,null,115827,null,5399,null,58268,null,4118,null,48388,null,3687,null,13336,null,2039,null,12160,null,1789,null,414454,null,6782,null,30320,null,3148,null,20420,null,2729,null,46120,null,3573,null,50115,null,4036,null,65931,null,4184,null,81694,null,4282,null,48019,null,3476,null,43123,null,3805,null,13917,null,1995,null,14795,null,2049,null,199408,null,5134,null,44225,null,2830,null,28530,null,2685,null,37422,null,2682,null,26467,null,2746,null,23118,null,2709,null,19455,null,2126,null,9905,null,1317,null,5927,null,1037,null,2335,null,724,null,2024,null,681,null,0400000US12,Florida,12
