B10051I_001E,B10051I_001EA,B10051I_001M,B10051I_001MA,B10051I_002E,B10051I_002EA,B10051I_002M,B10051I_002MA,B10051I_003E,B10051I_003EA,B10051I_003M,B10051I_003MA,B10051I_004E,B10051I_004EA,B10051I_004M,B10051I_004MA,B10051I_005E,B10051I_005EA,B10051I_005M,B10051I_005MA,B10051I_006E,B10051I_006EA,B10051I_006M,B10051I_006MA,B10051I_007E,B10051I_007EA,B10051I_007M,B10051I_007MA,GEO_ID,NAME,state
1401,null,610,null,704,null,484,null,368,null,253,null,336,null,426,null,697,null,424,null,452,null,323,null,245,null,236,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
68254,null,4717,null,24777,null,3122,null,19450,null,2796,null,5327,null,1371,null,43477,null,4406,null,23195,null,3185,null,20282,null,3319,null,0400000US04,Arizona,04
4359,null,1210,null,2218,null,1019,null,1811,null,935,null,407,null,436,null,2141,null,832,null,1739,null,761,null,402,null,290,null,0400000US05,Arkansas,05
503079,null,15267,null,138054,null,7822,null,96674,null,6546,null,41380,null,3841,null,365025,null,12959,null,201353,null,9190,null,163672,null,8426,null,0400000US06,California,06
29448,null,3467,null,13591,null,2294,null,9301,null,1891,null,4290,null,1182,null,15857,null,2627,null,7717,null,1776,null,8140,null,1717,null,0400000US08,Colorado,08
10060,null,1734,null,3628,null,996,null,2409,null,714,null,1219,null,604,null,6432,null,1429,null,3299,null,953,null,3133,null,1105,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
112015,null,6771,null,26196,null,3513,null,16991,null,2673,null,9205,null,2031,null,85819,null,5837,null,32544,null,3926,null,53275,null,4451,null,0400000US12,Florida,12
20196,null,3668,null,5663,null,1972,null,3972,null,1504,null,1691,null,1213,null,14533,null,3201,null,7856,null,2674,null,6677,null,1679,null,0400000US13,Georgia,13
2636,null,679,null,733,null,401,null,331,null,236,null,402,null,321,null,1903,null,579,null,698,null,269,null,1205,null,559,null,0400000US15,Hawaii,15
2349,null,742,null,1415,null,560,null,995,null,471,null,420,null,286,null,934,null,459,null,678,null,410,null,256,null,208,null,0400000US16,Idaho,16
