B15002B_001E,B15002B_001EA,B15002B_001M,B15002B_001MA,B15002B_002E,B15002B_002EA,B15002B_002M,B15002B_002MA,B15002B_003E,B15002B_003EA,B15002B_003M,B15002B_003MA,B15002B_004E,B15002B_004EA,B15002B_004M,B15002B_004MA,B15002B_005E,B15002B_005EA,B15002B_005M,B15002B_005MA,B15002B_006E,B15002B_006EA,B15002B_006M,B15002B_006MA,B15002B_007E,B15002B_007EA,B15002B_007M,B15002B_007MA,B15002B_008E,B15002B_008EA,B15002B_008M,B15002B_008MA,B15002B_009E,B15002B_009EA,B15002B_009M,B15002B_009MA,B15002B_010E,B15002B_010EA,B15002B_010M,B15002B_010MA,B15002B_011E,B15002B_011EA,B15002B_011M,B15002B_011MA,B15002B_012E,B15002B_012EA,B15002B_012M,B15002B_012MA,B15002B_013E,B15002B_013EA,B15002B_013M,B15002B_013MA,B15002B_014E,B15002B_014EA,B15002B_014M,B15002B_014MA,B15002B_015E,B15002B_015EA,B15002B_015M,B15002B_015MA,B15002B_016E,B15002B_016EA,B15002B_016M,B15002B_016MA,B15002B_017E,B15002B_017EA,B15002B_017M,B15002B_017MA,B15002B_018E,B15002B_018EA,B15002B_018M,B15002B_018MA,B15002B_019E,B15002B_019EA,B15002B_019M,B15002B_019MA,GEO_ID,NAME,state
726764,null,5645,null,321983,null,4208,null,23711,null,2584,null,55629,null,3388,null,104789,null,4615,null,14855,null,2052,null,64823,null,4086,null,19546,null,2335,null,25838,null,2668,null,12792,null,1674,null,404781,null,3190,null,28470,null,2311,null,60289,null,3752,null,105948,null,5241,null,14121,null,2005,null,97371,null,4731,null,33288,null,3110,null,42031,null,3064,null,23263,null,2449,null,0400000US01,Alabama,01
13576,null,1841,null,7218,null,1054,null,163,null,190,null,189,null,123,null,1441,null,590,null,493,null,301,null,2946,null,913,null,778,null,486,null,616,null,411,null,592,null,460,null,6358,null,1172,null,10,null,18,null,591,null,381,null,792,null,411,null,316,null,318,null,2620,null,892,null,885,null,570,null,778,null,475,null,366,null,331,null,0400000US02,Alaska,02
137598,null,2976,null,72773,null,1835,null,2694,null,980,null,6841,null,1465,null,16486,null,2340,null,4403,null,1078,null,20939,null,2317,null,6418,null,1170,null,9798,null,1572,null,5194,null,1446,null,64825,null,1992,null,2776,null,935,null,5729,null,1409,null,11264,null,2005,null,2363,null,868,null,22294,null,2054,null,4370,null,1150,null,9877,null,1860,null,6152,null,1674,null,0400000US04,Arizona,04
251829,null,3387,null,113288,null,2774,null,8321,null,1264,null,17349,null,2188,null,43379,null,3398,null,6031,null,1070,null,19676,null,2494,null,5463,null,1425,null,9055,null,1458,null,4014,null,1050,null,138541,null,2280,null,10261,null,1452,null,20981,null,2157,null,41202,null,3180,null,4636,null,968,null,34404,null,2803,null,8927,null,1622,null,11994,null,1850,null,6136,null,1156,null,0400000US05,Arkansas,05
1394700,null,7880,null,666143,null,5825,null,24650,null,3122,null,75293,null,4493,null,156782,null,6229,null,28027,null,2731,null,193500,null,7559,null,57911,null,4094,null,87032,null,5758,null,42948,null,3591,null,728557,null,4416,null,23035,null,2587,null,63994,null,4759,null,147975,null,6445,null,13639,null,2012,null,236211,null,6320,null,83423,null,4114,null,105572,null,6343,null,54708,null,3410,null,0400000US06,California,06
113953,null,2316,null,61204,null,1844,null,3687,null,1172,null,5486,null,1196,null,12230,null,1682,null,3869,null,1002,null,17189,null,2000,null,4563,null,1002,null,8531,null,1392,null,5649,null,1287,null,52749,null,1620,null,2497,null,1102,null,4426,null,1110,null,11446,null,1849,null,3084,null,1023,null,13774,null,1856,null,5061,null,1238,null,7590,null,1402,null,4871,null,1217,null,0400000US08,Colorado,08
200970,null,3303,null,91913,null,2303,null,5869,null,1438,null,11705,null,1814,null,29359,null,2806,null,5495,null,1130,null,17806,null,2153,null,6196,null,1481,null,9246,null,1769,null,6237,null,1269,null,109057,null,2116,null,7044,null,1302,null,14071,null,2074,null,28131,null,2606,null,3755,null,1048,null,26223,null,2735,null,8458,null,1756,null,13119,null,2054,null,8256,null,1784,null,0400000US09,Connecticut,09
108022,null,1512,null,48221,null,947,null,1526,null,488,null,7745,null,1423,null,13217,null,1546,null,2510,null,876,null,11256,null,1691,null,2690,null,855,null,6408,null,1505,null,2869,null,960,null,59801,null,936,null,2878,null,849,null,6869,null,1324,null,14368,null,1882,null,2189,null,633,null,17156,null,2174,null,4374,null,1091,null,7910,null,2080,null,4057,null,1142,null,0400000US10,Delaware,10
209362,null,1987,null,89655,null,994,null,5651,null,1270,null,12491,null,2414,null,25162,null,2707,null,5744,null,1525,null,18955,null,2275,null,2892,null,872,null,11937,null,2034,null,6823,null,1164,null,119707,null,1279,null,5987,null,1193,null,15974,null,2478,null,34673,null,2924,null,4261,null,1074,null,26069,null,2531,null,6317,null,1270,null,13349,null,1634,null,13077,null,1952,null,0400000US11,District of Columbia,11
1665996,null,8346,null,771297,null,5260,null,65347,null,5545,null,124027,null,7012,null,231027,null,8410,null,37908,null,2975,null,151718,null,6757,null,51083,null,4677,null,75223,null,5441,null,34964,null,3473,null,894699,null,5568,null,65750,null,4415,null,122410,null,5417,null,239276,null,8704,null,32200,null,3270,null,200314,null,6799,null,78938,null,4882,null,103842,null,5663,null,51969,null,3665,null,0400000US12,Florida,12
