B16005G_001E,B16005G_001EA,B16005G_001M,B16005G_001MA,B16005G_002E,B16005G_002EA,B16005G_002M,B16005G_002MA,B16005G_003E,B16005G_003EA,B16005G_003M,B16005G_003MA,B16005G_004E,B16005G_004EA,B16005G_004M,B16005G_004MA,B16005G_005E,B16005G_005EA,B16005G_005M,B16005G_005MA,B16005G_006E,B16005G_006EA,B16005G_006M,B16005G_006MA,B16005G_007E,B16005G_007EA,B16005G_007M,B16005G_007MA,B16005G_008E,B16005G_008EA,B16005G_008M,B16005G_008MA,B16005G_009E,B16005G_009EA,B16005G_009M,B16005G_009MA,B16005G_010E,B16005G_010EA,B16005G_010M,B16005G_010MA,B16005G_011E,B16005G_011EA,B16005G_011M,B16005G_011MA,GEO_ID,NAME,state
51133,null,4785,null,49297,null,4763,null,47276,null,4495,null,2021,null,886,null,1823,null,847,null,198,null,169,null,1836,null,699,null,713,null,495,null,1123,null,572,null,572,null,425,null,551,null,385,null,0400000US01,Alabama,01
46560,null,3799,null,44868,null,3581,null,39652,null,3030,null,5216,null,1536,null,4534,null,1566,null,682,null,333,null,1692,null,905,null,627,null,511,null,1065,null,617,null,647,null,426,null,418,null,358,null,0400000US02,Alaska,02
136300,null,7758,null,127581,null,7483,null,107941,null,7142,null,19640,null,3723,null,17620,null,3669,null,2020,null,690,null,8719,null,1736,null,2186,null,788,null,6533,null,1517,null,3220,null,860,null,3313,null,1048,null,0400000US04,Arizona,04
47506,null,4145,null,46729,null,4118,null,44173,null,3940,null,2556,null,1383,null,2023,null,1173,null,533,null,509,null,777,null,405,null,300,null,238,null,477,null,314,null,51,null,86,null,426,null,293,null,0400000US05,Arkansas,05
1108858,null,22655,null,990482,null,21185,null,834751,null,20988,null,155731,null,8089,null,133727,null,7727,null,22004,null,2649,null,118376,null,7486,null,18863,null,2551,null,99513,null,6755,null,42469,null,4112,null,57044,null,5134,null,0400000US06,California,06
127880,null,7619,null,120824,null,7290,null,107600,null,6993,null,13224,null,2355,null,10817,null,2044,null,2407,null,905,null,7056,null,1674,null,1790,null,690,null,5266,null,1612,null,2764,null,1026,null,2502,null,912,null,0400000US08,Colorado,08
63086,null,5673,null,56592,null,5480,null,47808,null,4960,null,8784,null,2581,null,7519,null,2352,null,1265,null,555,null,6494,null,1630,null,1150,null,434,null,5344,null,1535,null,2659,null,728,null,2685,null,1252,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
11106,null,3342,null,9349,null,2774,null,8446,null,2577,null,903,null,511,null,903,null,511,null,0,null,296,null,1757,null,847,null,454,null,516,null,1303,null,604,null,909,null,471,null,394,null,324,null,0400000US11,District of Columbia,11
283305,null,12001,null,227824,null,10161,null,186214,null,9217,null,41610,null,4736,null,33638,null,4122,null,7972,null,1947,null,55481,null,5123,null,15976,null,2282,null,39505,null,4479,null,17423,null,2235,null,22082,null,3496,null,0400000US12,Florida,12
