C21001F_001E,C21001F_001EA,C21001F_001M,C21001F_001MA,C21001F_002E,C21001F_002EA,C21001F_002M,C21001F_002MA,C21001F_003E,C21001F_003EA,C21001F_003M,C21001F_003MA,C21001F_004E,C21001F_004EA,C21001F_004M,C21001F_004MA,C21001F_005E,C21001F_005EA,C21001F_005M,C21001F_005MA,C21001F_006E,C21001F_006EA,C21001F_006M,C21001F_006MA,C21001F_007E,C21001F_007EA,C21001F_007M,C21001F_007MA,C21001F_008E,C21001F_008EA,C21001F_008M,C21001F_008MA,C21001F_009E,C21001F_009EA,C21001F_009M,C21001F_009MA,C21001F_010E,C21001F_010EA,C21001F_010M,C21001F_010MA,C21001F_011E,C21001F_011EA,C21001F_011M,C21001F_011MA,C21001F_012E,C21001F_012EA,C21001F_012M,C21001F_012MA,C21001F_013E,C21001F_013EA,C21001F_013M,C21001F_013MA,C21001F_014E,C21001F_014EA,C21001F_014M,C21001F_014MA,C21001F_015E,C21001F_015EA,C21001F_015M,C21001F_015MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
286638,null,14885,null,151158,null,9276,null,141727,null,8501,null,8767,null,1607,null,132960,null,8187,null,9431,null,1679,null,3857,null,1236,null,5574,null,1134,null,135480,null,7652,null,126557,null,7101,null,791,null,578,null,125766,null,7014,null,8923,null,1503,null,0,null,302,null,8923,null,1503,null,0400000US04,Arizona,04
37172,null,3220,null,20956,null,2082,null,20623,null,2133,null,479,null,280,null,20144,null,2104,null,333,null,293,null,0,null,269,null,333,null,293,null,16216,null,1779,null,15772,null,1774,null,296,null,295,null,15476,null,1797,null,444,null,275,null,0,null,269,null,444,null,275,null,0400000US05,Arkansas,05
3489025,null,43228,null,1820154,null,26099,null,1730494,null,25140,null,59704,null,4578,null,1670790,null,24663,null,89660,null,4348,null,13984,null,2061,null,75676,null,4009,null,1668871,null,22349,null,1538589,null,21327,null,4587,null,1278,null,1534002,null,21073,null,130282,null,5641,null,375,null,321,null,129907,null,5685,null,0400000US06,California,06
156218,null,8863,null,85084,null,5997,null,80573,null,5907,null,8403,null,1592,null,72170,null,5762,null,4511,null,899,null,1776,null,511,null,2735,null,714,null,71134,null,4286,null,66315,null,4068,null,798,null,463,null,65517,null,4021,null,4819,null,1022,null,0,null,275,null,4819,null,1022,null,0400000US08,Colorado,08
110641,null,7276,null,55483,null,4337,null,53251,null,4226,null,1474,null,583,null,51777,null,4251,null,2232,null,764,null,304,null,260,null,1928,null,728,null,55158,null,3767,null,52110,null,3655,null,799,null,547,null,51311,null,3673,null,3048,null,632,null,0,null,275,null,3048,null,632,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
337421,null,15998,null,178254,null,9499,null,167864,null,9317,null,8202,null,1637,null,159662,null,9213,null,10390,null,1842,null,1694,null,723,null,8696,null,1754,null,159167,null,9003,null,145316,null,8327,null,1354,null,604,null,143962,null,8274,null,13851,null,2112,null,304,null,296,null,13547,null,2086,null,0400000US12,Florida,12
