B17010F_001E,B17010F_001EA,B17010F_001M,B17010F_001MA,B17010F_002E,B17010F_002EA,B17010F_002M,B17010F_002MA,B17010F_003E,B17010F_003EA,B17010F_003M,B17010F_003MA,B17010F_004E,B17010F_004EA,B17010F_004M,B17010F_004MA,B17010F_005E,B17010F_005EA,B17010F_005M,B17010F_005MA,B17010F_006E,B17010F_006EA,B17010F_006M,B17010F_006MA,B17010F_007E,B17010F_007EA,B17010F_007M,B17010F_007MA,B17010F_008E,B17010F_008EA,B17010F_008M,B17010F_008MA,B17010F_009E,B17010F_009EA,B17010F_009M,B17010F_009MA,B17010F_010E,B17010F_010EA,B17010F_010M,B17010F_010MA,B17010F_011E,B17010F_011EA,B17010F_011M,B17010F_011MA,B17010F_012E,B17010F_012EA,B17010F_012M,B17010F_012MA,B17010F_013E,B17010F_013EA,B17010F_013M,B17010F_013MA,B17010F_014E,B17010F_014EA,B17010F_014M,B17010F_014MA,B17010F_015E,B17010F_015EA,B17010F_015M,B17010F_015MA,B17010F_016E,B17010F_016EA,B17010F_016M,B17010F_016MA,B17010F_017E,B17010F_017EA,B17010F_017M,B17010F_017MA,B17010F_018E,B17010F_018EA,B17010F_018M,B17010F_018MA,B17010F_019E,B17010F_019EA,B17010F_019M,B17010F_019MA,B17010F_020E,B17010F_020EA,B17010F_020M,B17010F_020MA,B17010F_021E,B17010F_021EA,B17010F_021M,B17010F_021MA,B17010F_022E,B17010F_022EA,B17010F_022M,B17010F_022MA,B17010F_023E,B17010F_023EA,B17010F_023M,B17010F_023MA,B17010F_024E,B17010F_024EA,B17010F_024M,B17010F_024MA,B17010F_025E,B17010F_025EA,B17010F_025M,B17010F_025MA,B17010F_026E,B17010F_026EA,B17010F_026M,B17010F_026MA,B17010F_027E,B17010F_027EA,B17010F_027M,B17010F_027MA,B17010F_028E,B17010F_028EA,B17010F_028M,B17010F_028MA,B17010F_029E,B17010F_029EA,B17010F_029M,B17010F_029MA,B17010F_030E,B17010F_030EA,B17010F_030M,B17010F_030MA,B17010F_031E,B17010F_031EA,B17010F_031M,B17010F_031MA,B17010F_032E,B17010F_032EA,B17010F_032M,B17010F_032MA,B17010F_033E,B17010F_033EA,B17010F_033M,B17010F_033MA,B17010F_034E,B17010F_034EA,B17010F_034M,B17010F_034MA,B17010F_035E,B17010F_035EA,B17010F_035M,B17010F_035MA,B17010F_036E,B17010F_036EA,B17010F_036M,B17010F_036MA,B17010F_037E,B17010F_037EA,B17010F_037M,B17010F_037MA,B17010F_038E,B17010F_038EA,B17010F_038M,B17010F_038MA,B17010F_039E,B17010F_039EA,B17010F_039M,B17010F_039MA,B17010F_040E,B17010F_040EA,B17010F_040M,B17010F_040MA,B17010F_041E,B17010F_041EA,B17010F_041M,B17010F_041MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
91191,null,5284,null,17388,null,2395,null,7225,null,1743,null,6052,null,1562,null,812,null,610,null,2350,null,833,null,2890,null,1180,null,1173,null,583,null,10163,null,1743,null,1268,null,683,null,1035,null,634,null,438,null,448,null,307,null,324,null,290,null,292,null,233,null,241,null,8895,null,1619,null,8538,null,1557,null,1241,null,710,null,3884,null,1238,null,3413,null,844,null,357,null,262,null,73803,null,4914,null,51724,null,3836,null,35790,null,2957,null,5715,null,1376,null,9239,null,1495,null,20836,null,2377,null,15934,null,2038,null,22079,null,2603,null,9328,null,1937,null,6821,null,1693,null,1720,null,793,null,1638,null,773,null,3463,null,1100,null,2507,null,844,null,12751,null,1885,null,10075,null,1855,null,2210,null,937,null,2113,null,859,null,5752,null,1449,null,2676,null,767,null,0400000US04,Arizona,04
12781,null,1604,null,4120,null,1311,null,2720,null,1115,null,2579,null,1107,null,382,null,357,null,1165,null,625,null,1032,null,881,null,141,null,196,null,1400,null,614,null,385,null,267,null,304,null,234,null,28,null,59,null,276,null,228,null,0,null,269,null,81,null,128,null,1015,null,543,null,929,null,526,null,142,null,156,null,407,null,402,null,380,null,370,null,86,null,127,null,8661,null,1343,null,6350,null,1140,null,4475,null,996,null,621,null,454,null,1415,null,632,null,2439,null,686,null,1875,null,803,null,2311,null,870,null,928,null,535,null,580,null,366,null,257,null,233,null,91,null,137,null,232,null,231,null,348,null,317,null,1383,null,701,null,1186,null,602,null,151,null,210,null,39,null,69,null,996,null,584,null,197,null,262,null,0400000US05,Arkansas,05
1049642,null,15326,null,198689,null,8106,null,86682,null,4974,null,75216,null,4741,null,8810,null,1981,null,35352,null,3299,null,31054,null,3242,null,11466,null,1845,null,112007,null,5512,null,23492,null,2938,null,21017,null,2817,null,5237,null,1389,null,7010,null,1787,null,8770,null,1659,null,2475,null,715,null,88515,null,4851,null,82488,null,4719,null,12492,null,2148,null,30763,null,3279,null,39233,null,3105,null,6027,null,1505,null,850953,null,14541,null,573546,null,13195,null,412041,null,11673,null,60350,null,3493,null,124019,null,6288,null,227672,null,9191,null,161505,null,6109,null,277407,null,7988,null,112866,null,6088,null,68263,null,4733,null,14990,null,2331,null,16556,null,2217,null,36717,null,3807,null,44603,null,4184,null,164541,null,6282,null,112658,null,6220,null,15711,null,2366,null,23716,null,2452,null,73231,null,4657,null,51883,null,3635,null,0400000US06,California,06
49165,null,3336,null,9831,null,2015,null,5350,null,1596,null,4587,null,1527,null,623,null,589,null,2401,null,1057,null,1563,null,768,null,763,null,554,null,4481,null,1068,null,949,null,640,null,777,null,621,null,40,null,69,null,446,null,498,null,291,null,379,null,172,null,171,null,3532,null,956,null,3371,null,938,null,372,null,308,null,1636,null,691,null,1363,null,595,null,161,null,158,null,39334,null,2866,null,27631,null,2576,null,17731,null,2127,null,3744,null,1078,null,4529,null,1061,null,9458,null,1566,null,9900,null,1344,null,11703,null,1624,null,4250,null,1157,null,2686,null,1001,null,1164,null,591,null,503,null,399,null,1019,null,663,null,1564,null,735,null,7453,null,1362,null,6117,null,1306,null,570,null,436,null,821,null,472,null,4726,null,1271,null,1336,null,614,null,0400000US08,Colorado,08
35190,null,2565,null,10643,null,1696,null,1620,null,655,null,1132,null,574,null,0,null,275,null,591,null,469,null,541,null,331,null,488,null,369,null,9023,null,1555,null,928,null,529,null,879,null,522,null,298,null,321,null,226,null,269,null,355,null,344,null,49,null,82,null,8095,null,1354,null,7411,null,1335,null,1311,null,714,null,2667,null,918,null,3433,null,881,null,684,null,437,null,24547,null,2131,null,15040,null,1742,null,10234,null,1525,null,2745,null,961,null,2300,null,878,null,5189,null,1095,null,4806,null,1291,null,9507,null,1546,null,2671,null,858,null,1418,null,699,null,657,null,495,null,145,null,175,null,616,null,432,null,1253,null,562,null,6836,null,1372,null,4582,null,1168,null,514,null,275,null,1307,null,624,null,2761,null,828,null,2254,null,814,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
104101,null,6073,null,16237,null,2530,null,6913,null,1732,null,5078,null,1542,null,229,null,197,null,2062,null,921,null,2787,null,1106,null,1835,null,884,null,9324,null,1632,null,1695,null,758,null,1219,null,648,null,389,null,329,null,346,null,385,null,484,null,404,null,476,null,379,null,7629,null,1439,null,6870,null,1410,null,1011,null,557,null,2235,null,803,null,3624,null,1050,null,759,null,531,null,87864,null,5533,null,58882,null,4846,null,38836,null,4160,null,5798,null,1268,null,9140,null,1967,null,23898,null,2939,null,20046,null,2055,null,28982,null,3150,null,12351,null,2200,null,6297,null,1598,null,2470,null,1119,null,1135,null,650,null,2692,null,1010,null,6054,null,1501,null,16631,null,2273,null,11972,null,1905,null,2370,null,968,null,1318,null,681,null,8284,null,1441,null,4659,null,1245,null,0400000US12,Florida,12
