C05003E_001E,C05003E_001EA,C05003E_001M,C05003E_001MA,C05003E_002E,C05003E_002EA,C05003E_002M,C05003E_002MA,C05003E_003E,C05003E_003EA,C05003E_003M,C05003E_003MA,C05003E_004E,C05003E_004EA,C05003E_004M,C05003E_004MA,C05003E_005E,C05003E_005EA,C05003E_005M,C05003E_005MA,C05003E_006E,C05003E_006EA,C05003E_006M,C05003E_006MA,C05003E_007E,C05003E_007EA,C05003E_007M,C05003E_007MA,C05003E_008E,C05003E_008EA,C05003E_008M,C05003E_008MA,C05003E_009E,C05003E_009EA,C05003E_009M,C05003E_009MA,C05003E_010E,C05003E_010EA,C05003E_010M,C05003E_010MA,C05003E_011E,C05003E_011EA,C05003E_011M,C05003E_011MA,C05003E_012E,C05003E_012EA,C05003E_012M,C05003E_012MA,C05003E_013E,C05003E_013EA,C05003E_013M,C05003E_013MA,C05003E_014E,C05003E_014EA,C05003E_014M,C05003E_014MA,C05003E_015E,C05003E_015EA,C05003E_015M,C05003E_015MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
3764,null,596,null,1418,null,589,null,594,null,300,null,594,null,300,null,0,null,240,null,824,null,437,null,689,null,388,null,135,null,182,null,2346,null,459,null,654,null,284,null,654,null,284,null,0,null,240,null,1692,null,398,null,1417,null,426,null,275,null,288,null,0400000US02,Alaska,02
9340,null,1212,null,5425,null,952,null,1271,null,304,null,1218,null,317,null,53,null,98,null,4154,null,853,null,3423,null,857,null,731,null,442,null,3915,null,683,null,1497,null,484,null,1400,null,500,null,97,null,153,null,2418,null,334,null,1637,null,432,null,781,null,361,null,0400000US04,Arizona,04
1916,null,511,null,877,null,274,null,503,null,190,null,395,null,226,null,108,null,112,null,374,null,211,null,106,null,112,null,268,null,189,null,1039,null,460,null,401,null,278,null,283,null,287,null,118,null,67,null,638,null,273,null,330,null,248,null,308,null,151,null,0400000US05,Arkansas,05
132180,null,5944,null,65354,null,4161,null,16896,null,2898,null,15572,null,2674,null,1324,null,927,null,48458,null,2719,null,32422,null,2681,null,16036,null,2364,null,66826,null,3371,null,15068,null,1979,null,13604,null,1958,null,1464,null,1032,null,51758,null,2433,null,33262,null,2945,null,18496,null,2489,null,0400000US06,California,06
5464,null,1333,null,2337,null,879,null,731,null,430,null,731,null,430,null,0,null,275,null,1606,null,762,null,830,null,560,null,776,null,446,null,3127,null,880,null,713,null,497,null,713,null,497,null,0,null,275,null,2414,null,671,null,2303,null,670,null,111,null,124,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
7560,null,1547,null,4527,null,972,null,1495,null,552,null,1443,null,555,null,52,null,87,null,3032,null,874,null,1957,null,717,null,1075,null,538,null,3033,null,889,null,859,null,319,null,793,null,287,null,66,null,111,null,2174,null,714,null,1302,null,478,null,872,null,439,null,0400000US12,Florida,12
