B16005B_001E,B16005B_001EA,B16005B_001M,B16005B_001MA,B16005B_002E,B16005B_002EA,B16005B_002M,B16005B_002MA,B16005B_003E,B16005B_003EA,B16005B_003M,B16005B_003MA,B16005B_004E,B16005B_004EA,B16005B_004M,B16005B_004MA,B16005B_005E,B16005B_005EA,B16005B_005M,B16005B_005MA,B16005B_006E,B16005B_006EA,B16005B_006M,B16005B_006MA,B16005B_007E,B16005B_007EA,B16005B_007M,B16005B_007MA,B16005B_008E,B16005B_008EA,B16005B_008M,B16005B_008MA,B16005B_009E,B16005B_009EA,B16005B_009M,B16005B_009MA,B16005B_010E,B16005B_010EA,B16005B_010M,B16005B_010MA,B16005B_011E,B16005B_011EA,B16005B_011M,B16005B_011MA,GEO_ID,NAME,state
1130309,null,5094,null,1122116,null,5291,null,1108212,null,5673,null,13904,null,2508,null,10314,null,2143,null,3590,null,870,null,8193,null,1697,null,5184,null,1365,null,3009,null,1210,null,2056,null,1012,null,953,null,495,null,0400000US01,Alabama,01
23207,null,3128,null,20349,null,2830,null,19122,null,2728,null,1227,null,782,null,1227,null,782,null,0,null,240,null,2858,null,1398,null,1393,null,1232,null,1465,null,777,null,781,null,631,null,684,null,482,null,0400000US02,Alaska,02
213471,null,4224,null,191292,null,5856,null,184128,null,5596,null,7164,null,1766,null,5939,null,1586,null,1225,null,496,null,22179,null,4439,null,6162,null,2148,null,16017,null,4365,null,7445,null,2528,null,8572,null,3081,null,0400000US04,Arizona,04
408782,null,3609,null,406471,null,3872,null,402423,null,4012,null,4048,null,1440,null,3158,null,1162,null,890,null,819,null,2311,null,1497,null,982,null,748,null,1329,null,965,null,1051,null,924,null,278,null,233,null,0400000US05,Arkansas,05
2111556,null,11567,null,1965818,null,13579,null,1885220,null,15274,null,80598,null,7246,null,70069,null,6710,null,10529,null,1700,null,145738,null,10251,null,53111,null,5801,null,92627,null,7823,null,54865,null,5726,null,37762,null,4244,null,0400000US06,California,06
173334,null,3943,null,152729,null,4619,null,143437,null,5033,null,9292,null,2117,null,7882,null,1917,null,1410,null,509,null,20605,null,3966,null,2647,null,955,null,17958,null,3840,null,10098,null,2529,null,7860,null,2083,null,0400000US08,Colorado,08
307015,null,4806,null,244395,null,6124,null,229684,null,5854,null,14711,null,2695,null,12435,null,2497,null,2276,null,766,null,62620,null,5026,null,40500,null,4402,null,22120,null,3607,null,12458,null,2475,null,9662,null,2366,null,0400000US09,Connecticut,09
165945,null,2206,null,153767,null,3426,null,148996,null,3823,null,4771,null,1264,null,3909,null,1169,null,862,null,465,null,12178,null,3131,null,7154,null,2214,null,5024,null,2190,null,4266,null,2124,null,758,null,555,null,0400000US10,Delaware,10
296428,null,3111,null,277725,null,4670,null,269656,null,4918,null,8069,null,2026,null,7029,null,1851,null,1040,null,730,null,18703,null,3009,null,8404,null,1927,null,10299,null,2206,null,6155,null,1826,null,4144,null,1415,null,0400000US11,District of Columbia,11
2590341,null,11195,null,2044421,null,16220,null,1911151,null,19086,null,133270,null,9447,null,111703,null,8343,null,21567,null,3468,null,545920,null,14795,null,238970,null,9159,null,306950,null,14167,null,117978,null,8125,null,188972,null,11298,null,0400000US12,Florida,12
