C19101D_001E,C19101D_001EA,C19101D_001M,C19101D_001MA,C19101D_002E,C19101D_002EA,C19101D_002M,C19101D_002MA,C19101D_003E,C19101D_003EA,C19101D_003M,C19101D_003MA,C19101D_004E,C19101D_004EA,C19101D_004M,C19101D_004MA,C19101D_005E,C19101D_005EA,C19101D_005M,C19101D_005MA,C19101D_006E,C19101D_006EA,C19101D_006M,C19101D_006MA,C19101D_007E,C19101D_007EA,C19101D_007M,C19101D_007MA,C19101D_008E,C19101D_008EA,C19101D_008M,C19101D_008MA,C19101D_009E,C19101D_009EA,C19101D_009M,C19101D_009MA,C19101D_010E,C19101D_010EA,C19101D_010M,C19101D_010MA,C19101D_011E,C19101D_011EA,C19101D_011M,C19101D_011MA,GEO_ID,NAME,state
10303,null,1310,null,677,null,505,null,209,null,329,null,551,null,393,null,1073,null,538,null,1893,null,898,null,2036,null,705,null,1075,null,434,null,1717,null,705,null,628,null,384,null,444,null,330,null,0400000US01,Alabama,01
6868,null,867,null,285,null,307,null,159,null,156,null,704,null,401,null,385,null,349,null,851,null,425,null,1571,null,568,null,1365,null,570,null,1175,null,396,null,308,null,224,null,65,null,73,null,0400000US02,Alaska,02
32556,null,2187,null,737,null,358,null,1349,null,601,null,1843,null,594,null,3112,null,862,null,2526,null,948,null,6752,null,1429,null,3841,null,778,null,7457,null,1306,null,1777,null,562,null,3162,null,975,null,0400000US04,Arizona,04
6825,null,1053,null,448,null,356,null,133,null,133,null,620,null,363,null,1030,null,484,null,929,null,563,null,1705,null,828,null,643,null,366,null,787,null,361,null,330,null,303,null,200,null,185,null,0400000US05,Arkansas,05
1060472,null,10132,null,29106,null,2751,null,28694,null,2742,null,76464,null,4511,null,64480,null,4250,null,105456,null,5656,null,170573,null,5740,null,141747,null,5588,null,225098,null,6312,null,109980,null,4526,null,108874,null,4495,null,0400000US06,California,06
28970,null,1998,null,865,null,478,null,377,null,329,null,1294,null,584,null,2076,null,717,null,3895,null,934,null,6140,null,1326,null,3794,null,892,null,6362,null,1213,null,2694,null,786,null,1473,null,558,null,0400000US08,Colorado,08
30325,null,1548,null,1139,null,745,null,654,null,379,null,974,null,493,null,1458,null,627,null,2668,null,820,null,5452,null,991,null,4297,null,1033,null,6742,null,1131,null,3093,null,886,null,3848,null,926,null,0400000US09,Connecticut,09
6054,null,505,null,0,null,263,null,0,null,263,null,446,null,324,null,145,null,169,null,357,null,190,null,1229,null,590,null,586,null,245,null,1320,null,537,null,1190,null,481,null,781,null,343,null,0400000US10,Delaware,10
2926,null,635,null,0,null,296,null,49,null,81,null,313,null,290,null,163,null,134,null,438,null,429,null,224,null,220,null,285,null,227,null,710,null,366,null,94,null,104,null,650,null,309,null,0400000US11,District of Columbia,11
99245,null,3239,null,3439,null,1049,null,3004,null,823,null,8102,null,1546,null,9860,null,1645,null,14474,null,1960,null,19006,null,2494,null,14602,null,2065,null,15803,null,2023,null,5178,null,1086,null,5777,null,1508,null,0400000US12,Florida,12
64118,null,3097,null,2614,null,913,null,1572,null,712,null,4927,null,1197,null,5248,null,1350,null,7590,null,1272,null,12528,null,1803,null,7848,null,1297,null,11266,null,1639,null,5291,null,912,null,5234,null,1347,null,0400000US13,Georgia,13
127521,null,3643,null,3069,null,955,null,2381,null,790,null,4272,null,1073,null,7968,null,1305,null,14853,null,1894,null,23714,null,2490,null,21504,null,2151,null,30096,null,2398,null,11718,null,1662,null,7946,null,1201,null,0400000US15,Hawaii,15
4058,null,643,null,367,null,364,null,338,null,293,null,101,null,124,null,273,null,246,null,755,null,336,null,994,null,455,null,519,null,335,null,497,null,363,null,214,null,188,null,0,null,259,null,0400000US16,Idaho,16
133508,null,3977,null,3359,null,897,null,2450,null,759,null,5937,null,1163,null,9606,null,1907,null,14920,null,2366,null,19922,null,2189,null,23005,null,2361,null,27384,null,2371,null,12827,null,1448,null,14098,null,1630,null,0400000US17,Illinois,17
18016,null,1446,null,1698,null,750,null,414,null,302,null,1380,null,550,null,1552,null,667,null,2231,null,736,null,2529,null,694,null,2348,null,646,null,3292,null,785,null,835,null,425,null,1737,null,730,null,0400000US18,Indiana,18
9527,null,1142,null,656,null,466,null,124,null,151,null,819,null,409,null,683,null,474,null,1201,null,445,null,2494,null,863,null,1615,null,495,null,1138,null,485,null,436,null,265,null,361,null,253,null,0400000US19,Iowa,19
15033,null,1223,null,674,null,396,null,250,null,221,null,1478,null,670,null,712,null,396,null,1793,null,611,null,2709,null,794,null,2823,null,864,null,2291,null,736,null,1323,null,538,null,980,null,455,null,0400000US20,Kansas,20
9343,null,1151,null,322,null,370,null,130,null,115,null,358,null,279,null,758,null,565,null,933,null,406,null,1926,null,541,null,1553,null,475,null,1499,null,560,null,610,null,315,null,1254,null,579,null,0400000US21,Kentucky,21
12829,null,1368,null,1550,null,842,null,340,null,326,null,929,null,552,null,941,null,443,null,2209,null,695,null,2701,null,690,null,1495,null,608,null,1540,null,541,null,574,null,330,null,550,null,293,null,0400000US22,Louisiana,22
2324,null,601,null,434,null,413,null,28,null,41,null,134,null,140,null,73,null,73,null,213,null,149,null,557,null,416,null,297,null,209,null,320,null,203,null,98,null,155,null,170,null,220,null,0400000US23,Maine,23
