B12002D_001E,B12002D_001EA,B12002D_001M,B12002D_001MA,B12002D_002E,B12002D_002EA,B12002D_002M,B12002D_002MA,B12002D_003E,B12002D_003EA,B12002D_003M,B12002D_003MA,B12002D_004E,B12002D_004EA,B12002D_004M,B12002D_004MA,B12002D_005E,B12002D_005EA,B12002D_005M,B12002D_005MA,B12002D_006E,B12002D_006EA,B12002D_006M,B12002D_006MA,B12002D_007E,B12002D_007EA,B12002D_007M,B12002D_007MA,B12002D_008E,B12002D_008EA,B12002D_008M,B12002D_008MA,B12002D_009E,B12002D_009EA,B12002D_009M,B12002D_009MA,B12002D_010E,B12002D_010EA,B12002D_010M,B12002D_010MA,B12002D_011E,B12002D_011EA,B12002D_011M,B12002D_011MA,B12002D_012E,B12002D_012EA,B12002D_012M,B12002D_012MA,B12002D_013E,B12002D_013EA,B12002D_013M,B12002D_013MA,GEO_ID,NAME,state
34663,null,2092,null,16003,null,1202,null,5998,null,1125,null,8905,null,1178,null,328,null,238,null,76,null,121,null,696,null,384,null,18660,null,1491,null,3315,null,1068,null,12419,null,1487,null,271,null,273,null,1362,null,660,null,1293,null,623,null,0400000US01,Alabama,01
26805,null,1408,null,12474,null,1275,null,4376,null,920,null,6663,null,928,null,268,null,310,null,179,null,208,null,988,null,488,null,14331,null,814,null,3285,null,722,null,7860,null,965,null,450,null,402,null,1379,null,522,null,1357,null,445,null,0400000US02,Alaska,02
124398,null,2833,null,57802,null,1747,null,18345,null,1681,null,34382,null,2326,null,380,null,403,null,985,null,474,null,3710,null,1345,null,66596,null,2184,null,14267,null,1699,null,39657,null,2116,null,642,null,485,null,6306,null,1361,null,5724,null,1208,null,0400000US04,Arizona,04
22823,null,1423,null,11046,null,821,null,4449,null,881,null,5183,null,866,null,108,null,180,null,198,null,211,null,1108,null,558,null,11777,null,1119,null,2683,null,733,null,6832,null,996,null,363,null,416,null,717,null,402,null,1182,null,585,null,0400000US05,Arkansas,05
3784703,null,8857,null,1794549,null,6162,null,622561,null,9317,null,1044674,null,8753,null,21514,null,2451,null,29761,null,2680,null,76039,null,4655,null,1990154,null,5078,null,547124,null,9699,null,1095449,null,10810,null,32113,null,3355,null,179051,null,6420,null,136417,null,7398,null,0400000US06,California,06
103241,null,2380,null,46093,null,1630,null,14886,null,1920,null,27792,null,1850,null,718,null,397,null,467,null,371,null,2230,null,853,null,57148,null,1817,null,12958,null,1709,null,34131,null,1636,null,819,null,417,null,4794,null,1016,null,4446,null,961,null,0400000US08,Colorado,08
95415,null,1677,null,48018,null,965,null,16347,null,1263,null,29808,null,1630,null,100,null,119,null,570,null,406,null,1193,null,648,null,47397,null,1155,null,11689,null,1358,null,29891,null,1351,null,330,null,271,null,2728,null,662,null,2759,null,726,null,0400000US09,Connecticut,09
19669,null,678,null,9533,null,400,null,2805,null,683,null,6200,null,653,null,301,null,352,null,22,null,40,null,205,null,163,null,10136,null,495,null,1489,null,563,null,6974,null,708,null,0,null,263,null,753,null,417,null,920,null,450,null,0400000US10,Delaware,10
17489,null,664,null,7739,null,553,null,4175,null,812,null,3113,null,707,null,116,null,204,null,0,null,296,null,335,null,313,null,9750,null,401,null,5600,null,683,null,2778,null,599,null,0,null,296,null,635,null,495,null,737,null,420,null,0400000US11,District of Columbia,11
340102,null,3840,null,154434,null,3082,null,47235,null,2979,null,97222,null,2989,null,1758,null,772,null,1402,null,641,null,6817,null,1475,null,185668,null,2687,null,38925,null,3345,null,118163,null,3540,null,2118,null,793,null,12643,null,1592,null,13819,null,2244,null,0400000US12,Florida,12
