C17010F_001E,C17010F_001EA,C17010F_001M,C17010F_001MA,C17010F_002E,C17010F_002EA,C17010F_002M,C17010F_002MA,C17010F_003E,C17010F_003EA,C17010F_003M,C17010F_003MA,C17010F_004E,C17010F_004EA,C17010F_004M,C17010F_004MA,C17010F_005E,C17010F_005EA,C17010F_005M,C17010F_005MA,C17010F_006E,C17010F_006EA,C17010F_006M,C17010F_006MA,C17010F_007E,C17010F_007EA,C17010F_007M,C17010F_007MA,C17010F_008E,C17010F_008EA,C17010F_008M,C17010F_008MA,C17010F_009E,C17010F_009EA,C17010F_009M,C17010F_009MA,C17010F_010E,C17010F_010EA,C17010F_010M,C17010F_010MA,C17010F_011E,C17010F_011EA,C17010F_011M,C17010F_011MA,C17010F_012E,C17010F_012EA,C17010F_012M,C17010F_012MA,C17010F_013E,C17010F_013EA,C17010F_013M,C17010F_013MA,C17010F_014E,C17010F_014EA,C17010F_014M,C17010F_014MA,C17010F_015E,C17010F_015EA,C17010F_015M,C17010F_015MA,C17010F_016E,C17010F_016EA,C17010F_016M,C17010F_016MA,C17010F_017E,C17010F_017EA,C17010F_017M,C17010F_017MA,GEO_ID,NAME,state
5491,null,1094,null,1777,null,745,null,1030,null,635,null,986,null,624,null,747,null,381,null,205,null,190,null,19,null,38,null,542,null,324,null,492,null,299,null,3714,null,1013,null,2709,null,899,null,2105,null,870,null,1005,null,451,null,360,null,293,null,118,null,123,null,645,null,455,null,556,null,452,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
91191,null,5284,null,17388,null,2395,null,7225,null,1743,null,6052,null,1562,null,10163,null,1743,null,1268,null,683,null,1035,null,634,null,8895,null,1619,null,8538,null,1557,null,73803,null,4914,null,51724,null,3836,null,35790,null,2957,null,22079,null,2603,null,9328,null,1937,null,6821,null,1693,null,12751,null,1885,null,10075,null,1855,null,0400000US04,Arizona,04
12781,null,1604,null,4120,null,1311,null,2720,null,1115,null,2579,null,1107,null,1400,null,614,null,385,null,267,null,304,null,234,null,1015,null,543,null,929,null,526,null,8661,null,1343,null,6350,null,1140,null,4475,null,996,null,2311,null,870,null,928,null,535,null,580,null,366,null,1383,null,701,null,1186,null,602,null,0400000US05,Arkansas,05
1049642,null,15326,null,198689,null,8106,null,86682,null,4974,null,75216,null,4741,null,112007,null,5512,null,23492,null,2938,null,21017,null,2817,null,88515,null,4851,null,82488,null,4719,null,850953,null,14541,null,573546,null,13195,null,412041,null,11673,null,277407,null,7988,null,112866,null,6088,null,68263,null,4733,null,164541,null,6282,null,112658,null,6220,null,0400000US06,California,06
49165,null,3336,null,9831,null,2015,null,5350,null,1596,null,4587,null,1527,null,4481,null,1068,null,949,null,640,null,777,null,621,null,3532,null,956,null,3371,null,938,null,39334,null,2866,null,27631,null,2576,null,17731,null,2127,null,11703,null,1624,null,4250,null,1157,null,2686,null,1001,null,7453,null,1362,null,6117,null,1306,null,0400000US08,Colorado,08
35190,null,2565,null,10643,null,1696,null,1620,null,655,null,1132,null,574,null,9023,null,1555,null,928,null,529,null,879,null,522,null,8095,null,1354,null,7411,null,1335,null,24547,null,2131,null,15040,null,1742,null,10234,null,1525,null,9507,null,1546,null,2671,null,858,null,1418,null,699,null,6836,null,1372,null,4582,null,1168,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
3909,null,1107,null,800,null,683,null,320,null,383,null,236,null,358,null,480,null,497,null,55,null,98,null,0,null,296,null,425,null,487,null,183,null,239,null,3109,null,966,null,1454,null,744,null,972,null,642,null,1655,null,806,null,1085,null,610,null,861,null,594,null,570,null,487,null,570,null,487,null,0400000US11,District of Columbia,11
104101,null,6073,null,16237,null,2530,null,6913,null,1732,null,5078,null,1542,null,9324,null,1632,null,1695,null,758,null,1219,null,648,null,7629,null,1439,null,6870,null,1410,null,87864,null,5533,null,58882,null,4846,null,38836,null,4160,null,28982,null,3150,null,12351,null,2200,null,6297,null,1598,null,16631,null,2273,null,11972,null,1905,null,0400000US12,Florida,12
