B21001B_001E,B21001B_001EA,B21001B_001M,B21001B_001MA,B21001B_002E,B21001B_002EA,B21001B_002M,B21001B_002MA,B21001B_003E,B21001B_003EA,B21001B_003M,B21001B_003MA,B21001B_004E,B21001B_004EA,B21001B_004M,B21001B_004MA,B21001B_005E,B21001B_005EA,B21001B_005M,B21001B_005MA,B21001B_006E,B21001B_006EA,B21001B_006M,B21001B_006MA,B21001B_007E,B21001B_007EA,B21001B_007M,B21001B_007MA,B21001B_008E,B21001B_008EA,B21001B_008M,B21001B_008MA,B21001B_009E,B21001B_009EA,B21001B_009M,B21001B_009MA,B21001B_010E,B21001B_010EA,B21001B_010M,B21001B_010MA,B21001B_011E,B21001B_011EA,B21001B_011M,B21001B_011MA,B21001B_012E,B21001B_012EA,B21001B_012M,B21001B_012MA,B21001B_013E,B21001B_013EA,B21001B_013M,B21001B_013MA,B21001B_014E,B21001B_014EA,B21001B_014M,B21001B_014MA,B21001B_015E,B21001B_015EA,B21001B_015M,B21001B_015MA,B21001B_016E,B21001B_016EA,B21001B_016M,B21001B_016MA,B21001B_017E,B21001B_017EA,B21001B_017M,B21001B_017MA,B21001B_018E,B21001B_018EA,B21001B_018M,B21001B_018MA,B21001B_019E,B21001B_019EA,B21001B_019M,B21001B_019MA,B21001B_020E,B21001B_020EA,B21001B_020M,B21001B_020MA,B21001B_021E,B21001B_021EA,B21001B_021M,B21001B_021MA,B21001B_022E,B21001B_022EA,B21001B_022M,B21001B_022MA,B21001B_023E,B21001B_023EA,B21001B_023M,B21001B_023MA,B21001B_024E,B21001B_024EA,B21001B_024M,B21001B_024MA,B21001B_025E,B21001B_025EA,B21001B_025M,B21001B_025MA,B21001B_026E,B21001B_026EA,B21001B_026M,B21001B_026MA,B21001B_027E,B21001B_027EA,B21001B_027M,B21001B_027MA,B21001B_028E,B21001B_028EA,B21001B_028M,B21001B_028MA,B21001B_029E,B21001B_029EA,B21001B_029M,B21001B_029MA,B21001B_030E,B21001B_030EA,B21001B_030M,B21001B_030MA,B21001B_031E,B21001B_031EA,B21001B_031M,B21001B_031MA,B21001B_032E,B21001B_032EA,B21001B_032M,B21001B_032MA,B21001B_033E,B21001B_033EA,B21001B_033M,B21001B_033MA,GEO_ID,NAME,state
876424,null,4423,null,393002,null,3319,null,152661,null,3035,null,5859,null,1343,null,146802,null,3319,null,146173,null,2849,null,33042,null,3126,null,113131,null,3206,null,52462,null,1587,null,15847,null,1736,null,36615,null,2352,null,25678,null,1311,null,9015,null,1214,null,16663,null,1509,null,16028,null,1065,null,7990,null,904,null,8038,null,1125,null,483422,null,2388,null,165687,null,2230,null,3616,null,1094,null,162071,null,2400,null,180801,null,2041,null,6023,null,1140,null,174778,null,2187,null,63812,null,1290,null,833,null,431,null,62979,null,1406,null,37004,null,1304,null,142,null,171,null,36862,null,1291,null,36118,null,1122,null,242,null,228,null,35876,null,1166,null,0400000US01,Alabama,01
16362,null,2159,null,8955,null,1563,null,4323,null,1316,null,359,null,333,null,3964,null,1318,null,3403,null,852,null,1192,null,539,null,2211,null,673,null,663,null,353,null,358,null,219,null,305,null,277,null,451,null,233,null,327,null,216,null,124,null,131,null,115,null,183,null,115,null,183,null,0,null,240,null,7407,null,1129,null,2994,null,801,null,252,null,294,null,2742,null,759,null,2890,null,931,null,163,null,187,null,2727,null,927,null,1323,null,364,null,0,null,240,null,1323,null,364,null,90,null,127,null,0,null,240,null,90,null,127,null,110,null,114,null,0,null,240,null,110,null,114,null,0400000US02,Alaska,02
160589,null,3163,null,84470,null,1926,null,32039,null,1635,null,1516,null,723,null,30523,null,1580,null,36043,null,1105,null,8380,null,1524,null,27663,null,1684,null,9437,null,740,null,5027,null,924,null,4410,null,820,null,4347,null,583,null,2635,null,528,null,1712,null,495,null,2604,null,381,null,1226,null,500,null,1378,null,544,null,76119,null,1968,null,27009,null,1283,null,612,null,458,null,26397,null,1385,null,30677,null,1294,null,1433,null,534,null,29244,null,1273,null,9143,null,759,null,0,null,302,null,9143,null,759,null,5481,null,775,null,0,null,302,null,5481,null,775,null,3809,null,420,null,90,null,159,null,3719,null,439,null,0400000US04,Arizona,04
309495,null,2903,null,142766,null,2494,null,56239,null,2416,null,3341,null,1061,null,52898,null,2254,null,54046,null,2174,null,9356,null,1390,null,44690,null,2276,null,17570,null,976,null,6203,null,1178,null,11367,null,1184,null,9494,null,1321,null,2316,null,734,null,7178,null,1263,null,5417,null,933,null,2021,null,637,null,3396,null,849,null,166729,null,2063,null,58585,null,2017,null,338,null,333,null,58247,null,2013,null,63943,null,1667,null,1803,null,689,null,62140,null,1741,null,21712,null,1059,null,410,null,308,null,21302,null,1120,null,11540,null,889,null,0,null,269,null,11540,null,889,null,10949,null,1015,null,137,null,190,null,10812,null,963,null,0400000US05,Arkansas,05
1655203,null,8231,null,798655,null,5880,null,292454,null,4659,null,12236,null,2321,null,280218,null,4448,null,325131,null,4451,null,58344,null,3710,null,266787,null,5571,null,95734,null,1340,null,32947,null,2101,null,62787,null,2397,null,52964,null,1012,null,27814,null,1969,null,25150,null,2099,null,32372,null,969,null,21660,null,1497,null,10712,null,1424,null,856548,null,5414,null,278954,null,4045,null,3401,null,1009,null,275553,null,4271,null,341307,null,3470,null,8964,null,1548,null,332343,null,3705,null,110973,null,1672,null,1956,null,782,null,109017,null,1797,null,68633,null,1281,null,552,null,313,null,68081,null,1276,null,56681,null,1327,null,839,null,480,null,55842,null,1382,null,0400000US06,California,06
132357,null,2914,null,70997,null,2206,null,25639,null,1899,null,1886,null,686,null,23753,null,1841,null,29703,null,1297,null,8732,null,1435,null,20971,null,1876,null,9650,null,1038,null,4745,null,1091,null,4905,null,840,null,3470,null,482,null,2034,null,461,null,1436,null,459,null,2535,null,597,null,2077,null,565,null,458,null,284,null,61360,null,1992,null,21686,null,1376,null,509,null,407,null,21177,null,1453,null,24994,null,1215,null,1702,null,609,null,23292,null,1389,null,6961,null,574,null,243,null,202,null,6718,null,598,null,4348,null,493,null,0,null,275,null,4348,null,493,null,3371,null,666,null,46,null,76,null,3325,null,673,null,0400000US08,Colorado,08
238617,null,3487,null,110722,null,2408,null,41820,null,1524,null,1011,null,722,null,40809,null,1736,null,45851,null,1454,null,5668,null,1233,null,40183,null,1593,null,12730,null,646,null,2386,null,705,null,10344,null,896,null,6637,null,296,null,1527,null,581,null,5110,null,544,null,3684,null,219,null,1688,null,345,null,1996,null,420,null,127895,null,2169,null,42744,null,1255,null,568,null,527,null,42176,null,1282,null,51841,null,1740,null,1038,null,588,null,50803,null,1820,null,16728,null,605,null,144,null,181,null,16584,null,575,null,9683,null,578,null,58,null,98,null,9625,null,591,null,6899,null,611,null,52,null,84,null,6847,null,613,null,0400000US09,Connecticut,09
128598,null,1543,null,58470,null,956,null,21930,null,792,null,426,null,347,null,21504,null,739,null,23544,null,735,null,5461,null,1119,null,18083,null,1130,null,7007,null,340,null,3034,null,650,null,3973,null,765,null,3683,null,394,null,1782,null,517,null,1901,null,437,null,2306,null,406,null,1475,null,454,null,831,null,374,null,70128,null,998,null,23466,null,680,null,441,null,410,null,23025,null,800,null,28683,null,663,null,486,null,352,null,28197,null,693,null,9231,null,266,null,226,null,217,null,9005,null,323,null,5079,null,315,null,0,null,263,null,5079,null,315,null,3669,null,324,null,0,null,263,null,3669,null,324,null,0400000US10,Delaware,10
243201,null,2302,null,105275,null,1368,null,34482,null,1021,null,1211,null,747,null,33271,null,1183,null,39461,null,624,null,5180,null,1222,null,34281,null,1410,null,15388,null,195,null,4339,null,843,null,11049,null,866,null,8878,null,145,null,2786,null,560,null,6092,null,557,null,7066,null,102,null,4238,null,688,null,2828,null,667,null,137926,null,1320,null,40597,null,638,null,2,null,6,null,40595,null,637,null,48343,null,822,null,512,null,400,null,47831,null,945,null,20889,null,360,null,261,null,271,null,20628,null,469,null,13217,null,268,null,190,null,184,null,13027,null,296,null,14880,null,230,null,43,null,69,null,14837,null,239,null,0400000US11,District of Columbia,11
1994308,null,8513,null,932541,null,5778,null,363058,null,4142,null,13407,null,2234,null,349651,null,4708,null,365561,null,3786,null,59287,null,4261,null,306274,null,5488,null,110466,null,2545,null,26126,null,2236,null,84340,null,2838,null,58859,null,1610,null,13681,null,1424,null,45178,null,1901,null,34597,null,1736,null,11249,null,1403,null,23348,null,1735,null,1061767,null,5804,null,380422,null,4652,null,7461,null,1556,null,372961,null,4702,null,407778,null,3930,null,11108,null,2005,null,396670,null,4127,null,132737,null,2108,null,877,null,422,null,131860,null,2206,null,78407,null,1858,null,54,null,90,null,78353,null,1857,null,62423,null,1970,null,389,null,237,null,62034,null,2001,null,0400000US12,Florida,12
