B15002F_001E,B15002F_001EA,B15002F_001M,B15002F_001MA,B15002F_002E,B15002F_002EA,B15002F_002M,B15002F_002MA,B15002F_003E,B15002F_003EA,B15002F_003M,B15002F_003MA,B15002F_004E,B15002F_004EA,B15002F_004M,B15002F_004MA,B15002F_005E,B15002F_005EA,B15002F_005M,B15002F_005MA,B15002F_006E,B15002F_006EA,B15002F_006M,B15002F_006MA,B15002F_007E,B15002F_007EA,B15002F_007M,B15002F_007MA,B15002F_008E,B15002F_008EA,B15002F_008M,B15002F_008MA,B15002F_009E,B15002F_009EA,B15002F_009M,B15002F_009MA,B15002F_010E,B15002F_010EA,B15002F_010M,B15002F_010MA,B15002F_011E,B15002F_011EA,B15002F_011M,B15002F_011MA,B15002F_012E,B15002F_012EA,B15002F_012M,B15002F_012MA,B15002F_013E,B15002F_013EA,B15002F_013M,B15002F_013MA,B15002F_014E,B15002F_014EA,B15002F_014M,B15002F_014MA,B15002F_015E,B15002F_015EA,B15002F_015M,B15002F_015MA,B15002F_016E,B15002F_016EA,B15002F_016M,B15002F_016MA,B15002F_017E,B15002F_017EA,B15002F_017M,B15002F_017MA,B15002F_018E,B15002F_018EA,B15002F_018M,B15002F_018MA,B15002F_019E,B15002F_019EA,B15002F_019M,B15002F_019MA,GEO_ID,NAME,state
15097,null,2522,null,8783,null,1670,null,3085,null,1170,null,1167,null,643,null,1533,null,708,null,181,null,177,null,822,null,444,null,313,null,234,null,1470,null,983,null,212,null,209,null,6314,null,1316,null,822,null,435,null,739,null,441,null,2011,null,879,null,182,null,185,null,867,null,478,null,567,null,364,null,1054,null,621,null,72,null,109,null,0400000US01,Alabama,01
5215,null,1360,null,3063,null,1189,null,383,null,321,null,602,null,494,null,408,null,234,null,0,null,240,null,834,null,633,null,35,null,58,null,719,null,522,null,82,null,137,null,2152,null,584,null,210,null,236,null,244,null,253,null,190,null,195,null,44,null,72,null,841,null,461,null,255,null,244,null,277,null,269,null,91,null,117,null,0400000US02,Alaska,02
234289,null,12709,null,123342,null,7716,null,26032,null,3759,null,19985,null,2782,null,30906,null,3801,null,5498,null,1136,null,23966,null,3190,null,7799,null,1834,null,6762,null,1699,null,2394,null,644,null,110947,null,6470,null,22462,null,2628,null,21847,null,2789,null,23560,null,2801,null,6228,null,1492,null,21284,null,2469,null,7142,null,1463,null,6188,null,1467,null,2236,null,700,null,0400000US04,Arizona,04
28211,null,2670,null,15496,null,1624,null,6662,null,1393,null,3453,null,989,null,2937,null,1126,null,667,null,423,null,886,null,578,null,383,null,342,null,353,null,335,null,155,null,186,null,12715,null,1596,null,5462,null,1371,null,2982,null,891,null,921,null,436,null,306,null,412,null,974,null,456,null,405,null,375,null,1294,null,583,null,371,null,348,null,0400000US05,Arkansas,05
2853429,null,37774,null,1495960,null,22985,null,422303,null,13129,null,289596,null,10992,null,333769,null,11735,null,37185,null,3207,null,232388,null,8970,null,61500,null,4305,null,88127,null,5173,null,31092,null,2972,null,1357469,null,19297,null,404471,null,10785,null,226425,null,8628,null,283256,null,10327,null,28934,null,2995,null,223731,null,9278,null,71208,null,5359,null,85558,null,5183,null,33886,null,3163,null,0400000US06,California,06
132170,null,8370,null,73606,null,5617,null,18181,null,2555,null,11473,null,1753,null,15871,null,2456,null,5567,null,1766,null,12771,null,2105,null,3207,null,906,null,4363,null,1322,null,2173,null,907,null,58564,null,3948,null,9866,null,1858,null,9509,null,1885,null,13567,null,2201,null,4588,null,1144,null,9981,null,1932,null,3388,null,899,null,5080,null,1440,null,2585,null,1004,null,0400000US08,Colorado,08
90202,null,5640,null,43410,null,3281,null,9005,null,1648,null,8090,null,1229,null,11416,null,1804,null,2422,null,883,null,5676,null,1585,null,1697,null,867,null,2766,null,1031,null,2338,null,1016,null,46792,null,3221,null,9422,null,1785,null,6090,null,1497,null,10682,null,1455,null,2029,null,804,null,9038,null,1738,null,2845,null,690,null,4859,null,1319,null,1827,null,555,null,0400000US09,Connecticut,09
8252,null,1805,null,4572,null,1122,null,1568,null,631,null,438,null,552,null,1407,null,512,null,132,null,159,null,491,null,351,null,64,null,106,null,315,null,263,null,157,null,211,null,3680,null,878,null,789,null,495,null,951,null,393,null,772,null,466,null,0,null,263,null,266,null,189,null,70,null,95,null,436,null,324,null,396,null,410,null,0400000US10,Delaware,10
11645,null,2365,null,6450,null,1488,null,2269,null,1034,null,653,null,373,null,370,null,326,null,22,null,36,null,426,null,424,null,0,null,296,null,1682,null,809,null,1028,null,612,null,5195,null,1298,null,1799,null,909,null,591,null,402,null,780,null,525,null,163,null,272,null,774,null,710,null,46,null,82,null,437,null,394,null,605,null,333,null,0400000US11,District of Columbia,11
283002,null,13930,null,147528,null,8206,null,30944,null,3860,null,21590,null,2743,null,35774,null,4036,null,7154,null,1482,null,22780,null,2821,null,9822,null,2175,null,13854,null,2390,null,5610,null,1543,null,135474,null,7555,null,20916,null,2599,null,13295,null,2186,null,34395,null,4406,null,5968,null,1418,null,24950,null,2928,null,13123,null,2060,null,15892,null,2141,null,6935,null,1359,null,0400000US12,Florida,12
175969,null,10237,null,104268,null,7151,null,33457,null,4426,null,16686,null,3058,null,25164,null,3515,null,3346,null,1279,null,12258,null,2263,null,2471,null,967,null,8759,null,2077,null,2127,null,882,null,71701,null,4428,null,18542,null,2505,null,10107,null,2238,null,16794,null,2346,null,3386,null,1328,null,9045,null,1993,null,4795,null,1551,null,6499,null,1494,null,2533,null,996,null,0400000US13,Georgia,13
9650,null,1837,null,5890,null,1383,null,196,null,120,null,610,null,462,null,1713,null,1104,null,479,null,412,null,1794,null,824,null,307,null,320,null,446,null,352,null,345,null,367,null,3760,null,934,null,401,null,313,null,470,null,375,null,1338,null,595,null,301,null,250,null,712,null,473,null,276,null,196,null,106,null,86,null,156,null,157,null,0400000US15,Hawaii,15
15050,null,2232,null,9042,null,1675,null,3723,null,1233,null,1226,null,592,null,1689,null,564,null,358,null,372,null,1026,null,638,null,489,null,324,null,403,null,328,null,128,null,151,null,6008,null,1125,null,2239,null,714,null,748,null,374,null,877,null,419,null,202,null,201,null,845,null,347,null,782,null,344,null,199,null,168,null,116,null,154,null,0400000US16,Idaho,16
455880,null,14791,null,246953,null,8771,null,75176,null,5143,null,42080,null,3954,null,58930,null,4188,null,10929,null,1763,null,29265,null,3992,null,9887,null,2314,null,16231,null,2404,null,4455,null,1197,null,208927,null,7457,null,62984,null,4767,null,31970,null,3180,null,45375,null,3633,null,7549,null,1461,null,30069,null,3126,null,10288,null,1651,null,15862,null,2249,null,4830,null,1175,null,0400000US17,Illinois,17
69153,null,5503,null,39468,null,3355,null,11251,null,2252,null,8660,null,1668,null,9577,null,1782,null,1695,null,689,null,4131,null,1080,null,1285,null,585,null,1879,null,773,null,990,null,565,null,29685,null,2923,null,6695,null,1712,null,5892,null,1350,null,6698,null,1567,null,1385,null,564,null,3993,null,973,null,1982,null,740,null,1992,null,795,null,1048,null,609,null,0400000US18,Indiana,18
20633,null,2574,null,12364,null,1585,null,2514,null,667,null,2187,null,890,null,3844,null,942,null,526,null,376,null,1581,null,772,null,427,null,258,null,788,null,579,null,497,null,376,null,8269,null,1465,null,2893,null,822,null,1838,null,778,null,1417,null,625,null,530,null,384,null,807,null,473,null,360,null,284,null,142,null,142,null,282,null,306,null,0400000US19,Iowa,19
37851,null,3902,null,20926,null,2733,null,5526,null,1335,null,3280,null,983,null,5437,null,1333,null,947,null,479,null,2939,null,1158,null,845,null,453,null,1620,null,619,null,332,null,277,null,16925,null,1881,null,4028,null,943,null,2588,null,721,null,3039,null,847,null,800,null,399,null,2751,null,830,null,1015,null,482,null,2223,null,805,null,481,null,337,null,0400000US20,Kansas,20
16506,null,2292,null,9982,null,1537,null,2860,null,881,null,1814,null,590,null,3421,null,884,null,451,null,317,null,617,null,387,null,206,null,211,null,176,null,172,null,437,null,357,null,6524,null,1324,null,1453,null,519,null,1137,null,612,null,1841,null,905,null,135,null,126,null,1176,null,711,null,272,null,258,null,431,null,330,null,79,null,93,null,0400000US21,Kentucky,21
19769,null,3203,null,11649,null,2137,null,2237,null,1010,null,1428,null,746,null,4611,null,1323,null,405,null,286,null,1716,null,674,null,61,null,104,null,760,null,409,null,431,null,298,null,8120,null,1497,null,1230,null,511,null,1839,null,810,null,1524,null,563,null,170,null,177,null,1930,null,725,null,319,null,236,null,914,null,517,null,194,null,152,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
