B17020F_001E,B17020F_001EA,B17020F_001M,B17020F_001MA,B17020F_002E,B17020F_002EA,B17020F_002M,B17020F_002MA,B17020F_003E,B17020F_003EA,B17020F_003M,B17020F_003MA,B17020F_004E,B17020F_004EA,B17020F_004M,B17020F_004MA,B17020F_005E,B17020F_005EA,B17020F_005M,B17020F_005MA,B17020F_006E,B17020F_006EA,B17020F_006M,B17020F_006MA,B17020F_007E,B17020F_007EA,B17020F_007M,B17020F_007MA,B17020F_008E,B17020F_008EA,B17020F_008M,B17020F_008MA,B17020F_009E,B17020F_009EA,B17020F_009M,B17020F_009MA,B17020F_010E,B17020F_010EA,B17020F_010M,B17020F_010MA,B17020F_011E,B17020F_011EA,B17020F_011M,B17020F_011MA,B17020F_012E,B17020F_012EA,B17020F_012M,B17020F_012MA,B17020F_013E,B17020F_013EA,B17020F_013M,B17020F_013MA,B17020F_014E,B17020F_014EA,B17020F_014M,B17020F_014MA,B17020F_015E,B17020F_015EA,B17020F_015M,B17020F_015MA,B17020F_016E,B17020F_016EA,B17020F_016M,B17020F_016MA,B17020F_017E,B17020F_017EA,B17020F_017M,B17020F_017MA,GEO_ID,NAME,state
32842,null,4929,null,9788,null,3591,null,1892,null,1195,null,302,null,251,null,1918,null,901,null,1161,null,485,null,4515,null,1692,null,0,null,271,null,0,null,271,null,23054,null,4494,null,3892,null,1279,null,508,null,605,null,2458,null,1050,null,1436,null,596,null,14580,null,2635,null,68,null,112,null,112,null,143,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
435150,null,23623,null,93178,null,11191,null,16847,null,3846,null,2262,null,830,null,13495,null,2910,null,11493,null,2612,null,45379,null,4661,null,2667,null,1171,null,1035,null,541,null,341972,null,20322,null,34210,null,3852,null,5896,null,1399,null,34936,null,3966,null,33458,null,3463,null,219097,null,12745,null,9721,null,1850,null,4654,null,1400,null,0400000US04,Arizona,04
61371,null,5584,null,21392,null,5041,null,4723,null,1318,null,889,null,655,null,3626,null,1456,null,2181,null,762,null,9552,null,2399,null,153,null,208,null,268,null,368,null,39979,null,5177,null,4265,null,1686,null,320,null,222,null,4605,null,1304,null,4374,null,1081,null,26059,null,3216,null,356,null,315,null,0,null,269,null,0400000US05,Arkansas,05
5117494,null,64228,null,1061246,null,40104,null,157710,null,9059,null,26924,null,2915,null,149398,null,8657,null,145473,null,9853,null,548513,null,21754,null,19344,null,2817,null,13884,null,2135,null,4056248,null,66459,null,358999,null,12832,null,61183,null,4463,null,383140,null,13117,null,414449,null,12720,null,2659242,null,41749,null,109032,null,5260,null,70203,null,5028,null,0400000US06,California,06
224540,null,13641,null,54629,null,9114,null,9064,null,2156,null,2556,null,1214,null,6750,null,2052,null,5910,null,1712,null,28993,null,4905,null,721,null,342,null,635,null,431,null,169911,null,11982,null,16228,null,2194,null,3424,null,1184,null,15822,null,2529,null,16620,null,2457,null,109951,null,7674,null,5139,null,1054,null,2727,null,736,null,0400000US08,Colorado,08
152918,null,9835,null,43686,null,6640,null,6617,null,1886,null,1102,null,610,null,5283,null,1484,null,6167,null,1777,null,23139,null,3342,null,881,null,440,null,497,null,317,null,109232,null,8460,null,8805,null,1691,null,1101,null,564,null,9168,null,1603,null,9802,null,1659,null,76637,null,6102,null,2349,null,754,null,1370,null,603,null,0400000US09,Connecticut,09
15251,null,3298,null,3126,null,1620,null,563,null,441,null,262,null,214,null,562,null,595,null,290,null,286,null,1449,null,661,null,0,null,263,null,0,null,263,null,12125,null,2919,null,1854,null,922,null,171,null,207,null,1101,null,625,null,625,null,370,null,8104,null,1974,null,270,null,264,null,0,null,263,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
472122,null,23680,null,86836,null,11293,null,10282,null,2439,null,1730,null,725,null,11656,null,2804,null,10645,null,2640,null,48778,null,6058,null,2100,null,1034,null,1645,null,592,null,385286,null,20806,null,33276,null,4534,null,5045,null,1318,null,31924,null,4205,null,36469,null,3515,null,258992,null,14032,null,12109,null,2065,null,7471,null,1904,null,0400000US12,Florida,12
