B19001D_001E,B19001D_001EA,B19001D_001M,B19001D_001MA,B19001D_002E,B19001D_002EA,B19001D_002M,B19001D_002MA,B19001D_003E,B19001D_003EA,B19001D_003M,B19001D_003MA,B19001D_004E,B19001D_004EA,B19001D_004M,B19001D_004MA,B19001D_005E,B19001D_005EA,B19001D_005M,B19001D_005MA,B19001D_006E,B19001D_006EA,B19001D_006M,B19001D_006MA,B19001D_007E,B19001D_007EA,B19001D_007M,B19001D_007MA,B19001D_008E,B19001D_008EA,B19001D_008M,B19001D_008MA,B19001D_009E,B19001D_009EA,B19001D_009M,B19001D_009MA,B19001D_010E,B19001D_010EA,B19001D_010M,B19001D_010MA,B19001D_011E,B19001D_011EA,B19001D_011M,B19001D_011MA,B19001D_012E,B19001D_012EA,B19001D_012M,B19001D_012MA,B19001D_013E,B19001D_013EA,B19001D_013M,B19001D_013MA,B19001D_014E,B19001D_014EA,B19001D_014M,B19001D_014MA,B19001D_015E,B19001D_015EA,B19001D_015M,B19001D_015MA,B19001D_016E,B19001D_016EA,B19001D_016M,B19001D_016MA,B19001D_017E,B19001D_017EA,B19001D_017M,B19001D_017MA,GEO_ID,NAME,state
14114,null,1435,null,1164,null,679,null,332,null,293,null,376,null,266,null,1135,null,531,null,616,null,450,null,1196,null,541,null,563,null,357,null,863,null,625,null,894,null,627,null,1345,null,748,null,1290,null,491,null,987,null,482,null,1721,null,645,null,412,null,209,null,776,null,411,null,444,null,330,null,0400000US01,Alabama,01
8877,null,770,null,542,null,360,null,389,null,317,null,427,null,300,null,451,null,303,null,173,null,161,null,427,null,310,null,687,null,430,null,213,null,165,null,480,null,320,null,814,null,450,null,1054,null,383,null,1613,null,581,null,926,null,361,null,266,null,214,null,350,null,248,null,65,null,73,null,0400000US02,Alaska,02
48382,null,2461,null,2984,null,903,null,2227,null,703,null,1229,null,490,null,2047,null,691,null,2143,null,812,null,2450,null,788,null,1695,null,811,null,1159,null,506,null,1316,null,464,null,3413,null,1099,null,5874,null,1239,null,6233,null,1190,null,6842,null,1423,null,3508,null,1105,null,2067,null,608,null,3195,null,984,null,0400000US04,Arizona,04
9693,null,971,null,766,null,491,null,396,null,312,null,706,null,373,null,525,null,374,null,472,null,314,null,905,null,592,null,569,null,448,null,845,null,520,null,256,null,211,null,864,null,657,null,1037,null,549,null,979,null,512,null,497,null,289,null,290,null,243,null,386,null,311,null,200,null,185,null,0400000US05,Arkansas,05
1408868,null,11857,null,75867,null,4534,null,63856,null,3704,null,56313,null,3928,null,49267,null,3112,null,42702,null,3121,null,48837,null,3719,null,48418,null,3537,null,56162,null,3643,null,44552,null,3532,null,91850,null,4967,null,136269,null,5484,null,178560,null,6860,null,159765,null,5456,null,105482,null,4631,null,127009,null,4890,null,123959,null,4636,null,0400000US06,California,06
44177,null,2341,null,3655,null,1062,null,1932,null,703,null,2286,null,894,null,1664,null,584,null,2129,null,761,null,1723,null,647,null,1045,null,497,null,2010,null,779,null,1900,null,543,null,3169,null,976,null,5208,null,1343,null,5344,null,1011,null,4545,null,991,null,2583,null,749,null,3237,null,854,null,1747,null,629,null,0400000US08,Colorado,08
39099,null,1848,null,2139,null,789,null,973,null,540,null,1001,null,527,null,819,null,401,null,814,null,434,null,2266,null,933,null,1098,null,514,null,1164,null,666,null,1381,null,651,null,2148,null,682,null,4440,null,949,null,5524,null,1083,null,4901,null,982,null,3114,null,758,null,3428,null,883,null,3889,null,928,null,0400000US09,Connecticut,09
8098,null,644,null,317,null,283,null,60,null,94,null,317,null,287,null,129,null,149,null,412,null,391,null,269,null,232,null,113,null,136,null,231,null,161,null,110,null,89,null,169,null,170,null,1275,null,593,null,972,null,373,null,1179,null,585,null,443,null,250,null,1248,null,535,null,854,null,368,null,0400000US10,Delaware,10
8479,null,954,null,886,null,580,null,104,null,128,null,264,null,270,null,78,null,132,null,387,null,323,null,248,null,212,null,357,null,262,null,219,null,223,null,582,null,449,null,374,null,261,null,847,null,458,null,1289,null,511,null,1000,null,396,null,669,null,419,null,358,null,258,null,817,null,335,null,0400000US11,District of Columbia,11
131216,null,4088,null,7793,null,1557,null,5404,null,1362,null,5165,null,1138,null,7167,null,1349,null,6759,null,1544,null,6724,null,1316,null,6450,null,1353,null,5703,null,1289,null,6006,null,1435,null,10317,null,1647,null,14999,null,2021,null,17637,null,2128,null,11632,null,1745,null,6562,null,1260,null,6315,null,1446,null,6583,null,1574,null,0400000US12,Florida,12
