C17010D_001E,C17010D_001EA,C17010D_001M,C17010D_001MA,C17010D_002E,C17010D_002EA,C17010D_002M,C17010D_002MA,C17010D_003E,C17010D_003EA,C17010D_003M,C17010D_003MA,C17010D_004E,C17010D_004EA,C17010D_004M,C17010D_004MA,C17010D_005E,C17010D_005EA,C17010D_005M,C17010D_005MA,C17010D_006E,C17010D_006EA,C17010D_006M,C17010D_006MA,C17010D_007E,C17010D_007EA,C17010D_007M,C17010D_007MA,C17010D_008E,C17010D_008EA,C17010D_008M,C17010D_008MA,C17010D_009E,C17010D_009EA,C17010D_009M,C17010D_009MA,C17010D_010E,C17010D_010EA,C17010D_010M,C17010D_010MA,C17010D_011E,C17010D_011EA,C17010D_011M,C17010D_011MA,C17010D_012E,C17010D_012EA,C17010D_012M,C17010D_012MA,C17010D_013E,C17010D_013EA,C17010D_013M,C17010D_013MA,C17010D_014E,C17010D_014EA,C17010D_014M,C17010D_014MA,C17010D_015E,C17010D_015EA,C17010D_015M,C17010D_015MA,C17010D_016E,C17010D_016EA,C17010D_016M,C17010D_016MA,C17010D_017E,C17010D_017EA,C17010D_017M,C17010D_017MA,GEO_ID,NAME,state
10303,null,1310,null,1257,null,617,null,279,null,281,null,60,null,75,null,978,null,541,null,673,null,430,null,232,null,351,null,305,null,353,null,305,null,353,null,9046,null,1196,null,7758,null,1102,null,4917,null,1098,null,1288,null,496,null,594,null,345,null,391,null,250,null,694,null,428,null,342,null,330,null,0400000US01,Alabama,01
6868,null,867,null,756,null,439,null,364,null,288,null,277,null,255,null,392,null,345,null,0,null,240,null,0,null,240,null,392,null,345,null,344,null,331,null,6112,null,822,null,4212,null,727,null,2163,null,547,null,1900,null,706,null,664,null,379,null,463,null,354,null,1236,null,566,null,1153,null,575,null,0400000US02,Alaska,02
32556,null,2187,null,2406,null,786,null,1494,null,616,null,1360,null,579,null,912,null,473,null,239,null,230,null,0,null,302,null,673,null,424,null,627,null,417,null,30150,null,2017,null,25855,null,1929,null,15164,null,1448,null,4295,null,951,null,1533,null,655,null,772,null,452,null,2762,null,726,null,1705,null,662,null,0400000US04,Arizona,04
6825,null,1053,null,587,null,373,null,100,null,112,null,50,null,78,null,487,null,364,null,116,null,174,null,0,null,269,null,371,null,298,null,371,null,298,null,6238,null,1002,null,4753,null,1062,null,2128,null,736,null,1485,null,533,null,558,null,338,null,423,null,252,null,927,null,479,null,840,null,512,null,0400000US05,Arkansas,05
1060472,null,10132,null,78035,null,4831,null,46256,null,3756,null,27458,null,2889,null,31779,null,3021,null,7992,null,1564,null,4197,null,992,null,23787,null,2566,null,17516,null,2161,null,982437,null,10035,null,788296,null,10438,null,429002,null,8463,null,194141,null,7524,null,69705,null,4739,null,24512,null,3031,null,124436,null,5588,null,59745,null,3894,null,0400000US06,California,06
28970,null,1998,null,1500,null,630,null,699,null,406,null,337,null,319,null,801,null,521,null,0,null,275,null,0,null,275,null,801,null,521,null,619,null,451,null,27470,null,2065,null,22816,null,1850,null,14252,null,1671,null,4654,null,1042,null,1323,null,678,null,418,null,320,null,3331,null,834,null,2735,null,784,null,0400000US08,Colorado,08
30325,null,1548,null,1643,null,844,null,1055,null,542,null,656,null,472,null,588,null,577,null,137,null,168,null,0,null,275,null,451,null,556,null,451,null,556,null,28682,null,1616,null,24711,null,1444,null,15370,null,1393,null,3971,null,950,null,1959,null,663,null,388,null,252,null,2012,null,694,null,1349,null,601,null,0400000US09,Connecticut,09
6054,null,505,null,446,null,324,null,446,null,324,null,446,null,324,null,0,null,263,null,0,null,263,null,0,null,263,null,0,null,263,null,0,null,263,null,5608,null,556,null,5014,null,680,null,2908,null,538,null,594,null,422,null,219,null,235,null,0,null,263,null,375,null,349,null,346,null,347,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
99245,null,3239,null,8930,null,1768,null,5819,null,1376,null,3690,null,1089,null,3111,null,993,null,600,null,464,null,344,null,388,null,2511,null,899,null,2301,null,859,null,90315,null,2942,null,75796,null,3098,null,41596,null,2733,null,14519,null,1864,null,5091,null,1126,null,2365,null,771,null,9428,null,1571,null,5316,null,1397,null,0400000US12,Florida,12
64118,null,3097,null,6096,null,1249,null,4061,null,1064,null,3424,null,987,null,2035,null,700,null,161,null,213,null,0,null,298,null,1874,null,675,null,1648,null,668,null,58022,null,2922,null,48536,null,3163,null,29103,null,2151,null,9486,null,1504,null,3133,null,888,null,1357,null,617,null,6353,null,1210,null,4006,null,1141,null,0400000US13,Georgia,13
127521,null,3643,null,5590,null,1088,null,2975,null,823,null,1167,null,496,null,2615,null,889,null,381,null,269,null,201,null,213,null,2234,null,882,null,1317,null,657,null,121931,null,3733,null,92218,null,3080,null,38636,null,2647,null,29713,null,2352,null,10045,null,1512,null,3932,null,1141,null,19668,null,1991,null,8124,null,1520,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
133508,null,3977,null,7978,null,1298,null,5567,null,1027,null,2670,null,702,null,2411,null,762,null,669,null,496,null,669,null,496,null,1742,null,739,null,1151,null,644,null,125530,null,3938,null,109101,null,3685,null,62774,null,3141,null,16429,null,2023,null,4981,null,1249,null,1356,null,643,null,11448,null,1658,null,5609,null,1194,null,0400000US17,Illinois,17
18016,null,1446,null,2742,null,868,null,2046,null,744,null,1402,null,682,null,696,null,441,null,0,null,265,null,0,null,265,null,696,null,441,null,584,null,411,null,15274,null,1450,null,13333,null,1396,null,8115,null,1215,null,1941,null,657,null,486,null,330,null,78,null,122,null,1455,null,635,null,1120,null,589,null,0400000US18,Indiana,18
9527,null,1142,null,880,null,523,null,112,null,139,null,67,null,119,null,768,null,459,null,188,null,209,null,52,null,86,null,580,null,393,null,580,null,393,null,8647,null,1192,null,7206,null,1118,null,4496,null,885,null,1441,null,545,null,766,null,355,null,468,null,317,null,675,null,426,null,335,null,273,null,0400000US19,Iowa,19
15033,null,1223,null,1405,null,515,null,825,null,376,null,651,null,325,null,580,null,396,null,0,null,244,null,0,null,244,null,580,null,396,null,504,null,376,null,13628,null,1328,null,11598,null,1185,null,6623,null,844,null,2030,null,776,null,324,null,205,null,201,null,130,null,1706,null,758,null,1001,null,565,null,0400000US20,Kansas,20
9343,null,1151,null,502,null,440,null,131,null,134,null,87,null,110,null,371,null,381,null,38,null,63,null,0,null,271,null,333,null,373,null,333,null,373,null,8841,null,1133,null,7757,null,1110,null,5079,null,729,null,1084,null,430,null,388,null,265,null,163,null,177,null,696,null,382,null,217,null,237,null,0400000US21,Kentucky,21
12829,null,1368,null,2089,null,929,null,971,null,701,null,554,null,420,null,1118,null,644,null,189,null,259,null,115,null,215,null,929,null,564,null,624,null,474,null,10740,null,1200,null,8812,null,1174,null,5254,null,912,null,1928,null,559,null,1104,null,469,null,283,null,250,null,824,null,407,null,424,null,278,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
72275,null,2112,null,3438,null,1149,null,2167,null,923,null,1329,null,694,null,1271,null,747,null,475,null,404,null,475,null,404,null,796,null,545,null,599,null,482,null,68837,null,2160,null,59757,null,2007,null,33946,null,1937,null,9080,null,1436,null,3542,null,1010,null,1103,null,441,null,5538,null,1139,null,2638,null,814,null,0400000US24,Maryland,24
76641,null,2093,null,8376,null,1596,null,5468,null,1272,null,3286,null,945,null,2908,null,873,null,672,null,445,null,510,null,429,null,2236,null,863,null,1647,null,716,null,68265,null,2481,null,58071,null,2570,null,34538,null,2136,null,10194,null,1982,null,4113,null,1161,null,2108,null,837,null,6081,null,1540,null,3613,null,1140,null,0400000US25,Massachusetts,25
