C19037F_001E,C19037F_001EA,C19037F_001M,C19037F_001MA,C19037F_002E,C19037F_002EA,C19037F_002M,C19037F_002MA,C19037F_003E,C19037F_003EA,C19037F_003M,C19037F_003MA,C19037F_004E,C19037F_004EA,C19037F_004M,C19037F_004MA,C19037F_005E,C19037F_005EA,C19037F_005M,C19037F_005MA,C19037F_006E,C19037F_006EA,C19037F_006M,C19037F_006MA,C19037F_007E,C19037F_007EA,C19037F_007M,C19037F_007MA,C19037F_008E,C19037F_008EA,C19037F_008M,C19037F_008MA,C19037F_009E,C19037F_009EA,C19037F_009M,C19037F_009MA,C19037F_010E,C19037F_010EA,C19037F_010M,C19037F_010MA,C19037F_011E,C19037F_011EA,C19037F_011M,C19037F_011MA,C19037F_012E,C19037F_012EA,C19037F_012M,C19037F_012MA,C19037F_013E,C19037F_013EA,C19037F_013M,C19037F_013MA,C19037F_014E,C19037F_014EA,C19037F_014M,C19037F_014MA,C19037F_015E,C19037F_015EA,C19037F_015M,C19037F_015MA,C19037F_016E,C19037F_016EA,C19037F_016M,C19037F_016MA,C19037F_017E,C19037F_017EA,C19037F_017M,C19037F_017MA,C19037F_018E,C19037F_018EA,C19037F_018M,C19037F_018MA,C19037F_019E,C19037F_019EA,C19037F_019M,C19037F_019MA,C19037F_020E,C19037F_020EA,C19037F_020M,C19037F_020MA,C19037F_021E,C19037F_021EA,C19037F_021M,C19037F_021MA,C19037F_022E,C19037F_022EA,C19037F_022M,C19037F_022MA,C19037F_023E,C19037F_023EA,C19037F_023M,C19037F_023MA,C19037F_024E,C19037F_024EA,C19037F_024M,C19037F_024MA,C19037F_025E,C19037F_025EA,C19037F_025M,C19037F_025MA,C19037F_026E,C19037F_026EA,C19037F_026M,C19037F_026MA,C19037F_027E,C19037F_027EA,C19037F_027M,C19037F_027MA,C19037F_028E,C19037F_028EA,C19037F_028M,C19037F_028MA,C19037F_029E,C19037F_029EA,C19037F_029M,C19037F_029MA,C19037F_030E,C19037F_030EA,C19037F_030M,C19037F_030MA,C19037F_031E,C19037F_031EA,C19037F_031M,C19037F_031MA,C19037F_032E,C19037F_032EA,C19037F_032M,C19037F_032MA,C19037F_033E,C19037F_033EA,C19037F_033M,C19037F_033MA,C19037F_034E,C19037F_034EA,C19037F_034M,C19037F_034MA,C19037F_035E,C19037F_035EA,C19037F_035M,C19037F_035MA,C19037F_036E,C19037F_036EA,C19037F_036M,C19037F_036MA,C19037F_037E,C19037F_037EA,C19037F_037M,C19037F_037MA,C19037F_038E,C19037F_038EA,C19037F_038M,C19037F_038MA,C19037F_039E,C19037F_039EA,C19037F_039M,C19037F_039MA,C19037F_040E,C19037F_040EA,C19037F_040M,C19037F_040MA,C19037F_041E,C19037F_041EA,C19037F_041M,C19037F_041MA,C19037F_042E,C19037F_042EA,C19037F_042M,C19037F_042MA,C19037F_043E,C19037F_043EA,C19037F_043M,C19037F_043MA,C19037F_044E,C19037F_044EA,C19037F_044M,C19037F_044MA,C19037F_045E,C19037F_045EA,C19037F_045M,C19037F_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
115905,null,5957,null,9081,null,1552,null,789,null,458,null,1213,null,626,null,1920,null,897,null,1790,null,750,null,1540,null,735,null,1378,null,738,null,420,null,246,null,31,null,49,null,0,null,302,null,0,null,302,null,62065,null,4666,null,4434,null,1128,null,1765,null,819,null,7104,null,1472,null,10615,null,2102,null,11878,null,1678,null,12118,null,2060,null,8027,null,1563,null,4739,null,1145,null,1062,null,587,null,323,null,219,null,36587,null,3064,null,2523,null,904,null,2321,null,870,null,4217,null,1110,null,5135,null,1334,null,6932,null,1400,null,7227,null,1394,null,3992,null,1020,null,3164,null,828,null,823,null,505,null,253,null,220,null,8172,null,1294,null,1184,null,558,null,1244,null,522,null,1460,null,604,null,966,null,407,null,1488,null,592,null,879,null,493,null,604,null,322,null,192,null,158,null,95,null,162,null,60,null,100,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
1259697,null,17268,null,68849,null,4093,null,6102,null,1239,null,5637,null,1443,null,12454,null,1822,null,13566,null,1886,null,11251,null,1607,null,12190,null,1792,null,4867,null,1077,null,2494,null,793,null,169,null,198,null,119,null,196,null,706588,null,13014,null,33235,null,3016,null,32608,null,3263,null,94237,null,5256,null,93536,null,5441,null,123426,null,5702,null,151538,null,6843,null,84073,null,5578,null,68661,null,4573,null,15963,null,2668,null,9311,null,1952,null,394964,null,9973,null,20205,null,2170,null,19884,null,2781,null,42360,null,3571,null,42779,null,3800,null,62832,null,4450,null,83122,null,4670,null,51783,null,3525,null,51778,null,3852,null,13298,null,1795,null,6923,null,1430,null,89296,null,4449,null,10247,null,1684,null,15341,null,2094,null,16202,null,1971,null,11972,null,1886,null,13211,null,1748,null,11704,null,1878,null,4208,null,1003,null,3295,null,843,null,2131,null,806,null,985,null,473,null,0400000US06,California,06
68402,null,3909,null,4702,null,1109,null,1307,null,678,null,132,null,158,null,940,null,501,null,602,null,421,null,747,null,435,null,590,null,452,null,237,null,261,null,147,null,254,null,0,null,275,null,0,null,275,null,37022,null,3063,null,2099,null,780,null,3229,null,1004,null,5639,null,1753,null,5742,null,1434,null,5635,null,1170,null,7460,null,1473,null,3464,null,1008,null,3149,null,1128,null,355,null,275,null,250,null,329,null,21668,null,2145,null,1943,null,720,null,2109,null,907,null,2532,null,774,null,3496,null,955,null,3527,null,1012,null,4279,null,1074,null,1754,null,583,null,1658,null,567,null,207,null,208,null,163,null,181,null,5010,null,896,null,849,null,396,null,880,null,458,null,948,null,416,null,406,null,232,null,665,null,289,null,721,null,309,null,111,null,155,null,253,null,244,null,78,null,95,null,99,null,171,null,0400000US08,Colorado,08
48532,null,2563,null,4525,null,1269,null,889,null,655,null,532,null,384,null,787,null,437,null,717,null,438,null,761,null,499,null,298,null,267,null,439,null,253,null,102,null,118,null,0,null,275,null,0,null,275,null,26921,null,2083,null,2646,null,969,null,2042,null,774,null,3989,null,1245,null,3588,null,1154,null,3910,null,943,null,5652,null,1290,null,2825,null,1128,null,1439,null,692,null,267,null,308,null,563,null,430,null,14019,null,1519,null,2430,null,826,null,1575,null,667,null,1726,null,626,null,1158,null,493,null,1908,null,680,null,2106,null,745,null,1383,null,634,null,1148,null,689,null,281,null,262,null,304,null,303,null,3067,null,791,null,744,null,342,null,927,null,546,null,513,null,345,null,260,null,230,null,348,null,335,null,66,null,108,null,130,null,155,null,0,null,275,null,79,null,95,null,0,null,275,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
135210,null,6872,null,7809,null,1500,null,1458,null,634,null,446,null,373,null,1688,null,793,null,1221,null,634,null,864,null,537,null,1534,null,638,null,442,null,273,null,53,null,86,null,0,null,305,null,103,null,182,null,79006,null,4894,null,3898,null,1079,null,4373,null,1241,null,10914,null,1852,null,14904,null,2633,null,18214,null,2719,null,14381,null,2366,null,5864,null,1516,null,4815,null,1178,null,1310,null,522,null,333,null,221,null,38598,null,3595,null,2402,null,763,null,2068,null,873,null,3840,null,997,null,4447,null,1091,null,7245,null,1550,null,8642,null,1608,null,5563,null,1261,null,3278,null,993,null,813,null,557,null,300,null,336,null,9797,null,1584,null,1880,null,772,null,1594,null,621,null,1887,null,662,null,1278,null,490,null,1223,null,686,null,1020,null,491,null,676,null,390,null,79,null,114,null,0,null,305,null,160,null,133,null,0400000US12,Florida,12
