B19101C_001E,B19101C_001EA,B19101C_001M,B19101C_001MA,B19101C_002E,B19101C_002EA,B19101C_002M,B19101C_002MA,B19101C_003E,B19101C_003EA,B19101C_003M,B19101C_003MA,B19101C_004E,B19101C_004EA,B19101C_004M,B19101C_004MA,B19101C_005E,B19101C_005EA,B19101C_005M,B19101C_005MA,B19101C_006E,B19101C_006EA,B19101C_006M,B19101C_006MA,B19101C_007E,B19101C_007EA,B19101C_007M,B19101C_007MA,B19101C_008E,B19101C_008EA,B19101C_008M,B19101C_008MA,B19101C_009E,B19101C_009EA,B19101C_009M,B19101C_009MA,B19101C_010E,B19101C_010EA,B19101C_010M,B19101C_010MA,B19101C_011E,B19101C_011EA,B19101C_011M,B19101C_011MA,B19101C_012E,B19101C_012EA,B19101C_012M,B19101C_012MA,B19101C_013E,B19101C_013EA,B19101C_013M,B19101C_013MA,B19101C_014E,B19101C_014EA,B19101C_014M,B19101C_014MA,B19101C_015E,B19101C_015EA,B19101C_015M,B19101C_015MA,B19101C_016E,B19101C_016EA,B19101C_016M,B19101C_016MA,B19101C_017E,B19101C_017EA,B19101C_017M,B19101C_017MA,GEO_ID,NAME,state
7201,null,1097,null,447,null,332,null,316,null,221,null,389,null,248,null,470,null,305,null,695,null,357,null,359,null,238,null,183,null,182,null,64,null,51,null,207,null,200,null,915,null,504,null,1128,null,500,null,1071,null,458,null,390,null,323,null,318,null,224,null,130,null,149,null,119,null,142,null,0400000US01,Alabama,01
18242,null,1198,null,704,null,299,null,942,null,332,null,948,null,350,null,1859,null,495,null,782,null,226,null,1260,null,402,null,1463,null,535,null,861,null,250,null,965,null,455,null,1444,null,619,null,1664,null,513,null,2571,null,549,null,1285,null,423,null,763,null,309,null,308,null,161,null,423,null,277,null,0400000US02,Alaska,02
52135,null,3019,null,6446,null,1199,null,3063,null,673,null,3542,null,1038,null,3372,null,854,null,3475,null,772,null,3780,null,995,null,3392,null,968,null,3324,null,891,null,1925,null,637,null,4535,null,1116,null,4587,null,1114,null,6497,null,1315,null,2256,null,634,null,1013,null,516,null,656,null,322,null,272,null,253,null,0400000US04,Arizona,04
3500,null,866,null,251,null,173,null,146,null,159,null,680,null,489,null,221,null,119,null,346,null,315,null,228,null,269,null,15,null,26,null,257,null,179,null,136,null,151,null,251,null,197,null,373,null,196,null,295,null,294,null,236,null,186,null,65,null,81,null,0,null,269,null,0,null,269,null,0400000US05,Arkansas,05
73209,null,3870,null,4343,null,1159,null,3289,null,1155,null,2965,null,892,null,4889,null,1133,null,2678,null,719,null,5118,null,1166,null,3201,null,793,null,3805,null,1145,null,4983,null,1400,null,6912,null,1212,null,7427,null,1277,null,9582,null,1595,null,6634,null,1296,null,2788,null,779,null,2110,null,634,null,2485,null,686,null,0400000US06,California,06
10549,null,1772,null,453,null,309,null,545,null,331,null,388,null,313,null,923,null,578,null,1166,null,574,null,1165,null,600,null,501,null,263,null,620,null,404,null,460,null,417,null,643,null,347,null,1314,null,694,null,1415,null,905,null,518,null,312,null,76,null,133,null,209,null,196,null,153,null,172,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
12392,null,1913,null,428,null,354,null,1126,null,566,null,1100,null,720,null,669,null,501,null,960,null,481,null,1326,null,661,null,766,null,463,null,651,null,433,null,613,null,344,null,892,null,406,null,881,null,573,null,1321,null,699,null,919,null,468,null,278,null,250,null,196,null,175,null,266,null,278,null,0400000US12,Florida,12
