B10051G_001E,B10051G_001EA,B10051G_001M,B10051G_001MA,B10051G_002E,B10051G_002EA,B10051G_002M,B10051G_002MA,B10051G_003E,B10051G_003EA,B10051G_003M,B10051G_003MA,B10051G_004E,B10051G_004EA,B10051G_004M,B10051G_004MA,B10051G_005E,B10051G_005EA,B10051G_005M,B10051G_005MA,B10051G_006E,B10051G_006EA,B10051G_006M,B10051G_006MA,B10051G_007E,B10051G_007EA,B10051G_007M,B10051G_007MA,GEO_ID,NAME,state
1328,null,652,null,1034,null,638,null,882,null,628,null,152,null,202,null,294,null,198,null,224,null,181,null,70,null,81,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
2186,null,762,null,1420,null,630,null,1058,null,574,null,362,null,304,null,766,null,473,null,387,null,290,null,379,null,340,null,0400000US04,Arizona,04
1339,null,546,null,823,null,448,null,626,null,393,null,197,null,198,null,516,null,332,null,242,null,206,null,274,null,261,null,0400000US05,Arkansas,05
22448,null,3030,null,8112,null,1673,null,5252,null,1296,null,2860,null,901,null,14336,null,2151,null,6652,null,1523,null,7684,null,1312,null,0400000US06,California,06
2077,null,899,null,1481,null,794,null,1211,null,803,null,270,null,253,null,596,null,416,null,546,null,385,null,50,null,83,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
6701,null,1736,null,2302,null,974,null,1702,null,895,null,600,null,423,null,4399,null,1299,null,2178,null,954,null,2221,null,726,null,0400000US12,Florida,12
1534,null,617,null,762,null,422,null,679,null,413,null,83,null,80,null,772,null,468,null,372,null,351,null,400,null,308,null,0400000US13,Georgia,13
9667,null,1762,null,2617,null,1132,null,1606,null,1022,null,1011,null,462,null,7050,null,1377,null,3150,null,956,null,3900,null,1096,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
3085,null,958,null,1333,null,504,null,1039,null,447,null,294,null,178,null,1752,null,830,null,969,null,562,null,783,null,574,null,0400000US17,Illinois,17
1317,null,482,null,684,null,324,null,360,null,212,null,324,null,258,null,633,null,320,null,368,null,299,null,265,null,191,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
1010,null,403,null,469,null,288,null,406,null,266,null,63,null,82,null,541,null,310,null,266,null,238,null,275,null,162,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
1472,null,510,null,514,null,345,null,334,null,260,null,180,null,260,null,958,null,355,null,462,null,270,null,496,null,272,null,0400000US24,Maryland,24
1570,null,838,null,644,null,533,null,561,null,520,null,83,null,130,null,926,null,495,null,490,null,419,null,436,null,261,null,0400000US25,Massachusetts,25
2386,null,730,null,1004,null,537,null,860,null,502,null,144,null,131,null,1382,null,505,null,983,null,498,null,399,null,260,null,0400000US26,Michigan,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
2519,null,937,null,1418,null,755,null,876,null,459,null,542,null,408,null,1101,null,423,null,630,null,314,null,471,null,324,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
1110,null,529,null,464,null,358,null,323,null,320,null,141,null,144,null,646,null,411,null,415,null,346,null,231,null,184,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
2207,null,866,null,848,null,468,null,621,null,371,null,227,null,278,null,1359,null,686,null,731,null,556,null,628,null,429,null,0400000US34,New Jersey,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US35,New Mexico,35
7598,null,1334,null,3245,null,961,null,2375,null,882,null,870,null,394,null,4353,null,851,null,2291,null,799,null,2062,null,559,null,0400000US36,New York,36
2007,null,664,null,1025,null,468,null,835,null,393,null,190,null,282,null,982,null,536,null,720,null,420,null,262,null,345,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
2572,null,926,null,1571,null,777,null,1295,null,663,null,276,null,288,null,1001,null,499,null,704,null,454,null,297,null,217,null,0400000US39,Ohio,39
2570,null,843,null,1556,null,600,null,685,null,385,null,871,null,383,null,1014,null,446,null,722,null,374,null,292,null,203,null,0400000US40,Oklahoma,40
