B19101B_001E,B19101B_001EA,B19101B_001M,B19101B_001MA,B19101B_002E,B19101B_002EA,B19101B_002M,B19101B_002MA,B19101B_003E,B19101B_003EA,B19101B_003M,B19101B_003MA,B19101B_004E,B19101B_004EA,B19101B_004M,B19101B_004MA,B19101B_005E,B19101B_005EA,B19101B_005M,B19101B_005MA,B19101B_006E,B19101B_006EA,B19101B_006M,B19101B_006MA,B19101B_007E,B19101B_007EA,B19101B_007M,B19101B_007MA,B19101B_008E,B19101B_008EA,B19101B_008M,B19101B_008MA,B19101B_009E,B19101B_009EA,B19101B_009M,B19101B_009MA,B19101B_010E,B19101B_010EA,B19101B_010M,B19101B_010MA,B19101B_011E,B19101B_011EA,B19101B_011M,B19101B_011MA,B19101B_012E,B19101B_012EA,B19101B_012M,B19101B_012MA,B19101B_013E,B19101B_013EA,B19101B_013M,B19101B_013MA,B19101B_014E,B19101B_014EA,B19101B_014M,B19101B_014MA,B19101B_015E,B19101B_015EA,B19101B_015M,B19101B_015MA,B19101B_016E,B19101B_016EA,B19101B_016M,B19101B_016MA,B19101B_017E,B19101B_017EA,B19101B_017M,B19101B_017MA,GEO_ID,NAME,state
286421,null,5940,null,34759,null,3043,null,22989,null,2375,null,24220,null,2576,null,23768,null,2549,null,20313,null,2807,null,18700,null,2013,null,17147,null,2095,null,14237,null,1883,null,12191,null,1563,null,20665,null,2224,null,26965,null,2632,null,25140,null,2267,null,13964,null,1924,null,5365,null,987,null,3696,null,997,null,2302,null,820,null,0400000US01,Alabama,01
5326,null,1067,null,313,null,347,null,48,null,81,null,137,null,159,null,48,null,84,null,630,null,604,null,248,null,288,null,135,null,144,null,368,null,241,null,253,null,258,null,495,null,376,null,665,null,403,null,621,null,483,null,311,null,257,null,549,null,328,null,505,null,446,null,0,null,240,null,0400000US02,Alaska,02
48310,null,2581,null,3259,null,855,null,2793,null,1020,null,3532,null,1023,null,2327,null,725,null,2248,null,634,null,1611,null,642,null,2845,null,966,null,3516,null,941,null,2537,null,775,null,5169,null,1377,null,5027,null,1223,null,6413,null,1341,null,2979,null,923,null,1346,null,607,null,1550,null,728,null,1158,null,600,null,0400000US04,Arizona,04
105997,null,3661,null,14426,null,2304,null,9988,null,1956,null,11035,null,2145,null,12268,null,2080,null,8268,null,1622,null,6797,null,1387,null,6669,null,1559,null,4242,null,1059,null,4513,null,1069,null,8037,null,1511,null,7118,null,1339,null,7782,null,1616,null,2980,null,851,null,860,null,473,null,493,null,277,null,521,null,337,null,0400000US05,Arkansas,05
477153,null,7617,null,39507,null,3930,null,27166,null,2723,null,24964,null,3054,null,24822,null,2685,null,23365,null,2506,null,24655,null,2632,null,23150,null,2667,null,24436,null,2723,null,16578,null,2171,null,35123,null,2917,null,47827,null,3313,null,58900,null,3728,null,42840,null,3256,null,23793,null,2301,null,23634,null,2581,null,16393,null,2038,null,0400000US06,California,06
41495,null,2675,null,4180,null,1311,null,2028,null,855,null,1938,null,724,null,2086,null,795,null,2681,null,991,null,3602,null,1263,null,2032,null,777,null,1841,null,736,null,1245,null,585,null,3577,null,912,null,4377,null,1072,null,5001,null,897,null,3270,null,771,null,1719,null,747,null,742,null,370,null,1176,null,572,null,0400000US08,Colorado,08
76350,null,3104,null,7801,null,1586,null,2696,null,747,null,4019,null,1081,null,4160,null,1093,null,5014,null,1235,null,3668,null,1140,null,3169,null,896,null,2569,null,808,null,2911,null,1002,null,6800,null,1305,null,8451,null,1384,null,9581,null,1605,null,6985,null,1395,null,2915,null,716,null,3078,null,839,null,2533,null,862,null,0400000US09,Connecticut,09
42783,null,2166,null,2421,null,864,null,2174,null,903,null,2461,null,915,null,2482,null,945,null,2265,null,744,null,3056,null,1059,null,3441,null,1193,null,1947,null,736,null,1655,null,562,null,4196,null,937,null,4547,null,1046,null,5645,null,1136,null,3208,null,974,null,1697,null,610,null,958,null,428,null,630,null,407,null,0400000US10,Delaware,10
63406,null,2941,null,8735,null,1546,null,2443,null,860,null,2536,null,853,null,1778,null,670,null,2889,null,829,null,5659,null,1280,null,3811,null,963,null,4183,null,1048,null,2445,null,751,null,5170,null,1328,null,5760,null,1126,null,7098,null,1361,null,3960,null,1040,null,2525,null,760,null,2273,null,626,null,2141,null,612,null,0400000US11,District of Columbia,11
622586,null,10241,null,54515,null,4371,null,32437,null,2808,null,39603,null,4229,null,47303,null,3816,null,45898,null,4049,null,44566,null,4328,null,43055,null,3282,null,34496,null,3532,null,29859,null,2748,null,54657,null,4340,null,62662,null,4286,null,69425,null,4856,null,33011,null,3062,null,14642,null,2354,null,11394,null,1562,null,5063,null,1079,null,0400000US12,Florida,12
