C17001D_001E,C17001D_001EA,C17001D_001M,C17001D_001MA,C17001D_002E,C17001D_002EA,C17001D_002M,C17001D_002MA,C17001D_003E,C17001D_003EA,C17001D_003M,C17001D_003MA,C17001D_004E,C17001D_004EA,C17001D_004M,C17001D_004MA,C17001D_005E,C17001D_005EA,C17001D_005M,C17001D_005MA,C17001D_006E,C17001D_006EA,C17001D_006M,C17001D_006MA,C17001D_007E,C17001D_007EA,C17001D_007M,C17001D_007MA,C17001D_008E,C17001D_008EA,C17001D_008M,C17001D_008MA,C17001D_009E,C17001D_009EA,C17001D_009M,C17001D_009MA,C17001D_010E,C17001D_010EA,C17001D_010M,C17001D_010MA,C17001D_011E,C17001D_011EA,C17001D_011M,C17001D_011MA,C17001D_012E,C17001D_012EA,C17001D_012M,C17001D_012MA,C17001D_013E,C17001D_013EA,C17001D_013M,C17001D_013MA,C17001D_014E,C17001D_014EA,C17001D_014M,C17001D_014MA,C17001D_015E,C17001D_015EA,C17001D_015M,C17001D_015MA,C17001D_016E,C17001D_016EA,C17001D_016M,C17001D_016MA,C17001D_017E,C17001D_017EA,C17001D_017M,C17001D_017MA,C17001D_018E,C17001D_018EA,C17001D_018M,C17001D_018MA,C17001D_019E,C17001D_019EA,C17001D_019M,C17001D_019MA,GEO_ID,NAME,state
44388,null,2610,null,5842,null,1964,null,2780,null,1190,null,681,null,612,null,1913,null,874,null,186,null,209,null,3062,null,1159,null,516,null,444,null,2513,null,1021,null,33,null,53,null,38546,null,3055,null,18283,null,1861,null,6118,null,1261,null,11504,null,1027,null,661,null,338,null,20263,null,1808,null,4866,null,1079,null,13846,null,1559,null,1551,null,697,null,0400000US01,Alabama,01
31534,null,1879,null,2870,null,1058,null,1519,null,575,null,258,null,233,null,1126,null,451,null,135,null,146,null,1351,null,744,null,371,null,293,null,831,null,469,null,149,null,161,null,28664,null,1860,null,13299,null,1319,null,3101,null,828,null,9112,null,1138,null,1086,null,305,null,15365,null,1147,null,2783,null,814,null,11445,null,883,null,1137,null,282,null,0400000US02,Alaska,02
152208,null,4345,null,16738,null,3579,null,7211,null,2066,null,2226,null,972,null,4941,null,1383,null,44,null,70,null,9527,null,2133,null,1886,null,890,null,6346,null,1472,null,1295,null,617,null,135470,null,4736,null,64518,null,2725,null,15208,null,1626,null,44239,null,1883,null,5071,null,514,null,70952,null,2968,null,15240,null,1260,null,49037,null,2174,null,6675,null,770,null,0400000US04,Arizona,04
28935,null,2324,null,4064,null,1503,null,2300,null,1107,null,562,null,549,null,1547,null,895,null,191,null,208,null,1764,null,750,null,507,null,346,null,1121,null,578,null,136,null,173,null,24871,null,2109,null,11547,null,1168,null,3437,null,869,null,7615,null,938,null,495,null,243,null,13324,null,1458,null,3300,null,902,null,9067,null,906,null,957,null,338,null,0400000US05,Arkansas,05
4477169,null,14046,null,441737,null,18723,null,206174,null,10959,null,51959,null,4780,null,133032,null,7659,null,21183,null,1980,null,235563,null,10454,null,45373,null,4557,null,157542,null,7546,null,32648,null,2953,null,4035432,null,22437,null,1943458,null,13245,null,422440,null,6432,null,1320366,null,8248,null,200652,null,2740,null,2091974,null,13141,null,403587,null,6933,null,1422892,null,9280,null,265495,null,3489,null,0400000US06,California,06
123720,null,3398,null,9993,null,2200,null,4763,null,1554,null,1432,null,938,null,2928,null,1093,null,403,null,383,null,5230,null,1252,null,229,null,232,null,4256,null,1161,null,745,null,382,null,113727,null,3820,null,51419,null,2407,null,12136,null,1348,null,35398,null,1740,null,3885,null,876,null,62308,null,2302,null,13765,null,1399,null,42618,null,1475,null,5925,null,875,null,0400000US08,Colorado,08
116532,null,2809,null,9480,null,3370,null,4240,null,1519,null,1279,null,704,null,2542,null,856,null,419,null,339,null,5240,null,2366,null,1365,null,1084,null,3755,null,1495,null,120,null,144,null,107052,null,3803,null,54251,null,2164,null,14125,null,1229,null,37117,null,1395,null,3009,null,627,null,52801,null,2278,null,13338,null,1121,null,35642,null,1540,null,3821,null,511,null,0400000US09,Connecticut,09
25233,null,801,null,2527,null,1469,null,1291,null,682,null,283,null,262,null,1008,null,565,null,0,null,263,null,1236,null,972,null,579,null,535,null,657,null,466,null,0,null,263,null,22706,null,1675,null,10967,null,937,null,3015,null,511,null,7193,null,625,null,759,null,184,null,11739,null,1085,null,2704,null,581,null,8326,null,663,null,709,null,292,null,0400000US10,Delaware,10
18808,null,936,null,2412,null,1078,null,856,null,719,null,185,null,238,null,671,null,581,null,0,null,296,null,1556,null,712,null,0,null,296,null,1398,null,686,null,158,null,146,null,16396,null,1349,null,7782,null,1028,null,1428,null,578,null,5560,null,706,null,794,null,310,null,8614,null,870,null,1213,null,331,null,6855,null,766,null,546,null,360,null,0400000US11,District of Columbia,11
416849,null,4976,null,42881,null,6353,null,19282,null,3219,null,3865,null,1191,null,13158,null,2548,null,2259,null,915,null,23599,null,4013,null,5862,null,1959,null,15396,null,2659,null,2341,null,747,null,373968,null,7082,null,172211,null,4596,null,41111,null,2519,null,116408,null,3473,null,14692,null,1188,null,201757,null,4702,null,43820,null,2962,null,137866,null,3397,null,20071,null,1280,null,0400000US12,Florida,12
