B01001F_001E,B01001F_001EA,B01001F_001M,B01001F_001MA,B01001F_002E,B01001F_002EA,B01001F_002M,B01001F_002MA,B01001F_003E,B01001F_003EA,B01001F_003M,B01001F_003MA,B01001F_004E,B01001F_004EA,B01001F_004M,B01001F_004MA,B01001F_005E,B01001F_005EA,B01001F_005M,B01001F_005MA,B01001F_006E,B01001F_006EA,B01001F_006M,B01001F_006MA,B01001F_007E,B01001F_007EA,B01001F_007M,B01001F_007MA,B01001F_008E,B01001F_008EA,B01001F_008M,B01001F_008MA,B01001F_009E,B01001F_009EA,B01001F_009M,B01001F_009MA,B01001F_010E,B01001F_010EA,B01001F_010M,B01001F_010MA,B01001F_011E,B01001F_011EA,B01001F_011M,B01001F_011MA,B01001F_012E,B01001F_012EA,B01001F_012M,B01001F_012MA,B01001F_013E,B01001F_013EA,B01001F_013M,B01001F_013MA,B01001F_014E,B01001F_014EA,B01001F_014M,B01001F_014MA,B01001F_015E,B01001F_015EA,B01001F_015M,B01001F_015MA,B01001F_016E,B01001F_016EA,B01001F_016M,B01001F_016MA,B01001F_017E,B01001F_017EA,B01001F_017M,B01001F_017MA,B01001F_018E,B01001F_018EA,B01001F_018M,B01001F_018MA,B01001F_019E,B01001F_019EA,B01001F_019M,B01001F_019MA,B01001F_020E,B01001F_020EA,B01001F_020M,B01001F_020MA,B01001F_021E,B01001F_021EA,B01001F_021M,B01001F_021MA,B01001F_022E,B01001F_022EA,B01001F_022M,B01001F_022MA,B01001F_023E,B01001F_023EA,B01001F_023M,B01001F_023MA,B01001F_024E,B01001F_024EA,B01001F_024M,B01001F_024MA,B01001F_025E,B01001F_025EA,B01001F_025M,B01001F_025MA,B01001F_026E,B01001F_026EA,B01001F_026M,B01001F_026MA,B01001F_027E,B01001F_027EA,B01001F_027M,B01001F_027MA,B01001F_028E,B01001F_028EA,B01001F_028M,B01001F_028MA,B01001F_029E,B01001F_029EA,B01001F_029M,B01001F_029MA,B01001F_030E,B01001F_030EA,B01001F_030M,B01001F_030MA,B01001F_031E,B01001F_031EA,B01001F_031M,B01001F_031MA,GEO_ID,NAME,state
33459,null,4931,null,19647,null,3327,null,2844,null,1281,null,2143,null,849,null,2111,null,784,null,644,null,332,null,564,null,277,null,2558,null,1052,null,2533,null,954,null,1942,null,828,null,2743,null,874,null,1216,null,568,null,349,null,246,null,0,null,271,null,0,null,271,null,0,null,271,null,13812,null,2518,null,2970,null,1147,null,1639,null,813,null,722,null,312,null,568,null,284,null,621,null,334,null,978,null,513,null,1465,null,612,null,1916,null,1014,null,1300,null,538,null,1134,null,502,null,319,null,205,null,68,null,112,null,112,null,143,null,0,null,271,null,0400000US01,Alabama,01
8553,null,2195,null,4905,null,1566,null,579,null,350,null,92,null,111,null,687,null,529,null,34,null,60,null,225,null,275,null,225,null,221,null,800,null,597,null,163,null,226,null,661,null,434,null,693,null,528,null,637,null,422,null,56,null,98,null,53,null,86,null,0,null,240,null,3648,null,992,null,293,null,287,null,316,null,230,null,395,null,344,null,159,null,171,null,0,null,240,null,333,null,261,null,251,null,227,null,342,null,251,null,726,null,404,null,408,null,318,null,261,null,251,null,77,null,133,null,87,null,146,null,0,null,240,null,0400000US02,Alaska,02
442577,null,23553,null,229925,null,13362,null,26405,null,3374,null,20288,null,2786,null,19469,null,2656,null,11004,null,1725,null,7371,null,1476,null,22046,null,2438,null,22536,null,3054,null,22422,null,2844,null,31470,null,3003,null,25355,null,2564,null,12128,null,1906,null,6779,null,1287,null,1875,null,606,null,777,null,697,null,212652,null,12623,null,25170,null,3544,null,22654,null,2666,null,18536,null,2338,null,10754,null,1704,null,7555,null,1356,null,17036,null,2316,null,17776,null,2333,null,16979,null,1772,null,30214,null,2643,null,24462,null,2556,null,12593,null,1962,null,5715,null,1300,null,2065,null,591,null,1143,null,646,null,0400000US04,Arizona,04
62280,null,5645,null,32037,null,3203,null,3317,null,1326,null,2797,null,959,null,2613,null,866,null,2296,null,712,null,1776,null,725,null,3742,null,1125,null,2820,null,796,null,3526,null,722,null,4750,null,1241,null,2571,null,604,null,1496,null,609,null,206,null,253,null,0,null,269,null,127,null,183,null,30243,null,3547,null,5671,null,1423,null,3869,null,1076,null,2847,null,1002,null,1610,null,596,null,906,null,351,null,2625,null,702,null,2935,null,758,null,2109,null,796,null,3910,null,948,null,2621,null,794,null,696,null,382,null,303,null,210,null,141,null,196,null,0,null,269,null,0400000US05,Arkansas,05
5228278,null,64372,null,2710922,null,35767,null,268976,null,7893,null,228627,null,8057,null,241291,null,7353,null,142756,null,4681,null,97368,null,4310,null,235944,null,8033,null,280871,null,7975,null,256466,null,8697,null,440840,null,10484,null,291558,null,9056,null,136565,null,5204,null,55215,null,3095,null,28733,null,2637,null,5712,null,1292,null,2517356,null,35786,null,258947,null,8960,null,219108,null,8206,null,232429,null,8021,null,136749,null,5670,null,93111,null,4342,null,219543,null,6912,null,216861,null,7349,null,213293,null,6117,null,381013,null,9084,null,273050,null,6964,null,142970,null,5513,null,74840,null,4205,null,40204,null,3755,null,15238,null,2153,null,0400000US06,California,06
234656,null,13697,null,123653,null,7533,null,13816,null,1829,null,10522,null,1826,null,8097,null,1550,null,5571,null,1184,null,3352,null,979,null,8689,null,2085,null,15763,null,2360,null,13115,null,1956,null,20504,null,2583,null,13543,null,2092,null,6170,null,1178,null,3032,null,763,null,1208,null,429,null,271,null,233,null,111003,null,8065,null,12192,null,2125,null,11619,null,2422,null,10139,null,1784,null,5867,null,1108,null,4190,null,1221,null,8432,null,1543,null,8379,null,1489,null,10516,null,2160,null,15695,null,1940,null,12429,null,1673,null,6726,null,1187,null,2828,null,704,null,1696,null,635,null,295,null,223,null,0400000US08,Colorado,08
159822,null,10325,null,82569,null,5851,null,8426,null,1745,null,7455,null,1521,null,6001,null,1342,null,5176,null,953,null,4342,null,1197,null,7759,null,1296,null,8225,null,1480,null,7224,null,1171,null,12139,null,1631,null,8698,null,1416,null,4892,null,1022,null,1590,null,705,null,642,null,480,null,0,null,275,null,77253,null,5380,null,7362,null,1401,null,4657,null,1316,null,5788,null,1349,null,4288,null,752,null,2590,null,888,null,5776,null,966,null,7638,null,1152,null,7099,null,1256,null,13414,null,1733,null,11048,null,1302,null,4545,null,1088,null,1740,null,551,null,1054,null,491,null,254,null,288,null,0400000US09,Connecticut,09
15589,null,3408,null,7594,null,1797,null,958,null,637,null,652,null,310,null,323,null,248,null,341,null,278,null,78,null,134,null,670,null,261,null,803,null,461,null,1141,null,338,null,1401,null,671,null,712,null,378,null,515,null,359,null,0,null,263,null,0,null,263,null,0,null,263,null,7995,null,1939,null,1745,null,707,null,957,null,516,null,475,null,299,null,263,null,175,null,30,null,51,null,845,null,498,null,492,null,266,null,329,null,275,null,1741,null,680,null,639,null,241,null,209,null,202,null,270,null,264,null,0,null,263,null,0,null,263,null,0400000US10,Delaware,10
18958,null,3748,null,9950,null,2106,null,782,null,573,null,651,null,382,null,770,null,594,null,378,null,336,null,349,null,428,null,570,null,383,null,1338,null,726,null,1562,null,653,null,2352,null,755,null,593,null,385,null,476,null,408,null,26,null,46,null,77,null,128,null,26,null,47,null,9008,null,2009,null,485,null,429,null,723,null,566,null,991,null,633,null,543,null,401,null,547,null,459,null,524,null,370,null,486,null,419,null,673,null,391,null,1758,null,690,null,1351,null,528,null,416,null,315,null,452,null,326,null,59,null,99,null,0,null,296,null,0400000US11,District of Columbia,11
480978,null,23831,null,252675,null,13148,null,21988,null,3361,null,21005,null,2894,null,18628,null,2718,null,11705,null,1759,null,8699,null,1763,null,23122,null,3350,null,28633,null,3646,null,24994,null,2787,null,42219,null,3520,null,28697,null,3428,null,12595,null,1870,null,6981,null,1494,null,2872,null,984,null,537,null,366,null,228303,null,13095,null,22183,null,3330,null,16357,null,2800,null,18831,null,3122,null,11596,null,1966,null,6783,null,1565,null,17079,null,2353,null,18926,null,2720,null,20122,null,2502,null,43280,null,3507,null,26964,null,2741,null,12331,null,1653,null,7475,null,1366,null,5377,null,1415,null,999,null,508,null,0400000US12,Florida,12
345171,null,18299,null,197983,null,11236,null,26503,null,2752,null,20376,null,2445,null,16751,null,2290,null,7587,null,1530,null,5386,null,1133,null,17112,null,2313,null,24317,null,2995,null,25689,null,2720,null,33197,null,3591,null,13834,null,2218,null,5989,null,1303,null,801,null,520,null,405,null,411,null,36,null,62,null,147188,null,8833,null,25099,null,3354,null,18966,null,2957,null,14145,null,2262,null,4382,null,894,null,2834,null,845,null,10061,null,1694,null,15438,null,1699,null,15420,null,2083,null,22734,null,2367,null,10870,null,1545,null,4032,null,1231,null,2196,null,800,null,601,null,499,null,410,null,516,null,0400000US13,Georgia,13
18358,null,3575,null,11378,null,2360,null,1332,null,641,null,602,null,302,null,674,null,531,null,256,null,204,null,588,null,774,null,2036,null,934,null,1001,null,536,null,1170,null,535,null,2165,null,833,null,581,null,344,null,712,null,384,null,215,null,206,null,46,null,58,null,0,null,275,null,6980,null,1950,null,429,null,520,null,498,null,458,null,763,null,573,null,271,null,306,null,354,null,595,null,905,null,565,null,704,null,556,null,544,null,355,null,1065,null,469,null,414,null,232,null,582,null,386,null,88,null,112,null,363,null,178,null,0,null,275,null,0400000US15,Hawaii,15
27714,null,4102,null,16646,null,2728,null,1640,null,656,null,1711,null,568,null,1157,null,503,null,968,null,515,null,867,null,551,null,1261,null,590,null,1182,null,586,null,1248,null,676,null,2660,null,753,null,1911,null,782,null,1223,null,469,null,501,null,313,null,317,null,222,null,0,null,259,null,11068,null,1960,null,442,null,314,null,1019,null,489,null,1361,null,647,null,1030,null,520,null,492,null,275,null,716,null,396,null,636,null,379,null,1227,null,535,null,1475,null,498,null,1669,null,656,null,487,null,224,null,206,null,171,null,294,null,261,null,14,null,24,null,0400000US16,Idaho,16
