C19037C_001E,C19037C_001EA,C19037C_001M,C19037C_001MA,C19037C_002E,C19037C_002EA,C19037C_002M,C19037C_002MA,C19037C_003E,C19037C_003EA,C19037C_003M,C19037C_003MA,C19037C_004E,C19037C_004EA,C19037C_004M,C19037C_004MA,C19037C_005E,C19037C_005EA,C19037C_005M,C19037C_005MA,C19037C_006E,C19037C_006EA,C19037C_006M,C19037C_006MA,C19037C_007E,C19037C_007EA,C19037C_007M,C19037C_007MA,C19037C_008E,C19037C_008EA,C19037C_008M,C19037C_008MA,C19037C_009E,C19037C_009EA,C19037C_009M,C19037C_009MA,C19037C_010E,C19037C_010EA,C19037C_010M,C19037C_010MA,C19037C_011E,C19037C_011EA,C19037C_011M,C19037C_011MA,C19037C_012E,C19037C_012EA,C19037C_012M,C19037C_012MA,C19037C_013E,C19037C_013EA,C19037C_013M,C19037C_013MA,C19037C_014E,C19037C_014EA,C19037C_014M,C19037C_014MA,C19037C_015E,C19037C_015EA,C19037C_015M,C19037C_015MA,C19037C_016E,C19037C_016EA,C19037C_016M,C19037C_016MA,C19037C_017E,C19037C_017EA,C19037C_017M,C19037C_017MA,C19037C_018E,C19037C_018EA,C19037C_018M,C19037C_018MA,C19037C_019E,C19037C_019EA,C19037C_019M,C19037C_019MA,C19037C_020E,C19037C_020EA,C19037C_020M,C19037C_020MA,C19037C_021E,C19037C_021EA,C19037C_021M,C19037C_021MA,C19037C_022E,C19037C_022EA,C19037C_022M,C19037C_022MA,C19037C_023E,C19037C_023EA,C19037C_023M,C19037C_023MA,C19037C_024E,C19037C_024EA,C19037C_024M,C19037C_024MA,C19037C_025E,C19037C_025EA,C19037C_025M,C19037C_025MA,C19037C_026E,C19037C_026EA,C19037C_026M,C19037C_026MA,C19037C_027E,C19037C_027EA,C19037C_027M,C19037C_027MA,C19037C_028E,C19037C_028EA,C19037C_028M,C19037C_028MA,C19037C_029E,C19037C_029EA,C19037C_029M,C19037C_029MA,C19037C_030E,C19037C_030EA,C19037C_030M,C19037C_030MA,C19037C_031E,C19037C_031EA,C19037C_031M,C19037C_031MA,C19037C_032E,C19037C_032EA,C19037C_032M,C19037C_032MA,C19037C_033E,C19037C_033EA,C19037C_033M,C19037C_033MA,C19037C_034E,C19037C_034EA,C19037C_034M,C19037C_034MA,C19037C_035E,C19037C_035EA,C19037C_035M,C19037C_035MA,C19037C_036E,C19037C_036EA,C19037C_036M,C19037C_036MA,C19037C_037E,C19037C_037EA,C19037C_037M,C19037C_037MA,C19037C_038E,C19037C_038EA,C19037C_038M,C19037C_038MA,C19037C_039E,C19037C_039EA,C19037C_039M,C19037C_039MA,C19037C_040E,C19037C_040EA,C19037C_040M,C19037C_040MA,C19037C_041E,C19037C_041EA,C19037C_041M,C19037C_041MA,C19037C_042E,C19037C_042EA,C19037C_042M,C19037C_042MA,C19037C_043E,C19037C_043EA,C19037C_043M,C19037C_043MA,C19037C_044E,C19037C_044EA,C19037C_044M,C19037C_044MA,C19037C_045E,C19037C_045EA,C19037C_045M,C19037C_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
25666,null,1421,null,1496,null,525,null,126,null,143,null,55,null,59,null,331,null,234,null,252,null,276,null,450,null,288,null,248,null,187,null,34,null,61,null,0,null,240,null,0,null,240,null,0,null,240,null,9894,null,1161,null,576,null,260,null,749,null,342,null,1317,null,418,null,1515,null,499,null,2025,null,549,null,1315,null,414,null,983,null,353,null,1202,null,480,null,161,null,124,null,51,null,85,null,10629,null,1112,null,1035,null,358,null,634,null,331,null,1449,null,487,null,881,null,286,null,1552,null,506,null,1793,null,554,null,1633,null,431,null,1027,null,352,null,202,null,123,null,423,null,301,null,3647,null,527,null,41,null,48,null,204,null,179,null,808,null,302,null,566,null,203,null,762,null,338,null,585,null,282,null,484,null,306,null,179,null,150,null,18,null,28,null,0,null,240,null,0400000US02,Alaska,02
73580,null,3152,null,4806,null,1125,null,1538,null,610,null,349,null,301,null,887,null,513,null,279,null,249,null,363,null,278,null,1073,null,619,null,78,null,103,null,239,null,257,null,0,null,302,null,0,null,302,null,28322,null,2573,null,4078,null,1240,null,1322,null,524,null,3593,null,1000,null,4985,null,1343,null,4455,null,931,null,4890,null,1150,null,3719,null,1126,null,1215,null,506,null,35,null,61,null,30,null,50,null,27466,null,1848,null,4400,null,908,null,1434,null,502,null,3134,null,766,null,3047,null,804,null,4576,null,1086,null,5115,null,964,null,2858,null,736,null,2047,null,724,null,542,null,292,null,313,null,277,null,12986,null,1015,null,2735,null,589,null,1249,null,433,null,2776,null,574,null,1414,null,392,null,2213,null,599,null,1225,null,484,null,815,null,443,null,442,null,318,null,117,null,142,null,0,null,302,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
103299,null,4576,null,5679,null,1431,null,1008,null,678,null,539,null,356,null,1079,null,675,null,844,null,535,null,756,null,463,null,825,null,538,null,401,null,479,null,97,null,114,null,130,null,176,null,0,null,294,null,40701,null,3191,null,2282,null,914,null,2636,null,994,null,3280,null,982,null,4927,null,1233,null,6812,null,1316,null,8946,null,1563,null,5908,null,1243,null,3932,null,979,null,695,null,374,null,1283,null,603,null,41644,null,3099,null,3164,null,1036,null,2740,null,810,null,4544,null,989,null,4413,null,1211,null,4996,null,1019,null,7835,null,1446,null,4981,null,1027,null,6470,null,1265,null,1474,null,589,null,1027,null,401,null,15275,null,1673,null,922,null,431,null,2165,null,609,null,2951,null,767,null,1412,null,480,null,2614,null,775,null,2081,null,661,null,1166,null,561,null,1132,null,521,null,231,null,175,null,601,null,353,null,0400000US06,California,06
18400,null,2588,null,1044,null,447,null,205,null,204,null,0,null,275,null,107,null,127,null,446,null,364,null,242,null,153,null,44,null,79,null,0,null,275,null,0,null,275,null,0,null,275,null,0,null,275,null,9168,null,1764,null,401,null,228,null,717,null,620,null,1099,null,670,null,2214,null,1156,null,1052,null,512,null,2150,null,879,null,1314,null,855,null,221,null,216,null,0,null,275,null,0,null,275,null,6956,null,1567,null,666,null,404,null,466,null,364,null,1129,null,576,null,843,null,757,null,1693,null,745,null,1095,null,750,null,360,null,314,null,342,null,249,null,209,null,196,null,153,null,172,null,1232,null,579,null,162,null,158,null,540,null,374,null,268,null,271,null,148,null,156,null,0,null,275,null,63,null,107,null,20,null,37,null,31,null,54,null,0,null,275,null,0,null,275,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
19217,null,2275,null,554,null,391,null,63,null,85,null,166,null,193,null,70,null,97,null,233,null,325,null,22,null,36,null,0,null,305,null,0,null,305,null,0,null,305,null,0,null,305,null,0,null,305,null,6008,null,1364,null,501,null,396,null,686,null,442,null,621,null,518,null,1093,null,673,null,1026,null,498,null,1202,null,618,null,488,null,384,null,391,null,222,null,0,null,305,null,0,null,305,null,10219,null,1442,null,870,null,507,null,420,null,316,null,1241,null,746,null,1223,null,523,null,2181,null,747,null,1280,null,565,null,1247,null,627,null,949,null,452,null,406,null,331,null,402,null,338,null,2436,null,743,null,72,null,101,null,391,null,309,null,637,null,345,null,217,null,214,null,356,null,282,null,272,null,211,null,283,null,257,null,57,null,81,null,32,null,57,null,119,null,143,null,0400000US12,Florida,12
