B21001C_001E,B21001C_001EA,B21001C_001M,B21001C_001MA,B21001C_002E,B21001C_002EA,B21001C_002M,B21001C_002MA,B21001C_003E,B21001C_003EA,B21001C_003M,B21001C_003MA,B21001C_004E,B21001C_004EA,B21001C_004M,B21001C_004MA,B21001C_005E,B21001C_005EA,B21001C_005M,B21001C_005MA,B21001C_006E,B21001C_006EA,B21001C_006M,B21001C_006MA,B21001C_007E,B21001C_007EA,B21001C_007M,B21001C_007MA,B21001C_008E,B21001C_008EA,B21001C_008M,B21001C_008MA,B21001C_009E,B21001C_009EA,B21001C_009M,B21001C_009MA,B21001C_010E,B21001C_010EA,B21001C_010M,B21001C_010MA,B21001C_011E,B21001C_011EA,B21001C_011M,B21001C_011MA,B21001C_012E,B21001C_012EA,B21001C_012M,B21001C_012MA,B21001C_013E,B21001C_013EA,B21001C_013M,B21001C_013MA,B21001C_014E,B21001C_014EA,B21001C_014M,B21001C_014MA,B21001C_015E,B21001C_015EA,B21001C_015M,B21001C_015MA,B21001C_016E,B21001C_016EA,B21001C_016M,B21001C_016MA,B21001C_017E,B21001C_017EA,B21001C_017M,B21001C_017MA,B21001C_018E,B21001C_018EA,B21001C_018M,B21001C_018MA,B21001C_019E,B21001C_019EA,B21001C_019M,B21001C_019MA,B21001C_020E,B21001C_020EA,B21001C_020M,B21001C_020MA,B21001C_021E,B21001C_021EA,B21001C_021M,B21001C_021MA,B21001C_022E,B21001C_022EA,B21001C_022M,B21001C_022MA,B21001C_023E,B21001C_023EA,B21001C_023M,B21001C_023MA,B21001C_024E,B21001C_024EA,B21001C_024M,B21001C_024MA,B21001C_025E,B21001C_025EA,B21001C_025M,B21001C_025MA,B21001C_026E,B21001C_026EA,B21001C_026M,B21001C_026MA,B21001C_027E,B21001C_027EA,B21001C_027M,B21001C_027MA,B21001C_028E,B21001C_028EA,B21001C_028M,B21001C_028MA,B21001C_029E,B21001C_029EA,B21001C_029M,B21001C_029MA,B21001C_030E,B21001C_030EA,B21001C_030M,B21001C_030MA,B21001C_031E,B21001C_031EA,B21001C_031M,B21001C_031MA,B21001C_032E,B21001C_032EA,B21001C_032M,B21001C_032MA,B21001C_033E,B21001C_033EA,B21001C_033M,B21001C_033MA,GEO_ID,NAME,state
17757,null,2329,null,8294,null,1602,null,2339,null,861,null,153,null,149,null,2186,null,848,null,3389,null,905,null,952,null,648,null,2437,null,614,null,1759,null,590,null,1104,null,485,null,655,null,377,null,617,null,367,null,282,null,254,null,335,null,251,null,190,null,177,null,190,null,177,null,0,null,271,null,9463,null,1329,null,2427,null,860,null,0,null,271,null,2427,null,860,null,4011,null,864,null,4,null,8,null,4007,null,864,null,2188,null,673,null,0,null,271,null,2188,null,673,null,643,null,347,null,0,null,271,null,643,null,347,null,194,null,204,null,0,null,271,null,194,null,204,null,0400000US01,Alabama,01
60006,null,2909,null,28603,null,2173,null,11554,null,1237,null,245,null,137,null,11309,null,1240,null,10548,null,940,null,795,null,269,null,9753,null,917,null,3979,null,612,null,1114,null,409,null,2865,null,540,null,1204,null,278,null,450,null,178,null,754,null,248,null,1318,null,437,null,735,null,387,null,583,null,175,null,31403,null,1597,null,11591,null,985,null,28,null,43,null,11563,null,989,null,11887,null,975,null,135,null,94,null,11752,null,965,null,4273,null,626,null,120,null,185,null,4153,null,629,null,2475,null,481,null,0,null,240,null,2475,null,481,null,1177,null,370,null,4,null,7,null,1173,null,370,null,0400000US02,Alaska,02
193942,null,4181,null,92134,null,2410,null,42353,null,1876,null,767,null,412,null,41586,null,1913,null,31926,null,1288,null,3259,null,848,null,28667,null,1524,null,9349,null,920,null,2876,null,715,null,6473,null,762,null,5654,null,828,null,1657,null,562,null,3997,null,798,null,2852,null,603,null,1090,null,487,null,1762,null,599,null,101808,null,2640,null,40906,null,1411,null,335,null,184,null,40571,null,1441,null,37851,null,1725,null,631,null,421,null,37220,null,1777,null,11428,null,817,null,83,null,98,null,11345,null,823,null,6323,null,660,null,52,null,108,null,6271,null,644,null,5300,null,522,null,0,null,302,null,5300,null,522,null,0400000US04,Arizona,04
10064,null,1177,null,4253,null,656,null,1713,null,577,null,158,null,248,null,1555,null,540,null,1560,null,518,null,174,null,141,null,1386,null,484,null,549,null,286,null,211,null,135,null,338,null,237,null,242,null,168,null,149,null,119,null,93,null,113,null,189,null,169,null,159,null,162,null,30,null,48,null,5811,null,980,null,1791,null,495,null,18,null,29,null,1773,null,491,null,2055,null,644,null,0,null,269,null,2055,null,644,null,832,null,371,null,0,null,269,null,832,null,371,null,734,null,380,null,30,null,53,null,704,null,377,null,399,null,306,null,0,null,269,null,399,null,306,null,0400000US05,Arkansas,05
235609,null,9712,null,119030,null,7272,null,42070,null,4569,null,1303,null,620,null,40767,null,4431,null,49502,null,4511,null,6790,null,1279,null,42712,null,4062,null,15562,null,1990,null,4979,null,1079,null,10583,null,1670,null,7772,null,1395,null,3541,null,915,null,4231,null,981,null,4124,null,888,null,2498,null,679,null,1626,null,716,null,116579,null,5475,null,39667,null,3450,null,740,null,510,null,38927,null,3386,null,46557,null,3177,null,986,null,653,null,45571,null,3206,null,16646,null,1904,null,117,null,185,null,16529,null,1901,null,8202,null,1021,null,70,null,106,null,8132,null,1010,null,5507,null,1038,null,350,null,284,null,5157,null,1060,null,0400000US06,California,06
35732,null,3318,null,16536,null,1840,null,7170,null,1365,null,393,null,346,null,6777,null,1365,null,6584,null,1251,null,1734,null,920,null,4850,null,1050,null,1904,null,964,null,907,null,691,null,997,null,549,null,632,null,373,null,319,null,261,null,313,null,192,null,246,null,245,null,93,null,126,null,153,null,207,null,19196,null,2455,null,7515,null,1577,null,291,null,348,null,7224,null,1684,null,7967,null,1489,null,346,null,285,null,7621,null,1444,null,2585,null,987,null,108,null,191,null,2477,null,974,null,569,null,415,null,0,null,275,null,569,null,415,null,560,null,393,null,0,null,275,null,560,null,393,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
37004,null,3681,null,18654,null,2487,null,5414,null,1481,null,386,null,329,null,5028,null,1479,null,7870,null,1609,null,2179,null,842,null,5691,null,1270,null,3478,null,871,null,1689,null,665,null,1789,null,612,null,1398,null,501,null,971,null,464,null,427,null,277,null,494,null,320,null,427,null,305,null,67,null,106,null,18350,null,2280,null,4897,null,1005,null,19,null,35,null,4878,null,1006,null,7991,null,1395,null,382,null,297,null,7609,null,1423,null,3561,null,889,null,76,null,128,null,3485,null,893,null,1049,null,518,null,0,null,305,null,1049,null,518,null,852,null,517,null,0,null,305,null,852,null,517,null,0400000US12,Florida,12
17205,null,2615,null,9690,null,2234,null,3824,null,2012,null,0,null,298,null,3824,null,2012,null,3655,null,1170,null,667,null,422,null,2988,null,1037,null,1341,null,535,null,679,null,379,null,662,null,397,null,679,null,449,null,410,null,386,null,269,null,241,null,191,null,213,null,176,null,210,null,15,null,34,null,7515,null,1390,null,1643,null,686,null,78,null,124,null,1565,null,685,null,3384,null,941,null,298,null,321,null,3086,null,903,null,1731,null,616,null,0,null,298,null,1731,null,616,null,519,null,413,null,0,null,298,null,519,null,413,null,238,null,243,null,115,null,150,null,123,null,136,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
10987,null,1405,null,5304,null,901,null,2209,null,715,null,34,null,50,null,2175,null,708,null,1425,null,433,null,21,null,35,null,1404,null,433,null,1005,null,513,null,380,null,437,null,625,null,400,null,323,null,254,null,44,null,89,null,279,null,234,null,342,null,253,null,173,null,194,null,169,null,143,null,5683,null,1003,null,1859,null,700,null,0,null,259,null,1859,null,700,null,2414,null,535,null,188,null,183,null,2226,null,555,null,860,null,427,null,0,null,259,null,860,null,427,null,327,null,245,null,0,null,259,null,327,null,245,null,223,null,198,null,0,null,259,null,223,null,198,null,0400000US16,Idaho,16
