B23002D_001E,B23002D_001EA,B23002D_001M,B23002D_001MA,B23002D_002E,B23002D_002EA,B23002D_002M,B23002D_002MA,B23002D_003E,B23002D_003EA,B23002D_003M,B23002D_003MA,B23002D_004E,B23002D_004EA,B23002D_004M,B23002D_004MA,B23002D_005E,B23002D_005EA,B23002D_005M,B23002D_005MA,B23002D_006E,B23002D_006EA,B23002D_006M,B23002D_006MA,B23002D_007E,B23002D_007EA,B23002D_007M,B23002D_007MA,B23002D_008E,B23002D_008EA,B23002D_008M,B23002D_008MA,B23002D_009E,B23002D_009EA,B23002D_009M,B23002D_009MA,B23002D_010E,B23002D_010EA,B23002D_010M,B23002D_010MA,B23002D_011E,B23002D_011EA,B23002D_011M,B23002D_011MA,B23002D_012E,B23002D_012EA,B23002D_012M,B23002D_012MA,B23002D_013E,B23002D_013EA,B23002D_013M,B23002D_013MA,B23002D_014E,B23002D_014EA,B23002D_014M,B23002D_014MA,B23002D_015E,B23002D_015EA,B23002D_015M,B23002D_015MA,B23002D_016E,B23002D_016EA,B23002D_016M,B23002D_016MA,B23002D_017E,B23002D_017EA,B23002D_017M,B23002D_017MA,B23002D_018E,B23002D_018EA,B23002D_018M,B23002D_018MA,B23002D_019E,B23002D_019EA,B23002D_019M,B23002D_019MA,B23002D_020E,B23002D_020EA,B23002D_020M,B23002D_020MA,B23002D_021E,B23002D_021EA,B23002D_021M,B23002D_021MA,B23002D_022E,B23002D_022EA,B23002D_022M,B23002D_022MA,B23002D_023E,B23002D_023EA,B23002D_023M,B23002D_023MA,B23002D_024E,B23002D_024EA,B23002D_024M,B23002D_024MA,B23002D_025E,B23002D_025EA,B23002D_025M,B23002D_025MA,B23002D_026E,B23002D_026EA,B23002D_026M,B23002D_026MA,B23002D_027E,B23002D_027EA,B23002D_027M,B23002D_027MA,B23002D_028E,B23002D_028EA,B23002D_028M,B23002D_028MA,B23002D_029E,B23002D_029EA,B23002D_029M,B23002D_029MA,B23002D_030E,B23002D_030EA,B23002D_030M,B23002D_030MA,B23002D_031E,B23002D_031EA,B23002D_031M,B23002D_031MA,B23002D_032E,B23002D_032EA,B23002D_032M,B23002D_032MA,B23002D_033E,B23002D_033EA,B23002D_033M,B23002D_033MA,B23002D_034E,B23002D_034EA,B23002D_034M,B23002D_034MA,B23002D_035E,B23002D_035EA,B23002D_035M,B23002D_035MA,B23002D_036E,B23002D_036EA,B23002D_036M,B23002D_036MA,B23002D_037E,B23002D_037EA,B23002D_037M,B23002D_037MA,B23002D_038E,B23002D_038EA,B23002D_038M,B23002D_038MA,B23002D_039E,B23002D_039EA,B23002D_039M,B23002D_039MA,B23002D_040E,B23002D_040EA,B23002D_040M,B23002D_040MA,B23002D_041E,B23002D_041EA,B23002D_041M,B23002D_041MA,B23002D_042E,B23002D_042EA,B23002D_042M,B23002D_042MA,B23002D_043E,B23002D_043EA,B23002D_043M,B23002D_043MA,B23002D_044E,B23002D_044EA,B23002D_044M,B23002D_044MA,B23002D_045E,B23002D_045EA,B23002D_045M,B23002D_045MA,B23002D_046E,B23002D_046EA,B23002D_046M,B23002D_046MA,B23002D_047E,B23002D_047EA,B23002D_047M,B23002D_047MA,B23002D_048E,B23002D_048EA,B23002D_048M,B23002D_048MA,B23002D_049E,B23002D_049EA,B23002D_049M,B23002D_049MA,B23002D_050E,B23002D_050EA,B23002D_050M,B23002D_050MA,B23002D_051E,B23002D_051EA,B23002D_051M,B23002D_051MA,B23002D_052E,B23002D_052EA,B23002D_052M,B23002D_052MA,B23002D_053E,B23002D_053EA,B23002D_053M,B23002D_053MA,B23002D_054E,B23002D_054EA,B23002D_054M,B23002D_054MA,B23002D_055E,B23002D_055EA,B23002D_055M,B23002D_055MA,B23002D_056E,B23002D_056EA,B23002D_056M,B23002D_056MA,B23002D_057E,B23002D_057EA,B23002D_057M,B23002D_057MA,B23002D_058E,B23002D_058EA,B23002D_058M,B23002D_058MA,B23002D_059E,B23002D_059EA,B23002D_059M,B23002D_059MA,B23002D_060E,B23002D_060EA,B23002D_060M,B23002D_060MA,B23002D_061E,B23002D_061EA,B23002D_061M,B23002D_061MA,B23002D_062E,B23002D_062EA,B23002D_062M,B23002D_062MA,B23002D_063E,B23002D_063EA,B23002D_063M,B23002D_063MA,B23002D_064E,B23002D_064EA,B23002D_064M,B23002D_064MA,B23002D_065E,B23002D_065EA,B23002D_065M,B23002D_065MA,B23002D_066E,B23002D_066EA,B23002D_066M,B23002D_066MA,B23002D_067E,B23002D_067EA,B23002D_067M,B23002D_067MA,B23002D_068E,B23002D_068EA,B23002D_068M,B23002D_068MA,B23002D_069E,B23002D_069EA,B23002D_069M,B23002D_069MA,B23002D_070E,B23002D_070EA,B23002D_070M,B23002D_070MA,B23002D_071E,B23002D_071EA,B23002D_071M,B23002D_071MA,B23002D_072E,B23002D_072EA,B23002D_072M,B23002D_072MA,B23002D_073E,B23002D_073EA,B23002D_073M,B23002D_073MA,B23002D_074E,B23002D_074EA,B23002D_074M,B23002D_074MA,B23002D_075E,B23002D_075EA,B23002D_075M,B23002D_075MA,B23002D_076E,B23002D_076EA,B23002D_076M,B23002D_076MA,B23002D_077E,B23002D_077EA,B23002D_077M,B23002D_077MA,B23002D_078E,B23002D_078EA,B23002D_078M,B23002D_078MA,B23002D_079E,B23002D_079EA,B23002D_079M,B23002D_079MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
122673,null,2804,null,56930,null,1733,null,2807,null,609,null,1172,null,413,null,46,null,82,null,1126,null,427,null,858,null,348,null,268,null,214,null,1635,null,566,null,5677,null,608,null,4261,null,900,null,165,null,188,null,4096,null,856,null,3749,null,839,null,347,null,324,null,1416,null,634,null,37789,null,1363,null,35362,null,1703,null,391,null,432,null,34971,null,1718,null,33049,null,1760,null,1922,null,834,null,2427,null,949,null,5542,null,656,null,3925,null,752,null,0,null,302,null,3925,null,752,null,3818,null,752,null,107,null,174,null,1617,null,715,null,1918,null,552,null,694,null,393,null,579,null,375,null,115,null,137,null,1224,null,563,null,3197,null,707,null,634,null,419,null,506,null,380,null,128,null,210,null,2563,null,571,null,65743,null,2243,null,3451,null,854,null,1137,null,505,null,0,null,302,null,1137,null,505,null,879,null,460,null,258,null,206,null,2314,null,667,null,4124,null,722,null,2617,null,633,null,0,null,302,null,2617,null,633,null,2440,null,646,null,177,null,169,null,1507,null,707,null,41632,null,1854,null,30819,null,2155,null,31,null,53,null,30788,null,2146,null,29380,null,2114,null,1408,null,567,null,10813,null,1613,null,8498,null,816,null,4476,null,642,null,0,null,302,null,4476,null,642,null,4179,null,621,null,297,null,289,null,4022,null,747,null,2483,null,597,null,655,null,467,null,655,null,467,null,0,null,302,null,1828,null,569,null,5555,null,846,null,802,null,575,null,802,null,575,null,0,null,302,null,4753,null,670,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
3731503,null,9424,null,1767854,null,6721,null,123537,null,3070,null,28085,null,2566,null,487,null,253,null,27598,null,2535,null,19236,null,1913,null,8362,null,1564,null,95452,null,3831,null,155847,null,2892,null,96148,null,3597,null,2327,null,786,null,93821,null,3579,null,80891,null,3923,null,12930,null,2038,null,59699,null,3542,null,1033468,null,4879,null,938646,null,6928,null,7049,null,1443,null,931597,null,7067,null,885854,null,7338,null,45743,null,4063,null,94822,null,5416,null,229711,null,1959,null,175577,null,3333,null,0,null,294,null,175577,null,3333,null,165906,null,3810,null,9671,null,1572,null,54134,null,3075,null,69946,null,3184,null,24254,null,2073,null,23013,null,1955,null,1241,null,528,null,45692,null,3041,null,155345,null,3393,null,14588,null,2080,null,14395,null,2114,null,193,null,184,null,140757,null,3228,null,1963649,null,5097,null,120605,null,3662,null,34548,null,2692,null,0,null,294,null,34548,null,2692,null,28166,null,2321,null,6382,null,1410,null,86057,null,2997,null,147030,null,3043,null,91286,null,4106,null,328,null,232,null,90958,null,4111,null,82291,null,4237,null,8667,null,1439,null,55744,null,3770,null,1121800,null,4151,null,846971,null,8366,null,754,null,437,null,846217,null,8400,null,805691,null,9133,null,40526,null,3155,null,274829,null,7002,null,269431,null,1726,null,158798,null,4470,null,0,null,294,null,158798,null,4470,null,150805,null,4605,null,7993,null,1385,null,110633,null,4205,null,82019,null,3756,null,17169,null,2035,null,16369,null,1971,null,800,null,406,null,64850,null,3412,null,222764,null,3856,null,11073,null,1742,null,10929,null,1739,null,144,null,141,null,211691,null,4083,null,0400000US06,California,06
101087,null,2331,null,45391,null,1638,null,2917,null,764,null,1438,null,562,null,0,null,275,null,1438,null,562,null,1105,null,531,null,333,null,368,null,1479,null,582,null,4493,null,1061,null,3399,null,963,null,327,null,230,null,3072,null,959,null,2573,null,796,null,499,null,474,null,1094,null,679,null,29445,null,1691,null,26826,null,1714,null,184,null,150,null,26642,null,1715,null,26386,null,1712,null,256,null,226,null,2619,null,841,null,4131,null,737,null,3017,null,721,null,0,null,275,null,3017,null,721,null,2914,null,709,null,103,null,88,null,1114,null,434,null,1207,null,405,null,688,null,324,null,688,null,324,null,0,null,275,null,519,null,299,null,3198,null,771,null,255,null,227,null,168,null,179,null,87,null,145,null,2943,null,714,null,55696,null,1603,null,3286,null,934,null,1940,null,757,null,51,null,86,null,1889,null,769,null,1633,null,731,null,256,null,279,null,1346,null,552,null,3929,null,785,null,2709,null,631,null,51,null,86,null,2658,null,631,null,2288,null,573,null,370,null,276,null,1220,null,571,null,35137,null,1270,null,25186,null,1778,null,257,null,274,null,24929,null,1776,null,24316,null,1793,null,613,null,326,null,9951,null,1348,null,6595,null,680,null,3994,null,701,null,0,null,275,null,3994,null,701,null,3994,null,701,null,0,null,275,null,2601,null,603,null,2248,null,680,null,313,null,226,null,313,null,226,null,0,null,275,null,1935,null,699,null,4501,null,767,null,381,null,287,null,327,null,270,null,54,null,110,null,4120,null,827,null,0400000US08,Colorado,08
94190,null,1664,null,47381,null,960,null,3262,null,631,null,978,null,473,null,15,null,26,null,963,null,472,null,630,null,392,null,333,null,258,null,2284,null,479,null,4762,null,542,null,3250,null,655,null,30,null,53,null,3220,null,649,null,2960,null,653,null,260,null,221,null,1512,null,535,null,31166,null,766,null,28700,null,1001,null,65,null,83,null,28635,null,1002,null,27848,null,1069,null,787,null,335,null,2466,null,739,null,4763,null,483,null,3922,null,565,null,0,null,275,null,3922,null,565,null,3847,null,577,null,75,null,133,null,841,null,410,null,1444,null,458,null,834,null,376,null,834,null,376,null,0,null,275,null,610,null,332,null,1984,null,509,null,517,null,342,null,517,null,342,null,0,null,275,null,1467,null,541,null,46809,null,1093,null,3219,null,753,null,649,null,337,null,0,null,275,null,649,null,337,null,554,null,321,null,95,null,115,null,2570,null,672,null,3592,null,880,null,2254,null,732,null,0,null,275,null,2254,null,732,null,1913,null,750,null,341,null,312,null,1338,null,499,null,31053,null,975,null,22790,null,1276,null,0,null,275,null,22790,null,1276,null,21659,null,1350,null,1131,null,461,null,8263,null,1311,null,4951,null,419,null,3466,null,571,null,0,null,275,null,3466,null,571,null,3242,null,567,null,224,null,200,null,1485,null,487,null,1811,null,586,null,742,null,431,null,742,null,431,null,0,null,275,null,1069,null,441,null,2183,null,566,null,135,null,137,null,135,null,137,null,0,null,275,null,2048,null,560,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
335879,null,4035,null,152492,null,3134,null,9256,null,1366,null,2962,null,921,null,25,null,44,null,2937,null,926,null,2362,null,829,null,575,null,362,null,6294,null,1183,null,13786,null,1280,null,9804,null,1193,null,322,null,243,null,9482,null,1190,null,8487,null,1103,null,995,null,507,null,3982,null,964,null,93622,null,2269,null,87624,null,2559,null,435,null,368,null,87189,null,2583,null,83903,null,2839,null,3286,null,899,null,5998,null,1235,null,18782,null,1211,null,14704,null,1435,null,0,null,305,null,14704,null,1435,null,14019,null,1448,null,685,null,346,null,4078,null,1086,null,7402,null,1022,null,3767,null,871,null,3455,null,859,null,312,null,436,null,3635,null,887,null,9644,null,998,null,1582,null,631,null,1340,null,536,null,242,null,251,null,8062,null,1127,null,183387,null,2756,null,11125,null,1768,null,2561,null,638,null,0,null,305,null,2561,null,638,null,1983,null,569,null,578,null,311,null,8564,null,1641,null,12381,null,1620,null,6785,null,977,null,228,null,229,null,6557,null,977,null,6259,null,933,null,298,null,228,null,5596,null,1309,null,110748,null,2139,null,81020,null,2762,null,316,null,299,null,80704,null,2745,null,76561,null,2931,null,4143,null,1072,null,29728,null,2832,null,26476,null,1272,null,16319,null,1620,null,0,null,305,null,16319,null,1620,null,15982,null,1641,null,337,null,236,null,10157,null,1504,null,9408,null,1130,null,2051,null,645,null,2020,null,645,null,31,null,51,null,7357,null,1070,null,13249,null,1427,null,1060,null,490,null,1060,null,490,null,0,null,305,null,12189,null,1434,null,0400000US12,Florida,12
