B14007B_001E,B14007B_001EA,B14007B_001M,B14007B_001MA,B14007B_002E,B14007B_002EA,B14007B_002M,B14007B_002MA,B14007B_003E,B14007B_003EA,B14007B_003M,B14007B_003MA,B14007B_004E,B14007B_004EA,B14007B_004M,B14007B_004MA,B14007B_005E,B14007B_005EA,B14007B_005M,B14007B_005MA,B14007B_006E,B14007B_006EA,B14007B_006M,B14007B_006MA,B14007B_007E,B14007B_007EA,B14007B_007M,B14007B_007MA,B14007B_008E,B14007B_008EA,B14007B_008M,B14007B_008MA,B14007B_009E,B14007B_009EA,B14007B_009M,B14007B_009MA,B14007B_010E,B14007B_010EA,B14007B_010M,B14007B_010MA,B14007B_011E,B14007B_011EA,B14007B_011M,B14007B_011MA,B14007B_012E,B14007B_012EA,B14007B_012M,B14007B_012MA,B14007B_013E,B14007B_013EA,B14007B_013M,B14007B_013MA,B14007B_014E,B14007B_014EA,B14007B_014M,B14007B_014MA,B14007B_015E,B14007B_015EA,B14007B_015M,B14007B_015MA,B14007B_016E,B14007B_016EA,B14007B_016M,B14007B_016MA,B14007B_017E,B14007B_017EA,B14007B_017M,B14007B_017MA,B14007B_018E,B14007B_018EA,B14007B_018M,B14007B_018MA,B14007B_019E,B14007B_019EA,B14007B_019M,B14007B_019MA,GEO_ID,NAME,state
1166675,null,5547,null,370399,null,5995,null,22497,null,2879,null,17236,null,2305,null,18452,null,2483,null,18065,null,2007,null,21887,null,2394,null,17943,null,2267,null,17828,null,2219,null,17579,null,2109,null,21823,null,2206,null,20771,null,2093,null,19605,null,1977,null,22970,null,1905,null,18926,null,1888,null,24475,null,2859,null,76954,null,4363,null,13388,null,1867,null,796276,null,6146,null,0400000US01,Alabama,01
23526,null,3183,null,8532,null,2379,null,101,null,109,null,450,null,433,null,456,null,439,null,484,null,482,null,417,null,325,null,282,null,264,null,442,null,569,null,562,null,452,null,139,null,224,null,403,null,495,null,448,null,458,null,148,null,153,null,517,null,391,null,489,null,335,null,2673,null,984,null,521,null,489,null,14994,null,2004,null,0400000US02,Alaska,02
223705,null,4890,null,76644,null,4725,null,3701,null,1325,null,4602,null,1345,null,3824,null,1001,null,2841,null,922,null,4556,null,1154,null,3975,null,1152,null,4904,null,1342,null,3144,null,827,null,4163,null,1229,null,3318,null,1067,null,4790,null,1114,null,4689,null,1035,null,4185,null,938,null,4669,null,1037,null,15051,null,2112,null,4232,null,1270,null,147061,null,4079,null,0400000US04,Arizona,04
422871,null,3907,null,144924,null,4773,null,11451,null,1954,null,7576,null,1473,null,5892,null,1150,null,7860,null,1398,null,8598,null,1117,null,7335,null,1325,null,7242,null,1371,null,6350,null,1236,null,8739,null,1399,null,7037,null,1480,null,6606,null,1090,null,8012,null,1316,null,7321,null,1377,null,9584,null,1635,null,31321,null,3739,null,4000,null,1169,null,277947,null,4831,null,0400000US05,Arkansas,05
2171501,null,13463,null,712643,null,12347,null,32881,null,3437,null,31080,null,3268,null,26655,null,3071,null,28328,null,2721,null,34440,null,3285,null,32511,null,3109,null,34880,null,3226,null,31954,null,3496,null,37346,null,3482,null,34572,null,3292,null,36222,null,3198,null,37728,null,2941,null,40310,null,3004,null,54834,null,4022,null,189276,null,8416,null,29626,null,4061,null,1458858,null,11682,null,0400000US06,California,06
178085,null,4175,null,56232,null,3927,null,2834,null,944,null,2242,null,612,null,3771,null,1026,null,2720,null,843,null,3512,null,866,null,1815,null,629,null,2915,null,910,null,3571,null,782,null,2017,null,634,null,2817,null,849,null,3471,null,882,null,3084,null,871,null,2706,null,899,null,3435,null,930,null,13095,null,2354,null,2227,null,920,null,121853,null,3357,null,0400000US08,Colorado,08
317075,null,5150,null,110743,null,3912,null,6843,null,1205,null,3868,null,1223,null,4564,null,1250,null,5194,null,1141,null,6243,null,1075,null,4451,null,974,null,5132,null,1001,null,4586,null,990,null,5599,null,1245,null,5674,null,1219,null,8215,null,1785,null,6198,null,1085,null,4888,null,1137,null,8313,null,1580,null,24506,null,2492,null,6469,null,1678,null,206332,null,4303,null,0400000US09,Connecticut,09
171361,null,2909,null,55893,null,3491,null,3521,null,932,null,2003,null,725,null,3685,null,1024,null,2442,null,890,null,2357,null,943,null,2148,null,740,null,2961,null,909,null,2613,null,885,null,3228,null,1177,null,3276,null,928,null,2820,null,924,null,2508,null,759,null,4004,null,967,null,2343,null,874,null,13182,null,2536,null,2802,null,1080,null,115468,null,3672,null,0400000US10,Delaware,10
305408,null,3478,null,84096,null,3376,null,6642,null,1348,null,3443,null,1001,null,3249,null,994,null,3449,null,958,null,3411,null,954,null,5024,null,1141,null,3760,null,1063,null,3543,null,949,null,3794,null,966,null,3788,null,886,null,6425,null,1067,null,5255,null,959,null,4145,null,1012,null,6186,null,1290,null,18209,null,2896,null,3773,null,1108,null,221312,null,3688,null,0400000US11,District of Columbia,11
2681160,null,12327,null,881894,null,13433,null,56578,null,4450,null,42467,null,3501,null,43266,null,3699,null,43293,null,4163,null,47051,null,4336,null,50650,null,3947,null,45273,null,3752,null,48048,null,3806,null,41670,null,4295,null,45573,null,3963,null,44392,null,3511,null,47462,null,3559,null,45319,null,3410,null,62295,null,4668,null,186513,null,8103,null,32044,null,3397,null,1799266,null,12272,null,0400000US12,Florida,12
2770864,null,9529,null,908105,null,11546,null,64785,null,4082,null,49906,null,4758,null,40770,null,4214,null,45634,null,3814,null,47283,null,4014,null,46493,null,3507,null,48094,null,3576,null,43625,null,3498,null,46092,null,3844,null,48741,null,3923,null,49682,null,4192,null,48123,null,2828,null,48466,null,3657,null,60453,null,4792,null,179605,null,7124,null,40353,null,3921,null,1862759,null,10721,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
1799227,null,12273,null,600675,null,12935,null,39836,null,3395,null,28828,null,2602,null,28108,null,2884,null,29803,null,2602,null,28989,null,3051,null,28652,null,2417,null,28809,null,2511,null,30695,null,2780,null,32211,null,2999,null,31955,null,2654,null,33291,null,2609,null,35271,null,3144,null,33143,null,2966,null,41610,null,3655,null,122185,null,9433,null,27289,null,3056,null,1198552,null,9907,null,0400000US17,Illinois,17
518498,null,5145,null,166169,null,5127,null,8191,null,1551,null,9787,null,1630,null,8210,null,1792,null,8808,null,1511,null,10577,null,1907,null,7693,null,1361,null,9442,null,1518,null,7048,null,1384,null,9566,null,1432,null,9634,null,1588,null,9691,null,1662,null,9505,null,1496,null,9532,null,1319,null,10573,null,1515,null,31994,null,3100,null,5918,null,1484,null,352329,null,4512,null,0400000US18,Indiana,18
