B16003_001E,B16003_001EA,B16003_001M,B16003_001MA,B16003_002E,B16003_002EA,B16003_002M,B16003_002MA,B16003_003E,B16003_003EA,B16003_003M,B16003_003MA,B16003_004E,B16003_004EA,B16003_004M,B16003_004MA,B16003_005E,B16003_005EA,B16003_005M,B16003_005MA,B16003_006E,B16003_006EA,B16003_006M,B16003_006MA,B16003_007E,B16003_007EA,B16003_007M,B16003_007MA,B16003_008E,B16003_008EA,B16003_008M,B16003_008MA,B16003_009E,B16003_009EA,B16003_009M,B16003_009MA,B16003_010E,B16003_010EA,B16003_010M,B16003_010MA,B16003_011E,B16003_011EA,B16003_011M,B16003_011MA,B16003_012E,B16003_012EA,B16003_012M,B16003_012MA,GEO_ID,NAME,state
53464,null,5028,null,12246,null,1979,null,753,null,519,null,10480,null,1787,null,226,null,197,null,719,null,418,null,68,null,132,null,41218,null,4260,null,31029,null,3519,null,3984,null,1565,null,5581,null,1648,null,624,null,567,null,0400000US01,Alabama,01
12648,null,2068,null,2518,null,719,null,522,null,349,null,87,null,118,null,0,null,240,null,814,null,495,null,1095,null,448,null,10130,null,1580,null,1159,null,605,null,252,null,169,null,5640,null,1270,null,3079,null,762,null,0400000US02,Alaska,02
432024,null,21643,null,108108,null,7493,null,3975,null,1157,null,96107,null,7248,null,1844,null,856,null,1764,null,989,null,4418,null,1865,null,323916,null,16977,null,274826,null,15183,null,14407,null,2938,null,17290,null,3631,null,17393,null,3113,null,0400000US04,Arizona,04
52536,null,5493,null,12531,null,1983,null,567,null,560,null,11249,null,1902,null,0,null,269,null,715,null,421,null,0,null,269,null,40005,null,4454,null,34689,null,4137,null,1200,null,786,null,4099,null,1411,null,17,null,32,null,0400000US05,Arkansas,05
3757733,null,58134,null,801789,null,21826,null,34452,null,3439,null,630820,null,20378,null,26151,null,3625,null,103738,null,6239,null,6628,null,2110,null,2955944,null,42765,null,1982016,null,38907,null,217561,null,11597,null,722359,null,19287,null,34008,null,4102,null,0400000US06,California,06
197123,null,13110,null,43294,null,4463,null,1638,null,776,null,36929,null,4025,null,1326,null,682,null,2967,null,894,null,434,null,417,null,153829,null,10418,null,118255,null,9696,null,12882,null,2583,null,17733,null,2533,null,4959,null,1674,null,0400000US08,Colorado,08
133572,null,10458,null,19241,null,3587,null,2577,null,1096,null,11946,null,2574,null,3198,null,1120,null,1499,null,493,null,21,null,54,null,114331,null,8214,null,65939,null,6852,null,35280,null,3983,null,11359,null,1970,null,1753,null,860,null,0400000US09,Connecticut,09
16409,null,2737,null,3530,null,1064,null,78,null,123,null,2357,null,1041,null,495,null,490,null,600,null,420,null,0,null,263,null,12879,null,2226,null,8290,null,1876,null,1774,null,646,null,2486,null,1014,null,329,null,329,null,0400000US10,Delaware,10
16133,null,3282,null,1951,null,785,null,343,null,337,null,1389,null,704,null,113,null,187,null,106,null,165,null,0,null,296,null,14182,null,2795,null,8968,null,2165,null,1511,null,889,null,1994,null,961,null,1709,null,921,null,0400000US11,District of Columbia,11
1186677,null,29682,null,176809,null,10271,null,13967,null,2970,null,121995,null,7768,null,29170,null,4279,null,9154,null,1790,null,2523,null,1777,null,1009868,null,23252,null,786780,null,21938,null,164558,null,9006,null,49089,null,4720,null,9441,null,2294,null,0400000US12,Florida,12
334267,null,15200,null,70199,null,5637,null,3484,null,1125,null,51752,null,4883,null,5514,null,1915,null,8029,null,1611,null,1420,null,703,null,264068,null,11529,null,197076,null,10012,null,21167,null,3560,null,36630,null,4726,null,9195,null,3045,null,0400000US13,Georgia,13
64070,null,6629,null,9652,null,2007,null,2271,null,931,null,717,null,491,null,0,null,275,null,6664,null,1860,null,0,null,275,null,54418,null,5519,null,3206,null,1614,null,306,null,238,null,50615,null,5401,null,291,null,334,null,0400000US15,Hawaii,15
36827,null,5365,null,9617,null,1951,null,1029,null,621,null,6915,null,1515,null,907,null,910,null,766,null,632,null,0,null,259,null,27210,null,3929,null,22008,null,3192,null,2519,null,1543,null,2683,null,1168,null,0,null,259,null,0400000US16,Idaho,16
698558,null,24235,null,141526,null,8372,null,6451,null,1714,null,106782,null,7237,null,19353,null,3377,null,6974,null,1831,null,1966,null,802,null,557032,null,19351,null,336122,null,15058,null,149674,null,10329,null,58846,null,6328,null,12390,null,2741,null,0400000US17,Illinois,17
101695,null,6948,null,23729,null,2651,null,1371,null,599,null,17445,null,2128,null,2308,null,816,null,2549,null,963,null,56,null,96,null,77966,null,5140,null,50753,null,4460,null,12818,null,2486,null,12106,null,2362,null,2289,null,1175,null,0400000US18,Indiana,18
45936,null,5553,null,10727,null,2443,null,376,null,292,null,6969,null,1639,null,1737,null,1162,null,932,null,436,null,713,null,754,null,35209,null,3894,null,20368,null,2566,null,5235,null,1774,null,8408,null,1704,null,1198,null,646,null,0400000US19,Iowa,19
64855,null,5726,null,15730,null,2080,null,672,null,447,null,12497,null,1942,null,570,null,424,null,1940,null,863,null,51,null,85,null,49125,null,4395,null,34536,null,3428,null,4789,null,1651,null,8877,null,1619,null,923,null,498,null,0400000US20,Kansas,20
44114,null,5636,null,9937,null,2134,null,739,null,533,null,5541,null,1452,null,2068,null,1131,null,1110,null,502,null,479,null,699,null,34177,null,4203,null,20218,null,2882,null,4316,null,1633,null,7817,null,1815,null,1826,null,975,null,0400000US21,Kentucky,21
61678,null,6172,null,11355,null,2612,null,2259,null,1314,null,6351,null,2025,null,490,null,396,null,1908,null,784,null,347,null,573,null,50323,null,4803,null,25063,null,3499,null,12314,null,1991,null,12654,null,2694,null,292,null,371,null,0400000US22,Louisiana,22
11797,null,1984,null,1979,null,896,null,1417,null,854,null,67,null,118,null,42,null,43,null,161,null,188,null,292,null,317,null,9818,null,1574,null,1090,null,547,null,5657,null,1217,null,1615,null,651,null,1456,null,663,null,0400000US23,Maine,23
164016,null,11352,null,26508,null,3438,null,2376,null,904,null,13068,null,2118,null,4320,null,1650,null,5837,null,1505,null,907,null,575,null,137508,null,9581,null,64299,null,6672,null,27622,null,4360,null,37576,null,3827,null,8011,null,2627,null,0400000US24,Maryland,24
308252,null,15732,null,49683,null,4959,null,5251,null,1636,null,23743,null,3796,null,11539,null,2645,null,7570,null,1539,null,1580,null,739,null,258569,null,12927,null,100856,null,7968,null,99690,null,8596,null,46214,null,4095,null,11809,null,3311,null,0400000US25,Massachusetts,25
158812,null,10935,null,31143,null,3212,null,3324,null,1172,null,12528,null,2286,null,3418,null,1083,null,5897,null,1367,null,5976,null,2097,null,127669,null,9101,null,44996,null,5500,null,33879,null,4090,null,26747,null,3241,null,22047,null,4924,null,0400000US26,Michigan,26
113754,null,8773,null,29523,null,3996,null,1556,null,820,null,12309,null,2102,null,2597,null,1191,null,8213,null,2009,null,4848,null,1585,null,84231,null,6352,null,36266,null,4292,null,13422,null,2786,null,21681,null,3186,null,12862,null,2333,null,0400000US27,Minnesota,27
21525,null,3844,null,4603,null,1254,null,192,null,230,null,3455,null,1147,null,266,null,346,null,367,null,333,null,323,null,430,null,16922,null,3051,null,13893,null,2964,null,905,null,635,null,1741,null,792,null,383,null,328,null,0400000US28,Mississippi,28
72623,null,6928,null,15476,null,2667,null,1221,null,740,null,7019,null,1720,null,3160,null,1286,null,3425,null,1051,null,651,null,457,null,57147,null,5011,null,25225,null,3341,null,13681,null,2540,null,14817,null,2729,null,3424,null,1177,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
43080,null,5426,null,10661,null,2062,null,202,null,235,null,8336,null,1750,null,445,null,485,null,1235,null,684,null,443,null,412,null,32419,null,3911,null,25497,null,3211,null,2255,null,873,null,3569,null,1438,null,1098,null,562,null,0400000US31,Nebraska,31
194152,null,13555,null,47927,null,5591,null,1601,null,643,null,42563,null,5041,null,894,null,792,null,2088,null,786,null,781,null,796,null,146225,null,9443,null,121023,null,8615,null,6669,null,2016,null,15916,null,2718,null,2617,null,1354,null,0400000US32,Nevada,32
16617,null,4268,null,2957,null,1229,null,447,null,492,null,1280,null,874,null,442,null,343,null,659,null,506,null,129,null,233,null,13660,null,3455,null,4975,null,1838,null,6041,null,2034,null,2218,null,1122,null,426,null,386,null,0400000US33,New Hampshire,33
559387,null,21996,null,94070,null,6665,null,7066,null,1681,null,55948,null,5202,null,14393,null,2664,null,12960,null,2583,null,3703,null,1731,null,465317,null,18114,null,283799,null,15412,null,99624,null,7334,null,70750,null,6115,null,11144,null,2383,null,0400000US34,New Jersey,34
104831,null,8342,null,22445,null,3441,null,817,null,413,null,19914,null,3325,null,269,null,425,null,250,null,301,null,1195,null,838,null,82386,null,6347,null,68549,null,6212,null,1612,null,543,null,3777,null,1389,null,8448,null,1760,null,0400000US35,New Mexico,35
1455822,null,33199,null,231635,null,10912,null,18898,null,2760,null,123058,null,7785,null,39061,null,4569,null,43422,null,3968,null,7196,null,2302,null,1224187,null,25543,null,627190,null,18601,null,308491,null,11108,null,252072,null,10005,null,36434,null,5313,null,0400000US36,New York,36
275199,null,13730,null,63889,null,5742,null,2645,null,1278,null,55745,null,5187,null,2037,null,967,null,2878,null,1089,null,584,null,483,null,211310,null,9964,null,174454,null,9090,null,12430,null,2401,null,20776,null,2852,null,3650,null,1493,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
122850,null,9377,null,23991,null,4136,null,2156,null,754,null,8014,null,2001,null,6781,null,2091,null,4059,null,1312,null,2981,null,1869,null,98859,null,6373,null,33416,null,3953,null,35710,null,4151,null,21622,null,3532,null,8111,null,1862,null,0400000US39,Ohio,39
76668,null,5998,null,17750,null,2427,null,570,null,415,null,15250,null,2304,null,247,null,242,null,1613,null,695,null,70,null,123,null,58918,null,4556,null,46070,null,4091,null,3034,null,1094,null,8711,null,1678,null,1103,null,566,null,0400000US40,Oklahoma,40
134945,null,9637,null,32562,null,3962,null,1051,null,591,null,25125,null,3611,null,2339,null,1224,null,4047,null,1138,null,0,null,275,null,102383,null,7253,null,68676,null,6255,null,12460,null,2912,null,20013,null,2889,null,1234,null,859,null,0400000US41,Oregon,41
226470,null,13064,null,43683,null,4421,null,2580,null,905,null,20941,null,2906,null,9081,null,2091,null,8737,null,1720,null,2344,null,1288,null,182787,null,10552,null,76602,null,6087,null,56215,null,5175,null,43518,null,4656,null,6452,null,2020,null,0400000US42,Pennsylvania,42
