C19037B_001E,C19037B_001EA,C19037B_001M,C19037B_001MA,C19037B_002E,C19037B_002EA,C19037B_002M,C19037B_002MA,C19037B_003E,C19037B_003EA,C19037B_003M,C19037B_003MA,C19037B_004E,C19037B_004EA,C19037B_004M,C19037B_004MA,C19037B_005E,C19037B_005EA,C19037B_005M,C19037B_005MA,C19037B_006E,C19037B_006EA,C19037B_006M,C19037B_006MA,C19037B_007E,C19037B_007EA,C19037B_007M,C19037B_007MA,C19037B_008E,C19037B_008EA,C19037B_008M,C19037B_008MA,C19037B_009E,C19037B_009EA,C19037B_009M,C19037B_009MA,C19037B_010E,C19037B_010EA,C19037B_010M,C19037B_010MA,C19037B_011E,C19037B_011EA,C19037B_011M,C19037B_011MA,C19037B_012E,C19037B_012EA,C19037B_012M,C19037B_012MA,C19037B_013E,C19037B_013EA,C19037B_013M,C19037B_013MA,C19037B_014E,C19037B_014EA,C19037B_014M,C19037B_014MA,C19037B_015E,C19037B_015EA,C19037B_015M,C19037B_015MA,C19037B_016E,C19037B_016EA,C19037B_016M,C19037B_016MA,C19037B_017E,C19037B_017EA,C19037B_017M,C19037B_017MA,C19037B_018E,C19037B_018EA,C19037B_018M,C19037B_018MA,C19037B_019E,C19037B_019EA,C19037B_019M,C19037B_019MA,C19037B_020E,C19037B_020EA,C19037B_020M,C19037B_020MA,C19037B_021E,C19037B_021EA,C19037B_021M,C19037B_021MA,C19037B_022E,C19037B_022EA,C19037B_022M,C19037B_022MA,C19037B_023E,C19037B_023EA,C19037B_023M,C19037B_023MA,C19037B_024E,C19037B_024EA,C19037B_024M,C19037B_024MA,C19037B_025E,C19037B_025EA,C19037B_025M,C19037B_025MA,C19037B_026E,C19037B_026EA,C19037B_026M,C19037B_026MA,C19037B_027E,C19037B_027EA,C19037B_027M,C19037B_027MA,C19037B_028E,C19037B_028EA,C19037B_028M,C19037B_028MA,C19037B_029E,C19037B_029EA,C19037B_029M,C19037B_029MA,C19037B_030E,C19037B_030EA,C19037B_030M,C19037B_030MA,C19037B_031E,C19037B_031EA,C19037B_031M,C19037B_031MA,C19037B_032E,C19037B_032EA,C19037B_032M,C19037B_032MA,C19037B_033E,C19037B_033EA,C19037B_033M,C19037B_033MA,C19037B_034E,C19037B_034EA,C19037B_034M,C19037B_034MA,C19037B_035E,C19037B_035EA,C19037B_035M,C19037B_035MA,C19037B_036E,C19037B_036EA,C19037B_036M,C19037B_036MA,C19037B_037E,C19037B_037EA,C19037B_037M,C19037B_037MA,C19037B_038E,C19037B_038EA,C19037B_038M,C19037B_038MA,C19037B_039E,C19037B_039EA,C19037B_039M,C19037B_039MA,C19037B_040E,C19037B_040EA,C19037B_040M,C19037B_040MA,C19037B_041E,C19037B_041EA,C19037B_041M,C19037B_041MA,C19037B_042E,C19037B_042EA,C19037B_042M,C19037B_042MA,C19037B_043E,C19037B_043EA,C19037B_043M,C19037B_043MA,C19037B_044E,C19037B_044EA,C19037B_044M,C19037B_044MA,C19037B_045E,C19037B_045EA,C19037B_045M,C19037B_045MA,GEO_ID,NAME,state
451795,null,6440,null,30452,null,2724,null,11026,null,2040,null,3922,null,1230,null,8599,null,1819,null,2111,null,728,null,2665,null,954,null,1345,null,721,null,428,null,446,null,356,null,351,null,0,null,271,null,0,null,271,null,167684,null,5071,null,22828,null,2546,null,13824,null,1849,null,30647,null,2675,null,24804,null,2718,null,26319,null,2978,null,26166,null,2796,null,12697,null,1810,null,8516,null,1616,null,877,null,457,null,1006,null,537,null,175041,null,4450,null,25812,null,2392,null,14817,null,1664,null,26706,null,2783,null,25612,null,2410,null,27519,null,2872,null,26458,null,2424,null,15110,null,2056,null,9447,null,1549,null,2342,null,835,null,1218,null,519,null,78618,null,2772,null,18268,null,1573,null,14384,null,1690,null,15011,null,1849,null,9876,null,1453,null,7557,null,1302,null,7267,null,1079,null,2656,null,637,null,2590,null,728,null,717,null,448,null,292,null,204,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
75831,null,2981,null,4110,null,1070,null,1037,null,524,null,0,null,302,null,904,null,516,null,959,null,506,null,570,null,378,null,389,null,303,null,203,null,274,null,48,null,82,null,0,null,302,null,0,null,302,null,33331,null,2636,null,2599,null,898,null,1458,null,684,null,3259,null,1004,null,3813,null,945,null,7482,null,1434,null,6527,null,1414,null,3804,null,1174,null,3303,null,850,null,281,null,253,null,805,null,496,null,28359,null,1918,null,3139,null,994,null,1213,null,512,null,3197,null,979,null,2552,null,817,null,4255,null,1166,null,5303,null,1162,null,3809,null,1181,null,2665,null,878,null,1426,null,698,null,800,null,455,null,10031,null,1122,null,1331,null,578,null,1242,null,583,null,2212,null,820,null,824,null,477,null,1635,null,545,null,1685,null,618,null,277,null,183,null,748,null,528,null,77,null,126,null,0,null,302,null,0400000US04,Arizona,04
168867,null,4410,null,16665,null,2607,null,5974,null,1373,null,1550,null,829,null,3082,null,1025,null,1953,null,968,null,2309,null,1274,null,1491,null,943,null,306,null,383,null,0,null,269,null,0,null,269,null,0,null,269,null,63246,null,3370,null,11574,null,2224,null,6117,null,1731,null,12872,null,1957,null,8300,null,1707,null,9718,null,1899,null,8741,null,1857,null,4146,null,1146,null,1495,null,695,null,131,null,168,null,152,null,181,null,63802,null,3241,null,9845,null,1514,null,6256,null,1339,null,12434,null,1671,null,9570,null,1556,null,8640,null,1539,null,7965,null,1392,null,5172,null,1044,null,3013,null,945,null,362,null,228,null,545,null,416,null,25154,null,1671,null,7119,null,996,null,5011,null,816,null,4933,null,876,null,2904,null,762,null,2480,null,637,null,1865,null,544,null,293,null,182,null,431,null,330,null,0,null,269,null,118,null,117,null,0400000US05,Arkansas,05
794033,null,10381,null,40304,null,3694,null,10144,null,1836,null,5729,null,1393,null,5379,null,1185,null,5276,null,1415,null,5886,null,1288,null,4956,null,1408,null,1872,null,914,null,958,null,645,null,52,null,85,null,52,null,89,null,307511,null,7943,null,29510,null,3202,null,19181,null,2821,null,34464,null,3144,null,36005,null,3483,null,47869,null,4542,null,55206,null,4362,null,33638,null,3295,null,33642,null,2875,null,9661,null,1830,null,8335,null,1494,null,312425,null,6660,null,29744,null,2446,null,24796,null,2662,null,30168,null,2926,null,28011,null,2757,null,38409,null,3168,null,53687,null,4076,null,37073,null,2806,null,43110,null,3256,null,16963,null,1912,null,10464,null,1402,null,133793,null,3835,null,13908,null,1601,null,20750,null,2107,null,21573,null,1914,null,16519,null,1643,null,17461,null,1957,null,18493,null,1768,null,9726,null,1218,null,9692,null,1645,null,3058,null,739,null,2613,null,724,null,0400000US06,California,06
71916,null,2765,null,5735,null,1147,null,1437,null,646,null,819,null,672,null,1159,null,511,null,653,null,466,null,891,null,438,null,365,null,391,null,363,null,347,null,48,null,83,null,0,null,275,null,0,null,275,null,28996,null,2117,null,3024,null,922,null,2234,null,893,null,3614,null,1141,null,5350,null,1506,null,3785,null,1066,null,5303,null,1141,null,2512,null,728,null,2286,null,708,null,653,null,431,null,235,null,233,null,27870,null,1848,null,4102,null,1125,null,1947,null,912,null,2798,null,1022,null,3344,null,1220,null,3390,null,1188,null,4142,null,961,null,3004,null,821,null,3386,null,990,null,441,null,317,null,1316,null,777,null,9315,null,901,null,1153,null,476,null,1335,null,566,null,1593,null,540,null,675,null,398,null,959,null,371,null,2075,null,602,null,982,null,529,null,485,null,285,null,0,null,275,null,58,null,95,null,0400000US08,Colorado,08
115174,null,3588,null,4901,null,1181,null,1204,null,606,null,621,null,391,null,573,null,359,null,835,null,489,null,632,null,378,null,892,null,590,null,144,null,238,null,0,null,275,null,0,null,275,null,0,null,275,null,49415,null,2675,null,6289,null,1384,null,1403,null,609,null,4256,null,1044,null,7017,null,1658,null,7628,null,1569,null,11251,null,1627,null,5808,null,1424,null,4135,null,1352,null,1007,null,482,null,621,null,417,null,44038,null,2311,null,4434,null,1058,null,1561,null,520,null,4259,null,947,null,3594,null,975,null,5636,null,1343,null,8841,null,1422,null,5030,null,1055,null,6676,null,1231,null,1953,null,626,null,2054,null,698,null,16820,null,1368,null,3813,null,913,null,1819,null,572,null,2563,null,682,null,2262,null,826,null,1867,null,582,null,1654,null,616,null,1328,null,507,null,1068,null,420,null,219,null,230,null,227,null,246,null,0400000US09,Connecticut,09
63689,null,2595,null,3309,null,889,null,575,null,442,null,236,null,354,null,846,null,546,null,901,null,539,null,346,null,429,null,334,null,366,null,0,null,263,null,71,null,117,null,0,null,263,null,0,null,263,null,26220,null,1901,null,1698,null,665,null,1826,null,1011,null,3739,null,1350,null,3559,null,1250,null,3952,null,1191,null,4963,null,1135,null,3893,null,1077,null,2080,null,757,null,90,null,108,null,420,null,445,null,24187,null,1400,null,2310,null,740,null,900,null,463,null,2087,null,693,null,2688,null,783,null,4291,null,1134,null,4469,null,1008,null,3307,null,868,null,3140,null,872,null,704,null,403,null,291,null,222,null,9973,null,743,null,1643,null,511,null,1088,null,397,null,1683,null,639,null,612,null,286,null,1516,null,538,null,2031,null,662,null,795,null,391,null,441,null,297,null,164,null,185,null,0,null,263,null,0400000US10,Delaware,10
126831,null,2803,null,5487,null,1361,null,1781,null,829,null,350,null,294,null,806,null,619,null,738,null,455,null,524,null,460,null,699,null,569,null,589,null,468,null,0,null,296,null,0,null,296,null,0,null,296,null,41990,null,2332,null,6294,null,1595,null,1700,null,781,null,3117,null,1105,null,5096,null,1487,null,8600,null,1532,null,6838,null,1609,null,4340,null,902,null,3081,null,928,null,1262,null,646,null,1662,null,641,null,49442,null,2330,null,6450,null,1300,null,3274,null,961,null,5222,null,1001,null,5261,null,1181,null,7555,null,1278,null,8000,null,1469,null,5797,null,1142,null,5574,null,1185,null,1497,null,478,null,812,null,318,null,29912,null,1808,null,6148,null,1296,null,2569,null,690,null,4604,null,1045,null,3665,null,859,null,4498,null,1013,null,4446,null,1169,null,1888,null,527,null,1434,null,448,null,365,null,249,null,295,null,195,null,0400000US11,District of Columbia,11
935761,null,11089,null,59271,null,4106,null,14582,null,2661,null,7059,null,1926,null,11910,null,1884,null,11141,null,2139,null,7925,null,1766,null,4277,null,1240,null,1287,null,764,null,1034,null,574,null,56,null,93,null,0,null,305,null,385529,null,8691,null,36027,null,3618,null,21877,null,2329,null,56101,null,5003,null,58648,null,5003,null,72324,null,4926,null,72741,null,5129,null,37733,null,3604,null,22711,null,2875,null,4608,null,1137,null,2759,null,868,null,350080,null,7772,null,34863,null,3567,null,20486,null,2452,null,47373,null,3517,null,52360,null,4236,null,57205,null,3754,null,62816,null,3519,null,38418,null,3036,null,25575,null,2517,null,7439,null,1371,null,3545,null,878,null,140881,null,4180,null,28920,null,2524,null,19716,null,2296,null,25849,null,2468,null,16860,null,1936,null,18337,null,2077,null,16519,null,1706,null,8388,null,1458,null,5094,null,1166,null,806,null,499,null,392,null,254,null,0400000US12,Florida,12
