C20005B_001E,C20005B_001EA,C20005B_001M,C20005B_001MA,C20005B_002E,C20005B_002EA,C20005B_002M,C20005B_002MA,C20005B_003E,C20005B_003EA,C20005B_003M,C20005B_003MA,C20005B_004E,C20005B_004EA,C20005B_004M,C20005B_004MA,C20005B_005E,C20005B_005EA,C20005B_005M,C20005B_005MA,C20005B_006E,C20005B_006EA,C20005B_006M,C20005B_006MA,C20005B_007E,C20005B_007EA,C20005B_007M,C20005B_007MA,C20005B_008E,C20005B_008EA,C20005B_008M,C20005B_008MA,C20005B_009E,C20005B_009EA,C20005B_009M,C20005B_009MA,C20005B_010E,C20005B_010EA,C20005B_010M,C20005B_010MA,C20005B_011E,C20005B_011EA,C20005B_011M,C20005B_011MA,C20005B_012E,C20005B_012EA,C20005B_012M,C20005B_012MA,C20005B_013E,C20005B_013EA,C20005B_013M,C20005B_013MA,C20005B_014E,C20005B_014EA,C20005B_014M,C20005B_014MA,C20005B_015E,C20005B_015EA,C20005B_015M,C20005B_015MA,C20005B_016E,C20005B_016EA,C20005B_016M,C20005B_016MA,C20005B_017E,C20005B_017EA,C20005B_017M,C20005B_017MA,C20005B_018E,C20005B_018EA,C20005B_018M,C20005B_018MA,C20005B_019E,C20005B_019EA,C20005B_019M,C20005B_019MA,C20005B_020E,C20005B_020EA,C20005B_020M,C20005B_020MA,C20005B_021E,C20005B_021EA,C20005B_021M,C20005B_021MA,C20005B_022E,C20005B_022EA,C20005B_022M,C20005B_022MA,C20005B_023E,C20005B_023EA,C20005B_023M,C20005B_023MA,C20005B_024E,C20005B_024EA,C20005B_024M,C20005B_024MA,C20005B_025E,C20005B_025EA,C20005B_025M,C20005B_025MA,C20005B_026E,C20005B_026EA,C20005B_026M,C20005B_026MA,C20005B_027E,C20005B_027EA,C20005B_027M,C20005B_027MA,C20005B_028E,C20005B_028EA,C20005B_028M,C20005B_028MA,C20005B_029E,C20005B_029EA,C20005B_029M,C20005B_029MA,C20005B_030E,C20005B_030EA,C20005B_030M,C20005B_030MA,C20005B_031E,C20005B_031EA,C20005B_031M,C20005B_031MA,C20005B_032E,C20005B_032EA,C20005B_032M,C20005B_032MA,C20005B_033E,C20005B_033EA,C20005B_033M,C20005B_033MA,C20005B_034E,C20005B_034EA,C20005B_034M,C20005B_034MA,C20005B_035E,C20005B_035EA,C20005B_035M,C20005B_035MA,C20005B_036E,C20005B_036EA,C20005B_036M,C20005B_036MA,C20005B_037E,C20005B_037EA,C20005B_037M,C20005B_037MA,C20005B_038E,C20005B_038EA,C20005B_038M,C20005B_038MA,C20005B_039E,C20005B_039EA,C20005B_039M,C20005B_039MA,GEO_ID,NAME,state
922418,null,4242,null,415856,null,3060,null,169423,null,4854,null,0,null,271,null,169423,null,4854,null,6466,null,1329,null,32991,null,3507,null,37422,null,3446,null,52871,null,4109,null,27898,null,2929,null,11775,null,1800,null,246433,null,5470,null,145909,null,5083,null,100524,null,4258,null,61059,null,3710,null,22286,null,2598,null,9256,null,1964,null,5465,null,1278,null,1733,null,662,null,725,null,376,null,506562,null,3127,null,183262,null,5091,null,0,null,271,null,183262,null,5091,null,5551,null,1251,null,53921,null,3578,null,52094,null,3440,null,45663,null,3673,null,21008,null,2295,null,5025,null,1035,null,323300,null,5589,null,199523,null,5960,null,123777,null,5240,null,72263,null,3915,null,32326,null,3115,null,10183,null,1883,null,6874,null,1494,null,1790,null,694,null,341,null,304,null,0400000US01,Alabama,01
18648,null,2256,null,10194,null,1512,null,4413,null,1246,null,0,null,240,null,4413,null,1246,null,246,null,380,null,438,null,536,null,321,null,270,null,2052,null,813,null,808,null,501,null,548,null,361,null,5781,null,1386,null,1762,null,623,null,4019,null,1298,null,1678,null,1083,null,504,null,354,null,809,null,548,null,354,null,328,null,145,null,234,null,529,null,502,null,8454,null,1323,null,3797,null,1021,null,0,null,240,null,3797,null,1021,null,44,null,71,null,90,null,152,null,1333,null,755,null,1092,null,543,null,942,null,616,null,296,null,283,null,4657,null,1049,null,1832,null,594,null,2825,null,975,null,1146,null,698,null,860,null,503,null,211,null,283,null,608,null,369,null,0,null,240,null,0,null,240,null,0400000US02,Alaska,02
169867,null,3278,null,90156,null,2110,null,43455,null,2400,null,0,null,302,null,43455,null,2400,null,560,null,326,null,5135,null,1371,null,9036,null,2026,null,16603,null,1858,null,6314,null,1416,null,5807,null,1378,null,46701,null,2714,null,25739,null,2401,null,20962,null,1951,null,10571,null,1734,null,5901,null,1131,null,1453,null,638,null,2099,null,787,null,667,null,434,null,271,null,237,null,79711,null,2014,null,33024,null,2352,null,0,null,302,null,33024,null,2352,null,171,null,152,null,5535,null,1510,null,8442,null,1634,null,11290,null,1548,null,4825,null,1232,null,2761,null,962,null,46687,null,2887,null,27978,null,2654,null,18709,null,2039,null,9650,null,1808,null,4548,null,1199,null,1745,null,655,null,2463,null,901,null,254,null,273,null,49,null,83,null,0400000US04,Arizona,04
326820,null,3339,null,151134,null,2718,null,57036,null,3716,null,0,null,269,null,57036,null,3716,null,1809,null,743,null,10469,null,2387,null,13202,null,2051,null,21200,null,2700,null,7342,null,1546,null,3014,null,995,null,94098,null,4194,null,58953,null,3544,null,35145,null,3216,null,21696,null,2650,null,6748,null,1305,null,4099,null,1420,null,2106,null,990,null,153,null,147,null,343,null,355,null,175686,null,2313,null,67181,null,3182,null,0,null,269,null,67181,null,3182,null,3045,null,903,null,23551,null,2278,null,17847,null,2177,null,17134,null,2516,null,3916,null,933,null,1688,null,765,null,108505,null,3366,null,61788,null,3476,null,46717,null,3041,null,30933,null,2524,null,10186,null,1922,null,2758,null,929,null,2046,null,754,null,571,null,383,null,223,null,201,null,0400000US05,Arkansas,05
1753782,null,9130,null,853299,null,5940,null,335522,null,8794,null,82,null,95,null,335440,null,8778,null,7948,null,1367,null,33198,null,3481,null,50834,null,4474,null,100774,null,5124,null,75690,null,4884,null,66996,null,5219,null,517777,null,9073,null,322105,null,8304,null,195672,null,7610,null,85123,null,5710,null,48083,null,4622,null,24232,null,2868,null,20292,null,2950,null,8580,null,1732,null,9362,null,1847,null,900483,null,6376,null,333059,null,8553,null,0,null,294,null,333059,null,8553,null,6747,null,1413,null,34272,null,3021,null,56680,null,4930,null,111476,null,6388,null,74031,null,4775,null,49853,null,3538,null,567424,null,9222,null,340691,null,8848,null,226733,null,7554,null,110297,null,6614,null,50523,null,4586,null,27006,null,3179,null,23434,null,2946,null,9897,null,1774,null,5576,null,1262,null,0400000US06,California,06
141354,null,3272,null,75774,null,2548,null,38544,null,2814,null,0,null,275,null,38544,null,2814,null,1467,null,679,null,4431,null,1247,null,7357,null,1662,null,12941,null,1863,null,6365,null,1475,null,5983,null,1405,null,37230,null,2940,null,18145,null,2299,null,19085,null,2197,null,9610,null,1594,null,4494,null,1195,null,1979,null,790,null,1873,null,775,null,852,null,513,null,277,null,329,null,65580,null,2327,null,25964,null,2316,null,0,null,275,null,25964,null,2316,null,633,null,461,null,5576,null,1357,null,5674,null,1256,null,8725,null,1351,null,3672,null,904,null,1684,null,611,null,39616,null,2660,null,20539,null,2330,null,19077,null,2206,null,10380,null,1612,null,4619,null,1443,null,1931,null,686,null,1200,null,592,null,903,null,409,null,44,null,72,null,0400000US08,Colorado,08
249150,null,3662,null,115705,null,2419,null,51470,null,2912,null,0,null,275,null,51470,null,2912,null,894,null,449,null,2739,null,990,null,8650,null,1799,null,20299,null,2576,null,13087,null,1868,null,5801,null,1196,null,64235,null,2602,null,31418,null,2065,null,32817,null,2479,null,16873,null,2131,null,6812,null,1319,null,3930,null,1176,null,2768,null,916,null,1466,null,648,null,968,null,593,null,133445,null,2381,null,53063,null,2857,null,0,null,275,null,53063,null,2857,null,652,null,428,null,3844,null,996,null,8884,null,1553,null,20678,null,2522,null,12001,null,1736,null,7004,null,953,null,80382,null,3267,null,40475,null,3043,null,39907,null,2489,null,19869,null,2030,null,9013,null,1518,null,5929,null,1263,null,3461,null,788,null,933,null,460,null,702,null,456,null,0400000US09,Connecticut,09
135679,null,1692,null,62219,null,1276,null,25506,null,1825,null,0,null,263,null,25506,null,1825,null,453,null,376,null,3919,null,1299,null,3876,null,1080,null,8871,null,1788,null,5697,null,1460,null,2690,null,775,null,36713,null,1807,null,18712,null,1669,null,18001,null,1857,null,9981,null,1374,null,3151,null,934,null,2531,null,932,null,1312,null,724,null,421,null,295,null,605,null,357,null,73460,null,1174,null,33976,null,1839,null,0,null,263,null,33976,null,1839,null,786,null,463,null,4081,null,1318,null,10061,null,1532,null,11472,null,1540,null,4944,null,1092,null,2632,null,1177,null,39484,null,1906,null,20405,null,1771,null,19079,null,2027,null,9337,null,1415,null,5678,null,1305,null,1088,null,587,null,2254,null,883,null,672,null,365,null,50,null,85,null,0400000US10,Delaware,10
253499,null,2591,null,111049,null,1453,null,45678,null,2552,null,0,null,296,null,45678,null,2552,null,455,null,249,null,4907,null,1188,null,8393,null,1663,null,15231,null,1965,null,10025,null,1797,null,6667,null,1239,null,65371,null,2973,null,40642,null,3124,null,24729,null,3033,null,14656,null,2622,null,5160,null,1291,null,1692,null,676,null,1791,null,717,null,816,null,428,null,614,null,478,null,142450,null,1550,null,55655,null,2762,null,0,null,296,null,55655,null,2762,null,1227,null,487,null,4663,null,1562,null,9333,null,1760,null,20370,null,2409,null,11624,null,1627,null,8438,null,1325,null,86795,null,2878,null,55556,null,3174,null,31239,null,2932,null,16926,null,2347,null,4433,null,1067,null,3144,null,911,null,4139,null,1327,null,560,null,369,null,2037,null,874,null,0400000US11,District of Columbia,11
2102301,null,8687,null,991977,null,6001,null,436600,null,8046,null,0,null,305,null,436600,null,8046,null,10596,null,2297,null,76175,null,4827,null,102840,null,6011,null,151640,null,7876,null,64620,null,4664,null,30729,null,3102,null,555377,null,9165,null,331221,null,8638,null,224156,null,8480,null,111667,null,6460,null,58526,null,4193,null,31104,null,2830,null,15771,null,2277,null,3620,null,1138,null,3468,null,1001,null,1110324,null,6575,null,463968,null,9988,null,0,null,305,null,463968,null,9988,null,13773,null,2093,null,95010,null,4892,null,137209,null,6255,null,148894,null,7265,null,47234,null,4136,null,21848,null,2344,null,646356,null,10488,null,375988,null,9722,null,270368,null,9408,null,139933,null,6640,null,72560,null,4933,null,26993,null,3237,null,22731,null,2301,null,6014,null,1428,null,2137,null,875,null,0400000US12,Florida,12
2168060,null,7873,null,992894,null,5170,null,461560,null,10953,null,0,null,298,null,461560,null,10953,null,10805,null,1881,null,57357,null,4496,null,94808,null,5483,null,168204,null,8269,null,88576,null,5615,null,41810,null,3379,null,531334,null,10967,null,309440,null,11762,null,221894,null,7434,null,114993,null,5676,null,55346,null,4140,null,21005,null,2715,null,18914,null,2820,null,7129,null,1785,null,4507,null,1360,null,1175166,null,5205,null,499910,null,9743,null,0,null,298,null,499910,null,9743,null,17632,null,2622,null,98135,null,5460,null,107161,null,6577,null,171571,null,6804,null,75134,null,4471,null,30277,null,2684,null,675256,null,10382,null,391967,null,8736,null,283289,null,9423,null,146480,null,8218,null,77088,null,4662,null,26085,null,3116,null,21236,null,2807,null,7284,null,1273,null,5116,null,1329,null,0400000US13,Georgia,13
24474,null,2237,null,14072,null,1375,null,9160,null,1579,null,0,null,275,null,9160,null,1579,null,81,null,148,null,522,null,358,null,2366,null,1265,null,2265,null,1042,null,2857,null,965,null,1069,null,488,null,4912,null,1378,null,1778,null,837,null,3134,null,1258,null,1212,null,795,null,515,null,397,null,342,null,311,null,849,null,864,null,120,null,166,null,96,null,181,null,10402,null,1431,null,5772,null,1142,null,0,null,275,null,5772,null,1142,null,696,null,641,null,843,null,483,null,415,null,306,null,1982,null,1025,null,736,null,617,null,1100,null,745,null,4630,null,1613,null,2351,null,939,null,2279,null,1506,null,1815,null,1492,null,119,null,172,null,43,null,82,null,0,null,275,null,232,null,385,null,70,null,126,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
