C08505F_001E,C08505F_001EA,C08505F_001M,C08505F_001MA,C08505F_002E,C08505F_002EA,C08505F_002M,C08505F_002MA,C08505F_003E,C08505F_003EA,C08505F_003M,C08505F_003MA,C08505F_004E,C08505F_004EA,C08505F_004M,C08505F_004MA,C08505F_005E,C08505F_005EA,C08505F_005M,C08505F_005MA,C08505F_006E,C08505F_006EA,C08505F_006M,C08505F_006MA,GEO_ID,NAME,state
17184,null,2239,null,10195,null,1560,null,4914,null,1250,null,41,null,53,null,873,null,625,null,1161,null,269,null,0400000US01,Alabama,01
7708,null,1747,null,4336,null,1534,null,1192,null,651,null,0,null,267,null,1764,null,702,null,416,null,396,null,0400000US02,Alaska,02
287794,null,10600,null,195955,null,8827,null,52231,null,5531,null,9365,null,2485,null,23049,null,2967,null,7194,null,1635,null,0400000US04,Arizona,04
22906,null,2513,null,14911,null,1949,null,5987,null,1823,null,0,null,267,null,1621,null,874,null,387,null,219,null,0400000US05,Arkansas,05
2623541,null,33438,null,1802874,null,28462,null,428560,null,15409,null,185779,null,10658,null,147543,null,8801,null,58785,null,4290,null,0400000US06,California,06
134028,null,7498,null,90628,null,5791,null,26464,null,3616,null,6612,null,1871,null,7681,null,1942,null,2643,null,752,null,0400000US08,Colorado,08
90131,null,6378,null,57505,null,5019,null,13473,null,2871,null,8296,null,1741,null,9846,null,2377,null,1011,null,420,null,0400000US09,Connecticut,09
7311,null,1084,null,4248,null,981,null,1957,null,741,null,433,null,426,null,533,null,405,null,140,null,128,null,0400000US10,Delaware,10
32967,null,3436,null,13386,null,2454,null,4798,null,1419,null,13009,null,2424,null,1470,null,779,null,304,null,366,null,0400000US11,District of Columbia,11
355443,null,13386,null,232540,null,10363,null,84881,null,6950,null,11952,null,2800,null,18241,null,2940,null,7829,null,1909,null,0400000US12,Florida,12
163166,null,9361,null,89251,null,7590,null,45568,null,5075,null,10329,null,3233,null,15133,null,4375,null,2885,null,1098,null,0400000US13,Georgia,13
10453,null,1939,null,7960,null,1729,null,471,null,313,null,545,null,484,null,1410,null,564,null,67,null,110,null,0400000US15,Hawaii,15
16234,null,2058,null,10923,null,1516,null,3593,null,1083,null,150,null,147,null,1143,null,679,null,425,null,329,null,0400000US16,Idaho,16
511715,null,11760,null,315705,null,10539,null,96572,null,7613,null,66833,null,6167,null,26324,null,3215,null,6281,null,1565,null,0400000US17,Illinois,17
61262,null,4543,null,41339,null,3969,null,13783,null,2509,null,1227,null,661,null,4278,null,1421,null,635,null,466,null,0400000US18,Indiana,18
23820,null,3008,null,15899,null,2316,null,4380,null,1072,null,675,null,477,null,2521,null,1097,null,345,null,240,null,0400000US19,Iowa,19
41105,null,3278,null,30097,null,2829,null,7983,null,1577,null,346,null,389,null,2109,null,908,null,570,null,449,null,0400000US20,Kansas,20
17647,null,2334,null,9099,null,1636,null,6674,null,1524,null,269,null,234,null,1394,null,870,null,211,null,213,null,0400000US21,Kentucky,21
22417,null,2806,null,14245,null,2193,null,5560,null,1253,null,587,null,520,null,1630,null,960,null,395,null,331,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
78322,null,6015,null,44170,null,4591,null,16411,null,2710,null,11836,null,2783,null,3891,null,1527,null,2014,null,858,null,0400000US24,Maryland,24
125560,null,7243,null,68907,null,5499,null,23225,null,3778,null,16409,null,2516,null,13947,null,2172,null,3072,null,1312,null,0400000US25,Massachusetts,25
