C21001F_001E,C21001F_001EA,C21001F_001M,C21001F_001MA,C21001F_002E,C21001F_002EA,C21001F_002M,C21001F_002MA,C21001F_003E,C21001F_003EA,C21001F_003M,C21001F_003MA,C21001F_004E,C21001F_004EA,C21001F_004M,C21001F_004MA,C21001F_005E,C21001F_005EA,C21001F_005M,C21001F_005MA,C21001F_006E,C21001F_006EA,C21001F_006M,C21001F_006MA,C21001F_007E,C21001F_007EA,C21001F_007M,C21001F_007MA,C21001F_008E,C21001F_008EA,C21001F_008M,C21001F_008MA,C21001F_009E,C21001F_009EA,C21001F_009M,C21001F_009MA,C21001F_010E,C21001F_010EA,C21001F_010M,C21001F_010MA,C21001F_011E,C21001F_011EA,C21001F_011M,C21001F_011MA,C21001F_012E,C21001F_012EA,C21001F_012M,C21001F_012MA,C21001F_013E,C21001F_013EA,C21001F_013M,C21001F_013MA,C21001F_014E,C21001F_014EA,C21001F_014M,C21001F_014MA,C21001F_015E,C21001F_015EA,C21001F_015M,C21001F_015MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
437270,null,13171,null,229043,null,8159,null,216663,null,8110,null,12868,null,1850,null,203795,null,8636,null,12380,null,1492,null,3294,null,802,null,9086,null,1461,null,208227,null,7138,null,194283,null,6441,null,842,null,459,null,193441,null,6449,null,13944,null,1751,null,13,null,24,null,13931,null,1751,null,0400000US04,Arizona,04
37637,null,3525,null,20544,null,2699,null,19835,null,2589,null,418,null,263,null,19417,null,2565,null,709,null,526,null,169,null,262,null,540,null,446,null,17093,null,1772,null,16520,null,1786,null,0,null,267,null,16520,null,1786,null,573,null,330,null,0,null,267,null,573,null,330,null,0400000US05,Arkansas,05
4080967,null,40392,null,2115278,null,23027,null,2000743,null,23078,null,75485,null,5471,null,1925258,null,23038,null,114535,null,4132,null,20487,null,2405,null,94048,null,3977,null,1965689,null,23283,null,1813064,null,23357,null,6809,null,1284,null,1806255,null,23157,null,152625,null,4720,null,313,null,272,null,152312,null,4699,null,0400000US06,California,06
205666,null,9892,null,108724,null,6174,null,102410,null,6141,null,8129,null,1704,null,94281,null,5795,null,6314,null,1012,null,2433,null,712,null,3881,null,965,null,96942,null,4898,null,89392,null,4653,null,683,null,384,null,88709,null,4629,null,7550,null,1175,null,93,null,126,null,7457,null,1149,null,0400000US08,Colorado,08
133538,null,6995,null,67636,null,4658,null,64476,null,4590,null,1902,null,698,null,62574,null,4594,null,3160,null,882,null,266,null,185,null,2894,null,866,null,65902,null,4143,null,61876,null,4059,null,117,null,138,null,61759,null,4031,null,4026,null,832,null,0,null,273,null,4026,null,832,null,0400000US09,Connecticut,09
11075,null,1509,null,6504,null,926,null,6318,null,905,null,266,null,233,null,6052,null,877,null,186,null,189,null,0,null,261,null,186,null,189,null,4571,null,863,null,4183,null,836,null,105,null,177,null,4078,null,803,null,388,null,362,null,0,null,261,null,388,null,362,null,0400000US10,Delaware,10
20647,null,2541,null,11369,null,1803,null,10837,null,1739,null,128,null,145,null,10709,null,1742,null,532,null,316,null,49,null,80,null,483,null,299,null,9278,null,1409,null,8472,null,1397,null,0,null,300,null,8472,null,1397,null,806,null,294,null,0,null,300,null,806,null,294,null,0400000US11,District of Columbia,11
515674,null,16542,null,277493,null,10665,null,263990,null,10171,null,12908,null,2083,null,251082,null,9760,null,13503,null,1866,null,1433,null,682,null,12070,null,1830,null,238181,null,8755,null,219893,null,8248,null,1757,null,655,null,218136,null,8267,null,18288,null,2264,null,63,null,110,null,18225,null,2262,null,0400000US12,Florida,12
