C19037C_001E,C19037C_001EA,C19037C_001M,C19037C_001MA,C19037C_002E,C19037C_002EA,C19037C_002M,C19037C_002MA,C19037C_003E,C19037C_003EA,C19037C_003M,C19037C_003MA,C19037C_004E,C19037C_004EA,C19037C_004M,C19037C_004MA,C19037C_005E,C19037C_005EA,C19037C_005M,C19037C_005MA,C19037C_006E,C19037C_006EA,C19037C_006M,C19037C_006MA,C19037C_007E,C19037C_007EA,C19037C_007M,C19037C_007MA,C19037C_008E,C19037C_008EA,C19037C_008M,C19037C_008MA,C19037C_009E,C19037C_009EA,C19037C_009M,C19037C_009MA,C19037C_010E,C19037C_010EA,C19037C_010M,C19037C_010MA,C19037C_011E,C19037C_011EA,C19037C_011M,C19037C_011MA,C19037C_012E,C19037C_012EA,C19037C_012M,C19037C_012MA,C19037C_013E,C19037C_013EA,C19037C_013M,C19037C_013MA,C19037C_014E,C19037C_014EA,C19037C_014M,C19037C_014MA,C19037C_015E,C19037C_015EA,C19037C_015M,C19037C_015MA,C19037C_016E,C19037C_016EA,C19037C_016M,C19037C_016MA,C19037C_017E,C19037C_017EA,C19037C_017M,C19037C_017MA,C19037C_018E,C19037C_018EA,C19037C_018M,C19037C_018MA,C19037C_019E,C19037C_019EA,C19037C_019M,C19037C_019MA,C19037C_020E,C19037C_020EA,C19037C_020M,C19037C_020MA,C19037C_021E,C19037C_021EA,C19037C_021M,C19037C_021MA,C19037C_022E,C19037C_022EA,C19037C_022M,C19037C_022MA,C19037C_023E,C19037C_023EA,C19037C_023M,C19037C_023MA,C19037C_024E,C19037C_024EA,C19037C_024M,C19037C_024MA,C19037C_025E,C19037C_025EA,C19037C_025M,C19037C_025MA,C19037C_026E,C19037C_026EA,C19037C_026M,C19037C_026MA,C19037C_027E,C19037C_027EA,C19037C_027M,C19037C_027MA,C19037C_028E,C19037C_028EA,C19037C_028M,C19037C_028MA,C19037C_029E,C19037C_029EA,C19037C_029M,C19037C_029MA,C19037C_030E,C19037C_030EA,C19037C_030M,C19037C_030MA,C19037C_031E,C19037C_031EA,C19037C_031M,C19037C_031MA,C19037C_032E,C19037C_032EA,C19037C_032M,C19037C_032MA,C19037C_033E,C19037C_033EA,C19037C_033M,C19037C_033MA,C19037C_034E,C19037C_034EA,C19037C_034M,C19037C_034MA,C19037C_035E,C19037C_035EA,C19037C_035M,C19037C_035MA,C19037C_036E,C19037C_036EA,C19037C_036M,C19037C_036MA,C19037C_037E,C19037C_037EA,C19037C_037M,C19037C_037MA,C19037C_038E,C19037C_038EA,C19037C_038M,C19037C_038MA,C19037C_039E,C19037C_039EA,C19037C_039M,C19037C_039MA,C19037C_040E,C19037C_040EA,C19037C_040M,C19037C_040MA,C19037C_041E,C19037C_041EA,C19037C_041M,C19037C_041MA,C19037C_042E,C19037C_042EA,C19037C_042M,C19037C_042MA,C19037C_043E,C19037C_043EA,C19037C_043M,C19037C_043MA,C19037C_044E,C19037C_044EA,C19037C_044M,C19037C_044MA,C19037C_045E,C19037C_045EA,C19037C_045M,C19037C_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
27116,null,1614,null,1206,null,530,null,316,null,286,null,123,null,115,null,84,null,125,null,180,null,170,null,85,null,113,null,268,null,255,null,133,null,196,null,17,null,28,null,0,null,237,null,0,null,237,null,11034,null,1399,null,1000,null,394,null,527,null,219,null,1331,null,402,null,1137,null,465,null,2197,null,710,null,2206,null,758,null,1018,null,482,null,898,null,539,null,332,null,231,null,388,null,318,null,10860,null,1027,null,1298,null,287,null,1100,null,383,null,1034,null,396,null,1042,null,374,null,1642,null,472,null,1796,null,380,null,1274,null,452,null,1197,null,506,null,338,null,206,null,139,null,125,null,4016,null,565,null,542,null,396,null,576,null,261,null,1059,null,340,null,386,null,168,null,505,null,232,null,266,null,125,null,261,null,146,null,275,null,183,null,146,null,118,null,0,null,237,null,0400000US02,Alaska,02
73913,null,3340,null,3786,null,1029,null,1251,null,618,null,240,null,272,null,967,null,742,null,544,null,403,null,541,null,379,null,87,null,112,null,81,null,141,null,75,null,125,null,0,null,292,null,0,null,292,null,31336,null,2403,null,5344,null,1149,null,2180,null,866,null,4473,null,1214,null,4533,null,1094,null,5065,null,1177,null,5260,null,1159,null,2490,null,836,null,1656,null,791,null,138,null,164,null,197,null,256,null,27549,null,1917,null,4929,null,998,null,1830,null,553,null,4157,null,1057,null,3086,null,763,null,3535,null,814,null,4738,null,755,null,2606,null,691,null,2205,null,647,null,258,null,217,null,205,null,152,null,11242,null,904,null,2075,null,474,null,1454,null,336,null,2842,null,742,null,1457,null,562,null,1295,null,528,null,1214,null,544,null,322,null,219,null,528,null,292,null,0,null,292,null,55,null,90,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
95961,null,4312,null,3999,null,1017,null,575,null,384,null,436,null,377,null,388,null,420,null,845,null,426,null,761,null,419,null,425,null,318,null,149,null,182,null,161,null,169,null,22,null,42,null,237,null,354,null,34791,null,2670,null,3255,null,898,null,2818,null,1034,null,4355,null,1485,null,3021,null,878,null,4396,null,1062,null,6250,null,1203,null,4440,null,1138,null,3570,null,990,null,1275,null,545,null,1411,null,564,null,44180,null,2985,null,4858,null,1175,null,2489,null,895,null,3986,null,1070,null,4537,null,1018,null,5937,null,1048,null,7913,null,1400,null,4862,null,944,null,5690,null,1194,null,1951,null,560,null,1957,null,713,null,12991,null,1622,null,1087,null,431,null,2393,null,656,null,2027,null,508,null,2069,null,581,null,1240,null,449,null,1912,null,568,null,1218,null,560,null,561,null,321,null,373,null,257,null,111,null,137,null,0400000US06,California,06
15736,null,1636,null,942,null,602,null,233,null,293,null,136,null,184,null,502,null,442,null,71,null,86,null,0,null,275,null,0,null,275,null,0,null,275,null,0,null,275,null,0,null,275,null,0,null,275,null,6687,null,1291,null,1066,null,588,null,105,null,132,null,902,null,574,null,978,null,673,null,1638,null,751,null,707,null,366,null,718,null,421,null,392,null,232,null,181,null,167,null,0,null,275,null,6713,null,1094,null,828,null,463,null,734,null,537,null,414,null,279,null,397,null,322,null,829,null,487,null,1094,null,562,null,854,null,584,null,1159,null,494,null,195,null,202,null,209,null,372,null,1394,null,476,null,246,null,200,null,282,null,218,null,0,null,275,null,177,null,149,null,65,null,114,null,484,null,357,null,124,null,162,null,16,null,27,null,0,null,275,null,0,null,275,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
20621,null,2202,null,953,null,620,null,0,null,303,null,130,null,180,null,479,null,483,null,0,null,303,null,72,null,119,null,137,null,147,null,0,null,303,null,55,null,88,null,80,null,129,null,0,null,303,null,7490,null,1161,null,330,null,261,null,240,null,216,null,687,null,408,null,947,null,595,null,1485,null,660,null,1554,null,653,null,1084,null,523,null,897,null,493,null,140,null,243,null,126,null,154,null,7645,null,1270,null,399,null,279,null,393,null,316,null,990,null,445,null,817,null,382,null,961,null,423,null,1445,null,574,null,751,null,440,null,1243,null,585,null,416,null,312,null,230,null,185,null,4533,null,1050,null,547,null,358,null,597,null,391,null,1116,null,502,null,239,null,225,null,307,null,247,null,1071,null,653,null,377,null,320,null,218,null,164,null,20,null,46,null,41,null,70,null,0400000US12,Florida,12
