B23002F_001E,B23002F_001EA,B23002F_001M,B23002F_001MA,B23002F_002E,B23002F_002EA,B23002F_002M,B23002F_002MA,B23002F_003E,B23002F_003EA,B23002F_003M,B23002F_003MA,B23002F_004E,B23002F_004EA,B23002F_004M,B23002F_004MA,B23002F_005E,B23002F_005EA,B23002F_005M,B23002F_005MA,B23002F_006E,B23002F_006EA,B23002F_006M,B23002F_006MA,B23002F_007E,B23002F_007EA,B23002F_007M,B23002F_007MA,B23002F_008E,B23002F_008EA,B23002F_008M,B23002F_008MA,B23002F_009E,B23002F_009EA,B23002F_009M,B23002F_009MA,B23002F_010E,B23002F_010EA,B23002F_010M,B23002F_010MA,B23002F_011E,B23002F_011EA,B23002F_011M,B23002F_011MA,B23002F_012E,B23002F_012EA,B23002F_012M,B23002F_012MA,B23002F_013E,B23002F_013EA,B23002F_013M,B23002F_013MA,B23002F_014E,B23002F_014EA,B23002F_014M,B23002F_014MA,B23002F_015E,B23002F_015EA,B23002F_015M,B23002F_015MA,B23002F_016E,B23002F_016EA,B23002F_016M,B23002F_016MA,B23002F_017E,B23002F_017EA,B23002F_017M,B23002F_017MA,B23002F_018E,B23002F_018EA,B23002F_018M,B23002F_018MA,B23002F_019E,B23002F_019EA,B23002F_019M,B23002F_019MA,B23002F_020E,B23002F_020EA,B23002F_020M,B23002F_020MA,B23002F_021E,B23002F_021EA,B23002F_021M,B23002F_021MA,B23002F_022E,B23002F_022EA,B23002F_022M,B23002F_022MA,B23002F_023E,B23002F_023EA,B23002F_023M,B23002F_023MA,B23002F_024E,B23002F_024EA,B23002F_024M,B23002F_024MA,B23002F_025E,B23002F_025EA,B23002F_025M,B23002F_025MA,B23002F_026E,B23002F_026EA,B23002F_026M,B23002F_026MA,B23002F_027E,B23002F_027EA,B23002F_027M,B23002F_027MA,B23002F_028E,B23002F_028EA,B23002F_028M,B23002F_028MA,B23002F_029E,B23002F_029EA,B23002F_029M,B23002F_029MA,B23002F_030E,B23002F_030EA,B23002F_030M,B23002F_030MA,B23002F_031E,B23002F_031EA,B23002F_031M,B23002F_031MA,B23002F_032E,B23002F_032EA,B23002F_032M,B23002F_032MA,B23002F_033E,B23002F_033EA,B23002F_033M,B23002F_033MA,B23002F_034E,B23002F_034EA,B23002F_034M,B23002F_034MA,B23002F_035E,B23002F_035EA,B23002F_035M,B23002F_035MA,B23002F_036E,B23002F_036EA,B23002F_036M,B23002F_036MA,B23002F_037E,B23002F_037EA,B23002F_037M,B23002F_037MA,B23002F_038E,B23002F_038EA,B23002F_038M,B23002F_038MA,B23002F_039E,B23002F_039EA,B23002F_039M,B23002F_039MA,B23002F_040E,B23002F_040EA,B23002F_040M,B23002F_040MA,B23002F_041E,B23002F_041EA,B23002F_041M,B23002F_041MA,B23002F_042E,B23002F_042EA,B23002F_042M,B23002F_042MA,B23002F_043E,B23002F_043EA,B23002F_043M,B23002F_043MA,B23002F_044E,B23002F_044EA,B23002F_044M,B23002F_044MA,B23002F_045E,B23002F_045EA,B23002F_045M,B23002F_045MA,B23002F_046E,B23002F_046EA,B23002F_046M,B23002F_046MA,B23002F_047E,B23002F_047EA,B23002F_047M,B23002F_047MA,B23002F_048E,B23002F_048EA,B23002F_048M,B23002F_048MA,B23002F_049E,B23002F_049EA,B23002F_049M,B23002F_049MA,B23002F_050E,B23002F_050EA,B23002F_050M,B23002F_050MA,B23002F_051E,B23002F_051EA,B23002F_051M,B23002F_051MA,B23002F_052E,B23002F_052EA,B23002F_052M,B23002F_052MA,B23002F_053E,B23002F_053EA,B23002F_053M,B23002F_053MA,B23002F_054E,B23002F_054EA,B23002F_054M,B23002F_054MA,B23002F_055E,B23002F_055EA,B23002F_055M,B23002F_055MA,B23002F_056E,B23002F_056EA,B23002F_056M,B23002F_056MA,B23002F_057E,B23002F_057EA,B23002F_057M,B23002F_057MA,B23002F_058E,B23002F_058EA,B23002F_058M,B23002F_058MA,B23002F_059E,B23002F_059EA,B23002F_059M,B23002F_059MA,B23002F_060E,B23002F_060EA,B23002F_060M,B23002F_060MA,B23002F_061E,B23002F_061EA,B23002F_061M,B23002F_061MA,B23002F_062E,B23002F_062EA,B23002F_062M,B23002F_062MA,B23002F_063E,B23002F_063EA,B23002F_063M,B23002F_063MA,B23002F_064E,B23002F_064EA,B23002F_064M,B23002F_064MA,B23002F_065E,B23002F_065EA,B23002F_065M,B23002F_065MA,B23002F_066E,B23002F_066EA,B23002F_066M,B23002F_066MA,B23002F_067E,B23002F_067EA,B23002F_067M,B23002F_067MA,B23002F_068E,B23002F_068EA,B23002F_068M,B23002F_068MA,B23002F_069E,B23002F_069EA,B23002F_069M,B23002F_069MA,B23002F_070E,B23002F_070EA,B23002F_070M,B23002F_070MA,B23002F_071E,B23002F_071EA,B23002F_071M,B23002F_071MA,B23002F_072E,B23002F_072EA,B23002F_072M,B23002F_072MA,B23002F_073E,B23002F_073EA,B23002F_073M,B23002F_073MA,B23002F_074E,B23002F_074EA,B23002F_074M,B23002F_074MA,B23002F_075E,B23002F_075EA,B23002F_075M,B23002F_075MA,B23002F_076E,B23002F_076EA,B23002F_076M,B23002F_076MA,B23002F_077E,B23002F_077EA,B23002F_077M,B23002F_077MA,B23002F_078E,B23002F_078EA,B23002F_078M,B23002F_078MA,B23002F_079E,B23002F_079EA,B23002F_079M,B23002F_079MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
460097,null,13748,null,241506,null,8424,null,22149,null,2560,null,9671,null,1817,null,0,null,292,null,9671,null,1817,null,8101,null,1763,null,1570,null,709,null,12478,null,1837,null,30635,null,2679,null,25865,null,2712,null,139,null,132,null,25726,null,2729,null,24121,null,2582,null,1605,null,701,null,4770,null,1345,null,159328,null,6709,null,141384,null,6360,null,423,null,353,null,140961,null,6372,null,135631,null,6054,null,5330,null,1468,null,17944,null,2584,null,17014,null,1710,null,11520,null,1497,null,0,null,292,null,11520,null,1497,null,11138,null,1477,null,382,null,306,null,5494,null,1127,null,4743,null,961,null,1780,null,639,null,1780,null,639,null,0,null,292,null,2963,null,870,null,7637,null,1258,null,600,null,368,null,537,null,350,null,63,null,104,null,7037,null,1259,null,218591,null,7358,null,22075,null,2339,null,9155,null,1680,null,0,null,292,null,9155,null,1680,null,6592,null,1392,null,2563,null,996,null,12920,null,2204,null,26057,null,2224,null,16185,null,1847,null,0,null,292,null,16185,null,1847,null,14466,null,1881,null,1719,null,781,null,9872,null,2158,null,140989,null,5275,null,93795,null,5046,null,87,null,146,null,93708,null,5043,null,87077,null,4803,null,6631,null,1619,null,47194,null,3157,null,15526,null,1773,null,6310,null,996,null,0,null,292,null,6310,null,996,null,5956,null,1058,null,354,null,245,null,9216,null,1452,null,5408,null,1054,null,1057,null,535,null,1057,null,535,null,0,null,292,null,4351,null,955,null,8536,null,1363,null,612,null,445,null,612,null,445,null,0,null,292,null,7924,null,1301,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
4310928,null,43041,null,2232844,null,23991,null,217557,null,7329,null,88085,null,5261,null,738,null,515,null,87347,null,5286,null,63708,null,4542,null,23639,null,2674,null,129472,null,5182,null,287514,null,7887,null,238615,null,7211,null,2717,null,802,null,235898,null,7211,null,211927,null,7109,null,23971,null,2683,null,48899,null,3673,null,1453774,null,18749,null,1285623,null,17911,null,3962,null,1329,null,1281661,null,17849,null,1217413,null,17779,null,64248,null,4758,null,168151,null,7340,null,159464,null,5653,null,110773,null,4929,null,0,null,292,null,110773,null,4929,null,103457,null,4876,null,7316,null,1422,null,48691,null,3733,null,42240,null,2801,null,16378,null,2246,null,15654,null,2176,null,724,null,382,null,25862,null,2211,null,72295,null,3543,null,6373,null,1439,null,6251,null,1421,null,122,null,145,null,65922,null,3263,null,2078084,null,24660,null,214405,null,7182,null,73447,null,4780,null,231,null,283,null,73216,null,4811,null,53982,null,3874,null,19234,null,2467,null,140958,null,6198,null,251281,null,6638,null,174663,null,6179,null,595,null,444,null,174068,null,6165,null,153830,null,5870,null,20238,null,2437,null,76618,null,4617,null,1288491,null,16078,null,858444,null,15273,null,101,null,121,null,858343,null,15276,null,788095,null,14942,null,70248,null,4610,null,430047,null,11519,null,171282,null,5316,null,77383,null,5005,null,0,null,292,null,77383,null,5005,null,72651,null,5032,null,4732,null,1207,null,93899,null,4375,null,46068,null,2920,null,8678,null,1537,null,8147,null,1479,null,531,null,369,null,37390,null,2527,null,106557,null,4555,null,4301,null,1085,null,4052,null,1025,null,249,null,213,null,102256,null,4636,null,0400000US06,California,06
215449,null,10339,null,113946,null,6418,null,8957,null,1416,null,4864,null,1077,null,130,null,155,null,4734,null,1054,null,3416,null,896,null,1318,null,527,null,4093,null,994,null,13205,null,1734,null,10634,null,1526,null,0,null,275,null,10634,null,1526,null,9844,null,1535,null,790,null,518,null,2571,null,801,null,76668,null,5187,null,63587,null,4350,null,200,null,216,null,63387,null,4325,null,60837,null,4088,null,2550,null,978,null,13081,null,1978,null,8802,null,1465,null,5662,null,1058,null,0,null,275,null,5662,null,1058,null,5545,null,1065,null,117,null,142,null,3140,null,1053,null,2018,null,570,null,608,null,317,null,608,null,317,null,0,null,275,null,1410,null,464,null,4296,null,883,null,430,null,369,null,430,null,369,null,0,null,275,null,3866,null,832,null,101503,null,5049,null,8623,null,1543,null,4495,null,1259,null,0,null,275,null,4495,null,1259,null,3270,null,884,null,1225,null,863,null,4128,null,735,null,9711,null,1458,null,6626,null,1244,null,0,null,275,null,6626,null,1244,null,5437,null,1110,null,1189,null,530,null,3085,null,864,null,66959,null,3693,null,48118,null,3536,null,88,null,137,null,48030,null,3528,null,43789,null,3559,null,4241,null,1090,null,18841,null,2442,null,8660,null,1225,null,4146,null,883,null,0,null,275,null,4146,null,883,null,3872,null,792,null,274,null,280,null,4514,null,953,null,2687,null,711,null,648,null,303,null,571,null,285,null,77,null,126,null,2039,null,632,null,4863,null,978,null,384,null,328,null,384,null,328,null,0,null,275,null,4479,null,939,null,0400000US08,Colorado,08
141001,null,7284,null,71950,null,4857,null,6934,null,1195,null,3496,null,1038,null,71,null,117,null,3425,null,1044,null,2139,null,992,null,1286,null,567,null,3438,null,1045,null,9480,null,1617,null,7896,null,1579,null,168,null,217,null,7728,null,1558,null,6779,null,1521,null,949,null,497,null,1584,null,564,null,46999,null,3932,null,39875,null,3800,null,55,null,93,null,39820,null,3810,null,36804,null,3462,null,3016,null,1151,null,7124,null,1636,null,5377,null,823,null,3992,null,897,null,0,null,273,null,3992,null,897,null,3543,null,981,null,449,null,472,null,1385,null,594,null,1208,null,505,null,529,null,376,null,529,null,376,null,0,null,273,null,679,null,379,null,1952,null,708,null,319,null,325,null,225,null,285,null,94,null,155,null,1633,null,645,null,69051,null,4122,null,5596,null,1063,null,2668,null,745,null,65,null,109,null,2603,null,760,null,1525,null,498,null,1078,null,564,null,2928,null,820,null,7707,null,1206,null,5868,null,1131,null,0,null,273,null,5868,null,1131,null,4779,null,1039,null,1089,null,497,null,1839,null,737,null,45731,null,3232,null,33277,null,3514,null,0,null,273,null,33277,null,3514,null,30556,null,3400,null,2721,null,804,null,12454,null,1653,null,5991,null,1183,null,2898,null,936,null,0,null,273,null,2898,null,936,null,2713,null,905,null,185,null,187,null,3093,null,777,null,1629,null,671,null,193,null,227,null,193,null,227,null,0,null,273,null,1436,null,651,null,2397,null,840,null,77,null,90,null,77,null,90,null,0,null,273,null,2320,null,844,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
543003,null,17673,null,291676,null,11417,null,26868,null,2373,null,14351,null,1717,null,438,null,288,null,13913,null,1662,null,10736,null,1635,null,3177,null,865,null,12517,null,1953,null,37405,null,3195,null,32585,null,3290,null,340,null,255,null,32245,null,3293,null,29530,null,3178,null,2715,null,989,null,4820,null,1054,null,193736,null,8605,null,176388,null,8457,null,681,null,475,null,175707,null,8387,null,163876,null,8021,null,11831,null,2647,null,17348,null,2026,null,20164,null,2460,null,14251,null,1993,null,0,null,303,null,14251,null,1993,null,13025,null,1952,null,1226,null,763,null,5913,null,1470,null,5605,null,1292,null,1729,null,782,null,1625,null,765,null,104,null,124,null,3876,null,945,null,7898,null,1597,null,1378,null,478,null,1378,null,478,null,0,null,303,null,6520,null,1559,null,251327,null,9206,null,25367,null,2866,null,13133,null,1994,null,173,null,205,null,12960,null,1995,null,10079,null,1833,null,2881,null,1018,null,12234,null,2279,null,28078,null,2798,null,19550,null,2668,null,236,null,198,null,19314,null,2672,null,16900,null,2556,null,2414,null,994,null,8528,null,1404,null,156384,null,6337,null,110234,null,5900,null,197,null,268,null,110037,null,5918,null,102819,null,5621,null,7218,null,1439,null,46150,null,3971,null,23210,null,2666,null,12627,null,2160,null,0,null,303,null,12627,null,2160,null,12264,null,2169,null,363,null,250,null,10583,null,1757,null,7444,null,1562,null,1130,null,558,null,1083,null,564,null,47,null,78,null,6314,null,1426,null,10844,null,1943,null,818,null,666,null,818,null,666,null,0,null,303,null,10026,null,1781,null,0400000US12,Florida,12
