C17010D_001E,C17010D_001EA,C17010D_001M,C17010D_001MA,C17010D_002E,C17010D_002EA,C17010D_002M,C17010D_002MA,C17010D_003E,C17010D_003EA,C17010D_003M,C17010D_003MA,C17010D_004E,C17010D_004EA,C17010D_004M,C17010D_004MA,C17010D_005E,C17010D_005EA,C17010D_005M,C17010D_005MA,C17010D_006E,C17010D_006EA,C17010D_006M,C17010D_006MA,C17010D_007E,C17010D_007EA,C17010D_007M,C17010D_007MA,C17010D_008E,C17010D_008EA,C17010D_008M,C17010D_008MA,C17010D_009E,C17010D_009EA,C17010D_009M,C17010D_009MA,C17010D_010E,C17010D_010EA,C17010D_010M,C17010D_010MA,C17010D_011E,C17010D_011EA,C17010D_011M,C17010D_011MA,C17010D_012E,C17010D_012EA,C17010D_012M,C17010D_012MA,C17010D_013E,C17010D_013EA,C17010D_013M,C17010D_013MA,C17010D_014E,C17010D_014EA,C17010D_014M,C17010D_014MA,C17010D_015E,C17010D_015EA,C17010D_015M,C17010D_015MA,C17010D_016E,C17010D_016EA,C17010D_016M,C17010D_016MA,C17010D_017E,C17010D_017EA,C17010D_017M,C17010D_017MA,GEO_ID,NAME,state
10263,null,1390,null,738,null,538,null,345,null,307,null,345,null,307,null,393,null,449,null,201,null,326,null,201,null,326,null,192,null,214,null,192,null,214,null,9525,null,1266,null,8115,null,1188,null,5424,null,1194,null,1410,null,586,null,249,null,257,null,97,null,115,null,1161,null,524,null,676,null,360,null,0400000US01,Alabama,01
5877,null,872,null,219,null,283,null,0,null,237,null,0,null,237,null,219,null,283,null,0,null,237,null,0,null,237,null,219,null,283,null,199,null,283,null,5658,null,819,null,4064,null,731,null,2541,null,663,null,1594,null,536,null,661,null,355,null,393,null,311,null,933,null,509,null,619,null,402,null,0400000US02,Alaska,02
35419,null,1975,null,3355,null,1038,null,2050,null,822,null,1321,null,697,null,1305,null,681,null,165,null,267,null,165,null,267,null,1140,null,610,null,948,null,523,null,32064,null,2103,null,26892,null,1949,null,15891,null,1336,null,5172,null,1200,null,1743,null,686,null,849,null,453,null,3429,null,939,null,2316,null,788,null,0400000US04,Arizona,04
6298,null,1043,null,642,null,496,null,535,null,471,null,463,null,412,null,107,null,167,null,0,null,267,null,0,null,267,null,107,null,167,null,107,null,167,null,5656,null,983,null,4703,null,867,null,2588,null,771,null,953,null,530,null,632,null,484,null,504,null,454,null,321,null,224,null,215,null,180,null,0400000US05,Arkansas,05
1054059,null,11231,null,74332,null,4085,null,43296,null,3187,null,26355,null,2490,null,31036,null,2916,null,6897,null,1378,null,3516,null,905,null,24139,null,2657,null,17570,null,2453,null,979727,null,11111,null,796317,null,11072,null,435987,null,9779,null,183410,null,6881,null,65521,null,4217,null,24024,null,2933,null,117889,null,4618,null,55458,null,3633,null,0400000US06,California,06
30562,null,2028,null,2291,null,813,null,989,null,504,null,832,null,464,null,1302,null,676,null,373,null,360,null,186,null,234,null,929,null,572,null,706,null,455,null,28271,null,1987,null,23937,null,1725,null,12715,null,1460,null,4334,null,1269,null,1626,null,784,null,892,null,664,null,2708,null,930,null,1613,null,873,null,0400000US08,Colorado,08
29083,null,1820,null,2132,null,814,null,1242,null,667,null,697,null,436,null,890,null,549,null,114,null,129,null,114,null,129,null,776,null,535,null,776,null,535,null,26951,null,1810,null,23665,null,1748,null,14151,null,1700,null,3286,null,828,null,1067,null,423,null,267,null,233,null,2219,null,740,null,1087,null,450,null,0400000US09,Connecticut,09
6715,null,780,null,158,null,191,null,158,null,191,null,93,null,160,null,0,null,261,null,0,null,261,null,0,null,261,null,0,null,261,null,0,null,261,null,6557,null,758,null,5362,null,729,null,2837,null,719,null,1195,null,536,null,449,null,313,null,0,null,261,null,746,null,442,null,621,null,385,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
97279,null,2962,null,8177,null,1585,null,4408,null,1251,null,2584,null,990,null,3769,null,1177,null,743,null,400,null,492,null,358,null,3026,null,1065,null,2673,null,1011,null,89102,null,3347,null,73774,null,3319,null,40226,null,2784,null,15328,null,2119,null,5986,null,1510,null,2959,null,1085,null,9342,null,1468,null,5259,null,1156,null,0400000US12,Florida,12
63113,null,2621,null,4628,null,1001,null,3066,null,835,null,1676,null,579,null,1562,null,581,null,596,null,424,null,596,null,424,null,966,null,416,null,766,null,337,null,58485,null,2688,null,49677,null,2574,null,30037,null,2380,null,8808,null,1458,null,3091,null,813,null,1576,null,655,null,5717,null,1336,null,2990,null,1052,null,0400000US13,Georgia,13
129114,null,3614,null,3406,null,818,null,1678,null,600,null,939,null,414,null,1728,null,605,null,279,null,246,null,152,null,133,null,1449,null,556,null,1052,null,485,null,125708,null,3577,null,93568,null,3764,null,39607,null,2847,null,32140,null,2431,null,9823,null,1583,null,3359,null,941,null,22317,null,1955,null,10094,null,1722,null,0400000US15,Hawaii,15
3379,null,664,null,330,null,202,null,233,null,196,null,96,null,138,null,97,null,102,null,0,null,257,null,0,null,257,null,97,null,102,null,39,null,69,null,3049,null,655,null,2703,null,585,null,1195,null,381,null,346,null,289,null,62,null,104,null,62,null,104,null,284,null,269,null,284,null,269,null,0400000US16,Idaho,16
133247,null,3340,null,10461,null,1962,null,7014,null,1512,null,5101,null,1303,null,3447,null,1154,null,1341,null,687,null,684,null,524,null,2106,null,857,null,1508,null,758,null,122786,null,3659,null,105764,null,3636,null,62187,null,3121,null,17022,null,2179,null,7003,null,1367,null,2191,null,707,null,10019,null,1874,null,4861,null,1290,null,0400000US17,Illinois,17
