B10051I_001E,B10051I_001EA,B10051I_001M,B10051I_001MA,B10051I_002E,B10051I_002EA,B10051I_002M,B10051I_002MA,B10051I_003E,B10051I_003EA,B10051I_003M,B10051I_003MA,B10051I_004E,B10051I_004EA,B10051I_004M,B10051I_004MA,B10051I_005E,B10051I_005EA,B10051I_005M,B10051I_005MA,B10051I_006E,B10051I_006EA,B10051I_006M,B10051I_006MA,B10051I_007E,B10051I_007EA,B10051I_007M,B10051I_007MA,GEO_ID,NAME,state
3162,null,1265,null,1652,null,704,null,1606,null,707,null,46,null,77,null,1510,null,982,null,1249,null,900,null,261,null,284,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
65389,null,5838,null,26081,null,3597,null,19672,null,2981,null,6409,null,1554,null,39308,null,5082,null,23749,null,3890,null,15559,null,3112,null,0400000US04,Arizona,04
5781,null,1634,null,3172,null,1447,null,2700,null,1405,null,472,null,416,null,2609,null,1209,null,2300,null,1152,null,309,null,282,null,0400000US05,Arkansas,05
476761,null,14480,null,132614,null,7462,null,97631,null,6260,null,34983,null,4106,null,344147,null,13580,null,186915,null,9249,null,157232,null,7993,null,0400000US06,California,06
25962,null,3193,null,11120,null,2011,null,8376,null,1740,null,2744,null,793,null,14842,null,2528,null,8630,null,1659,null,6212,null,1793,null,0400000US08,Colorado,08
9951,null,1905,null,3414,null,1096,null,3063,null,1078,null,351,null,282,null,6537,null,1538,null,3760,null,1119,null,2777,null,971,null,0400000US09,Connecticut,09
1063,null,501,null,460,null,317,null,375,null,288,null,85,null,133,null,603,null,422,null,259,null,260,null,344,null,316,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
116101,null,8273,null,30218,null,4136,null,20076,null,2918,null,10142,null,2257,null,85883,null,7004,null,36106,null,4074,null,49777,null,5388,null,0400000US12,Florida,12
13598,null,2333,null,3317,null,1147,null,2513,null,1037,null,804,null,523,null,10281,null,2149,null,6923,null,1996,null,3358,null,1182,null,0400000US13,Georgia,13
2603,null,720,null,1036,null,462,null,789,null,436,null,247,null,211,null,1567,null,600,null,925,null,485,null,642,null,304,null,0400000US15,Hawaii,15
1997,null,772,null,1117,null,572,null,770,null,533,null,347,null,264,null,880,null,561,null,667,null,512,null,213,null,225,null,0400000US16,Idaho,16
62715,null,4902,null,18416,null,2930,null,14318,null,2662,null,4098,null,1071,null,44299,null,4352,null,25546,null,3468,null,18753,null,2639,null,0400000US17,Illinois,17
6729,null,1452,null,2915,null,956,null,2314,null,764,null,601,null,401,null,3814,null,1052,null,2022,null,728,null,1792,null,741,null,0400000US18,Indiana,18
2903,null,1060,null,1217,null,577,null,829,null,427,null,388,null,291,null,1686,null,875,null,1185,null,754,null,501,null,393,null,0400000US19,Iowa,19
6085,null,1422,null,1810,null,782,null,1754,null,767,null,56,null,89,null,4275,null,1249,null,2782,null,1108,null,1493,null,651,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
