C23002B_001E,C23002B_001EA,C23002B_001M,C23002B_001MA,C23002B_002E,C23002B_002EA,C23002B_002M,C23002B_002MA,C23002B_003E,C23002B_003EA,C23002B_003M,C23002B_003MA,C23002B_004E,C23002B_004EA,C23002B_004M,C23002B_004MA,C23002B_005E,C23002B_005EA,C23002B_005M,C23002B_005MA,C23002B_006E,C23002B_006EA,C23002B_006M,C23002B_006MA,C23002B_007E,C23002B_007EA,C23002B_007M,C23002B_007MA,C23002B_008E,C23002B_008EA,C23002B_008M,C23002B_008MA,C23002B_009E,C23002B_009EA,C23002B_009M,C23002B_009MA,C23002B_010E,C23002B_010EA,C23002B_010M,C23002B_010MA,C23002B_011E,C23002B_011EA,C23002B_011M,C23002B_011MA,C23002B_012E,C23002B_012EA,C23002B_012M,C23002B_012MA,C23002B_013E,C23002B_013EA,C23002B_013M,C23002B_013MA,C23002B_014E,C23002B_014EA,C23002B_014M,C23002B_014MA,C23002B_015E,C23002B_015EA,C23002B_015M,C23002B_015MA,C23002B_016E,C23002B_016EA,C23002B_016M,C23002B_016MA,C23002B_017E,C23002B_017EA,C23002B_017M,C23002B_017MA,C23002B_018E,C23002B_018EA,C23002B_018M,C23002B_018MA,C23002B_019E,C23002B_019EA,C23002B_019M,C23002B_019MA,C23002B_020E,C23002B_020EA,C23002B_020M,C23002B_020MA,C23002B_021E,C23002B_021EA,C23002B_021M,C23002B_021MA,C23002B_022E,C23002B_022EA,C23002B_022M,C23002B_022MA,C23002B_023E,C23002B_023EA,C23002B_023M,C23002B_023MA,C23002B_024E,C23002B_024EA,C23002B_024M,C23002B_024MA,C23002B_025E,C23002B_025EA,C23002B_025M,C23002B_025MA,C23002B_026E,C23002B_026EA,C23002B_026M,C23002B_026MA,C23002B_027E,C23002B_027EA,C23002B_027M,C23002B_027MA,GEO_ID,NAME,state
907216,null,4565,null,411650,null,3505,null,368705,null,3630,null,241976,null,5063,null,2104,null,902,null,239872,null,5181,null,208002,null,5818,null,31870,null,3601,null,126729,null,4870,null,42945,null,1529,null,5742,null,1033,null,5473,null,1018,null,269,null,189,null,37203,null,1769,null,495566,null,3266,null,424095,null,3450,null,282086,null,5728,null,596,null,439,null,281490,null,5685,null,249634,null,5379,null,31856,null,2769,null,142009,null,5286,null,71471,null,1158,null,5769,null,1059,null,5611,null,1026,null,158,null,152,null,65702,null,1522,null,0400000US01,Alabama,01
20829,null,1579,null,12658,null,1424,null,12464,null,1431,null,10232,null,1215,null,1298,null,671,null,8934,null,1292,null,7886,null,1371,null,1048,null,840,null,2232,null,972,null,194,null,228,null,128,null,197,null,128,null,197,null,0,null,237,null,66,null,118,null,8171,null,1108,null,7815,null,1024,null,5844,null,1194,null,334,null,416,null,5510,null,1179,null,4671,null,971,null,839,null,535,null,1971,null,1139,null,356,null,378,null,0,null,237,null,0,null,237,null,0,null,237,null,356,null,378,null,0400000US02,Alaska,02
158607,null,2970,null,82848,null,2100,null,76417,null,2003,null,53943,null,3035,null,1393,null,594,null,52550,null,3054,null,46604,null,2633,null,5946,null,1456,null,22474,null,2951,null,6431,null,370,null,1044,null,519,null,919,null,459,null,125,null,163,null,5387,null,633,null,75759,null,1735,null,67609,null,1759,null,45338,null,2653,null,107,null,125,null,45231,null,2665,null,41028,null,2724,null,4203,null,1197,null,22271,null,2600,null,8150,null,408,null,935,null,381,null,935,null,381,null,0,null,292,null,7215,null,511,null,0400000US04,Arizona,04
321115,null,2967,null,147674,null,2560,null,132467,null,2484,null,87117,null,3372,null,958,null,683,null,86159,null,3330,null,69589,null,3414,null,16570,null,2239,null,45350,null,3190,null,15207,null,1041,null,2803,null,756,null,2760,null,754,null,43,null,68,null,12404,null,1006,null,173441,null,2176,null,149810,null,2073,null,99906,null,3175,null,435,null,373,null,99471,null,3304,null,87739,null,3345,null,11732,null,2016,null,49904,null,3733,null,23631,null,1062,null,3117,null,781,null,2931,null,773,null,186,null,174,null,20514,null,1362,null,0400000US05,Arkansas,05
1730121,null,7606,null,840017,null,5426,null,755422,null,5437,null,498871,null,7779,null,10415,null,1980,null,488456,null,7848,null,427643,null,8584,null,60813,null,4959,null,256551,null,7132,null,84595,null,1365,null,14497,null,1578,null,13197,null,1529,null,1300,null,511,null,70098,null,1911,null,890104,null,5691,null,768289,null,5591,null,520009,null,7656,null,1944,null,717,null,518065,null,7656,null,462935,null,7613,null,55130,null,3893,null,248280,null,7583,null,121815,null,1515,null,15071,null,1754,null,14190,null,1708,null,881,null,523,null,106744,null,1980,null,0400000US06,California,06
136872,null,3053,null,72695,null,2099,null,67476,null,2181,null,51361,null,2493,null,1599,null,615,null,49762,null,2563,null,44708,null,2706,null,5054,null,1216,null,16115,null,2140,null,5219,null,340,null,1285,null,564,null,1285,null,564,null,0,null,275,null,3934,null,498,null,64177,null,1873,null,56905,null,1885,null,40229,null,2427,null,403,null,322,null,39826,null,2430,null,37097,null,2582,null,2729,null,736,null,16676,null,2082,null,7272,null,648,null,547,null,318,null,547,null,318,null,0,null,275,null,6725,null,651,null,0400000US08,Colorado,08
243995,null,3528,null,114270,null,2341,null,103793,null,2348,null,76293,null,2944,null,690,null,470,null,75603,null,2902,null,66723,null,3232,null,8880,null,1623,null,27500,null,2388,null,10477,null,562,null,2007,null,606,null,1853,null,549,null,154,null,187,null,8470,null,819,null,129725,null,2354,null,113894,null,2249,null,88149,null,2966,null,111,null,182,null,88038,null,2979,null,78371,null,3199,null,9667,null,1365,null,25745,null,2467,null,15831,null,420,null,2166,null,638,null,1991,null,660,null,175,null,162,null,13665,null,765,null,0400000US09,Connecticut,09
132545,null,1740,null,60573,null,1173,null,54856,null,1130,null,39479,null,1799,null,337,null,356,null,39142,null,1851,null,35083,null,1952,null,4059,null,946,null,15377,null,1547,null,5717,null,269,null,816,null,368,null,647,null,339,null,169,null,172,null,4901,null,435,null,71972,null,1228,null,63237,null,1228,null,44546,null,1708,null,48,null,89,null,44498,null,1718,null,41247,null,2018,null,3251,null,961,null,18691,null,1984,null,8735,null,195,null,785,null,355,null,710,null,348,null,75,null,83,null,7950,null,421,null,0400000US10,Delaware,10
255271,null,1807,null,111599,null,1009,null,95385,null,974,null,64605,null,2626,null,1819,null,1114,null,62786,null,2932,null,52111,null,3352,null,10675,null,1522,null,30780,null,2538,null,16214,null,221,null,2575,null,725,null,2438,null,729,null,137,null,107,null,13639,null,710,null,143672,null,1258,null,114877,null,1208,null,78089,null,2537,null,606,null,888,null,77483,null,2447,null,66998,null,2998,null,10485,null,1811,null,36788,null,2536,null,28795,null,400,null,2751,null,844,null,2699,null,846,null,52,null,85,null,26044,null,854,null,0400000US11,District of Columbia,11
2060140,null,10359,null,968423,null,6392,null,880445,null,6585,null,612019,null,9297,null,5877,null,1351,null,606142,null,9227,null,538629,null,9086,null,67513,null,4721,null,268426,null,8574,null,87978,null,1924,null,19281,null,1980,null,18164,null,1958,null,1117,null,480,null,68697,null,2532,null,1091717,null,6153,null,956396,null,6071,null,684379,null,9151,null,1060,null,667,null,683319,null,9079,null,620189,null,8670,null,63130,null,4526,null,272017,null,9321,null,135321,null,2316,null,16380,null,2059,null,15692,null,2066,null,688,null,325,null,118941,null,2838,null,0400000US12,Florida,12
