C19101D_001E,C19101D_001EA,C19101D_001M,C19101D_001MA,C19101D_002E,C19101D_002EA,C19101D_002M,C19101D_002MA,C19101D_003E,C19101D_003EA,C19101D_003M,C19101D_003MA,C19101D_004E,C19101D_004EA,C19101D_004M,C19101D_004MA,C19101D_005E,C19101D_005EA,C19101D_005M,C19101D_005MA,C19101D_006E,C19101D_006EA,C19101D_006M,C19101D_006MA,C19101D_007E,C19101D_007EA,C19101D_007M,C19101D_007MA,C19101D_008E,C19101D_008EA,C19101D_008M,C19101D_008MA,C19101D_009E,C19101D_009EA,C19101D_009M,C19101D_009MA,C19101D_010E,C19101D_010EA,C19101D_010M,C19101D_010MA,C19101D_011E,C19101D_011EA,C19101D_011M,C19101D_011MA,GEO_ID,NAME,state
10263,null,1390,null,592,null,458,null,146,null,177,null,586,null,383,null,618,null,288,null,1507,null,570,null,1988,null,796,null,1680,null,815,null,1818,null,634,null,759,null,423,null,569,null,381,null,0400000US01,Alabama,01
5877,null,872,null,20,null,34,null,161,null,261,null,818,null,493,null,383,null,194,null,536,null,348,null,1533,null,452,null,769,null,307,null,1100,null,522,null,245,null,177,null,312,null,238,null,0400000US02,Alaska,02
35419,null,1975,null,1618,null,747,null,845,null,469,null,3416,null,1018,null,1814,null,569,null,4255,null,980,null,6822,null,1282,null,5503,null,948,null,6408,null,1168,null,2135,null,639,null,2603,null,781,null,0400000US04,Arizona,04
6298,null,1043,null,313,null,398,null,168,null,209,null,578,null,393,null,536,null,395,null,1526,null,677,null,1034,null,470,null,943,null,467,null,534,null,294,null,232,null,170,null,434,null,355,null,0400000US05,Arkansas,05
1054059,null,11231,null,31457,null,2497,null,25901,null,2269,null,76260,null,4486,null,66101,null,4067,null,103476,null,4877,null,175621,null,6662,null,153958,null,5816,null,217559,null,7441,null,106774,null,4069,null,96952,null,4272,null,0400000US06,California,06
30562,null,2028,null,970,null,482,null,542,null,366,null,2402,null,927,null,2519,null,1139,null,4063,null,1009,null,6416,null,1226,null,5720,null,1259,null,4516,null,1133,null,1997,null,627,null,1417,null,597,null,0400000US08,Colorado,08
29083,null,1820,null,608,null,421,null,511,null,326,null,2266,null,762,null,1348,null,490,null,2746,null,868,null,4970,null,1138,null,4275,null,958,null,5670,null,931,null,2954,null,709,null,3735,null,847,null,0400000US09,Connecticut,09
6715,null,780,null,0,null,261,null,65,null,110,null,271,null,226,null,409,null,273,null,884,null,459,null,1265,null,530,null,966,null,377,null,1361,null,536,null,1119,null,500,null,375,null,241,null,0400000US10,Delaware,10
3347,null,679,null,0,null,300,null,215,null,253,null,262,null,241,null,112,null,203,null,134,null,202,null,288,null,249,null,657,null,422,null,910,null,424,null,374,null,285,null,395,null,273,null,0400000US11,District of Columbia,11
97279,null,2962,null,3982,null,1171,null,3068,null,971,null,6150,null,1165,null,9794,null,1639,null,12371,null,2068,null,20769,null,2207,null,14123,null,1587,null,14633,null,1707,null,6521,null,1203,null,5868,null,1001,null,0400000US12,Florida,12
