B24010D_001E,B24010D_001EA,B24010D_001M,B24010D_001MA,B24010D_002E,B24010D_002EA,B24010D_002M,B24010D_002MA,B24010D_003E,B24010D_003EA,B24010D_003M,B24010D_003MA,B24010D_004E,B24010D_004EA,B24010D_004M,B24010D_004MA,B24010D_005E,B24010D_005EA,B24010D_005M,B24010D_005MA,B24010D_006E,B24010D_006EA,B24010D_006M,B24010D_006MA,B24010D_007E,B24010D_007EA,B24010D_007M,B24010D_007MA,B24010D_008E,B24010D_008EA,B24010D_008M,B24010D_008MA,B24010D_009E,B24010D_009EA,B24010D_009M,B24010D_009MA,B24010D_010E,B24010D_010EA,B24010D_010M,B24010D_010MA,B24010D_011E,B24010D_011EA,B24010D_011M,B24010D_011MA,B24010D_012E,B24010D_012EA,B24010D_012M,B24010D_012MA,B24010D_013E,B24010D_013EA,B24010D_013M,B24010D_013MA,B24010D_014E,B24010D_014EA,B24010D_014M,B24010D_014MA,B24010D_015E,B24010D_015EA,B24010D_015M,B24010D_015MA,B24010D_016E,B24010D_016EA,B24010D_016M,B24010D_016MA,B24010D_017E,B24010D_017EA,B24010D_017M,B24010D_017MA,B24010D_018E,B24010D_018EA,B24010D_018M,B24010D_018MA,B24010D_019E,B24010D_019EA,B24010D_019M,B24010D_019MA,B24010D_020E,B24010D_020EA,B24010D_020M,B24010D_020MA,B24010D_021E,B24010D_021EA,B24010D_021M,B24010D_021MA,B24010D_022E,B24010D_022EA,B24010D_022M,B24010D_022MA,B24010D_023E,B24010D_023EA,B24010D_023M,B24010D_023MA,B24010D_024E,B24010D_024EA,B24010D_024M,B24010D_024MA,B24010D_025E,B24010D_025EA,B24010D_025M,B24010D_025MA,B24010D_026E,B24010D_026EA,B24010D_026M,B24010D_026MA,B24010D_027E,B24010D_027EA,B24010D_027M,B24010D_027MA,B24010D_028E,B24010D_028EA,B24010D_028M,B24010D_028MA,B24010D_029E,B24010D_029EA,B24010D_029M,B24010D_029MA,B24010D_030E,B24010D_030EA,B24010D_030M,B24010D_030MA,B24010D_031E,B24010D_031EA,B24010D_031M,B24010D_031MA,B24010D_032E,B24010D_032EA,B24010D_032M,B24010D_032MA,B24010D_033E,B24010D_033EA,B24010D_033M,B24010D_033MA,B24010D_034E,B24010D_034EA,B24010D_034M,B24010D_034MA,B24010D_035E,B24010D_035EA,B24010D_035M,B24010D_035MA,B24010D_036E,B24010D_036EA,B24010D_036M,B24010D_036MA,B24010D_037E,B24010D_037EA,B24010D_037M,B24010D_037MA,B24010D_038E,B24010D_038EA,B24010D_038M,B24010D_038MA,B24010D_039E,B24010D_039EA,B24010D_039M,B24010D_039MA,B24010D_040E,B24010D_040EA,B24010D_040M,B24010D_040MA,B24010D_041E,B24010D_041EA,B24010D_041M,B24010D_041MA,B24010D_042E,B24010D_042EA,B24010D_042M,B24010D_042MA,B24010D_043E,B24010D_043EA,B24010D_043M,B24010D_043MA,B24010D_044E,B24010D_044EA,B24010D_044M,B24010D_044MA,B24010D_045E,B24010D_045EA,B24010D_045M,B24010D_045MA,B24010D_046E,B24010D_046EA,B24010D_046M,B24010D_046MA,B24010D_047E,B24010D_047EA,B24010D_047M,B24010D_047MA,B24010D_048E,B24010D_048EA,B24010D_048M,B24010D_048MA,B24010D_049E,B24010D_049EA,B24010D_049M,B24010D_049MA,B24010D_050E,B24010D_050EA,B24010D_050M,B24010D_050MA,B24010D_051E,B24010D_051EA,B24010D_051M,B24010D_051MA,B24010D_052E,B24010D_052EA,B24010D_052M,B24010D_052MA,B24010D_053E,B24010D_053EA,B24010D_053M,B24010D_053MA,B24010D_054E,B24010D_054EA,B24010D_054M,B24010D_054MA,B24010D_055E,B24010D_055EA,B24010D_055M,B24010D_055MA,B24010D_056E,B24010D_056EA,B24010D_056M,B24010D_056MA,B24010D_057E,B24010D_057EA,B24010D_057M,B24010D_057MA,B24010D_058E,B24010D_058EA,B24010D_058M,B24010D_058MA,B24010D_059E,B24010D_059EA,B24010D_059M,B24010D_059MA,B24010D_060E,B24010D_060EA,B24010D_060M,B24010D_060MA,B24010D_061E,B24010D_061EA,B24010D_061M,B24010D_061MA,B24010D_062E,B24010D_062EA,B24010D_062M,B24010D_062MA,B24010D_063E,B24010D_063EA,B24010D_063M,B24010D_063MA,GEO_ID,NAME,state
21622,null,1690,null,12081,null,1403,null,6658,null,1121,null,1990,null,777,null,1292,null,666,null,145,null,189,null,553,null,476,null,4668,null,811,null,1154,null,471,null,703,null,383,null,72,null,79,null,41,null,85,null,0,null,267,null,2155,null,681,null,0,null,267,null,543,null,380,null,1975,null,828,null,132,null,164,null,0,null,267,null,1039,null,694,null,115,null,179,null,689,null,372,null,1288,null,540,null,897,null,500,null,391,null,267,null,0,null,267,null,155,null,202,null,10,null,19,null,145,null,201,null,2005,null,777,null,1710,null,710,null,295,null,340,null,9541,null,1059,null,4101,null,721,null,965,null,412,null,787,null,403,null,0,null,267,null,178,null,148,null,3136,null,615,null,500,null,320,null,155,null,111,null,362,null,216,null,86,null,130,null,0,null,267,null,1173,null,424,null,144,null,141,null,716,null,281,null,2242,null,723,null,295,null,429,null,0,null,267,null,885,null,436,null,287,null,269,null,775,null,440,null,2012,null,679,null,1337,null,581,null,675,null,351,null,46,null,78,null,41,null,70,null,0,null,267,null,41,null,70,null,1099,null,416,null,1037,null,410,null,62,null,73,null,0400000US01,Alabama,01
18303,null,1305,null,9156,null,1165,null,1628,null,701,null,417,null,362,null,336,null,337,null,0,null,237,null,81,null,134,null,1211,null,638,null,190,null,175,null,443,null,412,null,0,null,237,null,0,null,237,null,35,null,58,null,228,null,198,null,0,null,237,null,315,null,350,null,2484,null,609,null,80,null,118,null,173,null,168,null,845,null,498,null,1119,null,415,null,267,null,255,null,1130,null,433,null,317,null,223,null,813,null,362,null,27,null,44,null,674,null,414,null,367,null,363,null,307,null,228,null,3213,null,929,null,2310,null,795,null,903,null,538,null,9147,null,1040,null,1965,null,578,null,824,null,387,null,557,null,336,null,0,null,237,null,267,null,186,null,1141,null,450,null,38,null,49,null,117,null,124,null,30,null,59,null,27,null,53,null,0,null,237,null,222,null,158,null,56,null,69,null,651,null,366,null,3159,null,752,null,973,null,564,null,0,null,237,null,1035,null,419,null,549,null,335,null,602,null,373,null,2357,null,724,null,949,null,402,null,1408,null,514,null,0,null,237,null,142,null,222,null,142,null,222,null,0,null,237,null,1524,null,636,null,1524,null,636,null,0,null,237,null,0400000US02,Alaska,02
73924,null,3099,null,39267,null,1806,null,23859,null,2082,null,6069,null,1169,null,5550,null,1166,null,0,null,292,null,519,null,239,null,17790,null,1941,null,5886,null,1151,null,4105,null,970,null,922,null,631,null,546,null,478,null,305,null,204,null,1779,null,576,null,546,null,442,null,3701,null,1055,null,3596,null,1122,null,215,null,221,null,460,null,375,null,1590,null,876,null,316,null,460,null,1015,null,626,null,6072,null,1414,null,3226,null,1026,null,2846,null,1064,null,0,null,292,null,2049,null,702,null,832,null,394,null,1217,null,635,null,3691,null,1029,null,3001,null,951,null,690,null,386,null,34657,null,1972,null,15372,null,1851,null,5846,null,1311,null,3215,null,873,null,0,null,292,null,2631,null,871,null,9526,null,1365,null,1331,null,596,null,875,null,416,null,342,null,217,null,110,null,132,null,178,null,164,null,2609,null,763,null,538,null,297,null,3543,null,804,null,6678,null,1355,null,1401,null,713,null,112,null,132,null,1839,null,566,null,435,null,248,null,2891,null,969,null,9374,null,1386,null,3008,null,750,null,6366,null,1232,null,0,null,292,null,9,null,16,null,9,null,16,null,0,null,292,null,3224,null,930,null,2742,null,815,null,482,null,299,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
2188629,null,17211,null,1136387,null,12366,null,532979,null,12260,null,200935,null,7195,null,133588,null,5849,null,2459,null,938,null,64888,null,4302,null,332044,null,9493,null,107596,null,5470,null,80184,null,4070,null,20603,null,2824,null,13132,null,1873,null,8390,null,1823,null,24231,null,2778,null,23817,null,2800,null,54091,null,3763,null,134658,null,5902,null,11702,null,2060,null,20924,null,2143,null,50278,null,4641,null,27311,null,2840,null,24443,null,2775,null,245233,null,8560,null,139078,null,7243,null,106155,null,5378,null,3213,null,1218,null,85202,null,4677,null,34433,null,3130,null,50769,null,3437,null,135102,null,7983,null,80070,null,5215,null,55032,null,5279,null,1052242,null,11533,null,493019,null,10164,null,189940,null,5657,null,90610,null,5236,null,1125,null,598,null,98205,null,4580,null,303079,null,8356,null,37324,null,3449,null,20901,null,1981,null,19680,null,2412,null,16327,null,1812,null,9540,null,1740,null,57550,null,3954,null,19763,null,2524,null,121994,null,6515,null,178332,null,7482,null,33898,null,3222,null,5418,null,1466,null,48811,null,4161,null,15952,null,2188,null,74253,null,4923,null,304886,null,8850,null,115313,null,5609,null,189573,null,7426,null,1026,null,490,null,3839,null,914,null,768,null,441,null,3071,null,833,null,71140,null,4641,null,62613,null,4130,null,8527,null,1450,null,0400000US06,California,06
66081,null,2794,null,32791,null,1943,null,14209,null,1465,null,3938,null,894,null,2664,null,767,null,0,null,275,null,1274,null,595,null,10271,null,1346,null,4023,null,897,null,2687,null,807,null,438,null,272,null,690,null,374,null,221,null,214,null,1012,null,442,null,120,null,183,null,1080,null,538,null,4046,null,1261,null,41,null,71,null,179,null,171,null,2399,null,867,null,612,null,411,null,815,null,649,null,7219,null,1433,null,4157,null,1198,null,3062,null,904,null,0,null,275,null,2114,null,837,null,1174,null,643,null,940,null,523,null,5203,null,1154,null,2999,null,883,null,2204,null,895,null,33290,null,1833,null,12241,null,1726,null,3131,null,883,null,1739,null,751,null,25,null,45,null,1367,null,494,null,9110,null,1520,null,2119,null,782,null,769,null,444,null,230,null,219,null,329,null,261,null,655,null,444,null,2640,null,973,null,49,null,84,null,2319,null,814,null,7724,null,1467,null,1144,null,566,null,129,null,158,null,2644,null,849,null,733,null,494,null,3074,null,1127,null,9634,null,1540,null,4212,null,1083,null,5422,null,1042,null,69,null,112,null,242,null,223,null,178,null,193,null,64,null,108,null,3380,null,862,null,2864,null,781,null,516,null,373,null,0400000US08,Colorado,08
60077,null,2448,null,34155,null,1814,null,20355,null,1906,null,6436,null,1201,null,4009,null,799,null,0,null,273,null,2427,null,802,null,13919,null,1525,null,4954,null,1217,null,1539,null,666,null,1434,null,568,null,242,null,233,null,174,null,221,null,1656,null,653,null,887,null,514,null,3033,null,842,null,2975,null,945,null,162,null,168,null,0,null,273,null,1695,null,662,null,407,null,369,null,711,null,508,null,5183,null,1078,null,3808,null,867,null,1375,null,531,null,0,null,273,null,1016,null,459,null,587,null,387,null,429,null,293,null,4626,null,1062,null,3269,null,901,null,1357,null,782,null,25922,null,1662,null,12733,null,1519,null,5188,null,973,null,2210,null,694,null,0,null,273,null,2978,null,748,null,7545,null,1328,null,1749,null,588,null,343,null,244,null,536,null,328,null,248,null,188,null,70,null,119,null,1248,null,391,null,330,null,231,null,3021,null,793,null,4669,null,1265,null,570,null,303,null,0,null,273,null,1241,null,646,null,779,null,433,null,2079,null,982,null,6335,null,1199,null,3394,null,854,null,2941,null,761,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,2185,null,801,null,1907,null,694,null,278,null,355,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
205746,null,5155,null,108199,null,3246,null,46126,null,3031,null,17438,null,2394,null,12379,null,2043,null,339,null,352,null,4720,null,1137,null,28688,null,2048,null,7479,null,1227,null,5603,null,1008,null,1409,null,633,null,409,null,495,null,210,null,182,null,3210,null,969,null,1412,null,565,null,8956,null,1662,null,20082,null,3039,null,486,null,341,null,1151,null,507,null,11089,null,2249,null,3236,null,1142,null,4120,null,1039,null,24351,null,2778,null,15457,null,2258,null,8894,null,1800,null,62,null,109,null,4728,null,1276,null,2108,null,923,null,2620,null,823,null,12850,null,1774,null,8407,null,1425,null,4443,null,1212,null,97547,null,3506,null,39879,null,2904,null,12014,null,1871,null,6738,null,1524,null,130,null,208,null,5146,null,1109,null,27865,null,2446,null,2421,null,836,null,1566,null,811,null,741,null,462,null,851,null,396,null,1216,null,532,null,4017,null,990,null,1155,null,407,null,15898,null,1856,null,22646,null,2912,null,3010,null,1135,null,596,null,380,null,8547,null,1720,null,2306,null,688,null,8187,null,1753,null,29210,null,2400,null,13505,null,1629,null,15705,null,1886,null,40,null,64,null,168,null,161,null,108,null,140,null,60,null,98,null,5604,null,1182,null,4149,null,1034,null,1455,null,584,null,0400000US12,Florida,12
