B17001C_001E,B17001C_001EA,B17001C_001M,B17001C_001MA,B17001C_002E,B17001C_002EA,B17001C_002M,B17001C_002MA,B17001C_003E,B17001C_003EA,B17001C_003M,B17001C_003MA,B17001C_004E,B17001C_004EA,B17001C_004M,B17001C_004MA,B17001C_005E,B17001C_005EA,B17001C_005M,B17001C_005MA,B17001C_006E,B17001C_006EA,B17001C_006M,B17001C_006MA,B17001C_007E,B17001C_007EA,B17001C_007M,B17001C_007MA,B17001C_008E,B17001C_008EA,B17001C_008M,B17001C_008MA,B17001C_009E,B17001C_009EA,B17001C_009M,B17001C_009MA,B17001C_010E,B17001C_010EA,B17001C_010M,B17001C_010MA,B17001C_011E,B17001C_011EA,B17001C_011M,B17001C_011MA,B17001C_012E,B17001C_012EA,B17001C_012M,B17001C_012MA,B17001C_013E,B17001C_013EA,B17001C_013M,B17001C_013MA,B17001C_014E,B17001C_014EA,B17001C_014M,B17001C_014MA,B17001C_015E,B17001C_015EA,B17001C_015M,B17001C_015MA,B17001C_016E,B17001C_016EA,B17001C_016M,B17001C_016MA,B17001C_017E,B17001C_017EA,B17001C_017M,B17001C_017MA,B17001C_018E,B17001C_018EA,B17001C_018M,B17001C_018MA,B17001C_019E,B17001C_019EA,B17001C_019M,B17001C_019MA,B17001C_020E,B17001C_020EA,B17001C_020M,B17001C_020MA,B17001C_021E,B17001C_021EA,B17001C_021M,B17001C_021MA,B17001C_022E,B17001C_022EA,B17001C_022M,B17001C_022MA,B17001C_023E,B17001C_023EA,B17001C_023M,B17001C_023MA,B17001C_024E,B17001C_024EA,B17001C_024M,B17001C_024MA,B17001C_025E,B17001C_025EA,B17001C_025M,B17001C_025MA,B17001C_026E,B17001C_026EA,B17001C_026M,B17001C_026MA,B17001C_027E,B17001C_027EA,B17001C_027M,B17001C_027MA,B17001C_028E,B17001C_028EA,B17001C_028M,B17001C_028MA,B17001C_029E,B17001C_029EA,B17001C_029M,B17001C_029MA,B17001C_030E,B17001C_030EA,B17001C_030M,B17001C_030MA,B17001C_031E,B17001C_031EA,B17001C_031M,B17001C_031MA,B17001C_032E,B17001C_032EA,B17001C_032M,B17001C_032MA,B17001C_033E,B17001C_033EA,B17001C_033M,B17001C_033MA,B17001C_034E,B17001C_034EA,B17001C_034M,B17001C_034MA,B17001C_035E,B17001C_035EA,B17001C_035M,B17001C_035MA,B17001C_036E,B17001C_036EA,B17001C_036M,B17001C_036MA,B17001C_037E,B17001C_037EA,B17001C_037M,B17001C_037MA,B17001C_038E,B17001C_038EA,B17001C_038M,B17001C_038MA,B17001C_039E,B17001C_039EA,B17001C_039M,B17001C_039MA,B17001C_040E,B17001C_040EA,B17001C_040M,B17001C_040MA,B17001C_041E,B17001C_041EA,B17001C_041M,B17001C_041MA,B17001C_042E,B17001C_042EA,B17001C_042M,B17001C_042MA,B17001C_043E,B17001C_043EA,B17001C_043M,B17001C_043MA,B17001C_044E,B17001C_044EA,B17001C_044M,B17001C_044MA,B17001C_045E,B17001C_045EA,B17001C_045M,B17001C_045MA,B17001C_046E,B17001C_046EA,B17001C_046M,B17001C_046MA,B17001C_047E,B17001C_047EA,B17001C_047M,B17001C_047MA,B17001C_048E,B17001C_048EA,B17001C_048M,B17001C_048MA,B17001C_049E,B17001C_049EA,B17001C_049M,B17001C_049MA,B17001C_050E,B17001C_050EA,B17001C_050M,B17001C_050MA,B17001C_051E,B17001C_051EA,B17001C_051M,B17001C_051MA,B17001C_052E,B17001C_052EA,B17001C_052M,B17001C_052MA,B17001C_053E,B17001C_053EA,B17001C_053M,B17001C_053MA,B17001C_054E,B17001C_054EA,B17001C_054M,B17001C_054MA,B17001C_055E,B17001C_055EA,B17001C_055M,B17001C_055MA,B17001C_056E,B17001C_056EA,B17001C_056M,B17001C_056MA,B17001C_057E,B17001C_057EA,B17001C_057M,B17001C_057MA,B17001C_058E,B17001C_058EA,B17001C_058M,B17001C_058MA,B17001C_059E,B17001C_059EA,B17001C_059M,B17001C_059MA,GEO_ID,NAME,state
20012,null,1926,null,3960,null,1182,null,1685,null,671,null,32,null,48,null,0,null,267,null,261,null,233,null,700,null,687,null,43,null,69,null,59,null,87,null,64,null,86,null,107,null,108,null,149,null,137,null,71,null,101,null,194,null,165,null,0,null,267,null,5,null,11,null,2275,null,729,null,56,null,90,null,54,null,92,null,114,null,118,null,54,null,79,null,0,null,267,null,9,null,17,null,282,null,265,null,517,null,420,null,573,null,336,null,449,null,291,null,52,null,84,null,64,null,77,null,51,null,83,null,16052,null,1860,null,8749,null,1292,null,684,null,404,null,0,null,267,null,537,null,319,null,248,null,204,null,72,null,85,null,180,null,137,null,1234,null,427,null,1205,null,573,null,1172,null,466,null,1734,null,601,null,939,null,454,null,378,null,272,null,366,null,265,null,7303,null,1067,null,319,null,205,null,0,null,267,null,322,null,189,null,371,null,297,null,135,null,111,null,241,null,198,null,400,null,301,null,462,null,235,null,1154,null,504,null,1958,null,555,null,1365,null,510,null,141,null,98,null,435,null,283,null,0400000US01,Alabama,01
88731,null,3214,null,20570,null,2422,null,10275,null,1382,null,1263,null,529,null,228,null,103,null,964,null,317,null,573,null,188,null,137,null,90,null,475,null,180,null,926,null,384,null,1397,null,621,null,1307,null,382,null,1311,null,362,null,1204,null,313,null,89,null,61,null,401,null,319,null,10295,null,1409,null,1426,null,363,null,235,null,219,null,1077,null,280,null,531,null,268,null,247,null,180,null,202,null,112,null,1383,null,446,null,1958,null,502,null,1150,null,359,null,1164,null,352,null,536,null,250,null,213,null,240,null,173,null,123,null,68161,null,3070,null,32731,null,2148,null,2653,null,404,null,343,null,141,null,2973,null,492,null,2017,null,534,null,822,null,344,null,1988,null,530,null,4180,null,774,null,4275,null,704,null,4506,null,989,null,3676,null,659,null,2853,null,565,null,1374,null,295,null,1071,null,355,null,35430,null,1831,null,2642,null,457,null,566,null,275,null,3670,null,580,null,1225,null,282,null,726,null,260,null,1706,null,481,null,3688,null,517,null,4500,null,750,null,5342,null,705,null,4572,null,580,null,3527,null,630,null,2278,null,564,null,988,null,296,null,0400000US02,Alaska,02
272863,null,5184,null,90750,null,6920,null,42368,null,3660,null,5746,null,1081,null,907,null,428,null,5142,null,1069,null,2802,null,927,null,708,null,282,null,2259,null,730,null,7788,null,1522,null,3812,null,1118,null,5296,null,1042,null,3209,null,820,null,2628,null,719,null,1360,null,475,null,711,null,297,null,48382,null,4168,null,4938,null,927,null,528,null,315,null,5591,null,1121,null,3230,null,1119,null,1225,null,515,null,2051,null,673,null,7157,null,1116,null,5448,null,1262,null,7154,null,1197,null,4602,null,933,null,2875,null,699,null,2012,null,631,null,1571,null,385,null,182113,null,7992,null,89331,null,4362,null,5707,null,1059,null,1113,null,689,null,8484,null,1291,null,4965,null,837,null,1663,null,648,null,4420,null,774,null,11282,null,1661,null,17018,null,1573,null,11894,null,1290,null,10799,null,1142,null,6942,null,816,null,3056,null,582,null,1988,null,544,null,92782,null,4668,null,7259,null,1262,null,1273,null,587,null,8706,null,1457,null,4730,null,978,null,1485,null,550,null,3768,null,965,null,10324,null,1330,null,15323,null,1679,null,12193,null,1542,null,12198,null,1129,null,8071,null,951,null,3993,null,722,null,3459,null,703,null,0400000US04,Arizona,04
16825,null,2052,null,3738,null,1107,null,1978,null,704,null,182,null,186,null,200,null,169,null,380,null,238,null,95,null,114,null,49,null,52,null,28,null,49,null,149,null,159,null,158,null,202,null,209,null,133,null,244,null,245,null,191,null,205,null,85,null,143,null,8,null,17,null,1760,null,626,null,411,null,240,null,119,null,173,null,158,null,114,null,105,null,169,null,6,null,17,null,36,null,64,null,173,null,142,null,297,null,227,null,112,null,139,null,250,null,240,null,62,null,91,null,12,null,24,null,19,null,32,null,13087,null,1843,null,6161,null,1077,null,222,null,206,null,75,null,134,null,447,null,265,null,24,null,44,null,11,null,22,null,5,null,13,null,480,null,434,null,1540,null,510,null,888,null,450,null,1387,null,522,null,576,null,330,null,321,null,225,null,185,null,212,null,6926,null,1309,null,486,null,354,null,36,null,68,null,872,null,418,null,717,null,421,null,102,null,133,null,98,null,163,null,510,null,298,null,719,null,324,null,546,null,299,null,1540,null,541,null,720,null,342,null,281,null,189,null,299,null,240,null,0400000US05,Arkansas,05
256659,null,10078,null,46454,null,5794,null,18995,null,3255,null,2551,null,903,null,313,null,286,null,1895,null,642,null,1899,null,672,null,190,null,165,null,438,null,341,null,3184,null,1143,null,2077,null,940,null,2560,null,865,null,2766,null,846,null,651,null,290,null,126,null,100,null,345,null,236,null,27459,null,3469,null,1926,null,637,null,281,null,271,null,2271,null,880,null,1711,null,809,null,769,null,559,null,674,null,432,null,2042,null,783,null,3972,null,1089,null,4188,null,1136,null,5150,null,1294,null,2941,null,724,null,949,null,467,null,585,null,432,null,210205,null,8785,null,105689,null,6003,null,5437,null,1303,null,510,null,365,null,6435,null,1346,null,4400,null,953,null,1761,null,513,null,2980,null,853,null,11864,null,1549,null,14012,null,2329,null,18621,null,2317,null,19287,null,2031,null,11729,null,1420,null,5397,null,882,null,3256,null,685,null,104516,null,5367,null,5018,null,983,null,1161,null,580,null,6844,null,1378,null,4205,null,1059,null,1393,null,583,null,3157,null,931,null,11188,null,1741,null,12031,null,1808,null,16865,null,1869,null,18906,null,2099,null,12628,null,1418,null,6776,null,1231,null,4344,null,1058,null,0400000US06,California,06
44020,null,4348,null,9561,null,2174,null,4441,null,1154,null,669,null,522,null,0,null,275,null,744,null,313,null,487,null,560,null,73,null,110,null,148,null,150,null,692,null,543,null,279,null,232,null,161,null,173,null,475,null,380,null,573,null,386,null,140,null,163,null,0,null,275,null,5120,null,1423,null,595,null,418,null,0,null,275,null,646,null,274,null,75,null,111,null,102,null,158,null,120,null,159,null,489,null,395,null,1231,null,732,null,635,null,423,null,780,null,523,null,101,null,117,null,174,null,169,null,172,null,153,null,34459,null,3850,null,18510,null,2396,null,1107,null,446,null,472,null,278,null,1237,null,541,null,689,null,474,null,276,null,186,null,773,null,555,null,1729,null,738,null,3102,null,1025,null,3161,null,993,null,3190,null,950,null,1781,null,756,null,766,null,426,null,227,null,183,null,15949,null,2229,null,432,null,275,null,279,null,339,null,1309,null,604,null,713,null,332,null,399,null,305,null,556,null,339,null,1016,null,506,null,2996,null,1067,null,3393,null,875,null,2496,null,810,null,1314,null,524,null,654,null,323,null,392,null,254,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
52151,null,4281,null,9158,null,2163,null,3185,null,1099,null,426,null,388,null,0,null,303,null,340,null,259,null,145,null,176,null,185,null,168,null,616,null,425,null,140,null,140,null,114,null,151,null,602,null,386,null,310,null,267,null,262,null,271,null,29,null,49,null,16,null,31,null,5973,null,1490,null,167,null,199,null,154,null,171,null,362,null,319,null,259,null,301,null,97,null,157,null,245,null,230,null,685,null,668,null,839,null,488,null,1115,null,612,null,923,null,455,null,380,null,315,null,300,null,253,null,447,null,327,null,42993,null,4064,null,22398,null,2746,null,1078,null,495,null,343,null,237,null,1457,null,596,null,651,null,368,null,77,null,88,null,597,null,342,null,2058,null,908,null,2130,null,843,null,3814,null,866,null,5166,null,1354,null,2311,null,675,null,1628,null,585,null,1088,null,568,null,20595,null,2675,null,501,null,323,null,226,null,204,null,1324,null,621,null,824,null,434,null,731,null,440,null,441,null,313,null,1142,null,443,null,1857,null,701,null,4095,null,1074,null,3220,null,952,null,3081,null,798,null,1548,null,969,null,1605,null,606,null,0400000US12,Florida,12
