B16005A_001E,B16005A_001EA,B16005A_001M,B16005A_001MA,B16005A_002E,B16005A_002EA,B16005A_002M,B16005A_002MA,B16005A_003E,B16005A_003EA,B16005A_003M,B16005A_003MA,B16005A_004E,B16005A_004EA,B16005A_004M,B16005A_004MA,B16005A_005E,B16005A_005EA,B16005A_005M,B16005A_005MA,B16005A_006E,B16005A_006EA,B16005A_006M,B16005A_006MA,B16005A_007E,B16005A_007EA,B16005A_007M,B16005A_007MA,B16005A_008E,B16005A_008EA,B16005A_008M,B16005A_008MA,B16005A_009E,B16005A_009EA,B16005A_009M,B16005A_009MA,B16005A_010E,B16005A_010EA,B16005A_010M,B16005A_010MA,B16005A_011E,B16005A_011EA,B16005A_011M,B16005A_011MA,B16005A_012E,B16005A_012EA,B16005A_012M,B16005A_012MA,B16005A_013E,B16005A_013EA,B16005A_013M,B16005A_013MA,B16005A_014E,B16005A_014EA,B16005A_014M,B16005A_014MA,B16005A_015E,B16005A_015EA,B16005A_015M,B16005A_015MA,B16005A_016E,B16005A_016EA,B16005A_016M,B16005A_016MA,B16005A_017E,B16005A_017EA,B16005A_017M,B16005A_017MA,B16005A_018E,B16005A_018EA,B16005A_018M,B16005A_018MA,B16005A_019E,B16005A_019EA,B16005A_019M,B16005A_019MA,B16005A_020E,B16005A_020EA,B16005A_020M,B16005A_020MA,B16005A_021E,B16005A_021EA,B16005A_021M,B16005A_021MA,B16005A_022E,B16005A_022EA,B16005A_022M,B16005A_022MA,B16005A_023E,B16005A_023EA,B16005A_023M,B16005A_023MA,B16005A_024E,B16005A_024EA,B16005A_024M,B16005A_024MA,B16005A_025E,B16005A_025EA,B16005A_025M,B16005A_025MA,B16005A_026E,B16005A_026EA,B16005A_026M,B16005A_026MA,B16005A_027E,B16005A_027EA,B16005A_027M,B16005A_027MA,B16005A_028E,B16005A_028EA,B16005A_028M,B16005A_028MA,B16005A_029E,B16005A_029EA,B16005A_029M,B16005A_029MA,B16005A_030E,B16005A_030EA,B16005A_030M,B16005A_030MA,B16005A_031E,B16005A_031EA,B16005A_031M,B16005A_031MA,B16005A_032E,B16005A_032EA,B16005A_032M,B16005A_032MA,B16005A_033E,B16005A_033EA,B16005A_033M,B16005A_033MA,B16005A_034E,B16005A_034EA,B16005A_034M,B16005A_034MA,B16005A_035E,B16005A_035EA,B16005A_035M,B16005A_035MA,B16005A_036E,B16005A_036EA,B16005A_036M,B16005A_036MA,B16005A_037E,B16005A_037EA,B16005A_037M,B16005A_037MA,B16005A_038E,B16005A_038EA,B16005A_038M,B16005A_038MA,B16005A_039E,B16005A_039EA,B16005A_039M,B16005A_039MA,B16005A_040E,B16005A_040EA,B16005A_040M,B16005A_040MA,B16005A_041E,B16005A_041EA,B16005A_041M,B16005A_041MA,B16005A_042E,B16005A_042EA,B16005A_042M,B16005A_042MA,B16005A_043E,B16005A_043EA,B16005A_043M,B16005A_043MA,B16005A_044E,B16005A_044EA,B16005A_044M,B16005A_044MA,B16005A_045E,B16005A_045EA,B16005A_045M,B16005A_045MA,GEO_ID,NAME,state
3056653,null,4965,null,2986436,null,4756,null,2933957,null,6233,null,34183,null,3730,null,26297,null,3214,null,3430,null,972,null,3697,null,1004,null,759,null,494,null,14767,null,2207,null,12158,null,1889,null,1673,null,701,null,936,null,422,null,0,null,267,null,1733,null,619,null,1275,null,547,null,16,null,27,null,442,null,365,null,0,null,267,null,1796,null,905,null,1653,null,899,null,38,null,62,null,105,null,123,null,0,null,267,null,70217,null,5081,null,18460,null,2327,null,35510,null,3747,null,5900,null,1561,null,6244,null,1347,null,14171,null,2259,null,9195,null,2109,null,10953,null,1936,null,7611,null,1348,null,1424,null,550,null,1841,null,1188,null,77,null,130,null,485,null,329,null,295,null,242,null,138,null,133,null,0,null,267,null,52,null,88,null,4809,null,2302,null,1617,null,851,null,1117,null,743,null,1590,null,1286,null,485,null,513,null,0400000US01,Alabama,01
435616,null,2377,null,417867,null,3724,null,399200,null,4043,null,7532,null,1390,null,6179,null,1235,null,881,null,446,null,472,null,262,null,0,null,237,null,8140,null,1817,null,7560,null,1826,null,469,null,307,null,111,null,138,null,0,null,237,null,1617,null,611,null,1405,null,581,null,0,null,237,null,212,null,176,null,0,null,237,null,1378,null,641,null,1245,null,636,null,133,null,103,null,0,null,237,null,0,null,237,null,17749,null,3028,null,7376,null,1535,null,2253,null,743,null,1142,null,527,null,324,null,225,null,702,null,371,null,85,null,140,null,6911,null,1889,null,3752,null,963,null,1920,null,1144,null,1128,null,852,null,111,null,134,null,541,null,498,null,470,null,393,null,71,null,117,null,0,null,237,null,0,null,237,null,668,null,637,null,336,null,412,null,332,null,270,null,0,null,237,null,0,null,237,null,0400000US02,Alaska,02
4506889,null,19519,null,3903064,null,20633,null,3478822,null,17937,null,370179,null,14940,null,297703,null,13134,null,52554,null,6046,null,16719,null,2116,null,3203,null,959,null,42433,null,3970,null,38086,null,3967,null,2806,null,756,null,1541,null,567,null,0,null,292,null,4488,null,1058,null,4119,null,1018,null,301,null,241,null,68,null,85,null,0,null,292,null,7142,null,2068,null,6720,null,2044,null,223,null,216,null,199,null,268,null,0,null,292,null,603825,null,17762,null,93400,null,5644,null,429741,null,14904,null,94728,null,8044,null,86127,null,6253,null,132083,null,8576,null,116803,null,7671,null,62165,null,6511,null,39536,null,4232,null,13573,null,2670,null,7236,null,1723,null,1820,null,1180,null,2951,null,1310,null,1312,null,763,null,665,null,512,null,866,null,727,null,108,null,177,null,15568,null,3791,null,8921,null,2229,null,4695,null,1674,null,1652,null,681,null,300,null,324,null,0400000US04,Arizona,04
2087889,null,4845,null,2034044,null,3935,null,1991986,null,4826,null,32478,null,3115,null,23705,null,2464,null,4589,null,1231,null,3979,null,1209,null,205,null,252,null,8439,null,1603,null,6683,null,1289,null,1193,null,604,null,507,null,335,null,56,null,94,null,875,null,477,null,875,null,477,null,0,null,267,null,0,null,267,null,0,null,267,null,266,null,259,null,266,null,259,null,0,null,267,null,0,null,267,null,0,null,267,null,53845,null,4695,null,9327,null,1699,null,37580,null,3532,null,7408,null,1694,null,9416,null,1700,null,13349,null,2368,null,7407,null,1413,null,5352,null,1373,null,3752,null,1014,null,1188,null,662,null,226,null,290,null,186,null,308,null,262,null,241,null,139,null,145,null,123,null,149,null,0,null,267,null,0,null,267,null,1324,null,793,null,941,null,607,null,192,null,186,null,139,null,170,null,52,null,92,null,0400000US05,Arkansas,05
20583932,null,54256,null,16570512,null,50137,null,13992416,null,44882,null,2183509,null,30918,null,1761359,null,28793,null,298984,null,8850,null,103372,null,5678,null,19794,null,2569,null,307018,null,11707,null,273273,null,11457,null,22363,null,2220,null,10742,null,1543,null,640,null,314,null,28321,null,2933,null,24522,null,2826,null,1875,null,644,null,1873,null,580,null,51,null,84,null,59248,null,6730,null,54555,null,6416,null,3024,null,1122,null,1363,null,701,null,306,null,368,null,4013420,null,42172,null,526526,null,12334,null,2616984,null,35808,null,632276,null,15407,null,544839,null,14191,null,805010,null,17427,null,634859,null,20178,null,709107,null,17174,null,390108,null,12840,null,173772,null,6719,null,104609,null,6701,null,40618,null,4874,null,24282,null,3763,null,13126,null,2417,null,6058,null,1582,null,4167,null,1445,null,931,null,739,null,136521,null,8819,null,81663,null,6676,null,37580,null,3893,null,14291,null,2293,null,2987,null,1190,null,0400000US06,California,06
3788801,null,13810,null,3497747,null,15449,null,3266371,null,14996,null,182167,null,9798,null,139840,null,8308,null,25180,null,3102,null,14374,null,2197,null,2773,null,1048,null,43260,null,3824,null,36537,null,3368,null,4205,null,1162,null,2274,null,707,null,244,null,312,null,3476,null,1031,null,3033,null,911,null,114,null,136,null,329,null,414,null,0,null,275,null,2473,null,754,null,2309,null,743,null,130,null,153,null,34,null,61,null,0,null,275,null,291054,null,14389,null,48062,null,3828,null,185208,null,11831,null,40995,null,5014,null,42036,null,4465,null,66086,null,7133,null,36091,null,4529,null,50145,null,5457,null,33541,null,3389,null,11791,null,2655,null,4012,null,1169,null,801,null,485,null,1289,null,570,null,1087,null,529,null,202,null,195,null,0,null,275,null,0,null,275,null,6350,null,2274,null,4547,null,1644,null,697,null,515,null,957,null,649,null,149,null,183,null,0400000US08,Colorado,08
2637629,null,8442,null,2406378,null,12050,null,2218024,null,10860,null,97265,null,8084,null,69253,null,6247,null,16735,null,2580,null,8445,null,1673,null,2832,null,934,null,84261,null,3955,null,73106,null,3673,null,7147,null,1193,null,3778,null,1069,null,230,null,198,null,2576,null,839,null,2525,null,844,null,0,null,273,null,51,null,85,null,0,null,273,null,4252,null,1264,null,3914,null,1174,null,338,null,228,null,0,null,273,null,0,null,273,null,231251,null,10487,null,58915,null,4158,null,51642,null,5192,null,17572,null,2931,null,13759,null,2455,null,14276,null,2427,null,6035,null,1726,null,110628,null,7126,null,56006,null,4195,null,31565,null,3348,null,17833,null,2228,null,5224,null,1196,null,2898,null,1293,null,1550,null,697,null,901,null,630,null,392,null,274,null,55,null,91,null,7168,null,2062,null,3667,null,1152,null,2616,null,1355,null,677,null,404,null,208,null,219,null,0400000US09,Connecticut,09
588673,null,2660,null,562212,null,3666,null,529556,null,4415,null,19019,null,2705,null,15661,null,2534,null,1361,null,591,null,1781,null,804,null,216,null,250,null,12156,null,2391,null,9798,null,1847,null,1225,null,646,null,1133,null,675,null,0,null,261,null,680,null,473,null,580,null,444,null,37,null,64,null,63,null,110,null,0,null,261,null,801,null,438,null,504,null,385,null,116,null,145,null,58,null,94,null,123,null,146,null,26461,null,3489,null,7825,null,1346,null,11180,null,2682,null,2803,null,1004,null,2404,null,1000,null,3525,null,1069,null,2448,null,1288,null,5618,null,1367,null,3564,null,892,null,1352,null,657,null,702,null,428,null,0,null,261,null,643,null,449,null,351,null,312,null,133,null,214,null,159,null,155,null,0,null,261,null,1195,null,646,null,786,null,488,null,0,null,261,null,308,null,230,null,101,null,122,null,0400000US10,Delaware,10
198697,null,2819,null,168358,null,3430,null,153771,null,3346,null,7617,null,1721,null,6617,null,1504,null,747,null,410,null,253,null,261,null,0,null,300,null,5549,null,1048,null,5115,null,968,null,196,null,189,null,238,null,183,null,0,null,300,null,416,null,349,null,416,null,349,null,0,null,300,null,0,null,300,null,0,null,300,null,1005,null,510,null,940,null,498,null,0,null,300,null,65,null,112,null,0,null,300,null,30339,null,3324,null,12012,null,2396,null,6665,null,1751,null,3696,null,1044,null,1518,null,911,null,1052,null,550,null,399,null,430,null,10129,null,2085,null,8084,null,1742,null,1617,null,863,null,380,null,315,null,48,null,80,null,315,null,239,null,315,null,239,null,0,null,300,null,0,null,300,null,0,null,300,null,1218,null,600,null,581,null,334,null,300,null,247,null,337,null,398,null,0,null,300,null,0400000US11,District of Columbia,11
13165213,null,22914,null,10990638,null,27550,null,9759628,null,27277,null,1042779,null,22864,null,819156,null,21069,null,141674,null,7746,null,64003,null,4873,null,17946,null,3197,null,163000,null,8058,null,142313,null,7486,null,12697,null,2205,null,7813,null,1454,null,177,null,223,null,5606,null,1408,null,4528,null,1282,null,440,null,291,null,638,null,503,null,0,null,303,null,19625,null,3370,null,18019,null,3321,null,964,null,454,null,642,null,334,null,0,null,303,null,2174575,null,26348,null,319814,null,11414,null,1501454,null,23860,null,496699,null,13049,null,328901,null,10880,null,390009,null,11506,null,285845,null,13074,null,292872,null,12688,null,180846,null,8636,null,70072,null,4995,null,29282,null,3870,null,12672,null,3607,null,6501,null,1761,null,3737,null,1181,null,1864,null,719,null,224,null,284,null,676,null,977,null,53934,null,5646,null,34358,null,3937,null,13751,null,2375,null,4468,null,1489,null,1357,null,813,null,0400000US12,Florida,12
