B17010C_001E,B17010C_001EA,B17010C_001M,B17010C_001MA,B17010C_002E,B17010C_002EA,B17010C_002M,B17010C_002MA,B17010C_003E,B17010C_003EA,B17010C_003M,B17010C_003MA,B17010C_004E,B17010C_004EA,B17010C_004M,B17010C_004MA,B17010C_005E,B17010C_005EA,B17010C_005M,B17010C_005MA,B17010C_006E,B17010C_006EA,B17010C_006M,B17010C_006MA,B17010C_007E,B17010C_007EA,B17010C_007M,B17010C_007MA,B17010C_008E,B17010C_008EA,B17010C_008M,B17010C_008MA,B17010C_009E,B17010C_009EA,B17010C_009M,B17010C_009MA,B17010C_010E,B17010C_010EA,B17010C_010M,B17010C_010MA,B17010C_011E,B17010C_011EA,B17010C_011M,B17010C_011MA,B17010C_012E,B17010C_012EA,B17010C_012M,B17010C_012MA,B17010C_013E,B17010C_013EA,B17010C_013M,B17010C_013MA,B17010C_014E,B17010C_014EA,B17010C_014M,B17010C_014MA,B17010C_015E,B17010C_015EA,B17010C_015M,B17010C_015MA,B17010C_016E,B17010C_016EA,B17010C_016M,B17010C_016MA,B17010C_017E,B17010C_017EA,B17010C_017M,B17010C_017MA,B17010C_018E,B17010C_018EA,B17010C_018M,B17010C_018MA,B17010C_019E,B17010C_019EA,B17010C_019M,B17010C_019MA,B17010C_020E,B17010C_020EA,B17010C_020M,B17010C_020MA,B17010C_021E,B17010C_021EA,B17010C_021M,B17010C_021MA,B17010C_022E,B17010C_022EA,B17010C_022M,B17010C_022MA,B17010C_023E,B17010C_023EA,B17010C_023M,B17010C_023MA,B17010C_024E,B17010C_024EA,B17010C_024M,B17010C_024MA,B17010C_025E,B17010C_025EA,B17010C_025M,B17010C_025MA,B17010C_026E,B17010C_026EA,B17010C_026M,B17010C_026MA,B17010C_027E,B17010C_027EA,B17010C_027M,B17010C_027MA,B17010C_028E,B17010C_028EA,B17010C_028M,B17010C_028MA,B17010C_029E,B17010C_029EA,B17010C_029M,B17010C_029MA,B17010C_030E,B17010C_030EA,B17010C_030M,B17010C_030MA,B17010C_031E,B17010C_031EA,B17010C_031M,B17010C_031MA,B17010C_032E,B17010C_032EA,B17010C_032M,B17010C_032MA,B17010C_033E,B17010C_033EA,B17010C_033M,B17010C_033MA,B17010C_034E,B17010C_034EA,B17010C_034M,B17010C_034MA,B17010C_035E,B17010C_035EA,B17010C_035M,B17010C_035MA,B17010C_036E,B17010C_036EA,B17010C_036M,B17010C_036MA,B17010C_037E,B17010C_037EA,B17010C_037M,B17010C_037MA,B17010C_038E,B17010C_038EA,B17010C_038M,B17010C_038MA,B17010C_039E,B17010C_039EA,B17010C_039M,B17010C_039MA,B17010C_040E,B17010C_040EA,B17010C_040M,B17010C_040MA,B17010C_041E,B17010C_041EA,B17010C_041M,B17010C_041MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
19273,null,1596,null,3324,null,519,null,1104,null,274,null,888,null,231,null,157,null,118,null,328,null,133,null,403,null,140,null,216,null,158,null,2220,null,440,null,744,null,259,null,636,null,256,null,197,null,169,null,275,null,164,null,164,null,98,null,108,null,71,null,1476,null,437,null,1305,null,399,null,109,null,67,null,491,null,280,null,705,null,266,null,171,null,134,null,15949,null,1504,null,8967,null,1187,null,5596,null,909,null,908,null,451,null,1775,null,360,null,2913,null,676,null,3371,null,693,null,6982,null,1223,null,2118,null,653,null,1167,null,393,null,225,null,133,null,316,null,139,null,626,null,344,null,951,null,559,null,4864,null,986,null,3789,null,917,null,556,null,434,null,505,null,246,null,2728,null,796,null,1075,null,442,null,0400000US02,Alaska,02
55229,null,3191,null,16115,null,1706,null,4244,null,782,null,3009,null,672,null,140,null,97,null,1518,null,528,null,1351,null,443,null,1235,null,402,null,11871,null,1705,null,2819,null,962,null,2207,null,864,null,815,null,723,null,488,null,339,null,904,null,438,null,612,null,346,null,9052,null,1477,null,7942,null,1471,null,898,null,480,null,2745,null,822,null,4299,null,1155,null,1110,null,427,null,39114,null,2586,null,20389,null,1911,null,12263,null,1584,null,1199,null,542,null,3861,null,1253,null,7203,null,1407,null,8126,null,1047,null,18725,null,1846,null,5183,null,1210,null,3703,null,1121,null,646,null,543,null,1331,null,586,null,1726,null,662,null,1480,null,556,null,13542,null,1504,null,9300,null,1359,null,991,null,510,null,1514,null,604,null,6795,null,1132,null,4242,null,855,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
62305,null,3577,null,9247,null,1483,null,2611,null,839,null,1381,null,565,null,260,null,262,null,472,null,264,null,649,null,472,null,1230,null,605,null,6636,null,1273,null,871,null,486,null,827,null,510,null,122,null,123,null,39,null,66,null,666,null,504,null,44,null,55,null,5765,null,1119,null,5180,null,1087,null,1083,null,551,null,1497,null,619,null,2600,null,755,null,585,null,319,null,53058,null,3273,null,34595,null,2742,null,16418,null,1830,null,2256,null,733,null,3870,null,1010,null,10292,null,1483,null,18177,null,2073,null,18463,null,1913,null,5777,null,1196,null,2656,null,767,null,563,null,339,null,161,null,160,null,1932,null,659,null,3121,null,845,null,12686,null,1559,null,8193,null,1315,null,1375,null,606,null,1186,null,543,null,5632,null,1265,null,4493,null,961,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US12,Florida,12
