B05003C_001E,B05003C_001EA,B05003C_001M,B05003C_001MA,B05003C_002E,B05003C_002EA,B05003C_002M,B05003C_002MA,B05003C_003E,B05003C_003EA,B05003C_003M,B05003C_003MA,B05003C_004E,B05003C_004EA,B05003C_004M,B05003C_004MA,B05003C_005E,B05003C_005EA,B05003C_005M,B05003C_005MA,B05003C_006E,B05003C_006EA,B05003C_006M,B05003C_006MA,B05003C_007E,B05003C_007EA,B05003C_007M,B05003C_007MA,B05003C_008E,B05003C_008EA,B05003C_008M,B05003C_008MA,B05003C_009E,B05003C_009EA,B05003C_009M,B05003C_009MA,B05003C_010E,B05003C_010EA,B05003C_010M,B05003C_010MA,B05003C_011E,B05003C_011EA,B05003C_011M,B05003C_011MA,B05003C_012E,B05003C_012EA,B05003C_012M,B05003C_012MA,B05003C_013E,B05003C_013EA,B05003C_013M,B05003C_013MA,B05003C_014E,B05003C_014EA,B05003C_014M,B05003C_014MA,B05003C_015E,B05003C_015EA,B05003C_015M,B05003C_015MA,B05003C_016E,B05003C_016EA,B05003C_016M,B05003C_016MA,B05003C_017E,B05003C_017EA,B05003C_017M,B05003C_017MA,B05003C_018E,B05003C_018EA,B05003C_018M,B05003C_018MA,B05003C_019E,B05003C_019EA,B05003C_019M,B05003C_019MA,B05003C_020E,B05003C_020EA,B05003C_020M,B05003C_020MA,B05003C_021E,B05003C_021EA,B05003C_021M,B05003C_021MA,B05003C_022E,B05003C_022EA,B05003C_022M,B05003C_022MA,B05003C_023E,B05003C_023EA,B05003C_023M,B05003C_023MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
281096,null,5218,null,137533,null,3460,null,46117,null,1745,null,46084,null,1736,null,33,null,51,null,0,null,292,null,33,null,51,null,91416,null,2490,null,89810,null,2401,null,1606,null,546,null,619,null,315,null,987,null,471,null,143563,null,3013,null,45903,null,1825,null,45869,null,1820,null,34,null,57,null,0,null,292,null,34,null,57,null,97660,null,2122,null,96620,null,2031,null,1040,null,439,null,414,null,334,null,626,null,308,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
266051,null,10336,null,131506,null,6212,null,29700,null,2879,null,29090,null,2817,null,610,null,343,null,109,null,179,null,501,null,292,null,101806,null,4895,null,86692,null,3953,null,15114,null,2349,null,5107,null,1156,null,10007,null,2114,null,134545,null,6448,null,30404,null,3406,null,29688,null,3331,null,716,null,463,null,202,null,250,null,514,null,359,null,104141,null,4670,null,92780,null,4260,null,11361,null,1814,null,4674,null,1230,null,6687,null,1326,null,0400000US06,California,06
46172,null,4368,null,24520,null,2523,null,6804,null,1514,null,6668,null,1492,null,136,null,123,null,0,null,275,null,136,null,123,null,17716,null,2051,null,16047,null,1747,null,1669,null,798,null,721,null,580,null,948,null,484,null,21652,null,2703,null,5545,null,1099,null,5450,null,1079,null,95,null,86,null,0,null,275,null,95,null,86,null,16107,null,2124,null,15486,null,2091,null,621,null,415,null,116,null,132,null,505,null,410,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
53978,null,4293,null,27111,null,3120,null,5981,null,1425,null,5226,null,1254,null,755,null,381,null,180,null,177,null,575,null,345,null,21130,null,2578,null,17823,null,2017,null,3307,null,1258,null,877,null,467,null,2430,null,1148,null,26867,null,2935,null,5343,null,1274,null,4939,null,1236,null,404,null,286,null,111,null,134,null,293,null,250,null,21524,null,2256,null,19131,null,2075,null,2393,null,867,null,799,null,448,null,1594,null,694,null,0400000US12,Florida,12
