B08105F_001E,B08105F_001EA,B08105F_001M,B08105F_001MA,B08105F_002E,B08105F_002EA,B08105F_002M,B08105F_002MA,B08105F_003E,B08105F_003EA,B08105F_003M,B08105F_003MA,B08105F_004E,B08105F_004EA,B08105F_004M,B08105F_004MA,B08105F_005E,B08105F_005EA,B08105F_005M,B08105F_005MA,B08105F_006E,B08105F_006EA,B08105F_006M,B08105F_006MA,B08105F_007E,B08105F_007EA,B08105F_007M,B08105F_007MA,GEO_ID,NAME,state
16448,null,2207,null,9723,null,1573,null,4788,null,1225,null,41,null,53,null,174,null,224,null,561,null,502,null,1161,null,269,null,0400000US01,Alabama,01
7817,null,1750,null,4471,null,1550,null,1163,null,654,null,0,null,237,null,1431,null,616,null,336,null,303,null,416,null,396,null,0400000US02,Alaska,02
289235,null,10652,null,197122,null,8882,null,52236,null,5489,null,9428,null,2486,null,7330,null,1799,null,15925,null,2615,null,7194,null,1635,null,0400000US04,Arizona,04
23321,null,2436,null,15407,null,1893,null,5906,null,1831,null,0,null,267,null,400,null,312,null,1221,null,855,null,387,null,219,null,0400000US05,Arkansas,05
2624352,null,33428,null,1803285,null,28376,null,428900,null,15507,null,185778,null,10721,null,80417,null,6466,null,67187,null,5752,null,58785,null,4290,null,0400000US06,California,06
134467,null,7383,null,91494,null,5730,null,26381,null,3624,null,6556,null,1868,null,3219,null,1166,null,4174,null,1462,null,2643,null,752,null,0400000US08,Colorado,08
88551,null,6376,null,56874,null,4977,null,12964,null,2853,null,7971,null,1771,null,5783,null,1789,null,3948,null,1585,null,1011,null,420,null,0400000US09,Connecticut,09
6998,null,1030,null,4302,null,1020,null,1590,null,711,null,433,null,426,null,28,null,39,null,505,null,378,null,140,null,128,null,0400000US10,Delaware,10
14139,null,2149,null,4204,null,1330,null,2136,null,1446,null,6294,null,1722,null,998,null,653,null,203,null,331,null,304,null,366,null,0400000US11,District of Columbia,11
355742,null,13382,null,233107,null,10501,null,84746,null,7068,null,11952,null,2800,null,7995,null,1912,null,10113,null,2489,null,7829,null,1909,null,0400000US12,Florida,12
164760,null,9412,null,89514,null,7534,null,46059,null,5083,null,10329,null,3233,null,4293,null,2720,null,11680,null,3662,null,2885,null,1098,null,0400000US13,Georgia,13
9711,null,1831,null,7407,null,1612,null,471,null,313,null,401,null,420,null,968,null,500,null,397,null,343,null,67,null,110,null,0400000US15,Hawaii,15
15999,null,2076,null,10798,null,1496,null,3513,null,1105,null,150,null,147,null,892,null,696,null,221,null,291,null,425,null,329,null,0400000US16,Idaho,16
508465,null,11716,null,313454,null,10299,null,95672,null,7803,null,66479,null,5970,null,18435,null,2965,null,8144,null,1934,null,6281,null,1565,null,0400000US17,Illinois,17
65385,null,4005,null,43881,null,3799,null,15000,null,2742,null,1808,null,816,null,1943,null,930,null,2118,null,834,null,635,null,466,null,0400000US18,Indiana,18
24050,null,2989,null,16214,null,2376,null,4252,null,1090,null,675,null,477,null,1516,null,738,null,1048,null,752,null,345,null,240,null,0400000US19,Iowa,19
