C23002D_001E,C23002D_001EA,C23002D_001M,C23002D_001MA,C23002D_002E,C23002D_002EA,C23002D_002M,C23002D_002MA,C23002D_003E,C23002D_003EA,C23002D_003M,C23002D_003MA,C23002D_004E,C23002D_004EA,C23002D_004M,C23002D_004MA,C23002D_005E,C23002D_005EA,C23002D_005M,C23002D_005MA,C23002D_006E,C23002D_006EA,C23002D_006M,C23002D_006MA,C23002D_007E,C23002D_007EA,C23002D_007M,C23002D_007MA,C23002D_008E,C23002D_008EA,C23002D_008M,C23002D_008MA,C23002D_009E,C23002D_009EA,C23002D_009M,C23002D_009MA,C23002D_010E,C23002D_010EA,C23002D_010M,C23002D_010MA,C23002D_011E,C23002D_011EA,C23002D_011M,C23002D_011MA,C23002D_012E,C23002D_012EA,C23002D_012M,C23002D_012MA,C23002D_013E,C23002D_013EA,C23002D_013M,C23002D_013MA,C23002D_014E,C23002D_014EA,C23002D_014M,C23002D_014MA,C23002D_015E,C23002D_015EA,C23002D_015M,C23002D_015MA,C23002D_016E,C23002D_016EA,C23002D_016M,C23002D_016MA,C23002D_017E,C23002D_017EA,C23002D_017M,C23002D_017MA,C23002D_018E,C23002D_018EA,C23002D_018M,C23002D_018MA,C23002D_019E,C23002D_019EA,C23002D_019M,C23002D_019MA,C23002D_020E,C23002D_020EA,C23002D_020M,C23002D_020MA,C23002D_021E,C23002D_021EA,C23002D_021M,C23002D_021MA,C23002D_022E,C23002D_022EA,C23002D_022M,C23002D_022MA,C23002D_023E,C23002D_023EA,C23002D_023M,C23002D_023MA,C23002D_024E,C23002D_024EA,C23002D_024M,C23002D_024MA,C23002D_025E,C23002D_025EA,C23002D_025M,C23002D_025MA,C23002D_026E,C23002D_026EA,C23002D_026M,C23002D_026MA,C23002D_027E,C23002D_027EA,C23002D_027M,C23002D_027MA,GEO_ID,NAME,state
35571,null,2095,null,16370,null,1300,null,15084,null,1334,null,11808,null,1368,null,151,null,133,null,11657,null,1372,null,11298,null,1335,null,359,null,334,null,3276,null,1080,null,1286,null,378,null,783,null,303,null,783,null,303,null,0,null,267,null,503,null,264,null,19201,null,1331,null,17586,null,1400,null,9688,null,1106,null,24,null,32,null,9664,null,1104,null,9207,null,1055,null,457,null,253,null,7898,null,1378,null,1615,null,615,null,334,null,256,null,334,null,256,null,0,null,267,null,1281,null,580,null,0400000US01,Alabama,01
27097,null,1436,null,12567,null,1101,null,11374,null,1130,null,9611,null,1122,null,428,null,385,null,9183,null,1113,null,8729,null,1128,null,454,null,180,null,1763,null,717,null,1193,null,238,null,427,null,309,null,427,null,309,null,0,null,237,null,766,null,338,null,14530,null,959,null,12739,null,1068,null,9425,null,1091,null,84,null,106,null,9341,null,1096,null,8988,null,1047,null,353,null,202,null,3314,null,984,null,1791,null,332,null,159,null,137,null,159,null,137,null,0,null,237,null,1632,null,328,null,0400000US02,Alaska,02
119094,null,2102,null,56159,null,1484,null,51116,null,1377,null,41065,null,1706,null,263,null,179,null,40802,null,1758,null,38629,null,1756,null,2173,null,754,null,10051,null,1510,null,5043,null,418,null,638,null,359,null,638,null,359,null,0,null,292,null,4405,null,450,null,62935,null,1365,null,55626,null,1398,null,35558,null,1939,null,215,null,273,null,35343,null,1959,null,33952,null,1965,null,1391,null,509,null,20068,null,1900,null,7309,null,476,null,781,null,508,null,705,null,491,null,76,null,94,null,6528,null,759,null,0400000US04,Arizona,04
24521,null,1750,null,11250,null,936,null,10005,null,844,null,6530,null,848,null,138,null,225,null,6392,null,844,null,6288,null,835,null,104,null,237,null,3475,null,698,null,1245,null,497,null,348,null,290,null,348,null,290,null,0,null,267,null,897,null,416,null,13271,null,1316,null,12109,null,1424,null,7752,null,1053,null,0,null,267,null,7752,null,1053,null,7513,null,1064,null,239,null,182,null,4357,null,1108,null,1162,null,513,null,13,null,22,null,13,null,22,null,0,null,267,null,1149,null,515,null,0400000US05,Arkansas,05
3696792,null,10469,null,1745264,null,7342,null,1528696,null,7258,null,1179245,null,11183,null,9071,null,1840,null,1170174,null,11091,null,1103758,null,11786,null,66416,null,3890,null,349451,null,9481,null,216568,null,1707,null,34489,null,2590,null,32629,null,2554,null,1860,null,758,null,182079,null,2987,null,1951528,null,6144,null,1655667,null,5878,null,1085390,null,10843,null,1185,null,494,null,1084205,null,10835,null,1028444,null,11296,null,55761,null,3708,null,570277,null,9354,null,295861,null,1892,null,25199,null,2524,null,23798,null,2413,null,1401,null,509,null,270662,null,2901,null,0400000US06,California,06
104419,null,2110,null,47244,null,1877,null,43477,null,1943,null,35792,null,1843,null,1445,null,510,null,34347,null,1801,null,32165,null,1928,null,2182,null,746,null,7685,null,1443,null,3767,null,791,null,683,null,352,null,626,null,336,null,57,null,98,null,3084,null,711,null,57175,null,1378,null,51290,null,1450,null,34602,null,1785,null,269,null,224,null,34333,null,1801,null,33078,null,1787,null,1255,null,427,null,16688,null,1946,null,5885,null,600,null,298,null,264,null,212,null,217,null,86,null,155,null,5587,null,589,null,0400000US08,Colorado,08
91658,null,1494,null,45325,null,1147,null,41822,null,1172,null,34857,null,1587,null,441,null,371,null,34416,null,1686,null,32766,null,1831,null,1650,null,671,null,6965,null,1302,null,3503,null,544,null,1559,null,485,null,1389,null,443,null,170,null,205,null,1944,null,462,null,46333,null,1068,null,42508,null,1138,null,27918,null,1562,null,66,null,109,null,27852,null,1555,null,25379,null,1652,null,2473,null,899,null,14590,null,1790,null,3825,null,419,null,612,null,381,null,543,null,368,null,69,null,114,null,3213,null,549,null,0400000US09,Connecticut,09
19916,null,946,null,9556,null,668,null,8837,null,740,null,7423,null,712,null,252,null,307,null,7171,null,621,null,7047,null,598,null,124,null,113,null,1414,null,526,null,719,null,300,null,134,null,151,null,134,null,151,null,0,null,261,null,585,null,299,null,10360,null,558,null,9314,null,571,null,5810,null,825,null,0,null,261,null,5810,null,825,null,5405,null,742,null,405,null,336,null,3504,null,992,null,1046,null,184,null,78,null,105,null,78,null,105,null,0,null,261,null,968,null,160,null,0400000US10,Delaware,10
15998,null,1017,null,6878,null,779,null,6162,null,782,null,5163,null,815,null,537,null,890,null,4626,null,1046,null,4458,null,975,null,168,null,214,null,999,null,520,null,716,null,254,null,318,null,252,null,318,null,252,null,0,null,300,null,398,null,269,null,9120,null,478,null,7866,null,543,null,5894,null,649,null,65,null,108,null,5829,null,664,null,5492,null,672,null,337,null,229,null,1972,null,529,null,1254,null,280,null,63,null,110,null,63,null,110,null,0,null,300,null,1191,null,269,null,0400000US11,District of Columbia,11
324214,null,4653,null,149113,null,2887,null,134087,null,2795,null,108624,null,2819,null,394,null,299,null,108230,null,2865,null,103987,null,3000,null,4243,null,1355,null,25463,null,2104,null,15026,null,873,null,4702,null,930,null,4212,null,854,null,490,null,345,null,10324,null,1304,null,175101,null,3404,null,154883,null,3277,null,99785,null,3756,null,354,null,305,null,99431,null,3737,null,94244,null,3535,null,5187,null,1274,null,55098,null,3478,null,20218,null,1464,null,3303,null,667,null,3303,null,667,null,0,null,303,null,16915,null,1588,null,0400000US12,Florida,12
