C17010F_001E,C17010F_001EA,C17010F_001M,C17010F_001MA,C17010F_002E,C17010F_002EA,C17010F_002M,C17010F_002MA,C17010F_003E,C17010F_003EA,C17010F_003M,C17010F_003MA,C17010F_004E,C17010F_004EA,C17010F_004M,C17010F_004MA,C17010F_005E,C17010F_005EA,C17010F_005M,C17010F_005MA,C17010F_006E,C17010F_006EA,C17010F_006M,C17010F_006MA,C17010F_007E,C17010F_007EA,C17010F_007M,C17010F_007MA,C17010F_008E,C17010F_008EA,C17010F_008M,C17010F_008MA,C17010F_009E,C17010F_009EA,C17010F_009M,C17010F_009MA,C17010F_010E,C17010F_010EA,C17010F_010M,C17010F_010MA,C17010F_011E,C17010F_011EA,C17010F_011M,C17010F_011MA,C17010F_012E,C17010F_012EA,C17010F_012M,C17010F_012MA,C17010F_013E,C17010F_013EA,C17010F_013M,C17010F_013MA,C17010F_014E,C17010F_014EA,C17010F_014M,C17010F_014MA,C17010F_015E,C17010F_015EA,C17010F_015M,C17010F_015MA,C17010F_016E,C17010F_016EA,C17010F_016M,C17010F_016MA,C17010F_017E,C17010F_017EA,C17010F_017M,C17010F_017MA,GEO_ID,NAME,state
7683,null,1238,null,1564,null,651,null,1200,null,584,null,1136,null,563,null,364,null,236,null,105,null,101,null,105,null,101,null,259,null,224,null,229,null,213,null,6119,null,1122,null,4572,null,929,null,3453,null,889,null,1547,null,643,null,994,null,452,null,179,null,172,null,553,null,460,null,502,null,440,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
141943,null,5709,null,28209,null,3157,null,11320,null,2119,null,9819,null,2085,null,16889,null,2509,null,3340,null,1277,null,2672,null,1074,null,13549,null,2148,null,12790,null,2131,null,113734,null,4991,null,78143,null,4445,null,53399,null,4153,null,35591,null,2673,null,13204,null,2126,null,8150,null,1632,null,22387,null,2589,null,15375,null,2422,null,0400000US04,Arizona,04
13827,null,1648,null,3625,null,1008,null,1790,null,713,null,1714,null,701,null,1835,null,839,null,160,null,155,null,108,null,127,null,1675,null,796,null,1675,null,796,null,10202,null,1513,null,7465,null,1226,null,5550,null,1038,null,2737,null,904,null,1895,null,755,null,1313,null,612,null,842,null,468,null,612,null,442,null,0400000US05,Arkansas,05
1252470,null,16546,null,199377,null,6724,null,88374,null,4439,null,76794,null,3913,null,111003,null,5570,null,19931,null,2688,null,17076,null,2601,null,91072,null,4876,null,86405,null,4986,null,1053093,null,15622,null,723441,null,12115,null,522462,null,10996,null,329652,null,10714,null,139276,null,7189,null,81071,null,5211,null,190376,null,7824,null,134755,null,6662,null,0400000US06,California,06
70202,null,4201,null,14081,null,2149,null,4905,null,1154,null,4292,null,1148,null,9176,null,1960,null,2048,null,1033,null,1547,null,822,null,7128,null,1720,null,6896,null,1711,null,56121,null,3494,null,41688,null,3249,null,25076,null,2602,null,14433,null,2000,null,5979,null,1476,null,4179,null,1286,null,8454,null,1593,null,5932,null,1379,null,0400000US08,Colorado,08
45487,null,3252,null,9148,null,1342,null,1352,null,578,null,986,null,494,null,7796,null,1353,null,1228,null,639,null,904,null,567,null,6568,null,1185,null,6339,null,1179,null,36339,null,2907,null,20426,null,2071,null,12527,null,1878,null,15913,null,2486,null,4657,null,1335,null,2345,null,854,null,11256,null,2023,null,8704,null,1820,null,0400000US09,Connecticut,09
3905,null,685,null,468,null,421,null,191,null,259,null,52,null,65,null,277,null,311,null,0,null,261,null,0,null,261,null,277,null,311,null,277,null,311,null,3437,null,622,null,2199,null,657,null,1613,null,548,null,1238,null,441,null,467,null,363,null,399,null,341,null,771,null,357,null,660,null,363,null,0400000US10,Delaware,10
5328,null,1304,null,668,null,549,null,192,null,239,null,143,null,221,null,476,null,472,null,62,null,104,null,0,null,300,null,414,null,461,null,317,null,440,null,4660,null,1240,null,2704,null,1026,null,1968,null,907,null,1956,null,770,null,694,null,482,null,120,null,192,null,1262,null,654,null,1107,null,652,null,0400000US11,District of Columbia,11
161379,null,6317,null,26259,null,3325,null,11525,null,1957,null,9239,null,1888,null,14734,null,2240,null,2131,null,794,null,2105,null,798,null,12603,null,2208,null,11380,null,2105,null,135120,null,6039,null,92157,null,4683,null,60524,null,4061,null,42963,null,3619,null,18855,null,2399,null,10124,null,1817,null,24108,null,2671,null,16191,null,2352,null,0400000US12,Florida,12
67027,null,4198,null,15831,null,2032,null,8413,null,1743,null,7803,null,1690,null,7418,null,1503,null,1965,null,737,null,1839,null,737,null,5453,null,1281,null,5280,null,1268,null,51196,null,3994,null,37129,null,3732,null,28984,null,3023,null,14067,null,2013,null,7537,null,1629,null,3020,null,936,null,6530,null,1408,null,4795,null,1420,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
8149,null,1251,null,1600,null,590,null,702,null,341,null,663,null,342,null,898,null,471,null,83,null,98,null,83,null,98,null,815,null,457,null,734,null,457,null,6549,null,1074,null,4575,null,929,null,3534,null,965,null,1974,null,614,null,1227,null,503,null,721,null,361,null,747,null,351,null,500,null,286,null,0400000US16,Idaho,16
