B24010B_001E,B24010B_001EA,B24010B_001M,B24010B_001MA,B24010B_002E,B24010B_002EA,B24010B_002M,B24010B_002MA,B24010B_003E,B24010B_003EA,B24010B_003M,B24010B_003MA,B24010B_004E,B24010B_004EA,B24010B_004M,B24010B_004MA,B24010B_005E,B24010B_005EA,B24010B_005M,B24010B_005MA,B24010B_006E,B24010B_006EA,B24010B_006M,B24010B_006MA,B24010B_007E,B24010B_007EA,B24010B_007M,B24010B_007MA,B24010B_008E,B24010B_008EA,B24010B_008M,B24010B_008MA,B24010B_009E,B24010B_009EA,B24010B_009M,B24010B_009MA,B24010B_010E,B24010B_010EA,B24010B_010M,B24010B_010MA,B24010B_011E,B24010B_011EA,B24010B_011M,B24010B_011MA,B24010B_012E,B24010B_012EA,B24010B_012M,B24010B_012MA,B24010B_013E,B24010B_013EA,B24010B_013M,B24010B_013MA,B24010B_014E,B24010B_014EA,B24010B_014M,B24010B_014MA,B24010B_015E,B24010B_015EA,B24010B_015M,B24010B_015MA,B24010B_016E,B24010B_016EA,B24010B_016M,B24010B_016MA,B24010B_017E,B24010B_017EA,B24010B_017M,B24010B_017MA,B24010B_018E,B24010B_018EA,B24010B_018M,B24010B_018MA,B24010B_019E,B24010B_019EA,B24010B_019M,B24010B_019MA,B24010B_020E,B24010B_020EA,B24010B_020M,B24010B_020MA,B24010B_021E,B24010B_021EA,B24010B_021M,B24010B_021MA,B24010B_022E,B24010B_022EA,B24010B_022M,B24010B_022MA,B24010B_023E,B24010B_023EA,B24010B_023M,B24010B_023MA,B24010B_024E,B24010B_024EA,B24010B_024M,B24010B_024MA,B24010B_025E,B24010B_025EA,B24010B_025M,B24010B_025MA,B24010B_026E,B24010B_026EA,B24010B_026M,B24010B_026MA,B24010B_027E,B24010B_027EA,B24010B_027M,B24010B_027MA,B24010B_028E,B24010B_028EA,B24010B_028M,B24010B_028MA,B24010B_029E,B24010B_029EA,B24010B_029M,B24010B_029MA,B24010B_030E,B24010B_030EA,B24010B_030M,B24010B_030MA,B24010B_031E,B24010B_031EA,B24010B_031M,B24010B_031MA,B24010B_032E,B24010B_032EA,B24010B_032M,B24010B_032MA,B24010B_033E,B24010B_033EA,B24010B_033M,B24010B_033MA,B24010B_034E,B24010B_034EA,B24010B_034M,B24010B_034MA,B24010B_035E,B24010B_035EA,B24010B_035M,B24010B_035MA,B24010B_036E,B24010B_036EA,B24010B_036M,B24010B_036MA,B24010B_037E,B24010B_037EA,B24010B_037M,B24010B_037MA,B24010B_038E,B24010B_038EA,B24010B_038M,B24010B_038MA,B24010B_039E,B24010B_039EA,B24010B_039M,B24010B_039MA,B24010B_040E,B24010B_040EA,B24010B_040M,B24010B_040MA,B24010B_041E,B24010B_041EA,B24010B_041M,B24010B_041MA,B24010B_042E,B24010B_042EA,B24010B_042M,B24010B_042MA,B24010B_043E,B24010B_043EA,B24010B_043M,B24010B_043MA,B24010B_044E,B24010B_044EA,B24010B_044M,B24010B_044MA,B24010B_045E,B24010B_045EA,B24010B_045M,B24010B_045MA,B24010B_046E,B24010B_046EA,B24010B_046M,B24010B_046MA,B24010B_047E,B24010B_047EA,B24010B_047M,B24010B_047MA,B24010B_048E,B24010B_048EA,B24010B_048M,B24010B_048MA,B24010B_049E,B24010B_049EA,B24010B_049M,B24010B_049MA,B24010B_050E,B24010B_050EA,B24010B_050M,B24010B_050MA,B24010B_051E,B24010B_051EA,B24010B_051M,B24010B_051MA,B24010B_052E,B24010B_052EA,B24010B_052M,B24010B_052MA,B24010B_053E,B24010B_053EA,B24010B_053M,B24010B_053MA,B24010B_054E,B24010B_054EA,B24010B_054M,B24010B_054MA,B24010B_055E,B24010B_055EA,B24010B_055M,B24010B_055MA,B24010B_056E,B24010B_056EA,B24010B_056M,B24010B_056MA,B24010B_057E,B24010B_057EA,B24010B_057M,B24010B_057MA,B24010B_058E,B24010B_058EA,B24010B_058M,B24010B_058MA,B24010B_059E,B24010B_059EA,B24010B_059M,B24010B_059MA,B24010B_060E,B24010B_060EA,B24010B_060M,B24010B_060MA,B24010B_061E,B24010B_061EA,B24010B_061M,B24010B_061MA,B24010B_062E,B24010B_062EA,B24010B_062M,B24010B_062MA,B24010B_063E,B24010B_063EA,B24010B_063M,B24010B_063MA,GEO_ID,NAME,state
468720,null,8577,null,213475,null,5749,null,34435,null,3588,null,14326,null,2231,null,10634,null,2050,null,380,null,356,null,3312,null,861,null,20109,null,2872,null,2078,null,693,null,3195,null,1018,null,1023,null,749,null,2370,null,811,null,307,null,385,null,6152,null,1544,null,2381,null,939,null,2603,null,799,null,39999,null,3199,null,2032,null,801,null,9073,null,1761,null,12134,null,1784,null,13511,null,2172,null,3249,null,964,null,30211,null,3563,null,12578,null,2011,null,17633,null,2776,null,2609,null,958,null,34049,null,3162,null,22066,null,2465,null,11983,null,1831,null,72172,null,4434,null,35138,null,2806,null,37034,null,3587,null,255245,null,5419,null,70936,null,4373,null,20754,null,2591,null,11904,null,2059,null,169,null,204,null,8681,null,1511,null,50182,null,3631,null,1621,null,580,null,1042,null,515,null,387,null,283,null,4720,null,1143,null,634,null,425,null,19368,null,2508,null,1350,null,503,null,21060,null,3052,null,66133,null,3752,null,16536,null,2579,null,3768,null,973,null,19670,null,2208,null,15496,null,2021,null,10663,null,1917,null,78250,null,4576,null,32181,null,3444,null,46069,null,3507,null,152,null,188,null,2041,null,698,null,928,null,475,null,1113,null,582,null,37733,null,3135,null,29572,null,2838,null,8161,null,1704,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
89486,null,3824,null,47523,null,2713,null,14091,null,1643,null,5998,null,1099,null,3997,null,1018,null,101,null,169,null,1900,null,759,null,8093,null,1453,null,1891,null,933,null,720,null,425,null,40,null,67,null,770,null,443,null,164,null,127,null,1567,null,929,null,1194,null,634,null,1747,null,712,null,8587,null,1761,null,616,null,552,null,3361,null,1134,null,1942,null,767,null,1092,null,437,null,1576,null,768,null,10213,null,1840,null,3588,null,1233,null,6625,null,1451,null,147,null,183,null,5107,null,1436,null,2428,null,890,null,2679,null,1305,null,9378,null,1684,null,2438,null,843,null,6940,null,1470,null,41963,null,2791,null,15899,null,1859,null,5458,null,1508,null,2644,null,1010,null,0,null,292,null,2814,null,992,null,10441,null,1381,null,849,null,501,null,201,null,205,null,42,null,70,null,3157,null,953,null,168,null,153,null,2411,null,867,null,163,null,156,null,3450,null,925,null,7685,null,1752,null,2019,null,882,null,277,null,205,null,1469,null,650,null,802,null,434,null,3118,null,1129,null,15787,null,2022,null,4846,null,1420,null,10941,null,1762,null,148,null,232,null,122,null,146,null,122,null,146,null,0,null,292,null,2322,null,988,null,1397,null,812,null,925,null,644,null,0400000US04,Arizona,04
163019,null,4925,null,72349,null,3576,null,11499,null,2152,null,4308,null,1499,null,3186,null,1272,null,338,null,306,null,784,null,617,null,7191,null,1470,null,327,null,350,null,151,null,159,null,529,null,362,null,1181,null,730,null,487,null,478,null,1896,null,763,null,1274,null,841,null,1346,null,625,null,14291,null,2220,null,1042,null,692,null,2884,null,956,null,4579,null,1328,null,5228,null,1182,null,558,null,354,null,10959,null,1941,null,4148,null,1098,null,6811,null,1534,null,1171,null,493,null,7711,null,1625,null,3418,null,904,null,4293,null,1249,null,26718,null,2716,null,12658,null,2185,null,14060,null,1729,null,90670,null,3528,null,23774,null,2120,null,6702,null,1366,null,4135,null,1104,null,0,null,267,null,2567,null,885,null,17072,null,2086,null,897,null,524,null,188,null,244,null,403,null,298,null,2226,null,687,null,382,null,394,null,7142,null,1462,null,517,null,353,null,5317,null,1288,null,26597,null,2524,null,6273,null,1504,null,2503,null,1011,null,8101,null,1396,null,4021,null,961,null,5699,null,1370,null,27948,null,2838,null,11454,null,1864,null,16494,null,2273,null,116,null,149,null,217,null,225,null,17,null,33,null,200,null,213,null,12018,null,1568,null,9101,null,1459,null,2917,null,823,null,0400000US05,Arkansas,05
917965,null,12663,null,440840,null,8984,null,134391,null,6740,null,51980,null,4624,null,34311,null,3728,null,0,null,292,null,17669,null,2718,null,82411,null,5378,null,10526,null,2005,null,9122,null,1867,null,3856,null,1487,null,14060,null,1984,null,4379,null,1138,null,14075,null,2405,null,15161,null,2433,null,11232,null,1718,null,84446,null,4696,null,2629,null,1058,null,31860,null,3707,null,18984,null,2896,null,18947,null,2273,null,12026,null,1720,null,104803,null,5500,null,46604,null,3907,null,58199,null,4595,null,708,null,398,null,42375,null,4237,null,23121,null,2915,null,19254,null,2822,null,74117,null,4039,null,19633,null,2693,null,54484,null,3728,null,477125,null,8098,null,176063,null,5725,null,64918,null,3514,null,37864,null,2993,null,0,null,292,null,27054,null,2897,null,111145,null,5493,null,6288,null,1074,null,2163,null,907,null,2449,null,829,null,16420,null,2358,null,7234,null,1774,null,35105,null,3078,null,6331,null,1520,null,35155,null,3450,null,99454,null,5733,null,24297,null,2929,null,11661,null,1730,null,13315,null,2139,null,9543,null,1497,null,40638,null,4099,null,175816,null,6161,null,52372,null,4148,null,123444,null,5756,null,328,null,368,null,3911,null,1212,null,1453,null,747,null,2458,null,909,null,21553,null,2637,null,8208,null,1681,null,13345,null,2040,null,0400000US06,California,06
83637,null,4035,null,45993,null,2786,null,10542,null,1611,null,3739,null,974,null,2227,null,773,null,0,null,275,null,1512,null,598,null,6803,null,1413,null,2506,null,925,null,1093,null,612,null,324,null,278,null,683,null,495,null,404,null,335,null,1067,null,594,null,507,null,324,null,219,null,158,null,9497,null,1944,null,388,null,295,null,2803,null,1025,null,2767,null,1151,null,2927,null,1061,null,612,null,344,null,11414,null,1947,null,3906,null,1175,null,7508,null,1483,null,39,null,66,null,5166,null,1250,null,2378,null,910,null,2788,null,1016,null,9335,null,1710,null,2879,null,1289,null,6456,null,1385,null,37644,null,2627,null,12375,null,1788,null,5952,null,1297,null,2664,null,896,null,0,null,275,null,3288,null,997,null,6423,null,1287,null,1290,null,728,null,200,null,211,null,0,null,275,null,714,null,342,null,440,null,297,null,1562,null,573,null,590,null,395,null,1627,null,606,null,8941,null,1747,null,2746,null,1023,null,455,null,397,null,880,null,513,null,2011,null,876,null,2849,null,971,null,15021,null,2015,null,4909,null,1266,null,10112,null,1722,null,0,null,275,null,60,null,106,null,60,null,106,null,0,null,275,null,1247,null,506,null,549,null,399,null,698,null,350,null,0400000US08,Colorado,08
148938,null,4582,null,68576,null,3355,null,16584,null,1918,null,6862,null,1465,null,4974,null,1321,null,145,null,244,null,1743,null,631,null,9722,null,1674,null,3340,null,981,null,709,null,459,null,514,null,302,null,1516,null,673,null,189,null,192,null,1050,null,573,null,651,null,445,null,1753,null,653,null,15563,null,2141,null,1766,null,815,null,2698,null,848,null,4980,null,1397,null,4521,null,1007,null,1598,null,735,null,14966,null,2015,null,7294,null,1482,null,7672,null,1385,null,46,null,75,null,5984,null,1559,null,4247,null,1209,null,1737,null,733,null,15433,null,2270,null,6139,null,1355,null,9294,null,1793,null,80362,null,3344,null,23926,null,2348,null,6493,null,1069,null,3584,null,817,null,0,null,273,null,2909,null,845,null,17433,null,2215,null,839,null,512,null,392,null,336,null,691,null,564,null,4285,null,1045,null,291,null,220,null,4440,null,1039,null,351,null,313,null,6144,null,1251,null,24533,null,2152,null,13869,null,1634,null,998,null,495,null,2843,null,809,null,2228,null,782,null,4595,null,1117,null,26440,null,2683,null,8772,null,1482,null,17668,null,2217,null,0,null,273,null,396,null,282,null,94,null,114,null,302,null,258,null,5067,null,965,null,3483,null,860,null,1584,null,574,null,0400000US09,Connecticut,09
77687,null,2682,null,35730,null,1992,null,9256,null,1716,null,3632,null,1161,null,2169,null,892,null,54,null,89,null,1409,null,732,null,5624,null,1135,null,1076,null,618,null,321,null,253,null,494,null,341,null,1650,null,814,null,27,null,47,null,722,null,318,null,500,null,331,null,834,null,498,null,6703,null,1444,null,256,null,282,null,1299,null,535,null,1496,null,651,null,2429,null,778,null,1223,null,692,null,6800,null,1349,null,2237,null,875,null,4563,null,1185,null,0,null,261,null,4154,null,1419,null,2780,null,1102,null,1374,null,872,null,8817,null,1696,null,2922,null,1146,null,5895,null,1322,null,41957,null,2007,null,13532,null,1855,null,5772,null,1204,null,3427,null,987,null,0,null,261,null,2345,null,867,null,7760,null,1356,null,101,null,117,null,49,null,83,null,54,null,89,null,1540,null,780,null,484,null,446,null,1964,null,659,null,245,null,177,null,3323,null,838,null,10998,null,1801,null,3312,null,970,null,675,null,474,null,2094,null,740,null,1995,null,793,null,2922,null,955,null,14871,null,2036,null,4702,null,1338,null,10169,null,1678,null,91,null,128,null,130,null,122,null,25,null,43,null,105,null,116,null,2335,null,813,null,1662,null,706,null,673,null,360,null,0400000US10,Delaware,10
124246,null,4598,null,54549,null,3498,null,17311,null,2196,null,7627,null,1576,null,3874,null,1258,null,0,null,300,null,3753,null,964,null,9684,null,1682,null,1864,null,705,null,608,null,410,null,358,null,284,null,1133,null,642,null,862,null,472,null,2060,null,890,null,1953,null,865,null,846,null,544,null,11737,null,2155,null,933,null,541,null,3683,null,1035,null,2623,null,1021,null,3756,null,1303,null,742,null,472,null,12581,null,1940,null,4568,null,1177,null,8013,null,1590,null,0,null,300,null,4778,null,1117,null,2954,null,942,null,1824,null,702,null,8142,null,1938,null,1585,null,724,null,6557,null,1669,null,69697,null,3179,null,29309,null,2436,null,11830,null,1787,null,6216,null,1275,null,0,null,300,null,5614,null,1376,null,17479,null,2205,null,1894,null,805,null,213,null,199,null,842,null,541,null,2322,null,853,null,2864,null,908,null,4070,null,906,null,1651,null,654,null,3623,null,1169,null,18112,null,2551,null,2959,null,1141,null,2740,null,1005,null,2879,null,1036,null,3944,null,1200,null,5590,null,1348,null,19862,null,2213,null,4089,null,1106,null,15773,null,1984,null,0,null,300,null,423,null,305,null,54,null,90,null,369,null,292,null,1991,null,768,null,410,null,324,null,1581,null,611,null,0400000US11,District of Columbia,11
1192674,null,12510,null,556793,null,8955,null,103673,null,6103,null,44849,null,4483,null,29437,null,3396,null,159,null,256,null,15253,null,2692,null,58824,null,4048,null,8149,null,1779,null,7458,null,1790,null,1622,null,717,null,7512,null,1503,null,1979,null,910,null,13095,null,1810,null,6038,null,1430,null,12971,null,1557,null,126462,null,6785,null,5242,null,1571,null,25040,null,3048,null,41435,null,4613,null,45637,null,4308,null,9108,null,1639,null,112424,null,6314,null,50741,null,4531,null,61683,null,5129,null,2726,null,1133,null,87601,null,6112,null,56729,null,5340,null,30872,null,4154,null,123907,null,7193,null,34813,null,4030,null,89094,null,5511,null,635881,null,8953,null,186832,null,6029,null,55872,null,3810,null,30456,null,2637,null,0,null,303,null,25416,null,3033,null,130960,null,5560,null,4524,null,1331,null,1530,null,745,null,1524,null,647,null,18690,null,2475,null,4920,null,1235,null,47314,null,4274,null,3527,null,1111,null,48931,null,3260,null,196374,null,9113,null,65807,null,4040,null,15783,null,2305,null,46196,null,4141,null,35091,null,3723,null,33497,null,3175,null,211387,null,8436,null,78006,null,5387,null,133381,null,6545,null,447,null,402,null,3345,null,968,null,2153,null,884,null,1192,null,634,null,37496,null,3502,null,19427,null,2794,null,18069,null,2816,null,0400000US12,Florida,12
