B19101B_001E,B19101B_001EA,B19101B_001M,B19101B_001MA,B19101B_002E,B19101B_002EA,B19101B_002M,B19101B_002MA,B19101B_003E,B19101B_003EA,B19101B_003M,B19101B_003MA,B19101B_004E,B19101B_004EA,B19101B_004M,B19101B_004MA,B19101B_005E,B19101B_005EA,B19101B_005M,B19101B_005MA,B19101B_006E,B19101B_006EA,B19101B_006M,B19101B_006MA,B19101B_007E,B19101B_007EA,B19101B_007M,B19101B_007MA,B19101B_008E,B19101B_008EA,B19101B_008M,B19101B_008MA,B19101B_009E,B19101B_009EA,B19101B_009M,B19101B_009MA,B19101B_010E,B19101B_010EA,B19101B_010M,B19101B_010MA,B19101B_011E,B19101B_011EA,B19101B_011M,B19101B_011MA,B19101B_012E,B19101B_012EA,B19101B_012M,B19101B_012MA,B19101B_013E,B19101B_013EA,B19101B_013M,B19101B_013MA,B19101B_014E,B19101B_014EA,B19101B_014M,B19101B_014MA,B19101B_015E,B19101B_015EA,B19101B_015M,B19101B_015MA,B19101B_016E,B19101B_016EA,B19101B_016M,B19101B_016MA,B19101B_017E,B19101B_017EA,B19101B_017M,B19101B_017MA,GEO_ID,NAME,state
300040,null,5286,null,41752,null,2836,null,29593,null,2662,null,25222,null,2867,null,25492,null,2623,null,22744,null,2587,null,17085,null,2135,null,19655,null,2493,null,15716,null,2072,null,11826,null,1937,null,21136,null,2451,null,22964,null,2745,null,25787,null,2473,null,11426,null,1725,null,5235,null,1063,null,3134,null,843,null,1273,null,502,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
46317,null,2968,null,4994,null,1232,null,2711,null,896,null,2969,null,1170,null,2435,null,925,null,2522,null,865,null,2523,null,887,null,3233,null,1003,null,1961,null,729,null,1902,null,654,null,3712,null,1142,null,4481,null,1085,null,5875,null,1319,null,3224,null,832,null,1452,null,512,null,1422,null,613,null,901,null,446,null,0400000US04,Arizona,04
108107,null,3541,null,15537,null,2319,null,12194,null,2051,null,9638,null,1448,null,8805,null,1810,null,8771,null,1620,null,7532,null,1346,null,6193,null,1315,null,6253,null,1300,null,4982,null,1272,null,8353,null,1520,null,8139,null,1691,null,6448,null,1257,null,3011,null,884,null,1673,null,754,null,389,null,272,null,189,null,205,null,0400000US05,Arkansas,05
485496,null,7429,null,42421,null,3467,null,27484,null,3055,null,27816,null,2700,null,25744,null,2784,null,26257,null,2545,null,27865,null,3049,null,21684,null,2608,null,21341,null,3001,null,19926,null,2715,null,39524,null,3598,null,53052,null,4406,null,55662,null,3373,null,39624,null,2804,null,21873,null,2721,null,20728,null,2463,null,14495,null,1810,null,0400000US06,California,06
42961,null,2684,null,4111,null,1138,null,2260,null,842,null,1382,null,698,null,2774,null,987,null,2137,null,738,null,3036,null,1067,null,2036,null,674,null,2541,null,997,null,1502,null,601,null,3372,null,969,null,5561,null,1215,null,6098,null,1483,null,2801,null,781,null,1572,null,745,null,1087,null,516,null,691,null,347,null,0400000US08,Colorado,08
72924,null,2758,null,5684,null,1278,null,3715,null,1072,null,3013,null,757,null,3002,null,791,null,4186,null,1093,null,4139,null,1247,null,4329,null,1063,null,4406,null,1272,null,3345,null,1059,null,6444,null,1404,null,7829,null,1420,null,8979,null,1420,null,7523,null,1433,null,3039,null,859,null,1740,null,588,null,1551,null,548,null,0400000US09,Connecticut,09
44481,null,2494,null,4187,null,1129,null,2589,null,1051,null,2448,null,851,null,2377,null,787,null,3038,null,1062,null,2690,null,909,null,2723,null,844,null,2208,null,738,null,1899,null,811,null,3946,null,1099,null,4059,null,1121,null,5681,null,1186,null,3550,null,899,null,1763,null,602,null,1246,null,615,null,77,null,92,null,0400000US10,Delaware,10
64133,null,2850,null,6756,null,1303,null,3736,null,1019,null,3911,null,1037,null,4035,null,1003,null,3585,null,1189,null,4195,null,1091,null,3123,null,781,null,3663,null,1075,null,2511,null,741,null,4131,null,1072,null,5705,null,1165,null,7435,null,1094,null,3606,null,934,null,2034,null,653,null,3591,null,879,null,2116,null,648,null,0400000US11,District of Columbia,11
632994,null,9589,null,55869,null,3801,null,40721,null,3869,null,44071,null,3733,null,48941,null,4243,null,41792,null,3753,null,44415,null,3488,null,41270,null,3686,null,37949,null,3436,null,32165,null,3431,null,59597,null,3850,null,61111,null,3942,null,63123,null,4412,null,30992,null,2705,null,16687,null,2272,null,7989,null,1472,null,6302,null,1466,null,0400000US12,Florida,12
632381,null,9950,null,67122,null,4192,null,36387,null,3296,null,44461,null,4360,null,42290,null,3575,null,37598,null,3281,null,39204,null,3311,null,39435,null,3626,null,34732,null,3414,null,30332,null,3267,null,51632,null,3735,null,66353,null,4510,null,69162,null,4069,null,37600,null,3273,null,17718,null,2048,null,11388,null,1825,null,6967,null,1289,null,0400000US13,Georgia,13
