B25032F_001E,B25032F_001EA,B25032F_001M,B25032F_001MA,B25032F_002E,B25032F_002EA,B25032F_002M,B25032F_002MA,B25032F_003E,B25032F_003EA,B25032F_003M,B25032F_003MA,B25032F_004E,B25032F_004EA,B25032F_004M,B25032F_004MA,B25032F_005E,B25032F_005EA,B25032F_005M,B25032F_005MA,B25032F_006E,B25032F_006EA,B25032F_006M,B25032F_006MA,B25032F_007E,B25032F_007EA,B25032F_007M,B25032F_007MA,B25032F_008E,B25032F_008EA,B25032F_008M,B25032F_008MA,B25032F_009E,B25032F_009EA,B25032F_009M,B25032F_009MA,B25032F_010E,B25032F_010EA,B25032F_010M,B25032F_010MA,B25032F_011E,B25032F_011EA,B25032F_011M,B25032F_011MA,GEO_ID,NAME,state
8920,null,1373,null,5115,null,1098,null,198,null,145,null,56,null,82,null,198,null,158,null,366,null,268,null,115,null,152,null,241,null,279,null,82,null,118,null,2549,null,814,null,0,null,267,null,0400000US01,Alabama,01
4138,null,975,null,1609,null,620,null,664,null,380,null,0,null,237,null,602,null,400,null,504,null,382,null,122,null,113,null,17,null,28,null,20,null,41,null,600,null,425,null,0,null,237,null,0400000US02,Alaska,02
180017,null,5986,null,109676,null,5759,null,7442,null,1663,null,4357,null,1307,null,6981,null,1740,null,8576,null,1551,null,13076,null,2003,null,6457,null,1359,null,3584,null,803,null,19524,null,2402,null,344,null,286,null,0400000US04,Arizona,04
15980,null,1747,null,8785,null,1416,null,532,null,418,null,953,null,567,null,992,null,588,null,1026,null,684,null,1551,null,743,null,317,null,267,null,61,null,107,null,1763,null,775,null,0,null,267,null,0400000US05,Arkansas,05
1494492,null,16747,null,831287,null,14661,null,95647,null,5416,null,42323,null,3488,null,105776,null,5146,null,114106,null,5297,null,98799,null,6229,null,85387,null,4934,null,67036,null,4661,null,53407,null,4271,null,724,null,487,null,0400000US06,California,06
90769,null,4518,null,51079,null,3561,null,6630,null,1440,null,2153,null,878,null,4860,null,1393,null,6375,null,1456,null,5347,null,1457,null,5116,null,1336,null,2829,null,917,null,6340,null,1493,null,40,null,65,null,0400000US08,Colorado,08
59011,null,3510,null,16010,null,1836,null,2616,null,870,null,9851,null,2026,null,12662,null,2081,null,6945,null,1566,null,3519,null,1055,null,3062,null,911,null,4004,null,1220,null,342,null,401,null,0,null,273,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
9408,null,1587,null,146,null,165,null,1981,null,786,null,154,null,165,null,633,null,511,null,306,null,303,null,1288,null,769,null,1769,null,927,null,3131,null,1151,null,0,null,300,null,0,null,300,null,0400000US11,District of Columbia,11
208959,null,6672,null,104202,null,5635,null,18172,null,2396,null,7266,null,1469,null,11116,null,1935,null,11330,null,1753,null,18400,null,2685,null,13477,null,2302,null,9480,null,1960,null,15453,null,2303,null,63,null,101,null,0400000US12,Florida,12
89519,null,4758,null,39748,null,3446,null,3542,null,1040,null,2149,null,939,null,4133,null,1268,null,11708,null,2065,null,10932,null,2093,null,3497,null,1266,null,1337,null,668,null,12353,null,2154,null,120,null,145,null,0400000US13,Georgia,13
6701,null,1419,null,2849,null,993,null,475,null,275,null,0,null,271,null,529,null,387,null,936,null,626,null,795,null,476,null,370,null,319,null,747,null,454,null,0,null,271,null,0,null,271,null,0400000US15,Hawaii,15
9796,null,1264,null,6489,null,1016,null,336,null,257,null,259,null,229,null,758,null,428,null,0,null,257,null,533,null,525,null,76,null,115,null,0,null,257,null,1270,null,514,null,75,null,125,null,0400000US16,Idaho,16
288885,null,5982,null,117978,null,4445,null,12510,null,2108,null,55680,null,4255,null,49521,null,3717,null,21545,null,2749,null,11069,null,1793,null,9198,null,2155,null,8316,null,1774,null,2876,null,964,null,192,null,313,null,0400000US17,Illinois,17
43990,null,2416,null,26051,null,2130,null,1291,null,608,null,3089,null,880,null,3041,null,1058,null,4408,null,1148,null,2195,null,890,null,623,null,497,null,251,null,223,null,3041,null,926,null,0,null,265,null,0400000US18,Indiana,18
14097,null,1856,null,8024,null,1265,null,368,null,262,null,654,null,528,null,992,null,590,null,706,null,454,null,1515,null,782,null,522,null,536,null,113,null,183,null,1203,null,493,null,0,null,226,null,0400000US19,Iowa,19
24868,null,2306,null,16126,null,1709,null,1579,null,826,null,353,null,298,null,2195,null,836,null,571,null,384,null,1359,null,790,null,559,null,357,null,420,null,285,null,1706,null,622,null,0,null,242,null,0400000US20,Kansas,20
8496,null,1251,null,3137,null,857,null,183,null,153,null,678,null,521,null,793,null,471,null,752,null,473,null,1058,null,516,null,765,null,629,null,122,null,105,null,1008,null,452,null,0,null,271,null,0400000US21,Kentucky,21
12899,null,1686,null,6604,null,1439,null,404,null,314,null,1172,null,527,null,1165,null,574,null,301,null,278,null,792,null,472,null,163,null,242,null,377,null,286,null,1921,null,836,null,0,null,269,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
46214,null,2960,null,20846,null,2314,null,9768,null,1605,null,588,null,411,null,1853,null,871,null,4335,null,1140,null,6143,null,1227,null,636,null,326,null,1911,null,830,null,86,null,95,null,48,null,86,null,0400000US24,Maryland,24
90147,null,5035,null,13848,null,1784,null,4106,null,1023,null,18281,null,2786,null,24742,null,2715,null,12775,null,1918,null,5814,null,1648,null,4682,null,1377,null,5601,null,1388,null,298,null,241,null,0,null,281,null,0400000US25,Massachusetts,25
47360,null,3105,null,28827,null,2661,null,2546,null,885,null,5227,null,1455,null,1276,null,884,null,1884,null,784,null,3241,null,1182,null,627,null,446,null,937,null,493,null,2795,null,908,null,0,null,237,null,0400000US26,Michigan,26
19564,null,1842,null,11022,null,1536,null,994,null,499,null,683,null,458,null,428,null,327,null,459,null,328,null,1729,null,925,null,2154,null,866,null,1014,null,556,null,1081,null,441,null,0,null,211,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
15867,null,1801,null,10654,null,1560,null,357,null,291,null,826,null,528,null,1343,null,632,null,505,null,443,null,730,null,520,null,451,null,340,null,287,null,256,null,714,null,394,null,0,null,255,null,0400000US29,Missouri,29
